index,83_1_www.mozilla.org,83_2_www.mozilla.org,83_3_www.mozilla.org,83_4_www.mozilla.org,83_5_www.mozilla.org,83_6_www.mozilla.org,83_7_www.mozilla.org,83_8_www.mozilla.org,83_9_www.mozilla.org,83_10_www.mozilla.org
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,685.8000000000002,2478.2000000000003,288.12000000000006,317.63999999999805,1405.319999999999,408.2800000000002,1314.680000000001,2482.64,498.91999999999825,1858.5200000000013
3,7226.2,6610.6,6767.24,7086.12,7002.68,7079.24,7749.44,6809.12,6075.24,6959.48
4,14900.8,10811.599999999997,11767.28,11398.719999999996,14219.920000000004,11688.08,29691.959999999974,15180.88,11648.44,15250.24
5,40661.0,53623.19999999996,83412.59999999999,53951.95999999994,28989.399999999976,40553.16,96619.40000000001,110347.36000000004,30422.479999999992,52518.600000000006
6,114175.0,141622.0,193523.2,206153.5999999998,117706.99999999999,126125.0,174005.4,249058.20000000004,153009.0,132579.00000000003
7,228558.59999999992,223728.0,256959.52,263491.68,207590.60000000006,175292.6,224952.19999999998,262709.84,258535.92,233946.92000000013
8,261744.3,248515.19999999998,257796.84,263741.04,260153.32,260604.44,257113.04,260152.02,261553.92,262314.96
9,261292.6,262340.4,257623.28,263421.16,263341.16,263837.56,259927.92,262905.92,259185.28,262294.68
10,263644.7,265323.6,262262.24,271596.44,260745.76,260772.04,257460.76,269522.16,264084.44,263190.68000000005
11,272258.0,264686.0,266690.4,273578.6,263677.6,265675.80000000005,262168.4,272533.8,267947.19999999995,270554.2
12,273612.3,270472.6,268109.68,276574.72,270028.72,272184.88,268359.12,275608.66,271598.32,272130.56
13,276669.2,274147.2,268435.44,278548.68,273685.96,274171.84,270022.04,278830.72,273141.6,275420.36
14,278071.8,274740.4,274461.92,280769.48,276579.76,274500.63999999996,273116.12,278918.76,280655.28,278550.52
15,277146.8,279810.8,272001.32,280537.56,277978.48,280267.12,275586.52,283833.36000000004,283110.87999999995,275725.28
16,281086.0,277989.0,276429.6,286321.6,277304.6,277833.4,277234.6,285345.00000000006,284902.2,284042.2
17,286647.4,283445.19999999995,281531.96,290995.68,282629.32,283341.12,277193.72,292573.4,286697.72,289423.28
18,292897.2,287321.4,285155.4,288776.48,286780.36,287728.44,282506.44,290289.86,290943.16,286955.80000000005
19,314109.00000000006,288339.2,286162.4,371357.31999999954,290242.24,290175.0,288052.96,345950.1199999997,294636.44,353976.39999999997
20,386320.39999999997,307629.4000000001,369639.44,520825.7999999999,354280.2,314420.80000000005,286687.96,484299.20000000007,331361.4799999997,451454.08000000013
21,488827.0,359576.0,375311.00000000006,600069.7999999999,358124.0,432397.60000000003,366152.00000000006,562865.0,360102.99999999994,593941.2000000002
22,600257.7000000001,394766.2,433113.24,601141.36,405293.2800000002,566852.9600000001,453270.27999999997,643803.44,367864.04,598554.16
23,602778.2,469721.3999999996,440051.88,604944.88,442542.44,599141.24,532749.2,666020.92,364825.88,602181.88
24,606159.5,605370.9999999999,442390.32,611198.56,442564.19999999995,602374.36,598218.64,668880.38,439698.92,611019.16
25,614701.4,659658.1999999995,443333.7199999998,629904.32,495045.84000000014,611072.6400000001,602114.72,671293.92,502793.9199999999,627357.9600000001
26,628595.5,682813.0,547396.0,636697.0,566123.0,612246.0,603807.0,678798.0,612234.0,639690.0
27,637466.4,685686.6,639728.84,639250.4400000001,655621.1199999996,634336.4400000001,623665.4000000003,696546.24,703532.6000000001,641264.48
28,642283.3999999999,691620.3999999999,758586.0800000001,637960.16,752488.6799999998,637037.4800000001,673146.28,710130.9600000004,755378.84,676388.96
29,653025.6,709669.4,798440.52,689064.8,762442.24,638455.64,682390.84,776085.4,757065.52,701037.72
30,652083.6,714127.8,826313.76,811427.84,798012.76,638853.28,680698.72,774634.82,760046.92,755608.3999999999
31,719804.0,760555.0,829578.2,838606.2,838349.4,688131.9999999997,684075.0000000001,862023.8,759248.4,834817.0000000002
32,805930.5,843486.6,831225.16,880692.9599999997,847048.12,770742.8800000004,695547.32,861412.6000000001,767814.24,842684.12
33,853433.8,848807.3999999999,837777.84,926218.48,864182.24,847760.44,695446.48,979784.6400000001,836902.44,854713.96
