index,334_1_prezi.com,334_2_prezi.com,334_3_prezi.com,334_4_prezi.com,334_5_prezi.com,334_6_prezi.com,334_7_prezi.com,334_8_prezi.com,334_9_prezi.com,334_10_prezi.com,335_1_prezi.com,335_2_prezi.com,335_3_prezi.com,335_4_prezi.com,335_5_prezi.com,335_6_prezi.com,335_7_prezi.com,335_8_prezi.com,335_9_prezi.com,335_10_prezi.com,336_1_prezi.com,336_2_prezi.com,336_3_prezi.com,336_4_prezi.com,336_5_prezi.com,336_6_prezi.com,336_7_prezi.com,336_8_prezi.com,336_9_prezi.com,336_10_prezi.com,337_1_prezi.com,337_2_prezi.com,337_3_prezi.com,337_4_prezi.com,337_5_prezi.com,337_6_prezi.com,337_7_prezi.com,337_8_prezi.com,337_9_prezi.com,337_10_prezi.com
1,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-2205.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-2205.0,-442.0,29.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,16749.1,18067.04,29682.78,34033.26000000001,27490.30000000001,28395.52,28444.28,28410.52,29587.96,27543.64,8411.08,7586.5,8583.36,7600.62,13547.840000000004,8384.6,8220.9,8392.52,5919.76,5822.599999999999,16421.5,8360.12,16629.8,29027.78,18512.600000000002,28054.299999999985,29318.6,17402.0,17376.4,12091.64,8296.28,8503.0,8487.14,7651.9800000000005,8109.54,8209.760000000002,12813.300000000001,8370.999999999996,8406.0,7767.2
3,36222.6,36692.16,42964.44,45659.32,51292.95999999999,52698.960000000014,52748.12,58716.96000000001,43014.88,36788.560000000005,30379.16,26022.039999999994,32444.92,27116.8,40157.44,28574.600000000002,28649.6,29849.16000000001,27893.52,26120.200000000008,37948.4,30719.92,46641.31999999999,46452.88,51174.84,47418.84,47585.8,46425.0,44141.96,51247.44000000001,26139.559999999994,25845.199999999997,26327.68,26822.64,26917.07999999999,28349.68,32747.4,28649.799999999992,25398.0,34697.799999999996
4,59396.3,65988.44,358189.75999999966,140846.24000000002,180952.92000000004,204616.56,186444.9,243232.52000000002,166134.64,128122.81999999998,44075.08,38145.84,57840.88,52248.22,65033.38,49997.999999999956,53704.500000000044,46220.2,39009.6,44112.10000000004,68511.39999999998,46413.36,85987.28000000001,139773.40000000002,72149.32,126180.63999999993,149912.0,60763.99999999997,89653.91999999998,87373.76,38568.84,39021.96,37347.780000000006,37950.14,42522.62,37444.59999999998,45362.299999999996,46804.4,39280.0,38420.6
5,403828.4,256959.60000000003,714733.32,347626.68,349573.24000000017,434523.0800000001,427390.76,451131.28,428963.76,427551.39999999997,66488.80000000002,96610.84,57165.84,62015.48,119569.84,62191.599999999984,57346.4,60950.48,163846.96,57599.2,143418.32,50614.8,281460.48,325824.68,156222.40000000002,297967.48,308695.0,271386.5999999998,270677.52,177349.88,74565.32,95219.60000000002,68573.75999999997,69261.8,77085.19999999998,80633.5199999999,80292.4,83140.79999999996,79275.0,49838.799999999996
6,498322.5,445798.3,730086.2,408226.1000000001,442692.1,450475.0,456307.1,475612.2,537852.0,598886.3,83862.40000000001,101758.9,66333.2,62994.9,149204.00000000003,65937.0,75916.5,75091.4,207294.59999999998,63947.0,305007.5,143209.60000000003,351316.2,546002.7,321207.4000000001,387898.0,387027.0,370842.0,362335.2,379699.00000000006,148478.99999999997,241652.4,144782.49999999997,236331.60000000003,313160.6,187985.4,210271.0,291512.0,301377.0,91889.5
7,796546.04,718033.7200000001,1007376.3599999999,520159.64,506302.16000000015,595173.36,445731.32,469075.52,679384.56,738396.88,111884.40000000001,117170.64,106329.24,113488.68000000002,173533.07999999996,101216.99999999996,116437.00000000003,89197.48,216096.92,116221.80000000006,378899.76,241710.2,668646.4,779394.64,369918.2,442351.87999999966,409012.8,594581.7999999998,654479.8799999999,389932.04,291115.51999999996,421678.44,374345.72000000003,377414.27999999997,407647.56,446714.9199999997,411251.1999999998,388951.19999999995,476852.0,334366.2000000003
8,896343.2999999999,913464.9200000007,1172248.5199999998,571042.7000000001,615107.78,956565.6400000001,467079.10000000003,712220.04,901024.5599999999,968421.7199999994,189047.64,153989.96,166941.40000000005,197473.40000000026,363842.62,138989.6,283384.60000000003,222001.84000000014,224625.80000000002,179811.6,375918.7,361062.24,867968.22,812585.04,426999.64,568126.42,462612.6,832279.0,758824.9,427311.08,386401.0,620555.4,551960.08,512706.16,547183.82,579242.12,573903.4,519953.2,660045.0,472914.1
9,1375355.2,1143249.9600000004,1245400.3199999998,679414.64,845059.8400000002,1228740.1600000001,533953.32,830168.92,1179897.2,1328078.4,351508.7600000001,197149.6,284198.04000000004,330461.88000000006,549889.16,210465.4,403385.6,350955.96,435901.2,305539.80000000005,446137.44,488826.80000000005,860953.04,997920.9199999999,444940.2000000001,689104.28,735127.7999999999,1221594.3999999997,858013.4,515415.08,482791.5999999999,730099.72,742365.7999999999,649208.12,633176.96,677122.48,807592.6,615894.7999999999,830164.0,601883.6000000003
10,1806322.4800000002,1416003.3,1366379.2999999998,872074.9199999999,1006192.7000000002,1410501.36,588208.82,916830.74,1454252.6,1687329.4,471349.8,294727.60000000003,388667.92,381209.95999999996,746726.8,408242.2,518766.0,517749.2,660282.6799999999,492285.50000000035,652547.0199999999,728404.96,895348.0399999996,1324201.7200000002,728683.76,926766.5399999998,1059060.0,1475701.0,959160.7200000001,646250.0000000002,615588.0799999995,933394.48,902370.04,711524.38,785289.9999999999,901418.6399999991,907515.3,810607.3999999999,1079996.0,831872.0000000001
