index,5_1_www.facebook.com,5_2_www.facebook.com,5_3_www.facebook.com,5_4_www.facebook.com,5_5_www.facebook.com,5_6_www.facebook.com,5_7_www.facebook.com,5_8_www.facebook.com,5_9_www.facebook.com,5_10_www.facebook.com,6_1_www.facebook.com,6_2_www.facebook.com,6_3_www.facebook.com,6_4_www.facebook.com,6_5_www.facebook.com,6_6_www.facebook.com,6_7_www.facebook.com,6_8_www.facebook.com,6_9_www.facebook.com,6_10_www.facebook.com,7_1_www.facebook.com,7_2_www.facebook.com,7_3_www.facebook.com,7_4_www.facebook.com,7_5_www.facebook.com,7_6_www.facebook.com,7_7_www.facebook.com,7_8_www.facebook.com,7_9_www.facebook.com,7_10_www.facebook.com,8_1_www.facebook.com,8_2_www.facebook.com,8_3_www.facebook.com,8_4_www.facebook.com,8_5_www.facebook.com,8_6_www.facebook.com,8_7_www.facebook.com,8_8_www.facebook.com,8_9_www.facebook.com,8_10_www.facebook.com
1,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-48.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0
2,1481.82,1492.88,-51.39999999999975,1142.86,1590.8400000000001,1480.24,618.6800000000001,1414.1,1254.9599999999998,233.61999999999995,1292.58,1157.78,1212.0799999999997,559.5,990.5199999999998,1231.04,1233.02,1147.8799999999999,982.8799999999999,784.4000000000002,1417.3799999999999,1737.24,1455.6,1156.5800000000002,1458.4199999999998,1587.9,1396.6799999999998,1161.74,1474.26,1343.12,317.63999999999805,982.8799999999999,921.7599999999999,1333.3200000000002,515.94,777.5399999999997,619.7600000000001,1552.5000000000002,1231.04,1082.1999999999998
3,2877.7599999999998,3605.0400000000027,916.2000000000005,2255.84,2828.6800000000003,2599.12,1839.7199999999998,770.68,4713.08,1627.68,4656.84,2293.76,4595.12,4540.0,4463.08,4422.720000000004,4513.360000000002,4586.24,4453.5199999999995,4322.599999999999,1224.0399999999988,672.52,403.12000000000006,2249.52,2390.3199999999997,700.24,4723.48,2300.08,2427.88,1495.959999999997,7082.12,4453.5199999999995,4580.56,4681.08,4459.92,4325.76,4398.44,4589.400000000001,4422.720000000004,4544.8
4,4543.46,4578.56,4918.099999999999,5354.600000000002,7081.840000000003,4538.72,4025.0400000000027,2213.46,6682.52,3178.42,7065.819999999997,6742.880000000004,6837.22,7959.5,6524.32,6907.96,6901.48,6554.56,6521.08,5703.600000000003,4372.26,4665.72,4463.360000000001,5698.400000000001,4465.38,4708.64,4514.5199999999995,6865.040000000001,4434.78,4357.36,11678.279999999997,6521.08,6803.820000000001,6920.12,8749.46,7071.0199999999995,8221.16,6172.799999999997,6907.96,8831.2
5,7297.400000000001,7177.960000000002,7555.4,8681.12,9547.800000000007,6656.84,7593.639999999999,4328.92,11938.199999999997,5785.800000000001,10927.24,8285.32,9316.640000000003,11664.0,10568.84,8133.239999999998,9897.400000000003,10369.599999999997,12223.800000000001,10065.2,7013.32,7121.44,7044.56,8659.039999999999,6541.84,5116.319999999999,7082.56,8288.64,6532.96,5344.199999999996,15160.71999999998,12183.16,10710.04,11175.759999999998,12488.800000000003,10403.08,13356.679999999998,6117.5999999999985,10964.76,9484.000000000004
6,9630.999999999996,9563.8,14286.0,10957.600000000002,13521.6,10799.00000000001,11875.6,7080.4,27187.999999999993,6461.300000000001,16106.000000000004,13667.4,13223.500000000002,15327.0,14459.4,13216.6,15602.600000000024,14850.800000000001,13377.1,15342.0,8660.9,8278.000000000004,8396.6,9249.699999999999,8901.00000000001,7465.999999999997,11063.8,10739.3,7659.0000000000055,11589.6,35224.799999999996,14393.1,25464.4,13636.4,37258.4,16699.600000000006,20731.199999999997,13682.0,11232.799999999997,14553.0
7,13508.52,12336.959999999997,29611.399999999936,18647.440000000024,23317.20000000001,13777.64,11606.800000000001,6222.920000000001,46387.68,14031.44,33818.48,13709.400000000007,28876.239999999994,37322.0,36525.16,21915.480000000007,33606.12,37227.28,37268.28,28318.999999999978,12208.4,10956.039999999999,13604.28,21653.800000000003,13639.12,8669.84,11600.08,17870.400000000016,13840.64,11913.960000000001,37582.24,36805.72,33463.2,37983.92,34731.48,28629.239999999998,36014.92,14314.4,34446.32,26263.8
8,25788.280000000006,46866.72,47315.1,45351.02,29467.96,27031.400000000005,45600.64,10223.140000000003,44943.48,14669.280000000006,31285.920000000002,37209.78,35559.58,34867.5,34116.36,37108.04,31383.14,35078.159999999996,34819.34,37613.8,13602.1,12654.8,14420.08,24892.42,14284.94,10357.199999999993,34250.76,33400.18,14482.619999999999,14521.44,45721.12,34776.159999999996,33995.32,35970.76,37271.1,33961.72,35568.15999999998,37811.1,32249.96,27918.4
9,47328.48,44644.32,44721.4,43486.119999999995,45089.32,25306.52,43458.88,10709.36,47215.6,42543.96,37686.76,35631.24,36128.64,40534.0,37236.6,35201.32,32702.4,38121.359999999986,35375.4,35399.8,14564.32,33411.44,26941.6,32853.48,37730.36,15067.96,32637.08,31105.92,35864.64,36906.68,48014.32,37792.4,36999.24,36054.08,43569.48,37270.799999999996,40170.03999999999,35295.200000000004,32941.32,31121.0
10,45594.54,43074.52,46156.799999999996,41615.759999999995,45522.2,37440.2,46341.32,10538.88,51372.759999999966,40784.92,40740.48,33303.64,39331.04,44941.5,41300.44,37339.240000000034,36557.1,42030.32,41114.26,41295.0,37309.86,31794.120000000003,27934.04,31190.280000000002,36010.46,15803.94,33292.84,32966.44000000001,34150.54,35102.48,53195.36,44030.03999999999,42998.02,41696.44000000001,47947.04,41175.42,45409.12,36084.5,36595.64,42187.6
11,43868.4,48919.8,51269.0,45221.200000000004,49171.4,38439.0,47038.200000000004,34792.600000000006,57003.4,46684.0,43794.200000000004,37261.0,40656.4,49375.0,45486.6,41986.0,40772.0,46342.799999999996,45376.4,47736.0,35727.8,31220.400000000012,32739.000000000007,34734.0,34481.4,38627.6,35283.400000000016,38469.6,32609.600000000002,36168.2,54328.6,45361.599999999984,45562.8,46872.6,47576.6,47668.8,47583.2,39603.0,42277.0,46099.0
12,45691.07999999999,50841.68,55427.200000000004,51537.62,55461.56,42456.159999999996,53473.12,45394.96,59493.76,48654.16000000001,47980.12,42068.72,44923.159999999996,55708.5,48036.439999999995,46205.8,45392.62,48151.520000000004,47942.54,49853.799999999996,34394.56,36257.2,33958.88,38418.700000000004,36955.56000000003,37337.240000000005,38858.64,42712.94,35779.7,37353.08,53365.32,48340.66,47105.259999999995,48413.44,59399.24,48157.22,49366.68,43942.299999999996,43834.96000000001,48128.4
13,51057.360000000015,53240.56,59720.6,53480.04,57567.08,45695.72,58198.04,44710.76,58569.280000000006,53925.6,47228.16,45775.56,47065.88,63639.0,52953.759999999995,48574.08,46648.88,56605.16,50454.92,54262.999999999956,35482.64,43217.88,37648.639999999985,44751.4,39244.88,35579.92,43027.52,45136.12,39613.12,41763.759999999966,150347.87999999983,54131.88,49534.84,51016.12,60621.72,49992.80000000003,52735.19999999999,46830.39999999998,44191.719999999994,50538.8
14,54236.640000000014,57363.44,61559.99999999999,58157.38,60051.68,47715.12,57899.63999999999,43689.96000000001,71502.39999999998,57252.28,107456.76000000013,47750.94,52417.92,65556.0,54296.32,54134.72,49205.76,55880.44,49047.82,59266.99999999999,37383.94,42572.48,41620.84,44747.38,43468.62,36716.44,45370.12,46473.94,44137.38,45429.64,258250.0,56344.920000000006,48737.48,50161.36,60001.72,66702.34000000001,55144.52,49920.899999999994,50217.88000000002,49468.6
15,59781.12,57642.28,62092.4,57548.96,65825.8,48401.44,60121.64,45401.24,72716.44,58377.96,231923.2799999999,52717.680000000015,52358.08,64434.0,53716.88,53211.44,52978.399999999994,57677.96,60400.20000000013,64227.2,43859.4,45140.8,48024.52,47191.56,48002.36,40386.28,45025.6,46043.39999999998,46450.159999999996,47440.600000000006,273072.36000000004,55173.72,97946.52000000006,111308.83999999978,64008.84,66195.92,59814.79999999987,50178.4,50681.28,49261.6
