index,270_1_www.transfermarkt.de,270_2_www.transfermarkt.de,270_3_www.transfermarkt.de,270_4_www.transfermarkt.de,270_5_www.transfermarkt.de,270_6_www.transfermarkt.de,270_7_www.transfermarkt.de,270_8_www.transfermarkt.de,270_9_www.transfermarkt.de,270_10_www.transfermarkt.de,271_1_www.transfermarkt.de,271_2_www.transfermarkt.de,271_3_www.transfermarkt.de,271_4_www.transfermarkt.de,271_5_www.transfermarkt.de,271_6_www.transfermarkt.de,271_7_www.transfermarkt.de,271_8_www.transfermarkt.de,271_9_www.transfermarkt.de,271_10_www.transfermarkt.de,272_1_www.transfermarkt.de,272_2_www.transfermarkt.de,272_3_www.transfermarkt.de,272_4_www.transfermarkt.de,272_5_www.transfermarkt.de,272_6_www.transfermarkt.de,272_7_www.transfermarkt.de,272_8_www.transfermarkt.de,272_9_www.transfermarkt.de,272_10_www.transfermarkt.de,273_1_www.transfermarkt.de,273_2_www.transfermarkt.de,273_3_www.transfermarkt.de,273_4_www.transfermarkt.de,273_5_www.transfermarkt.de,273_6_www.transfermarkt.de,273_7_www.transfermarkt.de,273_8_www.transfermarkt.de,273_9_www.transfermarkt.de,273_10_www.transfermarkt.de
11,1510011.6000000003,1185610.8,1098918.3999999992,983495.0,906915.0,1352340.4,1314415.6,946802.4,1353933.2,615863.8,2020625.0000000002,1658567.1999999995,2081498.2,1425947.0,1498246.8,1745701.4,1863812.5999999999,1975668.0,1831947.2,1965149.4,973167.8,1273048.0,1230365.6,982760.0,1220662.2,1248994.8,1171401.6,1293925.8,1802242.2,1183767.5999999999,1427925.4000000001,2016326.0,1480072.4,2021571.0,1178977.4,1300935.6,1091618.6,1532169.0,1130823.8000000012,1094046.0
12,1732284.160000002,1510141.54,1319776.84,1176530.2,1077425.0,1506834.04,1453164.64,1180054.76,1408542.08,857627.5199999993,2143791.96,1813486.02,2263651.96,1574519.600000001,1792838.24,1940300.38,1960394.36,2012110.2,1986263.86,2058890.06,1171222.72,1337781.0000000002,1333867.5,1177328.6,1258784.88,1457797.72,1327532.32,1550723.92,1921235.8800000001,1239206.0,1558063.9600000002,2159486.0,1763999.4,2131470.28,1331212.2,1542598.4,1444051.0,1804683.72,1439374.4400000004,1429352.0
13,2145131.48,1610451.56,1513872.84,1379121.4000000015,1317461.4,1646789.36,1659900.360000002,1396405.7600000002,1626524.44,930768.7599999999,2226510.56,1971839.56,2289223.28,1951303.4,1944544.24,1973933.68,2053625.64,2129428.1999999997,2073532.88,2143461.92,1322100.92,1664123.6,1561592.4,1308212.2,1492209.32,1810652.96,1570120.7600000007,1732963.92,2209893.16,1463582.9600000007,1818578.24,2272109.0,2165021.64,2336939.8,1665792.9200000002,1814191.8800000001,1650614.44,2072474.84,1745698.8800000004,1798221.0
14,2220920.52,1962114.48,1650384.06,1504313.9,1412993.5999999994,2127667.04,1863243.08,1531850.36,2024175.76,1043084.72,2301332.7600000002,2022695.9,2332242.82,1984904.8,2005049.64,2061490.54,2095067.88,2554400.0999999996,2271341.2800000003,2639455.52,1395179.2,1850038.0,1807729.86,1554452.2,1698750.84,1912758.06,1679197.7999999998,1830620.28,2363260.04,1641837.32,2046360.08,2360810.5,2338547.28,2365508.84,1818157.84,2073434.74,1882631.0400000003,2238155.7600000007,1856912.0799999998,1927838.0
15,2228392.48,2156192.12,1798632.4,1688868.6,1626258.4,2192169.9599999995,1874817.04,1741370.36,2165560.76,1152665.32,2351794.16,2072247.88,2371057.76,2080827.8,2086874.24,2150783.8,2161980.2,2663546.4,2642969.84,2675200.28,1737030.8399999999,2139225.4,2019027.6799999995,1770027.799999999,1851338.56,2156935.56,1887670.76,2152561.9600000004,2402299.68,1806240.04,2197551.2,2484503.0,2402356.6,2512823.92,2133673.96,2156300.3600000003,2078214.2,2342175.16,2088761.9600000004,1998686.0
16,2295410.2,2233425.2,2177148.1,2101005.5,1703702.0,2253059.2,1956078.4,1752591.6,2188297.6,1346966.5999999994,2371556.2,2080521.0,2409581.0,2179207.0,2360596.0000000005,2618498.3,2310982.2,2678078.0,2783991.0,2808012.3,1825211.8,2223319.0,2180886.4,1961284.0,2085938.8,2236123.9,1952386.0,2209296.8,2435919.6,1907683.5000000002,2339549.4,2613656.5,2532359.2,2536196.9,2181913.0,2337148.7,2182507.4,2434203.4,2204760.4,2027168.0
17,2363980.12,2242516.28,2229625.12,2167624.2,2079177.9999999998,2299956.64,1959404.32,1812726.56,2633230.6,1571571.5199999998,2428158.16,2242527.12,2426686.36,2233643.6,2640537.96,2753116.08,2773134.880000001,2720234.0,2806367.64,2928922.24,2137509.640000001,2379956.4,2234329.68,2176167.2,2191453.76,2396518.04,2182448.0,2300030.2,2462310.88,2030256.640000001,2448975.28,2655205.0,2558556.56,2571621.08,2342470.32,2432887.4,2322238.44,2486189.24,2346025.24,2067164.0
18,2730406.72,2294877.8000000003,2259759.8,2227884.2,2219295.6,2362994.9199999995,2022625.92,2037167.7199999997,2678959.96,1861094.4,2440654.8000000003,2278266.26,2469179.1599999997,2260311.0000000014,2659282.52,2780311.64,2809554.08,2892091.399999999,2858667.16,2965778.8800000004,2205155.48,2429906.4,2373223.12,2224178.6,2339805.64,2408655.78,2255773.239999999,2430291.64,2484796.76,2217899.7600000002,2493650.52,2675170.0,2589656.96,2595335.9000000004,2365526.42,2490293.3,2421972.96,2528547.36,2380417.72,2097573.0
19,2757864.44,2342276.48,2287785.04,2261281.4,2241565.8,2391093.64,2095566.6,2141311.32,2737492.28,1938639.04,2484572.24,2308235.04,2503811.36,2296687.0,2797664.32,2838213.32,2822935.84,2991932.2,2984926.72,2977030.28,2300545.24,2514738.2,2411598.72,2380368.8,2378498.28,2450002.6,2380360.04,2447731.16,2527032.04,2356367.8400000003,2519519.92,2713227.0,2633855.52,2634588.32,2478163.32,2516455.48,2448657.28,2577377.96,2513623.6,2142792.0
20,2793712.32,2385642.84,2361522.44,2308533.8,2259806.6,2415660.84,2718238.56,2157048.84,2764651.96,2006976.32,2557521.84,2324388.98,2530605.86,2318393.2,2901131.8800000004,2945256.5199999996,2864051.68,3015308.5,3014979.94,3013793.2000000007,2404860.16,2533737.4,2512301.58,2405873.6,2424360.6,2480005.86,2423204.8,2472918.8,2555387.0,2389593.18,2521073.6799999997,2732769.5,2665329.28,2649856.96,2503299.34,2523185.2,2457845.639999999,2599146.36,2533591.24,2171434.0
