,94_1_edition.cnn.com,94_2_edition.cnn.com,94_3_edition.cnn.com,94_4_edition.cnn.com,94_5_edition.cnn.com,94_6_edition.cnn.com,94_7_edition.cnn.com,94_8_edition.cnn.com,94_9_edition.cnn.com,94_10_edition.cnn.com,95_1_edition.cnn.com,95_2_edition.cnn.com,95_3_edition.cnn.com,95_4_edition.cnn.com,95_6_edition.cnn.com,95_7_edition.cnn.com,95_8_edition.cnn.com,95_9_edition.cnn.com,95_10_edition.cnn.com,96_1_edition.cnn.com,96_2_edition.cnn.com,96_3_edition.cnn.com,96_4_edition.cnn.com,96_5_edition.cnn.com,96_6_edition.cnn.com,96_7_edition.cnn.com,96_8_edition.cnn.com,96_9_edition.cnn.com,96_10_edition.cnn.com,97_1_edition.cnn.com,97_2_edition.cnn.com,97_3_edition.cnn.com,97_4_edition.cnn.com,97_5_edition.cnn.com,97_6_edition.cnn.com,97_7_edition.cnn.com,97_8_edition.cnn.com,97_10_edition.cnn.com
0,67.0,67.0,-48.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0
1,4663.28,4809.36,4606.0,2636.16,3025.519999999997,4389.799999999998,2808.4,4721.0,5058.5999999999985,4063.660000000001,-457.52000000000015,233.64,1350.4,1502.3,1607.44,1521.9,10.480000000000103,1472.9,1399.4,1465.4,1360.2,-113.0,1700.24,-193.76000000000076,1519.74,1340.6,1029.8799999999994,1671.2,1732.8,1586.1,525.84,1575.04,878.82,913.12,1190.88,1265.9599999999996,1316.34,844.5200000000003
2,17362.880000000005,10139.52,10902.0,8721.64,8574.159999999996,14250.6,9981.8,8690.0,16282.0,32285.4,1571.88,70.43999999999997,592.32,1036.36,1177.16,1097.4800000000002,1727.4,944.68,729.5200000000003,433.68000000000006,619.7600000000001,1551.0,803.3599999999999,1497.9600000000007,4865.12,564.8800000000001,1286.64,632.92,1120.8000000000004,4265.800000000001,4478.12,2336.08,4611.32,4593.12,3878.8799999999987,4758.76,4670.28,4629.52
3,71284.38,95098.44,123090.0,32250.2,82640.39999999997,109283.2,61190.8,81747.0,97984.4,50940.78,1939.2800000000045,1675.48,2548.56,2435.28,2807.68,2453.04,1457.08,2385.54,2644.16,4492.04,2221.08,1083.0,2391.38,563.5600000000007,4557.980000000001,2701.04,2605.04,4649.480000000001,2318.9000000000005,8164.200000000006,5920.160000000003,6412.800000000001,9248.600000000002,8563.68,6728.080000000003,8363.74,8811.3,10169.719999999994
4,118731.88,161332.92,185086.0,36744.48,117294.16,116984.8,59380.2,162575.0,160266.6,49299.83999999999,2790.76,1518.88,4411.08,4520.440000000001,2701.04,4550.72,1725.9599999999969,4405.72,4347.88,7014.72,4398.44,2649.0,4651.36,2558.1600000000008,7180.72,4423.72,4665.72,4659.76,4500.8,9473.000000000002,18459.36,11946.64,14299.44,18453.4,13449.6,22551.440000000024,28410.96,20196.6
5,116876.3,184280.8,197561.0,60870.9,184988.9,180389.0,81664.0,181235.0,191121.5,62431.79999999996,4429.7,1025.1999999999982,6959.8,4028.3,4306.8,4054.900000000001,3021.199999999999,5863.999999999997,3967.400000000001,9262.599999999997,6981.4,4760.0,6739.000000000006,4540.3,12576.400000000005,3320.5999999999995,4691.999999999998,10156.80000000001,4623.0,22596.0,40244.6,31217.0,26769.4,40188.4,35622.4,40349.5,34986.1,30009.4
6,221283.08,245957.56,285275.0,69490.88,233911.9199999999,246077.60000000012,155747.4,246212.0,212802.4,73689.36,5600.56,2622.96,6993.079999999999,5761.079999999997,5325.800000000001,6480.880000000001,4666.36,6692.760000000001,10326.12,12775.92,6686.88,4231.0,14384.56,9723.4,18637.8,5649.92,6751.559999999998,17119.4,8487.399999999998,36180.0,43627.24,33685.92,26972.24,43723.28,34373.6,44104.28,38193.24,42897.2
7,233930.46,325147.35999999987,398932.0,126758.86,322816.66,389324.2,248453.0,269374.0,227034.2,181762.87999999992,7188.2199999999975,4658.12,10647.32,6360.8,6569.68,8007.540000000001,4154.280000000002,8363.06,12435.679999999995,29453.84,13598.8,6804.0,26742.26,9102.079999999998,25376.1,10388.16,8252.36,17769.16,8250.099999999999,39719.7,123624.4,35741.11999999999,33680.020000000004,87747.36000000007,38175.52,47800.58000000001,44696.98,69900.35999999999
8,268251.24,388345.08,430875.0,151796.76000000013,393856.04,397418.2,303549.19999999995,278662.0,236450.2,234754.68,9062.240000000003,4375.12,10711.6,12697.52,7153.3200000000015,8806.880000000001,9175.159999999996,11007.72,12224.88,38585.28,14413.399999999998,6866.0,27378.400000000005,21759.08,27856.68000000001,16094.839999999998,16711.959999999992,22181.4,9837.999999999996,111034.8,215699.68,73080.68,39941.88,197299.6,125285.03999999998,66211.92,108928.92,136521.68
9,374523.1600000001,413900.72000000015,434434.0,340223.8000000001,406916.02,503855.4000000001,325154.8,354043.0,341689.0,334333.8,9147.580000000002,4195.199999999999,19420.08,14443.02,7373.520000000001,12335.18,10209.24,13580.4,19757.48,40069.68,31726.040000000008,9707.0,29778.560000000016,20708.82,30488.04,34326.52,18692.52,24688.52,18718.799999999985,181409.20000000007,295165.44,146200.2,44049.28,285646.32,204028.72000000003,105631.6,237421.8,173178.48
10,536686.0,593253.7999999999,576321.0,508201.0,697912.6,805958.0,462940.0,457822.0,511824.0,464848.0,11312.000000000002,6215.6,20877.8,25489.99999999999,12959.8,16083.6,10616.999999999998,14510.0,20576.2,44183.0,39531.2,14802.0,30063.6,22134.6,42081.6,33471.000000000015,32465.0,26241.6,34734.0,253205.0,303725.8,211356.2,110051.2,298985.6,261608.0,134695.0,296783.6,202032.8
11,710020.4400000002,791833.7199999997,795263.0,688341.9200000004,969925.5199999998,974758.6,639733.2,659518.0,725289.0,620881.2399999998,13374.54,6525.32,23551.599999999984,39829.48,13776.68,20153.12,16344.76,20791.92,22069.48,69858.63999999996,38728.68,20677.0,42438.06,21824.72,47573.54000000002,36798.48,31607.36,27916.92,41190.7,334944.60000000003,405834.55999999976,267440.52,141246.19999999998,384511.8,298370.24,181250.4,358478.61999999994,239526.28
12,984113.64,982483.88,985575.0,887773.8,987926.24,981874.8,822778.7999999992,815894.0,840197.8000000005,699199.08,15002.959999999995,11794.72,47911.92,43097.95999999998,17411.840000000007,21888.64,18191.68,22498.68,31950.879999999986,105226.48,40136.32,40300.0,42285.52,25929.72,54874.84,38990.16,33103.64,30530.76000000001,41465.599999999984,400328.80000000016,426056.08,274675.64,193114.4,450833.88000000024,366959.4,242631.8,419484.4,299757.75999999995
13,988821.98,990719.72,989933.0,987540.66,990964.48,984244.4,987066.2,980200.0,933002.1,731256.56,16321.08,12824.04,49457.76,66463.03999999995,20617.68,39868.60000000003,19989.39999999999,38991.919999999984,43466.44000000002,172858.91999999998,44337.48,39975.0,53460.12,25848.78,91645.52000000002,40634.96,35276.36,40862.6,44408.4,449291.0,440207.44000000006,287924.08,272130.6,525432.16,401308.68,340242.1600000001,430697.86,382793.88
14,993219.68,996972.04,994610.0,989920.24,997474.32,989097.8,991578.6,984481.0,1003588.6,763101.48,26190.80000000001,14476.76,58827.39999999999,89461.04,22507.48,46173.31999999999,22134.840000000004,49725.11999999999,47853.83999999999,178036.12,47011.76,38821.0,82335.92,52905.07999999999,107673.96000000002,51062.879999999954,36969.52,58704.28000000003,44155.2,479097.0,506316.1600000001,297270.8,403671.2799999999,538473.64,462488.7199999999,414173.92,471842.24,397188.8
