,382_1_www.imdb.com,382_2_www.imdb.com,382_3_www.imdb.com,382_4_www.imdb.com,382_5_www.imdb.com,382_6_www.imdb.com,382_7_www.imdb.com,382_8_www.imdb.com,382_9_www.imdb.com,382_10_www.imdb.com,383_1_www.imdb.com,383_2_www.imdb.com,383_3_www.imdb.com,383_4_www.imdb.com,383_5_www.imdb.com,383_6_www.imdb.com,383_7_www.imdb.com,383_8_www.imdb.com,383_9_www.imdb.com,383_10_www.imdb.com,384_1_www.imdb.com,384_2_www.imdb.com,384_3_www.imdb.com,384_4_www.imdb.com,384_5_www.imdb.com,384_6_www.imdb.com,384_7_www.imdb.com,384_8_www.imdb.com,384_9_www.imdb.com,384_10_www.imdb.com,385_2_www.imdb.com,385_3_www.imdb.com,385_5_www.imdb.com,385_6_www.imdb.com,385_7_www.imdb.com,385_8_www.imdb.com,385_9_www.imdb.com,385_10_www.imdb.com
12,619105.9199999997,320135.72,321743.6,362182.12,238556.11999999997,511361.68,352685.03999999986,174769.60000000006,371629.5999999997,686347.8,270599.64,419916.72,149131.15999999995,449909.28,140555.4400000001,445522.88,214132.0,519822.68,277133.59999999986,253278.4,107607.88,98857.67999999998,99155.4,105403.2,98314.16,103849.56,97467.80000000003,104003.8,109279.4,93951.32,425463.4000000001,326827.0000000001,451280.88000000006,445867.0000000002,567782.92,288132.7999999999,459548.80000000034,298036.04
13,717524.44,371749.6,434590.7200000001,496752.44,334494.18000000005,556928.7200000001,521102.68,217040.2,504163.56000000006,756094.4,294259.2,570571.8600000001,212455.96,582489.4,206779.96,577297.12,324942.8,619372.4,297910.1999999998,288142.26,114731.18,99350.36,102576.90000000002,113144.8,103046.68,103512.26,127252.76000000005,110616.56,114620.64,113477.41999999993,570178.2,460434.3000000001,604853.6799999999,575785.0000000001,613628.76,361472.5600000004,582503.36,366589.52
14,781994.16,484080.1999999999,595804.2,597934.36,407463.84,558678.24,578166.3599999999,307442.4,606507.04,773138.6,387306.0400000002,678434.84,281430.92,717038.2000000002,276211.2800000004,691622.7200000001,394783.0,706746.28,450250.20000000007,398781.4,122047.27999999998,102964.24,104257.2,129682.2,107157.28,101535.2,136775.56,114573.76,172797.08,155626.84,678101.3999999999,578620.6,623201.4400000001,690363.8,736066.72,493100.84,710543.08,505149.36
15,786621.9,601251.2,733159.1,707423.2000000002,515858.3000000002,599561.1,641975.4,397219.00000000006,798152.2999999998,840647.0,493839.4000000001,710716.7,317342.7999999999,735885.8,317428.2000000001,727996.2,580661.0,752431.7999999996,511145.0,403526.6,127722.5,101443.6,106860.5,146620.0,110283.2,115481.30000000006,143673.00000000006,119777.7,183234.0,160999.1,726499.0,703244.0,701229.0,718328.0,796869.0000000005,603004.0000000002,767017.6,613214.1999999997
16,804283.0,682676.2,735220.24,777424.84,642714.9600000001,683273.8,650241.96,560480.72,802184.44,920906.2,574587.24,772815.52,395080.36,833962.5599999998,416589.56000000006,795016.6,662113.1999999997,835923.2,608256.8,506694.6,131991.6,100647.24,124163.80000000006,149644.6,112110.39999999998,189676.72,146261.32,125621.39999999998,184525.28,167775.4,832332.4000000001,738244.8,867040.32,839580.8,946352.48,732300.64,884084.4000000003,693166.32
17,939761.64,754527.4400000002,748245.84,782027.12,729976.7,867592.1599999998,693053.76,671166.64,816342.36,1030150.6000000004,651708.24,855856.72,483203.7200000001,852605.28,532196.6000000003,901708.16,739533.1,959305.12,620624.9999999997,603826.4400000001,131916.56,118606.63999999994,191054.1,155543.5,139008.6,190223.46,146161.48,174853.94,205088.12000000008,177163.56,892885.0,858411.2000000004,987271.5199999996,1036587.4,1172319.5200000005,794937.8,907382.92,691340.34
18,967828.6,788680.72,821195.2399999999,797550.48,797704.12,1121821.12,763651.7599999997,675867.72,912117.44,1242698.0,691972.48,967408.4,586564.04,1040384.0,580494.8800000001,1035546.6,789408.5999999995,1192131.24,788194.8,639443.4,190422.6,124223.28,191426.4,154931.6,180139.72,240454.08,147746.6,186419.32,261202.44,183164.88,958237.2000000004,949209.6,1155857.16,1169311.0000000005,1294932.8,861204.12,1085688.2400000002,745391.0399999998
19,1158389.9,804340.64,865782.08,881788.6,800770.26,1136073.02,848712.5999999999,694469.64,971671.56,1321018.6,760183.1600000001,1168828.64,663830.1599999999,1212117.5200000005,673256.5200000001,1224379.12,798830.0,1313830.2,829929.4,680000.96,192174.82,141697.52,192225.7,173722.0,182818.58,269412.98,148164.2,192360.72,270222.46,187862.24000000005,1154586.1999999995,1162426.5,1370082.7,1323047.2,1402031.12,929987.64,1263962.5200000005,884353.12
20,1258940.0,809755.0,1043777.3999999992,976849.2,797339.8,1233266.6,862288.0,700540.0000000001,1106025.6,1368254.0,895837.0000000001,1289657.0,693704.8,1357005.8,732130.2,1358801.4,950644.0,1357360.4,926466.0,749669.0,274034.1999999996,142426.8,198406.0,211099.0,196362.8,279300.0,170198.6,191147.0,330496.1999999998,205794.4,1369825.0,1323257.0,1403521.6,1409447.0,1423174.2,1135278.200000001,1382267.4,1108312.8
21,1338069.48,931246.76,1186469.92,1120469.08,871130.4000000001,1240853.24,1067703.76,809332.64,1260684.42,1380261.2,913683.96,1363126.5,691669.5,1364986.68,738460.4000000001,1367073.2,1199515.4,1366618.66,1107480.2,865619.52,298869.8000000002,141878.16,253450.8000000002,247923.00000000012,230298.16,291773.14,240199.32000000004,221289.8,415162.8000000001,257042.83999999976,1417802.8,1419677.6,1411713.18,1416328.7,1429931.06,1319437.4400000002,1388472.16,1322134.4799999995
22,1361479.0,973270.8,1246984.4,1261337.08,1052891.96,1249177.28,1133432.52,850805.6,1355313.84,1389437.6,1092523.2400000007,1371105.36,736519.2799999993,1368494.5600000005,771750.0800000002,1379483.2,1374794.6,1379074.32,1228799.3999999994,942726.6,400917.96000000014,160316.28,291256.0,334249.0,280660.12,356232.08000000025,296848.04,278215.24,450509.72,292432.3600000002,1421465.6,1431793.8,1424159.92,1427187.4,1441253.28,1423155.92,1398490.4,1409955.12
23,1368581.84,1043027.9199999992,1332089.48,1323382.8,1239733.3,1255852.8,1187319.08,959546.16,1364392.28,1401688.0,1234966.3200000005,1377186.46,959186.5199999996,1391598.2,882977.1600000003,1386984.64,1382834.5,1387503.58,1265594.2,1100247.96,443880.4000000001,169328.08,331383.6000000001,393683.20000000007,292851.34,457215.28,326307.4,308512.3999999999,534338.3999999999,386234.4,1431633.1,1438060.3,1428840.2000000004,1434878.1,1446553.42,1431099.82,1407824.56,1412973.66
24,1375484.56,1259258.12,1344285.4,1364213.48,1273094.64,1360251.9599999995,1232599.04,1136395.0000000007,1371675.16,1534145.6,1356277.6,1387492.6,1140941.7599999998,1398834.04,1066744.4000000006,1393830.96,1391685.0,1431310.32,1272120.2,1200239.9599999995,526707.8400000001,213972.7199999998,417834.20000000077,450949.20000000024,297105.8,498619.72,388666.44000000006,408668.2,601814.52,444397.95999999956,1440245.0,1444317.4,1474052.64,1443345.6,1493321.96,1440053.6,1414525.76,1423325.76
