,302_1_www.history.de,302_2_www.history.de,302_3_www.history.de,302_4_www.history.de,302_5_www.history.de,302_6_www.history.de,302_7_www.history.de,302_8_www.history.de,302_9_www.history.de,302_10_www.history.de,303_1_www.history.de,303_3_www.history.de,303_4_www.history.de,303_5_www.history.de,303_6_www.history.de,303_7_www.history.de,303_8_www.history.de,303_9_www.history.de,304_1_www.history.de,304_2_www.history.de,304_3_www.history.de,304_4_www.history.de,304_5_www.history.de,304_6_www.history.de,304_7_www.history.de,304_8_www.history.de,304_9_www.history.de,304_10_www.history.de,305_1_www.history.de,305_2_www.history.de,305_3_www.history.de,305_4_www.history.de,305_5_www.history.de,305_6_www.history.de,305_7_www.history.de,305_8_www.history.de,305_9_www.history.de,305_10_www.history.de
19,4861922.879999998,5315519.0,5385354.08,5420707.28,4791576.42,5199598.92,4723902.5,5213710.5,5227890.1000000015,5214168.96,1220804.44,1210063.7600000014,1077017.04,1261915.4,1243018.5,1213711.64,1537398.1200000003,1196352.9199999995,3918779.4,4254860.6,3859285.2000000007,3798743.4,2853491.76,3307737.6400000006,2075572.4,2466823.14,3821358.6,3827332.2800000007,1652812.600000001,1623298.6,1670152.2000000004,1558350.4,1271477.4,1621591.9999999998,1164039.32,1318484.0,1411166.64,1239113.36
20,5060910.6,5400108.0,5439486.8,5456069.6,4903804.2,5439121.199999998,4993956.0,5451690.0,5356680.2,5556047.6,1330085.2,1292675.0000000002,1157673.0,1339663.9999999998,1305981.0,1296731.4,1599981.0000000002,1253117.9999999998,4129638.8,4548972.0,4254765.0,4169705.8000000007,2980829.2,3704960.0000000005,2433777.0,2861065.0000000005,4080896.2,4124121.0,1834926.2,1777186.6,1709951.8,1743451.0,1315411.0,1791323.0,1227488.2000000002,1362310.6,1551292.0,1298543.2
21,5450541.16,5423286.0,5654918.96,5520108.3,5065740.08,5646185.56,5310687.0,5617517.0,5455841.84,5713592.48,1406708.6,1360389.7000000002,1230511.04,1391684.46,1423386.5,1413279.3199999996,1634952.88,1359518.78,4515692.88,4881774.919999999,4588362.0,4499434.92,3178984.2800000007,4002890.96,2905706.8000000007,3299268.04,4265698.72,4453742.2,2056957.48,1937543.7599999988,1812459.9600000004,1899449.28,1386152.0,1945570.3199999996,1296013.7599999998,1453046.4,1756787.24,1374312.24
22,5452299.84,5663784.0,5842041.32,5661205.44,5200656.48,5832420.04,5588943.800000002,5936595.0,5474286.8,6031958.76,1469990.4,1411587.4,1316343.4,1428206.72,1511596.600000001,1531257.6,1681727.7200000002,1452146.88,4838448.0,5266692.4,4946308.999999999,4807227.2,3451799.0000000014,4295814.12,3201563.8000000007,3623731.160000002,4440808.4,4861361.48,2261279.3600000003,2125306.0,1910580.8000000003,2013030.28,1460935.000000001,2093418.68,1366687.2,1551220.8,1970873.68,1463308.24
23,5478966.32,5968038.0,6109292.6,5829558.8999999985,5381549.119999999,6031581.36,5834240.8,6312969.5,5868592.920000001,6408569.72,1533239.9999999998,1502342.08,1403178.64,1518938.8399999992,1625139.4,1643635.64,1720889.56,1534798.9999999998,5149456.44,5598933.2,5306431.599999998,5218280.76,3738865.4,4512422.5200000005,3569725.6000000024,3964172.38,4571456.6000000015,5156955.340000002,2416562.3000000003,2325038.6,1966974.96,2162354.4,1548935.6,2251625.84,1496306.6,1677216.16,2128953.2,1538070.2
24,5561903.6,6067022.0,6208527.919999999,5972421.84,5535749.92,6336599.6,6113640.4,6492340.0,6232839.92,6867545.520000001,1626586.7199999997,1601361.04,1495214.2799999998,1588450.44,1740316.2000000004,1726084.64,1795843.8,1594388.36,5473078.720000002,5940143.48,5554533.0,5587233.4,3829887.12,4804738.4,3922645.200000002,4246058.360000002,4738625.199999998,5522269.8,2562873.5600000005,2537219.6,2065532.36,2271118.120000001,1642649.4,2484605.839999999,1612907.96,1860849.16,2326799.6,1613679.56
25,5585568.0,6114513.0,6400660.0,6084718.5,5759899.0,6537545.0,6331040.5,6872053.0,6563793.5,7376598.0,1740305.9999999998,1631937.5000000002,1582459.0,1676013.0,1877673.5,1754960.0,1860353.5,1702456.4999999998,5879760.0,6245787.0,5882157.0,5990104.0,3912111.0,5153207.0,4270975.0,4547985.0,4927002.0,5874433.0,2732009.5,2715536.0,2114903.0,2466915.0000000005,1751827.0,2668446.9999999995,1750994.5,2112067.0,2543143.0,1697955.0
26,5654332.96,6146107.0,6607815.3999999985,6209144.24,6069204.92,6923412.999999997,6724050.0,7292149.0,7142083.6,7414260.32,1818159.24,1750713.9600000004,1673685.84,1722342.92,1921341.2,1791193.7999999996,1912225.3200000003,1807685.04,6013739.68,6479248.4,6266507.8,6380434.3999999985,4054515.6800000006,5469335.12,4638023.6000000015,4818289.6000000015,5207425.880000001,6136477.3599999985,2883176.0000000005,2900463.6,2174133.92,2619346.0400000005,1836825.8,2796443.56,1919382.0,2272747.72,2803763.0,1836958.4
27,5657122.88,6478264.0,6672390.52,6317788.24,6386397.48,7319114.24,7196013.8,7361079.5,7342833.92,7472574.24,1912895.28,1859988.480000001,1752753.86,1783576.1,1931257.4,1834085.6,1974910.04,1902862.1,6173550.08,6676151.84,6651768.699999998,6790513.12,4314595.48,5835993.280000001,4941569.0,5140240.92,5575631.4,6384859.4,2917934.98,2925456.22,2266183.8,2785974.240000001,1934651.8,2914336.52,2097878.8600000003,2451529.92,2911129.96,2023121.8
28,5689517.12,6730428.0,6808107.56,6337259.04,6660908.119999999,7365023.96,7337957.6,7424518.0,7377389.04,7485735.76,1971897.64,1973024.84,1805872.3599999987,1856397.4,1965100.600000001,1889671.24,1993116.08,1991890.8,6383863.4,6901148.12,6942483.799999999,7155252.16,4633770.0,6289157.360000002,5290909.0,5486097.4,5888947.2,6652907.24,2968168.3200000008,2963602.68,2343121.52,2916773.4,2115010.8000000003,2976011.5999999987,2312532.9999999995,2641163.4000000004,2939103.0799999987,2185535.76
