index,173_1_us.norton.com,173_2_us.norton.com,173_3_us.norton.com,173_4_us.norton.com,173_5_us.norton.com,173_6_us.norton.com,173_7_us.norton.com,173_8_us.norton.com,173_9_us.norton.com,173_10_us.norton.com,174_1_us.norton.com,174_2_us.norton.com,174_3_us.norton.com,174_4_us.norton.com,174_5_us.norton.com,174_6_us.norton.com,174_7_us.norton.com,174_8_us.norton.com,174_9_us.norton.com,174_10_us.norton.com,175_1_us.norton.com,175_2_us.norton.com,175_3_us.norton.com,175_4_us.norton.com,175_5_us.norton.com,175_6_us.norton.com,175_7_us.norton.com,175_8_us.norton.com,175_9_us.norton.com,175_10_us.norton.com,176_1_us.norton.com,176_2_us.norton.com,176_3_us.norton.com,176_4_us.norton.com,176_5_us.norton.com,176_6_us.norton.com,176_7_us.norton.com,176_8_us.norton.com,176_9_us.norton.com,176_10_us.norton.com
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,-442.0,0.0,67.0,67.0,67.0,-442.0,-442.0,67.0,67.0,-442.0,67.0
2,8140.06,7755.240000000002,8443.96,19584.8,8346.12,8497.1,8121.660000000001,-876.08,10098.32,8490.039999999999,17615.55999999999,17331.48,8764.400000000001,8742.06,8354.099999999999,8059.800000000001,8367.400000000001,8476.14,9114.12,13197.46,8007.599999999997,8532.48,7898.239999999998,8513.199999999999,5981.88,8464.719999999998,8442.32,8306.539999999999,4714.6399999999985,9034.200000000003,-273.59999999999997,6621.0,6809.519999999998,6352.600000000003,8510.64,4620.12,4782.8,4769.18,9911.36,6953.32
3,31754.96,32628.16,32240.44,39236.6,19621.84,31014.399999999998,31487.72,1021.5599999999997,24694.679999999997,19268.76,48865.32,42923.48,42373.4,34704.04,41727.8,29371.199999999924,41910.4,19932.76,43340.52,27102.72,36061.2,36117.76,34319.759999999995,35947.8,19219.76,33586.96,34296.96,23532.88,19843.32,34595.08,7510.4,29893.0,28706.199999999968,19071.600000000002,37736.76,15220.72,16737.999999999996,19948.48,26611.08,15848.760000000002
4,38104.72,37087.72,37327.88,65627.8,34567.360000000015,39901.800000000025,39236.44,10477.79999999999,37128.36,30944.48,76116.45999999999,67278.84000000001,53759.200000000004,53162.22,53001.3,52887.6,52519.2,51168.98,68453.20000000001,54273.78,42865.0,42214.19999999997,44925.08,40808.6,34241.28,44181.96,45090.24,44867.32,37254.08,45271.58,32549.2,62692.0,44264.14,58007.700000000004,57978.92,27277.52,32057.399999999998,45266.96,52436.64000000001,27800.52
5,56981.880000000005,48235.200000000004,49739.00000000001,378240.80000000016,45433.08,61239.6,55144.64,30761.68,48584.08,40990.28,147618.4,136553.88,79796.8,86644.84,78369.6,76689.2,77578.0,74007.99999999999,101324.6,70098.56,62729.99999999996,100960.56,66575.64,66935.6,45868.96,68360.44,64705.60000000003,64198.19999999998,43275.19999999999,66610.31999999999,70076.4,77339.0,72108.08,68968.4,88631.27999999998,41612.48,50770.8,66633.96,76188.56,45012.76
6,140842.5999999999,78622.4,137122.8000000002,523508.0,85909.19999999997,162182.5,180651.3,39445.1,70164.2,63098.6,354063.39999999997,309677.5999999999,275592.0,214415.1,179054.5,237277.0,264357.0,155841.19999999998,273729.39999999997,174287.59999999992,111207.0,273526.99999999994,174382.60000000003,91313.0,52547.0,192576.2,236384.80000000008,118258.49999999999,70464.40000000001,193875.30000000005,137678.0,137838.0,103462.4,92508.0,139087.99999999997,49446.199999999975,67068.0,86411.9,98561.40000000001,76799.59999999999
7,365141.60000000003,262442.32,355464.6399999999,723503.8,357984.36000000004,376924.6000000001,333334.24,63352.48,185747.04,98309.56,432247.55999999994,404592.36,425361.39999999997,367997.4,376982.0,417610.8,382988.6,335167.80000000005,418871.72000000003,378896.04,340000.39999999997,380532.55999999994,361134.52000000014,172406.39999999997,159474.84000000003,376372.0,418640.48,282563.72,123175.88000000002,341204.76,343993.0000000002,265373.0,154528.87999999998,171292.00000000003,325316.55999999994,73708.44,89544.2,121483.19999999997,125923.07999999994,96422.92
8,466637.68000000005,399956.5200000001,593778.08,737950.6000000001,457899.24,439128.7,438665.75999999995,153334.12000000002,413095.9600000004,228078.6,503265.24,498954.64,483717.6,462468.7200000001,463149.5,482237.0,473549.0,382857.62,508557.6,459666.89999999997,378446.5999999999,447861.16000000003,412318.0,417254.79999999993,346161.80000000005,474392.8000000001,473940.72000000015,368839.3,225732.28,406259.42,429180.0,390858.0,254459.4,298871.5,445713.48,100216.88,138574.40000000002,276885.3,265866.3199999999,163371.2
9,567496.24,438515.52,645825.36,900357.6000000001,644296.2,525758.6000000001,524543.7999999999,387702.3599999999,457179.80000000005,383285.56000000006,543671.92,542978.68,517970.3999999999,508009.4,498889.0,507691.4,507325.0,477787.39999999997,555765.6,504251.56,467425.19999999984,482023.3599999999,489713.95999999996,465674.4,367115.2,505168.36000000004,530599.76,446089.19999999995,362973.1599999999,488336.36,507615.0,466870.0,356964.6,397006.4,495605.84,141377.56,249808.0,458538.5199999998,404422.5999999999,267295.39999999997
10,673801.16,571237.3199999998,668774.36,973523.0,705176.96,670296.2,672372.78,446016.78,678407.4,437366.27999999997,600402.7,588665.52,530544.8,531224.1,549944.8,567721.0,601521.4,498654.62,739927.8,529116.2,502926.2,487183.3599999999,519710.04,493922.8,468684.0,548489.12,599880.52,497255.32,393928.28,502860.94,607325.4,509992.0,446453.4800000002,473804.3000000002,516135.9199999999,263622.6,395185.0,483743.1,489391.84,404635.88
11,729447.4,672073.0,725006.0,994669.0,723052.2,725852.0,713507.1999999995,653019.0,704038.4,465103.6,705945.7999999999,784601.5999999999,680440.0,607881.9999999998,646700.0,677767.0,653405.0,558290.0,1019293.6,603655.6,551385.0,543559.0,580985.4,489200.0,479039.19999999995,621968.2000000002,705898.2000000002,502650.2,476686.99999999994,547416.0000000003,659621.0,550178.0,503026.0,514089.0,629149.8,367669.1999999997,453996.0,510743.6,520965.8,477776.80000000005
12,736068.66,726070.44,731820.96,1000220.2,730857.2799999999,731901.0,739758.62,727516.24,769702.16,566976.4,743652.54,970520.4400000001,776606.2,708234.74,788800.8,928266.9999999993,766133.6,692421.5599999999,1134543.52,649317.9,671512.5999999997,675681.28,753557.96,650375.7999999999,532391.4,696388.1200000001,741183.6799999999,555788.9599999998,500368.04,669099.74,679982.8,704086.0,525242.24,544644.5,785180.48,406138.32,510650.0,530349.3,562086.52,519168.52
13,766747.2000000001,732624.92,808151.96,1057652.0000000002,939413.0400000005,793548.0000000001,820964.48,735324.28,858091.4400000008,663085.8,770006.48,1088904.080000001,881362.6,794202.72,958867.0000000001,1048014.5999999996,894337.3999999999,883613.32,1399264.32,711935.28,750076.2,739703.1199999999,898486.44,766375.4,595360.8,814680.96,792734.8,748324.6799999996,520347.32,751199.88,706576.2,795424.0,686100.4,658205.0000000001,833806.24,461771.83999999997,519452.99999999994,678568.88,757688.5199999993,554694.64
14,940624.9199999999,794060.1599999999,854058.68,1124647.0,957577.14,911796.7,933209.4399999992,741897.7199999999,973929.76,703187.88,827727.6599999999,1223177.5200000003,970912.8,874219.58,1217813.4000000001,1158662.7999999998,1062977.5999999999,1120629.92,1688690.12,727005.58,853331.2,867069.9599999998,988929.72,791867.0,687793.9199999999,924367.16,884312.32,904848.4199999999,532205.32,830510.9,746235.0000000001,831132.0,834437.2000000001,716062.8,845236.1599999999,494260.56,540959.6,817954.88,837280.08,684972.5599999996
15,966346.2000000001,908049.24,969612.72,1275469.4,968755.12,974571.8,975388.0,928852.7200000001,987177.32,730761.72,841942.24,1377494.6,1029232.4,932847.72,1383961.8,1224453.8,1202049.0,1253848.5999999999,1925571.4800000002,763901.28,1003276.2,1002452.48,1022324.76,890680.5999999999,808960.6000000001,1024367.6000000002,946878.6000000001,975167.04,534235.24,877911.76,835127.2,839618.0,845308.24,764694.7999999999,879117.28,519563.12,593670.2,833705.6,846014.48,824305.2
16,978254.9,974408.6000000001,980763.7999999999,1291733.0,987267.8,986276.5,994172.2,970989.7,993689.8,733971.8,881039.1,1532688.2,1062759.0,967894.0,1491000.5,1348814.0,1329032.0,1427403.8000000003,2185837.2,780245.5,1159144.0,1070653.5999999999,1117737.0,925937.0,914874.4000000001,1169155.8,1028741.2,1054556.3999999997,553398.8,892337.1,878714.0,893959.0,862962.7,767718.0,936426.2,558082.8,703621.0,834603.0,871698.3999999999,837554.8
17,991243.76,985439.08,989668.0800000001,1446167.2,990303.92,991117.2,999569.72,985220.64,1000671.32,855322.68,939471.8799999999,1592979.32,1073381.4,996656.36,1609900.8,1441256.2,1422494.3999999997,1610156.72,2618561.0,806297.64,1228635.2,1206290.44,1165781.8400000003,939928.8,1075526.96,1221663.24,1090280.32,1279156.92,579320.44,917338.48,952246.0,925787.0,917367.52,805837.8,994654.6799999999,703277.12,812627.5999999999,839557.84,911533.1999999998,847218.04
