index,386_1_www.netzkino.de,386_2_www.netzkino.de,386_3_www.netzkino.de,386_4_www.netzkino.de,386_5_www.netzkino.de,386_6_www.netzkino.de,386_7_www.netzkino.de,386_8_www.netzkino.de,386_9_www.netzkino.de,386_10_www.netzkino.de,387_1_www.netzkino.de,387_2_www.netzkino.de,387_3_www.netzkino.de,387_4_www.netzkino.de,387_5_www.netzkino.de,387_6_www.netzkino.de,387_7_www.netzkino.de,387_8_www.netzkino.de,387_9_www.netzkino.de,387_10_www.netzkino.de,388_1_www.netzkino.de,388_2_www.netzkino.de,388_3_www.netzkino.de,388_4_www.netzkino.de,388_5_www.netzkino.de,388_6_www.netzkino.de,388_7_www.netzkino.de,388_8_www.netzkino.de,388_9_www.netzkino.de,388_10_www.netzkino.de,389_1_www.netzkino.de,389_2_www.netzkino.de,389_3_www.netzkino.de,389_4_www.netzkino.de,389_5_www.netzkino.de,389_6_www.netzkino.de,389_7_www.netzkino.de,389_8_www.netzkino.de,389_9_www.netzkino.de,389_10_www.netzkino.de
11,940451.0,875787.0,771783.0,1435934.5999999999,830907.8,754645.0,700208.8,803930.7999999999,762294.9999999999,938274.3999999999,1170003.0,1080590.8,1623176.4,1351057.6,1490047.8,1184134.8,1313011.2,1034477.0,1113506.6,1100354.2,1347481.4,743800.8,1033787.8,1399352.2,1367303.4,1069072.0,1351487.4,1051498.0,1230406.2,1025327.2,316688.8,719422.0,761661.0,645714.0,683473.0000000001,655028.6,725078.2000000001,678506.4,708336.6,648873.2
12,1064481.7,955111.52,848490.64,1505866.26,870747.02,811214.1,774699.82,817140.12,801197.16,1040846.38,1339880.0,1285019.76,1816852.44,1503367.56,1921661.12,1261516.2,1692679.04,1040912.7,1232716.08,1200841.56,1450737.6,867335.44,1042455.92,1652727.12,1485773.8399999994,1202735.8,1408709.5,1247734.0199999998,1411853.4,1053457.2,404787.4599999996,791131.9,784761.6,681702.8,725459.38,693939.96,770764.32,690914.04,736153.64,679506.28
13,1096002.2,995590.44,870119.6,1572622.48,937867.1200000001,836976.2,789973.48,942902.76,831743.5599999999,1105867.24,1373075.3999999992,1535460.4800000002,1968588.44,1952089.7999999998,1959082.44,1346579.96,1826387.8,1067309.2,1334818.84,1335842.44,1549756.36,1014150.4400000001,1125068.4,1897178.64,1696620.48,1364025.4,1626887.1600000001,1363594.1600000001,1535467.76,1266102.56,429972.24,802253.6,806774.6,748340.6,792723.32,752649.48,786523.64,783801.16,780554.4,729062.6
14,1172123.4,1089085.36,992221.36,1633703.82,1000762.14,945870.1999999998,875514.72,1040218.72,938380.2799999998,1173609.8,1501548.0,1815277.52,2191663.4800000004,2154599.12,2023969.7599999998,1393089.3800000001,1935813.2000000004,1221422.7999999998,1462256.26,1369452.5999999999,2002706.44,1092121.5599999998,1314957.6,1932218.2000000002,1933458.24,1539635.0,1791944.940000001,1489268.7,1667088.0999999999,1347674.6,449677.02,830281.2,832901.6,809946.4,805226.26,805202.68,812339.1999999998,794009.2000000001,794039.6,738012.26
15,1191953.6,1149512.0,1018993.72,1778070.1600000001,1104975.48,1040932.0,1002639.92,1088220.5199999998,1005184.64,1348721.28,1764644.5999999999,1829869.72,2412564.0399999996,2317884.76,2220873.64,1522055.68,2158808.96,1356070.7999999998,1765370.44,1531830.1999999995,2437540.44,1237883.52,1354971.56,2170391.76,2095490.3199999998,1642239.4000000008,1983388.04,1639655.68,1978614.28,1449340.96,472161.12,910955.5999999999,953338.8,871895.0000000002,832773.4800000002,818347.0,825662.08,805844.36,819846.76,782593.48
16,1218806.0,1189172.6,1098088.2,2031108.0000000002,1133527.7999999998,1077312.5,1028473.2,1114790.8,1102609.3,1385399.0,2008396.0,1878040.8,2705728.5999999996,2545633.199999999,2467333.7999999993,1968840.3,2285330.0,1494317.0,2031734.4000000001,1880168.1,2628664.2,1247153.0,1487183.0,2284101.4,2235459.4,1773667.0,2153650.7,1943613.599999999,2305605.7999999993,1533478.5999999999,518361.9999999999,1028934.5,1030199.0,931734.0,900989.1000000007,844324.3,862327.2000000008,836281.6,826077.2,845600.8
17,1367279.4,1205534.72,1175143.12,2504216.52,1157785.16,1113902.4,1107106.04,1179877.9599999997,1168090.44,1501156.68,2205807.3999999994,1955075.7200000002,2959638.72,2749685.6,2754532.7199999983,2101385.7199999993,2581185.6,1718337.9999999993,2208938.6,2046797.76,2886951.64,1301793.12,1552079.88,2536037.56,2463430.92,1889750.0000000002,2453641.68,2295936.6,2484179.12,1665812.56,574698.4799999999,1030363.4,1054292.6,945160.8,1031771.68,965293.04,1028328.4400000001,955465.84,843021.52,943759.4
18,1460717.8,1247275.24,1205681.24,2690498.64,1241307.06,1151071.1,1151198.8,1329023.12,1195248.78,1517874.88,2464700.8,2022716.4,3070757.68,2873130.32,3306660.959999998,2382634.04,2869574.64,1986902.7,2424363.48,2242293.6999999997,3005088.5599999996,1343732.58,1698294.04,2855279.72,2638180.8399999994,2113034.4000000004,2745865.920000001,2434310.22,2770456.1199999996,1927151.04,604713.04,1051420.9,1061134.8,1013597.4000000015,1096344.84,1043090.26,1033954.68,1032512.28,956590.64,1011885.1999999998
19,1492994.4,1365925.24,1332598.36,2787297.12,1324523.3599999999,1202970.8,1188433.6799999997,1364169.8,1243373.32,1611794.5199999998,2699802.0,2135986.64,3337332.2,3099438.7199999997,3928952.239999999,2665443.4,3102766.9600000004,2080000.4,2663721.5600000005,2527118.6,3317944.8,1367261.24,1810325.48,3409153.88,2851082.72,2264462.0,3214528.64,2729532.28,3054774.4799999995,2130964.92,633918.44,1065242.8,1097961.4,1076227.6,1104846.52,1083453.92,1035313.2799999999,1129404.8800000001,1034489.8799999999,1085363.72
20,1531443.2,1403100.6,1345494.72,3015360.6799999997,1392740.08,1317291.9,1332478.7400000002,1445668.3199999994,1352675.46,1669664.9600000014,2899713.8000000003,2353847.4400000004,3717569.6,3455504.88,4529297.38,2865137.6999999997,3307436.039999999,2407964.3000000003,3070081.48,2829335.5199999996,3632137.6800000006,1400411.3600000003,2111134.36,3901665.3,3198157.639999999,2467263.0,3669668.0000000005,3080231.359999999,3401724.4599999995,2277010.52,675466.98,1157512.4,1224525.2,1100003.6,1123343.6000000003,1109940.86,1086430.28,1153460.08,1142725.88,1165470.76
21,1547219.0,1437049.6,1366105.4,3107426.4,1505620.6,1419108.0,1366020.8,1509523.6,1404753.0,1785827.8,3150536.0,2628936.0,4165016.0,3788762.4,5136682.799999998,3214087.0,3532008.6,2621444.0,3465968.5999999996,3109769.4,3941972.2,1515912.2,2193675.2,4602465.600000001,3608936.5999999996,2823475.0,4220621.2,3508300.7999999993,3700983.9999999986,2655674.0,707322.7999999997,1272008.0,1343547.0,1176433.0,1275279.6,1133755.4,1133918.6000000003,1211766.8,1184040.6,1193778.4
22,1588132.6,1439212.16,1375249.72,3124648.38,1516110.52,1493594.3999999997,1375406.62,1514716.32,1496578.48,2019237.9800000007,3449741.2,2935318.44,4642025.76,4221523.96,5935506.419999999,3554775.3,3740246.44,2994499.9999999995,3889959.64,3370976.1999999997,4212532.6,1602547.28,2299119.2400000007,5307550.9799999995,4098974.7599999993,3272263.8000000007,4690954.96,3596529.04,4136891.4799999977,3034501.159999999,734085.34,1338840.2999999998,1350633.2,1176962.4,1314650.48,1171073.42,1283581.76,1261855.9200000002,1192828.04,1239421.6400000001
23,1616669.6,1474142.56,1388020.96,3205377.52,1546633.7999999998,1509187.2,1379533.16,1561436.72,1503818.08,2360398.44,3872531.799999999,3183486.6000000015,5114954.279999999,4525503.08,6630939.079999999,3848136.1599999983,4128509.5200000014,3382419.8,4284109.2,3759024.1999999997,4696479.840000001,1673354.72,2521698.3200000003,5962663.5200000005,4609213.76,3650007.0000000005,5148131.32,3766824.9599999995,4467198.28,3440402.7600000002,753501.6,1377370.3999999985,1395856.2,1199494.4,1350347.68,1225132.24,1345508.84,1271128.84,1203177.72,1344661.12
24,1673321.4,1527031.04,1425488.04,3270876.92,1640011.02,1555059.7,1384237.34,1587388.96,1540950.4599999997,2436465.02,4354357.8,3416484.240000001,5481129.879999999,4895050.96,7268533.679999997,4212616.18,4567568.08,3714554.6999999997,4426276.12,4164473.9999999995,5312311.880000001,1864568.76,2765401.56,6477192.079999999,4931356.6,3993955.2000000007,5755546.5200000005,4152015.26,4512384.26,3577639.3200000003,797150.94,1473713.5,1467476.4000000001,1296925.8,1360982.22,1350834.28,1392276.44,1347342.2,1228378.52,1353237.08
25,1747375.2000000002,1589379.4,1490880.6,3309355.28,1740865.6,1608635.1999999995,1402194.28,1667348.48,1590169.44,2500595.04,4461360.6,3687673.24,5919432.6,5240034.999999998,7834382.559999999,4460046.2,4855258.72,4181698.4,4481242.76,4451832.4,5946441.12,2090290.32,2914281.56,6999236.88,5357402.8,4479768.0,6370038.640000002,4523506.4799999995,4793266.6,3621159.08,814485.4400000001,1509361.6,1550643.6,1345076.8,1416827.96,1434919.44,1407886.44,1393775.84,1333453.16,1359590.72
26,1964963.0,1635620.0,1519317.0,3329429.5,1845007.0,1730416.0,1463427.0,1672310.0,1654438.0,2575609.5,4505331.0,3916713.0,6375563.0,5440875.0,9805847.0,4487727.5,5209789.0,4437231.0,4854411.0,4486964.0,6599192.0,2289227.5,3176763.0,7637579.0,5779201.0,4950910.000000004,7016365.5,4903333.999999998,5344648.999999998,3732544.0,839461.0,1582173.0,1590822.0,1365603.0000000002,1513369.5,1514721.0,1487050.0,1406931.0,1357554.0,1389878.0
27,2271049.1999999997,1714078.7200000002,1571268.84,3552135.4,2124394.36,1770770.3999999997,1533666.8,1711482.6,1729889.4399999997,2754441.72,4828566.0,4220016.32,6900683.5600000005,5879045.439999997,10960628.799999995,4834768.56,5645821.000000001,4460368.2,5273008.96,4806418.199999999,7184197.88,2422882.1199999996,3522106.04,8290325.04,6215903.68,5356995.8,7781010.2,5358126.52,5824050.919999995,4104885.0400000005,870626.04,1651888.3999999994,1663275.3999999994,1379818.0000000007,1550846.4,1588912.1600000001,1566340.8800000001,1480684.8400000003,1364151.72,1455904.2799999996
28,2427634.5,1841376.48,1574005.52,3884231.9999999995,2379982.58,1781858.8,1572168.78,1764670.0399999989,1852719.3599999999,2910824.22,5272070.599999999,4568544.160000003,7456967.5600000005,6330395.0,11497933.54,5224368.279999997,6074583.2,4632976.2,5694786.1,5249549.7,7784813.879999999,2632711.2400000007,3620968.24,8930322.52,6562782.5600000005,5587722.800000002,8496242.48,5606115.52,6366102.819999999,4504440.32,921169.92,1739495.9,1758028.2,1451184.2,1602969.9200000006,1708474.3200000005,1630882.2,1574573.24,1386809.72,1553971.5999999999
29,2651865.7999999993,1900661.8,1591981.96,3988833.44,2609464.6,1825957.0,1639415.6800000009,1833984.5999999999,2112608.8800000004,2993859.56,5713987.0,4909406.2,8028867.399999999,6850008.639999999,12128725.76,5564649.399999999,6677813.28,5119644.399999998,6184091.52,5756043.52,8366611.640000001,2848222.08,3657126.44,9492133.0,6855380.12,5912543.6,9139796.08,5861044.56,6923769.760000001,4865504.4799999995,957598.36,1756200.6,1769215.8,1466668.6,1712869.96,1735978.8800000001,1698933.1199999999,1661173.8800000001,1475693.5999999999,1639534.3999999997
30,2963258.1,2027712.96,1603844.52,4015417.360000001,2836046.28,1871565.0,1753850.7600000002,2043123.56,2479038.46,3004229.56,6147586.399999994,5050012.88,8467733.32,7336765.2,12983780.6,5990685.58,7213054.4,5612636.1,6618024.7,6290001.8,8953079.4,3094408.44,3732499.0800000015,10103346.6,7177587.919999997,6188345.800000001,9724746.24,6326122.34,7449087.6,5236676.840000001,978633.02,1767392.2,1847529.4,1468061.5999999999,1762917.26,1743658.26,1699949.88,1735240.28,1546440.7999999998,1733920.68
31,2979826.0,2091478.2,1632263.0,4023516.1999999997,2933563.6,2013938.0,1875961.0,2236589.8,2611801.2,3088748.2,6508608.0,5354515.800000001,8911393.6,7793602.399999999,13833985.599999998,6368480.999999999,7703377.0,6055847.0,7088422.2,6765752.799999995,9687772.4,3383070.0,4078469.6000000006,10778957.0,7479870.399999999,6561970.0,10239922.6,6757231.0,7696199.8,5650330.800000002,1077666.6,1799569.0,1931201.0,1487248.0,1804994.4000000015,1791237.0,1731026.4,1743228.2000000002,1632742.2,1749311.8
32,2987847.6,2222334.12,1794439.2,4066145.64,2944748.92,2126559.5,2021582.760000001,2339176.8,2692711.759999997,3113187.86,6940511.999999999,5813161.080000001,9302826.68,8305758.12,14698859.159999998,6780002.0,8189381.999999999,6597880.199999996,7387780.74,7280306.379999998,10292738.24,3580549.14,4473414.48,11380949.88,7963164.4799999995,7063617.400000001,10735042.1,7161469.24,8049729.519999994,6008712.96,1080010.76,1808098.8,2022233.4000000001,1510951.5999999999,1923730.86,1932609.06,1754272.8800000001,1769108.16,1692341.56,1759471.48
33,3015068.4,2365152.8000000003,2006052.24,4116457.6000000006,2945228.64,2208433.8,2173429.04,2483645.1999999997,2772613.88,3119157.72,7422137.199999997,6231673.800000001,9844605.36,8668310.759999998,15354278.2,7098906.199999999,8750231.48,7109912.799999999,7822766.84,7822464.159999997,10815089.16,3602106.8,4816734.08,11993604.48,8500583.559999999,7586494.0,11331405.000000002,7682145.0,8320956.52,6396949.12,1085372.4,1812246.4,2051915.0,1538641.4,1942881.76,2023894.48,1778687.92,1778920.36,1717940.52,1794791.72
34,3096496.7,2444912.4000000004,2346208.640000001,4203096.44,2963308.04,2278341.5,2247094.6,2627067.6,2832745.6,3169572.54,7893071.599999999,6704006.0,10371255.48,9125458.159999998,16027862.78,7499250.8,9272546.8,7711901.4,8332499.839999998,8292554.6,11356173.52,3606670.56,5276530.4,12552022.260000002,8824663.68,7977427.000000001,11981645.920000004,8120982.399999999,8668197.78,6721921.8,1090536.9,1827847.9,2067159.8,1602633.6,1975474.14,2033603.94,1800315.36,1804099.28,1747977.6799999997,1798394.32
35,3150179.0,2623220.6,2594456.24,4216603.76,2980828.84,2397887.7999999984,2325122.96,2701156.44,2898992.279999998,3209192.1600000006,8385782.999999999,7184939.56,10802339.76,9404770.999999998,16722794.239999998,7827529.68,9733538.0,8318916.199999997,8852631.319999997,8763267.799999999,11702963.16,3612864.52,5682471.4799999995,13157887.8,9160465.0,8512642.600000005,12589956.24,8610560.799999997,9039058.84,7056845.44,1117091.8,1850685.9999999995,2074133.6,1649832.2000000002,1978982.68,2057512.24,1822586.8,1803310.96,1771914.68,1798295.76
36,3183148.5,2841130.8000000007,2880628.5999999996,4259679.4,2994937.3,2536123.5,2397568.7,2802398.2,2929742.6,3221727.8,8890900.0,7720421.600000004,11037202.200000001,9881056.0,17461695.199999996,8219275.999999999,10228825.799999999,8928561.0,9312792.0,9246826.0,12314287.799999999,3641256.9,6039225.000000002,13745896.0,9397043.0,8871090.0,13141955.5,9009785.5,9294499.3,7438241.000000001,1133509.3,1967020.5,2081428.0,1662535.0,1979131.7,2070802.7000000002,1941536.6,1813183.6,1791253.0,1852798.5999999996
37,3193318.4,3013424.4,2965167.24,4301773.08,3009873.32,2776144.3999999976,2536901.7199999993,2941282.6,2986513.16,3243209.0,9392425.599999998,8219494.2,11403234.16,10255480.4,18226046.799999993,8606378.0,10542980.04,9449879.399999999,9738312.440000001,9841124.879999999,12920551.079999998,3724626.96,6407044.6,14365517.52,9752772.879999999,9299001.4,13709688.6,9378198.36,9576921.999999996,7637541.719999998,1172876.24,2011083.7999999998,2092475.6,1706417.0,2004497.92,2075917.04,1977702.32,1840891.0400000005,1821561.96,1884175.4000000001
38,3203357.8,3060857.32,2969660.88,4316690.48,3035691.86,2930828.3,2735414.38,3019850.6,3001611.58,3363932.36,9778754.6,8677262.72,11909569.719999999,10823614.279999994,19011512.8,9054769.68,10818960.76,9940119.599999998,10128143.66,10374128.7,13525969.840000002,3897370.68,6730163.0,15019345.8,10306249.4,9669256.800000003,14285409.760000002,9642479.18,10088336.039999995,7960236.8,1217360.64,2025981.3,2194451.2,1781954.6000000006,2010557.4,2084933.02,1996566.32,1916099.44,1840772.08,1950704.6
39,3224372.0000000005,3068900.88,2981296.24,4379876.48,3057005.6,2996355.2,2896468.3600000003,3035349.6799999997,3012760.92,3370926.32,10068019.4,9003134.360000007,12469484.559999999,11369712.359999998,19796512.84,9536758.36,11192946.88,10524479.600000001,10595198.24,10849429.04,14135007.44,4122442.64,7065812.839999998,15666963.08,10741765.279999997,10081920.800000003,14869881.84,9883501.76,10553646.2,8416689.76,1223748.36,2032120.6,2284385.8,1817699.0,2084455.4399999997,2097848.4000000004,2003405.2400000002,1940445.8,1856413.1199999999,1995572.52
40,3233925.0,3083578.56,2990118.52,4499755.38,3113967.38,3072662.0999999996,2995970.14,3047039.8,3104349.5999999987,3389930.28,10298508.999999996,9456265.8,13080485.2,11961892.2,20554777.02,9957390.399999999,11473965.92,11004933.0,10955289.7,11338613.799999999,14860603.040000003,4351001.04,7402936.72,16318313.820000002,11164938.44,10624961.8,15441011.460000005,10141945.359999996,10967568.299999999,8901206.6,1231312.3,2057373.4000000001,2297434.0,1873781.2000000011,2092429.28,2275832.98,2017888.08,1978668.9200000013,1857447.56,2007014.74
41,3260919.0,3111977.4,2998378.0,4647648.0,3124837.8,3105775.0,2999753.8,3084774.1999999997,3107539.4,3407218.4,10603908.0,9894446.800000003,13718419.0,12538111.4,21231367.0,10312912.6,11765521.4,11355298.0,11270872.6,11790522.2,15630273.0,4447296.8,7711183.0,16968320.2,11599888.0,11143747.0,16084007.8,10468229.6,11366229.0,9121712.4,1237337.2,2064665.0,2307146.0,1948076.0,2106786.4000000004,2285118.2,2014835.4,2028777.0000000002,1940513.9999999998,2035889.8
42,3277926.0,3180024.32,3023398.52,4965263.800000001,3139122.96,3117617.4,3006314.44,3138992.88,3113439.96,3408265.8400000003,10843764.6,10272574.520000001,14274831.8,12946531.159999998,21878101.28,10692251.3,12015797.999999998,11856325.799999995,11688424.44,12213785.46,16340523.440000001,4650329.880000001,8065575.88,17678978.92,12041010.0,11706723.400000002,16665211.680000002,10872646.579999998,11766937.42,9197327.72,1250934.36,2066772.7,2400817.1999999997,2011023.8,2111589.76,2295699.1,2026256.92,2049168.16,2024984.8800000001,2043200.98
43,3378331.2000000007,3195025.44,3107346.16,5244699.76,3152499.8000000003,3134772.2,3017058.32,3149083.7600000002,3130181.6799999997,3428058.16,10973748.6,10728669.44,14855031.36,13177922.479999999,21957261.04,11171347.2,12402267.76,12411448.0,12130084.64,12294654.32,16853267.12,4883163.12,8421398.120000001,18275579.839999996,12591549.839999998,12169701.0,17355424.52,11190911.84,11877264.44,9211627.24,1256823.24,2142135.6,2400393.2,2010927.0,2128011.96,2388575.16,2038188.68,2052552.12,2034024.52,2051139.32
44,3396656.6,3196919.2,3116722.32,5384644.94,3216524.98,3200811.2,3110737.0799999996,3216679.16,3159215.2,3445918.4,11141964.4,11136057.960000005,15342226.520000001,13486796.36,21979206.86,11548513.799999999,12923056.52,12827047.1,12298263.06,12312891.58,17501681.48,5081577.100000001,8757303.0,18888163.340000004,13085823.44,12678652.0,17993009.98,11266626.18,11968268.1,9343690.84,1254283.04,2154963.7,2408252.2,2019565.6,2146615.4600000004,2390951.52,2044248.96,2065273.24,2031221.72,2057820.78
45,3404347.6,3212920.96,3189631.92,5602350.48,3228058.88,3207708.4,3124414.32,3237244.88,3206539.84,3459293.68,11305100.999999998,11635876.6,15679614.76,13769363.52,22005186.24,11929256.44,13434088.0,12897591.2,12321945.48,12328160.76,18156902.000000004,5275459.2,9142265.28,19062349.48,13564723.52,13003008.600000005,18476196.8,11489700.879999999,12129308.8,9520409.08,1259102.72,2160719.4,2406358.6,2075794.800000002,2211400.84,2391853.36,2116674.68,2072277.28,2038854.0399999996,2059980.64
46,3417084.0,3224817.8,3201890.6,6159600.200000001,3247257.3,3216270.5,3188939.5999999996,3245786.8,3228350.9,3491576.0,11553843.0,11891983.0,16029127.0,14174642.999999998,22044549.6,12178780.1,14046241.2,12901842.0,12414593.4,12330561.8,18675243.6,5422784.5,9555982.599999998,19085225.1,14077467.999999998,13395978.000000002,19210103.0,11705557.699999997,12224258.1,9673095.200000001,1270856.9,2228055.5,2428454.0,2100384.0000000005,2217340.4,2397582.7,2142143.6,2137139.400000003,2048828.9999999995,2136012.8
47,3422863.6,3240020.16,3210197.48,6660204.080000001,3282209.36,3225868.6,3208470.2,3258405.32,3232508.7599999993,3504530.92,11744936.0,12362065.4,16491135.639999999,14660993.04,22149208.88,12316281.92,14575458.559999999,12914286.2,12422022.76,12437731.6,19224536.560000002,5598833.439999998,9888973.280000001,19109547.56,14674603.16,13745036.8,19816829.08,11767816.28,12343322.92,9714986.12,1284091.84,2237695.6,2445659.6,2109113.0,2223995.12,2408627.24,2204412.88,2153047.48,2060498.96,2148518.16
48,3433688.2,3262624.56,3225410.96,7199981.24,3351922.58,3239012.2,3209763.5599999996,3296499.96,3284353.5599999996,3513708.38,11975988.2,12832697.840000005,16854393.8,14992920.6,22179741.66,12338185.14,15031204.96,12938469.6,12447375.2,12465895.52,19967124.92,5779780.96,10158004.76,19291019.16,15274857.559999999,14200357.0,19947848.480000004,11893713.6,12448374.4,9788152.959999999,1287069.16,2246120.6,2455354.6,2119426.0,2239189.48,2437929.4000000004,2209737.2,2154219.44,2120622.719999998,2152719.14
49,3435433.2,3290051.4,3267213.319999999,7345738.16,3388065.7600000002,3269699.9999999995,3231723.44,3313132.16,3361556.319999999,3534691.48,12072707.2,13230594.560000004,17301808.759999998,15380168.6,22186263.759999998,12340925.6,15210877.079999998,12954726.2,12476965.44,12483863.92,20712966.560000002,6004767.28,10471442.120000001,19795084.64,15672696.479999999,14628992.600000001,20006601.04,12006319.2,12607991.92,9868655.56,1292110.52,2257527.8000000003,2462146.8,2129992.8,2254980.6,2447819.48,2224644.44,2167270.68,2145623.96,2180161.84
