index,110_1_www.xing.com,110_2_www.xing.com,110_3_www.xing.com,110_4_www.xing.com,110_5_www.xing.com,110_6_www.xing.com,110_7_www.xing.com,110_8_www.xing.com,110_9_www.xing.com,110_10_www.xing.com,111_1_www.xing.com,111_2_www.xing.com,111_3_www.xing.com,111_4_www.xing.com,111_5_www.xing.com,111_6_www.xing.com,111_7_www.xing.com,111_8_www.xing.com,111_9_www.xing.com,111_10_www.xing.com,112_1_www.xing.com,112_2_www.xing.com,112_3_www.xing.com,112_4_www.xing.com,112_5_www.xing.com,112_6_www.xing.com,112_7_www.xing.com,112_8_www.xing.com,112_9_www.xing.com,112_10_www.xing.com,113_1_www.xing.com,113_2_www.xing.com,113_3_www.xing.com,113_4_www.xing.com,113_5_www.xing.com,113_6_www.xing.com,113_7_www.xing.com,113_8_www.xing.com,113_9_www.xing.com,113_10_www.xing.com
1,-48.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,0.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-48.0,0.0,67.0,67.0,0.0,-442.0,0.0,67.0,67.0,67.0,67.0,-48.0
2,268.21999999999997,1393.72,1325.74,1335.6999999999998,1798.96,1354.18,370.48,1667.92,1175.6000000000001,1396.84,461.81999999999994,2273.0000000000005,1203.32,565.4,498.21999999999997,2433.16,1165.7,634.72,904.1200000000007,858.9599999999999,1205.3,180.36000000000007,2091.12,658.72,396.64000000000016,2074.84,651.4399999999999,178.7399999999999,418.84000000000026,1785.74,1475.5,134.81999999999996,220.91999999999825,1225.1000000000001,186.29999999999993,1898.6000000000001,-9.080000000001746,138.78000000000006,331.0,520.0600000000001
3,-104.87999999999994,4581.24,521.8799999999999,555.8399999999997,487.5599999999994,593.16,497.91999999999985,4759.84,2330.2000000000003,257.56,2327.04,5310.8,4545.44,2322.0,631.8800000000001,5105.28,2298.4,2197.4399999999996,5353.64,7198.320000000001,3236.399999999997,1216.9599999999996,2819.7200000000003,1909.16,1414.2800000000002,3067.72,1893.32,1659.3600000000001,1603.3200000000006,5047.12,2608.0,1557.4800000000002,5316.24,4146.800000000001,1175.8000000000004,4984.16,878.7599999999999,1526.9199999999996,802.0,2115.28
4,1621.7399999999998,8659.119999999995,2281.22,2252.78,4606.52,4553.54,2077.36,7280.4800000000005,7087.8,4546.88,1205.9399999999998,12460.2,7160.56,2844.799999999994,2081.74,10158.600000000008,6971.200000000003,1238.6800000000007,9028.56,13026.400000000001,6976.2,4987.92,7502.04,5229.76,4958.68,5460.399999999991,5247.52,4934.34,5029.36,6385.22,4516.5,4017.639999999998,7531.12,6919.4,4961.700000000001,6438.96,4783.52,5033.14,4568.0,5136.86
5,4493.879999999999,9515.399999999994,4486.84,4446.04,6774.639999999999,4189.4800000000005,1253.1599999999996,9898.400000000003,8459.6,6942.12,5280.08,22512.399999999998,8940.96,5274.4,3606.72,23049.48,8426.2,5327.72,14719.12,18574.63999999999,9812.2,5856.159999999999,10122.280000000002,6541.24,6502.28,9962.199999999999,6215.48,4901.480000000002,7184.920000000001,12638.28,6554.0,7479.08,10708.72,7555.599999999999,7090.200000000001,10340.880000000001,6152.92,6694.08,8395.0,7715.96
6,4774.900000000001,25856.8,6814.700000000001,5261.699999999999,9431.00000000001,6200.4,5254.6,34468.99999999999,14289.0,7814.399999999998,7754.400000000001,27086.0,12281.4,6788.0,5112.000000000003,27768.2,11338.5,6946.2,26358.600000000002,34991.799999999996,12042.5,11693.4,12454.800000000003,12044.400000000001,9814.599999999993,13898.200000000006,12998.400000000003,5691.000000000003,8089.600000000003,16824.600000000002,8447.0,8967.9,19235.2,16007.5,11182.0,21005.600000000002,10835.799999999994,10277.7,20529.0,8659.300000000001
7,7520.280000000001,24804.760000000002,5850.96,5659.44,17732.560000000034,9496.719999999998,4879.4800000000005,31157.84,30815.600000000002,10484.039999999999,6372.039999999998,65421.59999999993,22306.56,12678.600000000002,8615.639999999996,60197.320000000036,13697.4,12436.720000000001,31618.68,101523.79999999999,13937.199999999999,13178.480000000001,16110.56,12999.360000000002,12080.400000000001,17731.919999999976,12613.639999999981,10592.32,12932.84,21379.48,12682.0,13055.28,18225.519999999997,20615.399999999998,17836.000000000004,17990.88,9988.24,12502.48,17559.0,13123.08
8,6671.340000000001,33000.84,11542.380000000001,10188.640000000003,33489.64,11063.579999999998,6833.080000000002,31951.28,28631.4,11944.72,13212.060000000001,171153.59999999995,23207.320000000003,18981.800000000014,10537.26,162664.32,24274.9,21878.799999999996,97738.84000000005,161680.76,22786.500000000004,14547.279999999997,21410.120000000003,16871.04,17496.88,21232.66,16341.080000000002,11890.179999999998,14149.240000000005,20904.58,18626.5,19061.739999999998,22111.88,18094.7,15087.300000000003,27905.56,21363.2,18854.719999999998,25712.0,19080.34
9,11330.359999999999,41368.24,12749.960000000001,12391.28,31419.32,18228.999999999996,9434.640000000001,38339.36,29755.8,20466.08,18398.760000000002,265704.0,26587.32,22688.2,12332.76,195301.6,23293.400000000012,23249.48,190036.32,247550.68,23934.399999999998,23512.84,21429.72,22961.76,22537.16,21562.04,21604.04,13414.159999999998,22716.280000000002,35825.68000000001,16959.0,17007.08,28245.96,33693.600000000006,15907.2,42849.64,18910.72,16816.24,25829.0,19798.28
10,12873.72,46694.239999999976,18766.46,20258.72,29671.519999999993,32940.46,11893.479999999998,44832.32,34770.60000000002,27787.36,17477.079999999954,342964.2,29116.40000000001,24268.39999999998,15700.600000000002,324523.04,25802.3,24166.72,257154.08,294380.27999999985,21981.4,21424.679999999997,21371.56,22933.04,24086.64,36323.96000000001,19497.92,19205.32,20452.56,42738.66,20315.5,20418.12,34912.56,40806.6,19550.100000000002,41005.240000000005,16991.56,20081.86,36975.0,22411.58
