index,262_1_www.kicker.de,262_2_www.kicker.de,262_3_www.kicker.de,262_4_www.kicker.de,262_5_www.kicker.de,262_6_www.kicker.de,262_7_www.kicker.de,262_8_www.kicker.de,262_9_www.kicker.de,262_10_www.kicker.de,263_1_www.kicker.de,263_2_www.kicker.de,263_3_www.kicker.de,263_4_www.kicker.de,263_5_www.kicker.de,263_6_www.kicker.de,263_7_www.kicker.de,263_8_www.kicker.de,263_9_www.kicker.de,263_10_www.kicker.de,264_1_www.kicker.de,264_2_www.kicker.de,264_3_www.kicker.de,264_4_www.kicker.de,264_5_www.kicker.de,264_6_www.kicker.de,264_7_www.kicker.de,264_8_www.kicker.de,264_9_www.kicker.de,264_10_www.kicker.de,265_1_www.kicker.de,265_2_www.kicker.de,265_3_www.kicker.de,265_4_www.kicker.de,265_5_www.kicker.de,265_6_www.kicker.de,265_7_www.kicker.de,265_8_www.kicker.de,265_9_www.kicker.de,265_10_www.kicker.de
38,4052090.8400000003,4235457.4,4436587.8,4344833.0,4364798.24,4147523.4,4142032.56,4349572.4799999995,4494502.44,4464026.1,2925167.48,3256139.080000001,2771906.14,2752887.7600000002,3347167.54,2803389.0800000005,2684309.3000000003,3055767.7999999993,2720052.78,2506861.04,2618224.7800000003,2663978.2,2505451.78,2658430.6799999997,2514438.98,2525975.82,2579177.4,2757158.38,2612001.2800000003,2469393.0,3690275.94,3198959.0,3622108.4400000004,3253576.94,3326618.4,3194732.8400000003,3282108.12,3610003.52,3285052.24,2806610.98
39,4116469.6799999997,4330210.48,4514101.4,4366570.0,4374990.76,4207488.4,4155716.28,4378480.56,4498926.5200000005,4479038.4,2986242.32,3309908.16,2787974.7600000002,2776194.64,3352735.92,2845897.3200000003,2691536.1599999997,3077522.64,2841832.88,2522149.4000000004,2636980.6799999997,2682107.4,2513517.56,2677406.96,2561894.16,2553617.44,2647681.96,2785324.12,2668303.64,2478558.0,3747622.56,3244371.1999999983,3708934.36,3264158.52,3343924.8000000003,3203747.24,3359719.76,3635141.2800000003,3302487.56,2850824.44
40,4209931.28,4335794.06,4533135.8,4391123.5,4400384.68,4216534.0,4219318.56,4395694.64,4520106.4,4491976.3,3072921.28,3366609.7600000002,2821962.24,2797949.4000000004,3378489.68,2920374.96,2713096.72,3210111.6799999992,2858559.66,2537580.8,2667519.38,2692270.999999999,2539737.7,2691665.88,2579115.42,2600992.9000000004,2734283.24,2825327.84,2676056.72,2497173.0,3948565.56,3359485.7,3787510.56,3278557.279999999,3412122.799999999,3210708.7,3399972.36,3663765.56,3307934.7600000002,2952871.74
41,4222242.8,4359720.4,4556912.0,4403847.0,4415836.8,4300806.0,4293389.2,4415766.6,4534200.2,4513571.0,3156245.4,3408745.6,2873105.8000000003,2812949.4,3393740.8,2948520.4,2727953.4,3276903.6,2903779.6,2558342.8000000003,2679643.0,2718103.0,2557785.8000000003,2688459.2000000007,2593778.8,2615577.0,2759110.6,2854501.4000000004,2724014.0,2511599.0,3958628.6,3568840.0,3812815.4,3331629.999999999,3434603.0,3242790.4,3414826.8,3694751.2,3333173.2,2964128.2
42,4237674.88,4380745.74,4569955.2,4414663.5,4430173.0200000005,4313814.6,4309631.76,4429166.72,4569793.12,4554908.0,3180426.96,3591964.12,2897633.7,2829171.88,3412150.92,2969913.52,2746311.0799999996,3297314.18,2920003.8200000003,2572047.72,2688958.1600000006,2730926.0,2567588.12,2713407.1599999997,2599024.28,2631369.94,2786523.96,2908077.1,2740234.72,2527668.0,3987598.48,3637301.6,3830000.12,3478307.7599999993,3598364.0,3256925.82,3449721.96,3979666.999999997,3363901.44,2982950.32
43,4263957.24,4392366.6,4591309.0,4440546.0,4454820.24,4343836.4,4335593.24,4454640.04,4601835.32,4561365.6,3201557.16,3814019.7199999997,3036953.9600000004,2847871.36,3435714.16,2999039.7600000002,2748287.88,3441935.5199999996,2940613.4,2790441.88,2701222.6,2748915.2,2589294.919999999,2784106.1999999997,2651197.36,2720363.56,2873026.96,3019691.08,2759652.7600000002,2556130.0,4042993.440000001,3640652.0,3883529.2,3682054.0800000005,3776705.6,3275955.88,3599560.3600000003,4191775.52,3389749.04,3003264.72
44,4272381.44,4411522.86,4603046.0,4456414.0,4480963.759999999,4352876.6,4351510.6,4465582.12,4622725.88,4583746.9,3212230.4,3927432.92,3075438.56,2854273.4,3447527.84,3006263.64,2759020.36,3501767.34,2979168.42,2907107.16,2708744.52,2767294.6,2591718.02,2913721.72,2748032.24,2788071.16,2889627.02,3037834.08,2782620.84,2608369.0,4067000.14,3676965.0,4057284.6000000006,3746813.28,3844427.7999999993,3313325.32,3736144.48,4238810.079999997,3436257.6,3024549.82
45,4302697.6,4426016.44,4623956.6,4476138.0,4511498.84,4386181.4,4373948.0,4482952.76,4638977.68,4605172.6,3257731.1599999997,3952298.56,3152047.0,2864695.52,3469445.72,3032176.76,2880305.599999999,3521803.92,2995519.16,2933498.48,2746152.8000000003,2793464.4,2642680.2,2945723.2,2804449.32,2806048.72,2910537.72,3082485.8800000018,2820400.4,2621488.0,4083966.32,3830816.999999999,4076102.7600000002,3908700.64,3997691.6,3355906.1999999997,3744297.28,4263087.96,3511557.479999999,3029089.56
46,4310046.4,4436560.0,4637124.0,4492152.5,4542080.6,4396462.0,4392655.0,4505765.2,4680876.6,4629646.5,3305323.8000000003,3969959.4,3206136.900000001,2872017.6,3479500.9,3211894.2,2963244.5999999987,3559262.4,3023221.4,2970321.4,2892446.000000001,2815443.999999998,2674994.1999999983,2974831.4,2844355.7,2824478.1,2919970.6,3145492.6,2871721.4,2642658.0,4122540.4,3855369.0,4101717.8,3943930.2,4059619.0,3534265.5999999964,3765173.5999999996,4271801.4,3541958.400000001,3051804.2
47,4333422.56,4452577.92,4654976.0,4508130.0,4574505.4799999995,4411633.8,4397433.48,4531319.72,4710828.12,4687360.8,3497838.76,4038286.1600000006,3378785.84,2896739.12,3488981.52,3409456.64,2988986.92,3593395.4000000004,3045349.88,3070245.400000001,2930305.32,2868650.2,2814837.24,3017734.2800000007,2855254.64,2835233.92,2938731.1999999993,3156258.1600000006,2917808.48,2779198.0,4141183.5199999996,3874256.999999999,4143271.28,3985838.64,4075608.6,3555913.28,3793129.12,4287024.32,3633819.68,3065476.36
48,4355295.92,4473504.18,4681389.0,4554285.0,4592702.44,4423692.600000001,4416906.28,4566964.6,4741279.4,4699331.6,3496480.12,4051705.3999999994,3522255.38,2907477.88,3507651.64,3416873.56,2996990.44,3629469.96,3059574.66,3178844.6,2947513.42,2886960.2,2823210.7800000003,3054310.12,2890620.02,2884404.560000001,2981773.58,3182113.78,2975274.28,2796761.0,4161386.84,3931163.7,4177456.4000000004,4023723.88,4122456.8,3588658.44,3804810.92,4320576.2,3714184.64,3077249.1
49,4366265.64,4486008.12,4715579.0,4600625.0,4618185.2,4446844.6,4425098.96,4594028.88,4758728.680000001,4708136.4,3527117.88,4127814.48,3556789.12,2908405.76,3522687.16,3438997.12,3033364.84,3638872.44,3075102.8,3185573.04,2972148.16,2931678.2,2846282.72,3081037.08,2929801.12,2936091.88,2995465.32,3217598.68,3035752.0800000005,2822288.0,4173746.4,3961708.1999999997,4210691.48,4042262.84,4141762.399999997,3625738.6399999983,3864741.2,4370666.28,3732314.0799999987,3084258.52
