index,70_1_www.jimdo.com,70_2_www.jimdo.com,70_3_www.jimdo.com,70_4_www.jimdo.com,70_5_www.jimdo.com,70_6_www.jimdo.com,70_7_www.jimdo.com,70_8_www.jimdo.com,70_9_www.jimdo.com,70_10_www.jimdo.com,71_1_www.jimdo.com,71_2_www.jimdo.com,71_3_www.jimdo.com,71_4_www.jimdo.com,71_5_www.jimdo.com,71_6_www.jimdo.com,71_7_www.jimdo.com,71_8_www.jimdo.com,71_9_www.jimdo.com,71_10_www.jimdo.com,72_1_www.jimdo.com,72_2_www.jimdo.com,72_3_www.jimdo.com,72_4_www.jimdo.com,72_5_www.jimdo.com,72_6_www.jimdo.com,72_7_www.jimdo.com,72_8_www.jimdo.com,72_9_www.jimdo.com,72_10_www.jimdo.com,73_1_www.jimdo.com,73_2_www.jimdo.com,73_3_www.jimdo.com,73_4_www.jimdo.com,73_5_www.jimdo.com,73_6_www.jimdo.com,73_7_www.jimdo.com,73_8_www.jimdo.com,73_9_www.jimdo.com,73_10_www.jimdo.com
1,-48.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-48.0,-442.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,-442.0,0.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,67.0,67.0,0.0,-442.0,0.0,67.0,67.0,-442.0,-48.0,0.0,0.0
2,229.65999999999997,1337.8000000000002,1325.8999999999999,507.8,503.96,428.72,436.96,1359.84,1592.64,379.23999999999995,1111.44,1964.8199999999995,4587.36,1834.4799999999998,2045.86,2061.66,2410.3999999999996,1930.5200000000002,2155.28,1770.4,2208.76,2123.7000000000003,2033.4200000000005,1112.72,6832.08,1926.02,1657.38,1804.0600000000002,3850.8399999999965,2041.36,462.0800000000005,2052.38,4547.8,2263.720000000004,1618.6000000000004,1230.6800000000005,2944.4399999999996,1488.3200000000006,2060.0,1752.5800000000002
3,281.64000000000016,3265.4,523.7199999999997,841.4000000000001,940.92,801.16,812.28,4069.44,1163.72,672.72,1794.32,7611.28,7609.599999999999,4508.079999999999,4649.72,9873.2,19444.2,4809.920000000001,6771.08,7548.4,5704.5199999999995,5054.32,4722.160000000001,6382.239999999999,10093.6,5081.16,6540.84,6369.44,7711.279999999996,5101.72,5414.6,7708.52,7104.92,5123.199999999999,6507.400000000001,7188.920000000001,7077.04,7380.72,5095.400000000001,7579.759999999999
4,1834.9,8240.6,4316.040000000003,1295.6000000000001,1251.92,1219.1599999999999,1243.88,14469.8,257.5600000000007,1009.0799999999999,6631.52,20006.300000000007,22641.52,14941.8,12885.82,12748.06,20936.600000000002,15588.2,12203.64,16443.0,30850.760000000002,11551.26,10121.38,31028.12,14826.06,13640.400000000001,12908.199999999999,11215.999999999995,13203.02,11175.199999999993,12120.799999999992,13770.46,28163.599999999984,8790.359999999997,10413.6,12963.52,26339.140000000003,14206.44,8994.599999999999,9934.859999999997
5,1299.2800000000002,32671.400000000012,4454.68,1696.2,1680.84,1602.32,1624.56,62058.8,4496.24,1315.9599999999998,13516.599999999997,26466.999999999996,42689.52,18919.16,22576.8,29380.8,43913.4,18206.44,28920.800000000003,18602.00000000001,29333.16000000001,26875.120000000003,32513.320000000003,31444.84,30799.560000000005,30076.36,29793.52,27679.32,27688.04,30911.52,29664.76,29398.36,26207.76,25879.76,30816.4,29433.04,22834.48,27747.04,24546.8,29955.76
6,2809.100000000001,72151.0,6917.8,2070.0,1667.2000000000064,2009.6000000000001,2050.8,114052.0,4397.8,1628.2,24404.8,41865.700000000004,40945.8,35516.8,31229.0,31279.100000000002,42452.0,39107.2,33750.00000000001,42169.0,31974.399999999998,25671.2,28304.100000000002,33760.6,36372.799999999996,28730.9,31091.699999999997,26539.3,27992.199999999975,32712.399999999998,26802.6,30665.3,28330.8,22166.799999999996,29604.0,27893.2,26824.2,28947.4,26298.0,28600.1
7,4865.52,83386.80000000002,5700.6799999999985,3485.8,3463.84,3508.600000000001,3409.96,171794.6400000001,6837.319999999994,1580.1599999999996,45107.280000000006,43413.24,45351.639999999985,37429.16,51347.72,50225.44,44527.399999999994,37525.84,49538.32,42169.799999999996,37451.56,31133.83999999999,33105.32000000001,44028.72,38127.04,33760.12,35308.64,37738.240000000034,33506.44,31806.480000000003,30725.759999999966,38557.48,38682.44,29502.239999999998,31090.200000000004,39875.28,32278.16,31610.76,31452.8,35586.759999999995
8,6170.400000000001,143663.59999999992,11384.539999999999,3203.399999999997,5054.4,2623.56,2572.0399999999995,212363.16,6304.920000000001,3277.9199999999996,46602.12,58897.78,53898.07999999999,43043.680000000044,49771.62,51650.24,52357.6,41566.520000000004,53348.04,46197.2,43953.32,36788.62,43811.18,49964.56,47239.98,42617.42,44241.86,43037.82,39280.22,42236.52,40894.68,42439.18,43513.68,37372.76,40706.6,42536.16,39253.02,39964.68,37745.6,43811.26
9,7038.879999999999,240006.40000000008,20509.84,6466.2,4098.68,5229.759999999998,6656.32,357059.28,8693.36,2403.1600000000008,48167.72,59237.56,63513.8,51071.48,54462.36,56732.24,56443.6,47743.88,60561.11999999999,54177.6,48942.48,41409.11999999999,45681.280000000006,80321.2,50009.48,50112.2,43619.56,49487.32,47258.200000000004,44206.88,44664.76,53291.92,59517.79999999995,39451.479999999996,43355.4,50445.12000000001,41204.399999999994,43892.72,43695.000000000015,44888.95999999999
10,9037.94,317839.8,33498.360000000044,9102.2,8116.44,6486.200000000002,8519.48,380268.76,14419.6,6352.04,55611.96000000001,70691.88000000005,169543.44,56303.96,62777.74,65595.02,69846.0,52095.63999999999,64842.44,62263.00000000003,68552.72,51978.799999999996,57768.9,143652.8,56464.340000000004,147407.5199999998,84741.60000000002,57846.20000000002,93573.88,61202.6,56313.4,83786.46,75507.96,53458.28,56787.799999999996,70489.84,60791.10000000001,65496.16,79123.20000000027,58299.299999999996
