index,38_1_en.wikipedia.org,38_2_en.wikipedia.org,38_3_en.wikipedia.org,38_4_en.wikipedia.org,38_5_en.wikipedia.org,38_6_en.wikipedia.org,38_7_en.wikipedia.org,38_8_en.wikipedia.org,38_9_en.wikipedia.org,38_10_en.wikipedia.org,39_1_en.wikipedia.org,39_2_en.wikipedia.org,39_3_en.wikipedia.org,39_4_en.wikipedia.org,39_5_en.wikipedia.org,39_6_en.wikipedia.org,39_7_en.wikipedia.org,39_8_en.wikipedia.org,39_9_en.wikipedia.org,39_10_en.wikipedia.org,40_1_en.wikipedia.org,40_2_en.wikipedia.org,40_3_en.wikipedia.org,40_4_en.wikipedia.org,40_5_en.wikipedia.org,40_6_en.wikipedia.org,40_7_en.wikipedia.org,40_8_en.wikipedia.org,40_9_en.wikipedia.org,40_10_en.wikipedia.org,41_1_en.wikipedia.org,41_2_en.wikipedia.org,41_3_en.wikipedia.org,41_4_en.wikipedia.org,41_5_en.wikipedia.org,41_6_en.wikipedia.org,41_7_en.wikipedia.org,41_8_en.wikipedia.org,41_9_en.wikipedia.org,41_10_en.wikipedia.org
1,67.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,0.0,-442.0,67.0,67.0,67.0,-115.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-115.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-457.5200000000001,1507.2,1341.54,1576.36,1324.16,1463.1,1603.92,1576.36,1404.74,1336.8,-366.23999999999995,-173.11999999999995,25.82000000000008,-228.0,-46.56,-335.68000000000006,66.97999999999996,-77.08000000000001,-35.91999999999999,70.36,-130.98000000000002,-15.339999999999975,107.32,-97.66000000000003,-271.72,-56.5,228.07999999999998,-271.72,87.55999999999997,-166.25999999999993,-564.8799999999999,-266.92,1186.7999999999995,-473.20000000000005,74.67999999999999,-283.6,-389.15999999999997,-457.92,597.6400000000001,-626.0
3,1571.88,1051.6399999999999,561.48,606.0399999999997,517.92,914.1200000000001,868.2799999999997,1207.28,498.91999999999825,549.6,1592.64,1029.8799999999994,-327.6399999999999,1755.0,-50.88,1604.48,-235.9600000000001,-239.07999999999976,-465.15999999999997,188.72,1445.8,-419.31999999999994,214.64,32.84000000000049,371.03999999999985,-511.0,1507.4399999999996,371.03999999999985,-190.12000000000006,939.2399999999993,1399.4,1631.12,1447.3999999999999,1517.0,-188.64000000000004,-172.7999999999996,1583.76,1536.6,1406.32,1321.0
4,682.4200000000002,2439.72,4388.28,2304.82,2268.48,2356.8600000000006,2313.8399999999997,1541.2800000000043,4544.22,4493.400000000001,1396.84,1477.08,1697.28,1515.0,-190.2600000000001,1377.88,1723.92,1514.4,1602.6,-95.42000000000002,1344.06,1646.7,-109.03999999999999,1470.3,1526.8,1558.5,1690.04,1526.8,1737.24,1472.34,1300.64,1335.22,715.8000000000005,1463.2,1640.3599999999979,1580.8,1411.06,1453.72,998.1599999999996,1136.0
5,4694.84,4532.96,4109.96,4302.839999999999,4463.56,4367.4800000000005,4310.12,3335.0400000000027,4049.7999999999965,4521.8,1163.72,1286.6399999999999,1518.1599999999999,1350.0,1674.76,1149.7199999999998,1480.24,1511.6799999999998,1575.04,848.9600000000012,372.56,1556.08,-289.0399999999999,1429.36,1390.52,1594.0,849.7600000000001,1390.52,1461.28,1278.72,729.5200000000002,1396.6799999999998,2478.2000000000003,1082.1999999999998,1434.12,1352.6000000000001,1187.48,1143.32,589.5600000000004,510.0
6,4429.7,4415.0000000000055,5880.7,6705.100000000002,3518.9999999999986,6172.800000000001,6478.200000000003,4476.3,9049.8,5175.0,647.2000000000002,644.8,1280.6999999999998,724.0,1329.9000000000003,784.3999999999996,1353.8999999999996,1044.3999999999996,1273.6000000000004,1600.4999999999998,4334.399999999997,1340.1,1840.3999999999999,933.6999999999995,1273.2,1159.0,2887.5999999999995,1273.2,1456.8,634.9,2860.2000000000003,1120.3999999999996,2322.0,609.0,1364.2,1479.0,544.3000000000004,589.2,2219.2999999999997,2493.0
7,6348.880000000004,6507.48,8429.52,9174.56,14452.36,6840.839999999997,7062.960000000002,6985.719999999999,11464.439999999999,15985.4,257.5600000000007,2698.639999999998,775.9200000000004,2534.0,664.36,440.9199999999995,1029.1200000000001,586.4800000000002,688.36,1672.36,4434.68,652.7199999999999,1557.32,448.95999999999975,1112.76,724.0,3746.319999999999,1112.76,1166.6399999999999,2426.7199999999957,2628.16,1325.7599999999989,4322.2,2448.6,974.5600000000006,1195.4,861.4799999999985,2466.36,4452.799999999999,4430.0
8,6636.820000000001,7031.599999999999,9987.98,13742.560000000009,15731.08,7993.340000000001,8499.76,6084.340000000002,28247.39999999999,15243.2,2361.6400000000003,4589.68,410.76000000000056,2453.0,2371.3800000000006,2442.68,2845.6800000000007,4692.720000000004,2602.08,1439.02,4191.46,1837.5600000000004,1690.04,4848.84,513.9599999999999,2571.0,4634.76,600.639999999998,680.44,4623.14,4316.079999999998,2843.92,5210.999999999995,2258.7999999999997,608.3200000000006,784.3999999999996,2250.7,2236.6800000000003,4149.459999999999,4514.0
9,6281.960000000002,13910.760000000006,13386.599999999997,29282.600000000006,15880.76,12316.48,12350.800000000003,9482.600000000006,31357.52,16276.2,2303.24,4665.72,2514.8800000000006,4406.0,4656.52,2252.6800000000003,2887.3199999999997,4598.92,3473.319999999999,727.8800000000001,7027.28,2385.639999999998,1409.56,4636.84,318.68000000000006,2374.0,6667.48,2851.24,1792.2400000000014,4677.56,4315.88,2583.92,6734.6,4528.8,2542.56,589.2,2412.639999999998,4552.48,6033.32,4417.0
10,11328.800000000005,16788.88,18799.84,35463.98,16867.28,16814.54,17201.32,11976.82,32944.78,33941.60000000003,4538.88,4529.24,4587.86,4655.0,4581.86,4592.16,2656.6799999999994,4635.4400000000005,4715.84,1022.1600000000035,7208.54,4673.18,1041.8400000000004,4506.379999999999,3580.680000000001,4682.0,6788.88,2686.2799999999997,4820.72,4515.0199999999995,4206.160000000001,2285.66,7031.599999999999,4369.6,2658.52,1133.4000000000008,4406.900000000001,4341.16,5892.94,6039.0
