index,66_1_www.nytimes.com,66_2_www.nytimes.com,66_3_www.nytimes.com,66_4_www.nytimes.com,66_5_www.nytimes.com,66_6_www.nytimes.com,66_7_www.nytimes.com,66_8_www.nytimes.com,66_9_www.nytimes.com,66_10_www.nytimes.com,67_1_www.nytimes.com,67_2_www.nytimes.com,67_3_www.nytimes.com,67_4_www.nytimes.com,67_5_www.nytimes.com,67_6_www.nytimes.com,67_7_www.nytimes.com,67_8_www.nytimes.com,67_9_www.nytimes.com,67_10_www.nytimes.com,68_1_www.nytimes.com,68_2_www.nytimes.com,68_3_www.nytimes.com,68_4_www.nytimes.com,68_5_www.nytimes.com,68_6_www.nytimes.com,68_7_www.nytimes.com,68_8_www.nytimes.com,68_9_www.nytimes.com,68_10_www.nytimes.com,69_1_www.nytimes.com,69_2_www.nytimes.com,69_3_www.nytimes.com,69_4_www.nytimes.com,69_5_www.nytimes.com,69_6_www.nytimes.com,69_7_www.nytimes.com,69_8_www.nytimes.com,69_9_www.nytimes.com,69_10_www.nytimes.com
21,8073970.4,9238460.599999998,9224899.0,8882649.000000002,9246522.0,9017919.0,9208071.8,8011835.0,10659345.599999998,6987548.0,10480020.0,7248997.600000001,4130867.4,4890629.0,8663570.600000001,8667013.0,7216130.0,7353911.0,8479087.0,5945827.6,3622505.0,3114021.0,3052209.4,3010941.6,3100685.5999999996,3201575.6,3169667.6,3089383.2000000007,3176677.4,3079123.0,2053422.4000000001,2201517.0,2566414.2,2008547.8,1942849.6,1902305.1999999997,2010539.2,2025972.6,1999172.6,1958806.0
22,8520147.280000001,9994478.6,9921942.599999998,9472767.480000002,9599331.480000002,9665831.399999999,9909299.16,8658021.8,11271566.92,7642124.200000001,11146111.28,7634927.680000003,4191474.7600000002,5428920.92,9272293.6,8806473.120000001,7845978.799999999,8198905.0,9132142.32,6103746.88,3710361.1999999997,3338387.6,3079720.4,3107229.6,3370395.56,3226220.32,3253753.24,3176164.08,3237879.8000000003,3171079.36,2357883.68,2432606.68,2600912.06,2017606.12,1961483.48,2026874.6,2017850.6,2037080.08,2015053.72,2023706.08
23,9206703.2,10671958.56,10561308.2,10126773.680000003,9985520.08,10086544.599999998,10553983.6,9338866.6,11843615.12,8149829.200000001,11893327.68,7977147.6,4367339.88,6004869.4,9922033.2,9013929.399999999,8684926.599999998,8862239.0,9811604.2,6466138.72,3770925.399999999,3430157.0,3128942.8000000003,3275772.84,3547057.8,3261051.64,3281041.08,3271659.16,3278049.96,3175610.44,2415275.68,2583895.720000002,2612483.36,2029709.8,1978156.2000000002,2045072.96,2032532.72,2048114.52,2030593.36,2024513.4
24,9936389.84,11570724.719999999,11102319.799999999,10796468.8,10517317.040000001,10598855.8,11349371.520000001,9875737.4,12578432.439999996,8798528.9,12571826.6,8279197.840000002,4621264.119999999,6894764.88,10486296.8,9176655.84,9478298.5,9519209.600000001,10562522.840000002,6704258.16,3786398.5000000005,3492577.4,3145516.16,3290675.56,3562257.3600000003,3267252.7,3292454.28,3276170.12,3281200.48,3192328.68,2462978.2,2722421.8,2633951.18,2055779.5200000003,2004700.92,2337466.22,2089909.72,2056877.64,2140415.24,2037251.98
25,10679042.4,12232737.4,11824184.599999998,11293942.4,11106798.32,11150679.4,12081182.959999997,10489910.76,13499011.719999999,9330912.000000002,13389185.200000003,8635316.76,5155051.239999999,7498037.68,11119452.16,9244624.24,10383106.399999999,10267158.0,11272775.920000002,7208857.520000001,4151943.4,3627618.6,3171496.88,3296501.96,3622585.84,3298812.0799999996,3304550.2399999998,3288836.44,3291203.0799999996,3295739.12,2723962.8400000003,2741875.72,2672027.2,2084914.72,2005341.1199999999,2353839.04,2331470.4,2103221.0799999996,2275949.88,2086271.4
26,11397906.0,13203203.0,12425902.0,11944562.0,11587275.0,11805228.0,12829736.0,11097498.0,14374679.0,9870478.0,14161294.0,8841627.000000002,5816505.0,7890944.0,11695970.0,9280325.0,11284345.0,10835671.0,11994285.000000004,7603522.0,4186270.0,3728342.0,3295556.0,3306018.0,3778936.0,3332141.5,3312164.0,3298084.0,3295863.5,3302257.0,2832664.0,2786817.0,2697729.5,2097809.0,2190419.0,2360932.0,2354752.0,2114878.0,2361237.0,2335263.5
27,11945032.08,13990363.4,13313566.599999998,12775200.28,12214536.88,12285617.399999999,13693641.600000001,11604635.240000004,14450656.08,10435239.0,14535711.24,9227863.48,6418278.2,8260421.68,11828791.64,9333946.08,12108386.6,11496159.0,12795999.080000006,7932585.6,4197412.8,4025287.6,3461624.44,3427492.12,3920907.6,3348263.84,3380713.76,3545935.48,3346153.24,3353945.88,2894104.88,2873494.96,2983752.6,2108967.8,2305039.2,2405186.76,2363359.12,2244864.8,2411453.16,2404081.44
28,12676860.64,14513053.2,14119083.9,13625899.76,12802811.36,12743321.799999999,14415688.600000001,12398629.240000002,14524967.36,10964167.000000002,14726285.4,9612063.56,7050881.399999999,8310426.4,11964811.0,9434162.56,12980337.299999999,11958452.4,13509301.160000002,8448093.2,4203703.9,4086137.2,3613650.08,3608543.52,4053793.52,3362529.78,3386618.96,3675697.8800000004,3404298.3600000003,3406662.24,2890262.88,2886377.04,3027293.48,2183540.8000000003,2436503.64,2417576.82,2374655.12,2447458.64,2476928.2399999998,2470288.02
29,13170831.8,14536868.76,14410549.6,14206983.32,13518805.36,13117132.6,14448374.04,13242665.88,14868886.52,11488251.0,14897858.2,9918874.04,7691774.6,8460776.6,12207445.16,9477589.2,13736852.0,12617619.0,14307143.24,8975425.36,4227082.4,4089039.6,3624238.2,3702379.76,4087694.96,3431972.24,3408510.4,3834933.480000001,3643782.04,3589372.12,2912834.56,2900299.08,3028768.72,2266047.680000001,2445969.96,2543552.88,2380276.68,2505837.0,2791526.8400000017,2717412.12
30,13611952.12,14678778.64,14511241.9,14536085.2,14063292.08,13553723.6,14507182.04,13917010.960000005,14877014.48,11999944.100000001,14941290.04,10201228.320000004,8128675.88,8627542.9,12621663.8,9612242.4,14290329.799999999,13379779.800000003,14533345.2,9307220.040000001,4258303.999999999,4096729.1,3735872.68,3871520.720000002,4098923.04,3500791.64,3512230.9200000004,4046084.8000000003,3657688.92,3672341.12,2907145.84,2944740.32,3034223.08,2425418.16,2504779.96,2556794.16,2441002.44,2516712.08,2874794.48,2815142.3
31,13976527.6,14907598.4,14805689.0,14572170.0,14467328.4,14054139.0,14520260.8,14269310.400000004,14884447.0,12672955.0,14958068.8,10679996.600000001,8538025.999999998,8826096.800000003,12959975.200000001,9804159.2,14467296.0,14087489.0,14648991.200000001,9901150.400000002,4296080.0,4114401.0,3805027.6000000006,4073447.4,4102630.2,3508176.6,3686739.4,4109877.4000000004,3677848.4,3685158.4000000004,2920956.600000001,3008701.8,3048608.2,2449790.5999999996,2734098.6,2583078.4,2442997.4000000004,2720117.0,2895950.6,2822736.4
32,14258213.32,15074910.36,14861008.2,14908191.12,14541163.12,14600611.2,14818437.72,14439292.84,14907970.48,13474759.9,15050355.66,10985940.280000005,8926066.559999997,9005615.959999999,13487822.68,10056263.72,14622610.7,14487069.8,14885624.560000004,10471143.6,4303274.8,4145163.3,4070675.4800000004,4129466.56,4126269.7999999993,3509786.24,3876027.2,4115999.64,3739284.18,3735575.2,2956913.7600000002,3040228.32,3055088.8,2513631.04,2869531.56,2612282.56,2458590.68,2821028.0,2903451.0,2842821.9
33,14508139.36,15363811.88,15033100.8,14937103.48,14561309.8,14761864.599999998,14915974.68,14558913.48,14938243.2,14312970.400000002,15071475.24,11497264.200000001,9022818.719999999,9134427.920000002,13868875.36,10453841.879999999,14807297.0,14539355.8,14929798.280000001,10806073.2,4313808.2,4151611.6,4134890.44,4147061.32,4179010.32,3709490.56,4149472.56,4158913.04,3789008.68,3999302.9600000014,3036922.56,3049522.92,3064725.92,2764980.3200000003,2899200.28,2670537.92,2623881.56,2904028.32,2926214.12,2886436.88
34,14601447.56,15441086.479999999,15085781.3,14957360.12,14830992.56,15010498.4,14927254.4,14584882.8,15111545.72,14452039.0,15084708.600000001,12120836.64,9176224.76,9580078.480000006,14380488.16,11015084.74,14866186.3,14785723.0,15003436.92,11299344.799999999,4323497.9,4156199.9,4154458.64,4151045.96,4180816.04,3936032.9599999995,4161582.88,4163398.12,3877916.2799999993,4146511.28,3043116.48,3072107.8,3074191.42,2908518.72,2914052.08,2689887.78,2626955.8,2909600.12,2931155.7199999997,2890275.58
35,14870984.08,15472010.32,15100073.6,14973158.32,14912739.2,15374358.2,14963819.04,14777619.92,15409620.84,14749951.6,15263142.16,12841077.120000003,9345824.04,10271256.040000003,14901942.760000002,11476814.239999998,14934140.0,14934349.2,15041949.12,11704590.319999997,4335962.6,4165608.8,4168301.4,4181487.0,4191443.84,4103879.08,4163976.84,4167218.5999999996,4034568.12,4179091.92,3062203.04,3104306.0,3081751.76,2917342.8000000003,2917012.7199999997,2675788.3200000003,2644177.4,2919641.28,2943541.16,2909604.72
36,14890540.6,15498241.2,15142184.0,15007488.2,14973620.6,15416486.0,15042231.4,14938555.200000001,15476379.8,14783619.0,15288825.9,13555153.0,9931833.2,11162682.600000005,15430079.2,12136325.0,14985965.5,14967926.0,15048688.8,12212428.399999995,4339736.5,4176678.5,4200232.2,4187691.6,4204068.6,4131047.0,4185320.6,4175189.2,4090554.9,4182308.8,3101572.2,3125678.1999999997,3086957.9,2934513.1999999997,2934202.6,2689538.7999999993,2672453.2,2947749.8,2990352.0000000005,2924437.6
37,15132780.08,15656175.72,15206097.8,15278564.44,15039308.6,15530831.4,15188032.96,15085336.44,15488955.36,14848131.4,15345996.52,14054687.880000008,10640735.2,11937893.28,15569516.16,12771167.6,15056190.4,15063021.8,15078334.520000001,12608254.6,4348211.2,4184687.2,4203150.16,4199160.36,4207594.2,4139312.68,4191988.8,4191606.92,4093633.2399999998,4187723.88,3119788.16,3176680.4,3092277.52,2953381.1999999997,2943454.72,2752686.84,2680811.08,2957887.56,3018797.3600000003,2928495.84
38,15350789.200000001,15722243.96,15317335.0,15410528.040000001,15202806.04,15541214.6,15269977.06,15138295.92,15498705.44,14853959.4,15460348.12,14224794.88,11533256.12,12738278.4,15630539.0,12936805.44,15149008.0,15071493.6,15239153.200000001,13042235.96,4352280.9,4197277.4,4212336.2,4211684.76,4216852.04,4151385.9,4197921.44,4227195.96,4121617.52,4207744.2,3128758.88,3374805.5999999996,3099126.38,2963802.8,2957219.16,2957076.84,2703363.4,2985664.88,3024942.56,2934751.76
39,15354343.88,15784902.04,15521664.6,15612680.28,15508460.24,15572724.4,15274105.08,15147574.64,15520167.4,14867461.8,15464490.12,14357706.2,12175097.479999999,13312399.88,15647743.96,13227834.64,15148875.4,15082623.4,15316847.120000001,13572447.24,4500973.200000001,4205699.4,4257034.24,4245183.04,4219869.84,4171557.52,4205634.44,4253324.36,4159801.56,4254751.4,3280132.96,3388256.64,3342602.920000001,2986362.6,2977357.24,2984753.52,2708092.8000000003,3019437.5199999996,3038725.52,2948205.3999999994
40,15396455.88,15836949.68,15557781.299999999,15666667.4,15598156.52,15605097.2,15340215.76,15186603.52,15526710.68,14967144.1,15779080.46,14556031.48,12817640.24,13370889.74,15687908.88,13401862.98,15159180.0,15100817.000000002,15430319.64,14220984.559999999,4610067.3,4218208.5,4264839.56,4272151.92,4237571.68,4186634.38,4257985.2,4262547.16,4178354.02,4277002.68,3387607.6,3395972.76,3398496.8,2993882.88,2988114.36,2993513.44,2751289.64,3032052.68,3049312.4,2983727.06
41,15417466.399999999,15846929.6,15675838.0,15737150.8,15612096.6,15722787.0,15350664.2,15215456.6,15538483.8,14958943.0,15864883.6,14731047.4,13352790.399999999,13373387.0,15708688.2,13501074.2,15457368.0,15137434.0,15479406.0,14593188.8,4635954.0,4249081.0,4278265.8,4283300.2,4267806.0,4187611.2,4284206.2,4269862.2,4186268.4,4282041.8,3394483.4,3406967.4,3444887.4,3040528.6,3003372.2,3028402.6,2894784.0,3040683.6,3056664.6,3017582.0
42,15434062.2,15946767.92,15725836.8,15751420.44,15727974.68,15744547.2,15629670.34,15508289.48,15551954.36,14994814.7,15881834.74,14953486.84,13353655.2,13467412.14,15753007.72,13714272.2,15472089.7,15178632.8,15563606.52,14971459.040000001,4924565.799999995,4277388.3,4295520.56,4290139.72,4287644.12,4201307.92,4292007.16,4275579.52,4261103.8,4290733.600000001,3400139.36,3415020.36,3792727.160000003,3041411.44,3034377.9599999995,3035612.7399999998,3027504.72,3043390.24,3063509.08,3017645.14
43,15482086.68,15978213.36,15747771.2,15763255.84,15737406.16,15747180.6,15653518.4,15513272.72,15817583.68,15171051.2,15908242.92,15431393.16,13388762.28,13485009.64,15846168.84,14402229.200000001,15528479.2,15454337.0,15818005.4,15302676.64,5442591.799999999,4278862.4,4301386.6,4291454.36,4298457.68,4213882.8,4298565.48,4279734.36,4271598.92,4302084.36,3411247.36,3423256.52,4368175.920000001,3047832.68,3048771.92,3035580.2399999998,3034601.68,3050651.6,3065762.12,3025486.24
44,15510212.88,15988743.040000001,15758867.700000001,15821785.56,15757276.4,15805872.6,15751296.42,15528205.72,15886880.08,15455873.4,15992458.68,15737642.68,13399359.96,13489154.84,15900184.520000001,14751381.8,15634526.1,15558985.2,15967914.68,15655106.96,5952329.5,4290643.1,4307432.28,4303618.4,4301148.48,4231146.54,4308040.52,4290514.8,4281498.48,4303189.76,3421544.88,3472526.92,4855089.12,3056166.12,3056443.68,3047971.58,3042545.64,3056497.12,3077355.2800000003,3033437.58
45,15522139.08,16008698.68,15780198.4,15864837.48,15771129.04,15843776.0,15769595.04,15565012.64,16359681.079999998,15512037.2,16007663.08,15857190.96,13502441.96,13817098.0,15980195.04,14838204.08,15675275.4,15665247.2,15976857.68,15663818.88,6546091.399999999,4297682.2,4316142.68,4303929.68,4313232.76,4246732.640000001,4314023.12,4295103.12,4285210.28,4309294.96,3429172.56,3486374.64,5443131.959999997,3064323.36,3062077.56,3053406.92,3050275.8,3072222.04,3081916.6,3040419.44
46,15526532.0,16100969.4,15864928.5,15889694.4,15839666.0,15880786.0,15776634.4,15584586.4,17292606.2,15537644.0,16024444.6,15942228.8,13538996.6,13844121.7,15997433.4,15020257.1,15685593.0,15716867.0,15977762.2,15717709.2,7072486.0,4301106.5,4323966.0,4311249.4,4316208.0,4252251.4,4321739.6,4299732.6,4291706.5,4313934.4,3481465.1999999997,3497202.8,5984492.0,3067648.8,3065978.0,3059547.5,3054219.0,3071467.6,3088756.2,3046442.3
47,15543238.32,16116524.08,15874079.2,15900136.44,15893837.56,15899794.8,15825097.64,15597444.84,18291006.56,15547132.2,16085843.2,15954818.12,13576031.16,13881834.96,16104906.08,15032979.68,15731028.8,15727043.200000001,15989009.52,15730560.72,7593078.399999998,4310824.0,4334825.84,4319694.32,4323612.32,4257980.16,4329178.36,4306268.88,4302571.96,4320334.68,3494019.7199999997,3505677.24,6471455.640000001,3071657.2,3073265.96,3067107.84,3060736.08,3078562.52,3092784.48,3053107.32
48,15549072.84,16118121.0,15895326.8,16151435.360000007,15895905.96,16254319.999999993,15879354.78,15607007.52,19246258.159999996,15558820.0,16132097.42,15964920.04,13617124.92,13897985.4,16118916.08,15082296.66,15759254.4,15760987.0,16004255.84,15736641.64,8037641.399999999,4312834.3,4342593.12,4326707.84,4327944.88,4295933.6,4335090.92,4305312.44,4303995.44,4326600.44,3501517.68,3514037.64,7013875.92,3079989.7199999997,3080999.56,3075328.68,3068330.08,3077834.88,3096489.64,3061066.68
