index,250_1_www.faz.net,250_2_www.faz.net,250_3_www.faz.net,250_4_www.faz.net,250_5_www.faz.net,250_6_www.faz.net,250_7_www.faz.net,250_8_www.faz.net,250_9_www.faz.net,250_10_www.faz.net,251_1_www.faz.net,251_2_www.faz.net,251_3_www.faz.net,251_4_www.faz.net,251_5_www.faz.net,251_6_www.faz.net,251_7_www.faz.net,251_8_www.faz.net,251_9_www.faz.net,251_10_www.faz.net,252_1_www.faz.net,252_2_www.faz.net,252_3_www.faz.net,252_4_www.faz.net,252_5_www.faz.net,252_6_www.faz.net,252_7_www.faz.net,252_8_www.faz.net,252_9_www.faz.net,252_10_www.faz.net,253_1_www.faz.net,253_2_www.faz.net,253_3_www.faz.net,253_4_www.faz.net,253_5_www.faz.net,253_6_www.faz.net,253_7_www.faz.net,253_8_www.faz.net,253_9_www.faz.net,253_10_www.faz.net
27,5537902.920000001,5512108.600000001,5481303.6,3181057.08,5235841.480000003,4655176.239999997,5657042.2,5569010.64,4531206.72,5380496.28,2669498.72,2359514.08,2286733.0,2339117.36,2430167.28,2405231.5999999996,2586525.2,2320766.24,2611359.0,2606804.4000000004,1747475.32,1867662.56,1744109.2000000002,1843515.88,1678733.56,1687489.84,1751937.48,1692225.4,1748932.48,1804469.56,1791625.0,1827555.4,1813169.16,1868528.2,1987680.6,1750893.72,1836629.4400000009,1782057.0,1781171.9200000002,1747266.48
28,5662782.92,5695591.88,5697775.6,3537528.5999999996,5456574.64,5103289.92,5755270.78,5586646.84,5028234.919999996,5748546.88,2676032.56,2469956.52,2290743.8000000003,2347259.76,2482555.06,2445600.2,2596644.9,2335859.52,2622593.0,2664464.1,1818790.0,1896539.24,1809959.2,1887731.0799999998,1676092.92,1737497.68,1781942.24,1715250.8,1784788.52,1857261.88,1818677.0,1928318.3399999999,1820558.58,1948308.56,1992666.4,1796067.12,1878844.68,1791937.0,1795812.1400000001,1771542.04
29,5678381.88,5768221.36,5791242.2,4054112.7199999993,5480356.76,5574639.72,5787974.92,5622002.12,5398484.559999998,5766657.52,2777820.76,2643901.4,2300308.6,2365594.48,2506302.04,2483175.8,2608429.2,2465927.44,2630625.0,2674769.4,1861386.36,1909649.5999999999,1814550.4,1914544.1199999999,1745411.64,1831544.36,1852049.1199999994,1755590.3999999997,1835668.28,1877235.04,1839543.0,1933839.8800000001,1834611.28,1999008.56,2034325.2,1853251.9600000004,1888517.2400000002,1831037.0,1835028.08,1820913.04
30,5746696.44,5816978.76,5989462.600000001,4569090.119999999,5501574.16,5607306.36,5985472.5200000005,5639242.64,5487313.12,5790925.5600000005,2794444.54,2721891.58,2303399.3,2391872.52,2590162.58,2513689.6,2618486.4,2477352.46,2688415.0,2687786.8000000003,1877543.7999999998,1975982.1600000001,1833654.7,2034128.84,1838288.4,1864823.08,1908552.96,1781148.6,1904858.44,1902586.8800000001,1874485.0,1950187.66,1843449.38,2017768.2799999998,2262353.6,1863396.08,1909881.7,1883517.5,1847067.12,1836833.92
31,5931869.4,5831036.4,6025257.0,5031340.199999999,5626960.8,5649499.4,6001638.600000001,5668168.8,5543873.0,5820584.2,2875278.2,2732437.6,2315066.0,2407906.0,2750130.8,2558074.0,2679065.0,2487428.6,2696527.0,2720936.0,1958744.0,2046727.5999999996,1864601.0,2056587.4,1903480.2,1931255.8,1933953.4,1785988.0,1998234.4,1941809.5999999999,1902922.0,2023185.6,1878556.2,2114211.7999999993,2271303.0,1868070.6,2038176.6,1953526.0,1888186.4,1860578.2
32,5949578.84,5865475.72,6036236.6,5561153.88,5665978.28,5675826.16,6016214.38,5738955.52,5628082.86,5851354.24,2889023.64,2764607.6,2331235.5,2533053.92,2848772.4,2660298.5999999987,2686501.8,2493762.4000000004,2741156.0,2780945.4,1999328.8599999999,2183813.28,1889195.3,2066883.6,1922165.6,1984337.4399999997,1946028.4000000001,1823384.4,2015327.6199999999,1997928.2,1918207.0,2094351.14,1968225.56,2256484.68,2393238.6,1926670.0400000007,2186643.48,1959065.0,1910258.88,1913054.2399999998
33,5988337.32,5880932.72,6060116.8,5668043.36,5725748.840000003,5735982.48,6101417.4399999995,5752325.04,5736243.04,5903975.880000001,2916638.92,2880137.52,2430349.2,2543071.56,2944643.24,2796957.2,2708048.1999999997,2530397.72,2775348.0,2818000.8,2095855.72,2294698.3999999994,1960671.8,2099913.84,1984830.72,2013492.0800000003,1997784.36,1897242.8,2024067.64,2019164.0000000005,1991404.0,2264263.68,1969615.68,2264667.96,2419693.8,1993157.9200000016,2215020.08,1958153.0,1932531.64,1951008.04
34,6282206.04,6009296.24,6198570.999999996,5688319.88,5753142.04,5752823.2,6129282.18,5799049.48,5772402.12,6061168.12,2929554.52,2894306.68,2543321.1,2587466.84,2941695.94,2940708.1,2746584.4,2616417.1999999997,2801981.0,2900389.2,2104128.26,2430038.44,1977723.3,2117837.76,2083261.72,2046660.72,2111496.12,1945936.6,2065910.66,2081797.52,2030518.0,2272452.42,1987393.78,2318586.16,2446733.6,2073492.2000000002,2333180.380000001,1975821.0,1954818.56,1969415.84
35,6367582.76,6148266.2,6503305.4,5797724.2,5864491.24,5770668.24,6154025.04,5935308.2,5815002.2,6079465.0,2957231.2399999998,2901233.68,2639081.1999999993,2662409.36,2962698.08,2940523.6,2793940.4,2827421.640000002,2933623.0,2919041.5999999996,2206613.72,2434739.52,2002474.2,2116819.84,2095248.64,2073035.16,2131669.32,1999504.4000000001,2075046.8399999999,2138873.04,2080736.0,2307374.68,1999783.68,2329208.44,2465339.2,2090394.8,2409048.4000000004,1995510.0,1983383.0,1963698.16
36,6462043.2,6162478.399999999,6523351.0,5818150.0,5876409.0,5809750.999999997,6168338.9,6067218.800000003,5825863.1,6221423.8,3004768.3,3007411.8000000003,2825379.5,2775702.8,2966551.1,2956768.5,2914140.0,2937704.3,2980420.0,2949298.5,2217822.6,2439155.6,2058285.5,2124124.8,2095678.6,2087673.5999999999,2141645.2,2034808.0,2114372.0000000005,2184783.0,2164372.0,2328527.6,2006869.2,2490361.4000000004,2552977.0,2099401.0,2438094.2,2008656.0,1999221.9000000001,1989514.2
37,6543946.84,6186396.4799999995,6535247.6,5953514.92,6013549.279999999,5919807.96,6184517.16,6096464.48,5916510.48,6359000.32,3011590.28,3017965.880000001,2843292.4,2960148.68,2981479.9600000004,2971126.8000000003,2955540.2,2955738.32,2989024.0,2955152.2,2242585.88,2454211.72,2073699.2,2131860.88,2116463.16,2168643.8000000003,2147264.08,2051088.4,2170863.52,2249493.4,2221063.0,2457378.16,2077068.72,2554752.68,2566576.8,2104266.92,2449335.32,2112993.0,2170439.04,2004892.76
38,6552004.96,6301050.44,6555776.4,5967411.76,6033557.64,5987956.600000001,6356543.520000001,6115256.4,5991399.64,6589534.48,3028639.58,3055963.84,2854085.9,2962048.56,2990758.12,2981134.4,2970412.2,2967021.86,3003524.0,3009275.1,2347504.52,2465576.36,2102433.6,2175498.12,2141506.48,2183574.76,2165857.8000000003,2112554.2,2213503.3200000003,2312893.28,2252960.0,2488364.38,2082466.74,2573878.36,2574023.2,2114457.76,2479442.58,2182596.0,2295454.32,2016720.04
39,6726161.8,6338004.36,6559012.6,5975555.68,6190511.84,6047251.88,6390330.44,6228491.32,6041768.68,6588411.400000001,3061152.88,3069827.44,2965392.6,2967810.1999999997,3004540.64,2991106.6,2977427.6,2977108.24,3005839.0,3015828.6,2381003.4,2467358.76,2106622.8,2188791.8,2170472.6,2219044.08,2183503.08,2157065.0000000005,2283176.64,2355626.36,2363386.0,2580578.08,2108768.5600000005,2586250.36,2610608.6,2134100.76,2561790.92,2213508.0,2373816.56,2136211.76
40,6744356.64,6377167.08,6575936.399999999,6036475.4799999995,6243522.48,6072960.64,6414943.14,6236613.28,6042046.54,6641218.04,3068089.88,3077288.62,3099809.1999999997,2997006.4,3017459.64,3006055.6,3035965.7999999993,3106157.02,3144268.0,3038059.6999999997,2471386.8800000004,2489440.8,2203536.6,2258120.88,2179319.0,2224934.04,2188286.96,2198982.2,2328422.86,2369248.52,2378909.0,2593838.1,2141121.86,2590254.92,2619173.4,2134127.36,2572056.72,2255229.5,2388792.78,2135597.96
41,6817484.6,6567099.0,6706058.0,6092208.6,6258146.2,6092940.6,6444484.6,6287098.2,6100390.6,6664173.2,3200970.6,3099920.8,3116774.0,3023099.9999999995,3025042.6,3035883.0,3120343.0,3122329.0000000005,3173758.0,3056392.0,2498391.6,2507597.2,2258877.0,2291137.8,2224024.2,2270353.4,2244747.799999997,2259155.0,2407087.8,2392519.6,2491538.0,2628845.6,2185416.2,2599028.8,2648571.0,2150761.6,2581481.0,2333015.0,2397520.8,2138952.4
42,6934079.159999999,6598998.6,6726232.4,6131233.48,6279486.12,6128820.24,6470460.2,6458366.32,6134713.399999998,6705121.48,3221757.72,3105973.04,3147030.7,3138346.8,3139026.7199999983,3156046.7,3137167.9,3161311.88,3188443.0,3177144.1,2500060.64,2540398.84,2304078.6,2357960.68,2283615.36,2342051.4,2351937.72,2301946.6,2520638.88,2436142.2,2559830.0,2630858.96,2344238.9,2620470.6,2667043.6,2159755.8800000004,2588258.38,2349589.0,2408445.6599999997,2225756.48
43,7457152.719999998,7107980.68,6791099.6,6178756.919999997,6305449.240000001,6251494.92,6606972.28,6813866.360000001,6183016.44,6855816.68,3240466.36,3131041.56,3157959.6,3134314.28,3182602.44,3175744.4,3153729.4,3174920.08,3207568.0,3197376.4000000004,2516074.28,2552193.84,2365370.4,2453956.360000001,2311976.5200000005,2359192.96,2412842.4,2365719.0000000005,2526556.84,2460581.1199999996,2625624.0,2635357.36,2549828.5200000014,2651672.24,2696942.4,2233793.8000000003,2623865.2,2573670.0,2422011.5599999996,2309316.4000000004
44,7507213.8,7121223.12,6818340.8,6296568.68,6433498.84,6328557.28,6738126.62,6994840.64,6218251.04,7073663.28,3257212.0,3177824.6,3165168.9,3144015.16,3192654.54,3188629.8,3169355.1,3181541.76,3216939.0,3210775.9,2557379.08,2650581.96,2371030.5999999996,2634333.92,2372135.44,2366499.04,2458506.1999999997,2412837.8,2539041.76,2529917.16,2650082.0,2661780.12,2586245.68,2658730.04,2700148.2,2449062.1200000006,2659654.9200000013,2604553.5,2445152.8799999994,2366234.8
45,7559266.12,7174756.84,6887246.4,6300533.680000001,6509490.92,6340888.56,6900725.72,7039507.08,6436278.72,7581872.2,3258660.52,3173555.36,3193600.0,3148572.72,3206774.88,3196080.8,3186329.4,3188274.44,3226242.0,3222621.6,2570181.96,2656647.5999999996,2405605.0000000005,2703940.04,2418811.2399999998,2435305.04,2556358.8,2456856.4,2553863.76,2567508.28,2662944.0,2658168.8,2609867.8000000003,2665881.72,2710004.0,2560836.84,2683966.44,2706292.0,2528063.12,2376518.48
46,7636228.3999999985,7309174.4,7008368.0,6325148.6,6523470.2,6393578.399999998,7284728.8,7110878.200000002,6684726.8,7690786.4,3276927.7,3173479.0000000005,3216491.5,3183305.6,3215916.6,3303594.0,3217128.5,3185052.1,3253902.0,3241937.5,2578824.8,2671512.6,2570356.5,2716419.4,2436332.9999999995,2605651.6,2576742.4000000004,2535843.0,2669307.6,2614516.2,2673226.0,2693419.3,2702214.1999999997,2689547.2,2738776.0,2576858.6,2702013.6,2722637.5,2529707.1,2390108.5999999996
47,7707276.84,7328229.08,7536675.4,6660954.519999994,6730757.640000001,6860600.76,7514951.48,7198297.92,7078382.719999999,7707417.44,3294579.76,3190987.48,3227570.4,3296718.16,3219772.16,3373969.4,3221269.8000000003,3219556.52,3253399.0,3376548.6,2599538.48,2678903.92,2585712.2,2724674.96,2491923.3599999994,2705849.36,2672958.7199999997,2625618.2,2677243.96,2678875.2,2701481.0,2704864.92,2714327.68,2705919.32,2751722.6,2587985.64,2718633.48,2750041.0,2651384.84,2389726.44
48,7712606.72,7346297.76,7587493.4,6843232.68,7043149.04,7038505.08,7537846.98,7215560.4,7171273.92,7727367.16,3365578.1399999997,3246524.8000000017,3250082.699999999,3307871.08,3262488.519999996,3375504.2,3258242.2,3245990.14,3410259.0,3381831.3,2612029.96,2712212.12,2691162.6,2741119.7600000002,2646239.1999999997,2719569.64,2696125.2399999998,2633253.2,2695931.14,2733675.72,2737702.0,2713375.4000000004,2728791.079999999,2714458.4000000004,2753838.8,2594716.76,2729893.78,2750701.5,2685351.74,2415005.52
49,7754406.12,7379061.08,7719134.2,6973273.04,7213474.24,7063242.72,7649816.640000001,7249509.04,7299832.96,7862091.12,3389270.88,3343332.5599999996,3399355.4,3315572.04,3392415.24,3379195.6,3305855.6,3333995.7600000002,3407666.0,3393704.0,2620508.32,2728133.56,2696842.6,2774754.04,2735996.8,2729448.36,2717659.0,2741721.2,2730476.7600000002,2772426.32,2751576.0,2723424.08,2756598.88,2722554.56,2765241.8,2605077.84,2738447.6399999997,2793886.0,2709461.88,2639682.96
