index,222_1_web.de,222_2_web.de,222_3_web.de,222_4_web.de,222_5_web.de,222_6_web.de,222_7_web.de,222_8_web.de,222_9_web.de,222_10_web.de,223_1_web.de,223_2_web.de,223_3_web.de,223_4_web.de,223_5_web.de,223_6_web.de,223_7_web.de,223_8_web.de,223_9_web.de,223_10_web.de,224_1_web.de,224_2_web.de,224_3_web.de,224_4_web.de,224_5_web.de,224_6_web.de,224_7_web.de,224_8_web.de,224_9_web.de,224_10_web.de,225_1_web.de,225_2_web.de,225_3_web.de,225_4_web.de,225_5_web.de,225_6_web.de,225_7_web.de,225_8_web.de,225_9_web.de,225_10_web.de
1,-61.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-113.0,-442.0,-442.0,-113.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-113.0
2,15152.66,7650.799999999998,15081.400000000003,15452.880000000001,15591.4,15679.32,15594.600000000002,14547.799999999994,15796.619999999999,16623.800000000003,4538.32,5171.68,4469.08,8598.24,8316.179999999998,8533.38,7829.240000000002,4907.44,4460.920000000001,5428.96,3753.8000000000006,2397.2000000000003,3631.3999999999996,3631.3999999999996,4100.36,1296.7200000000003,3182.6,6578.120000000001,49936.979999999996,5029.14,8356.48,4564.82,4580.6,5272.18,8360.68,5283.12,4507.04,8176.0,5078.2,4112.14
3,81421.44,77381.0,76479.68000000001,77024.07999999999,81281.0,81939.28,84008.0,84471.96,82491.52,81529.6,15560.84,15033.400000000001,8737.880000000001,32618.079999999998,36147.04,36409.36,32048.88,13055.80000000001,8137.6799999999985,7908.800000000001,5058.04,5367.24,5400.72,5116.72,4658.36,5547.280000000001,5149.84,11617.240000000002,207014.44,15313.16,34966.16,14807.84,15936.999999999996,15713.28,36102.96000000001,7959.880000000001,8854.72,34825.0,11940.000000000005,11797.28
4,173755.55999999985,127942.68000000005,100705.28,99692.7,99930.5,102091.52,102242.8,146834.6,199651.9199999999,196451.62,36305.88,32009.84,31853.04,47572.7,95598.88,80292.28,47272.08,29762.679999999997,30833.76,32203.720000000005,8278.52,8541.42,8608.359999999999,8324.359999999999,8436.88,8671.24,8604.24,46146.54,381334.32000000007,42281.28,49171.16,38879.38,39194.4,35902.360000000015,53980.6,34324.91999999999,34811.06,54022.0,34924.200000000004,16189.26
5,364471.72,303939.44,319462.16,318913.36,314615.0,343047.8,352277.24,326045.39999999997,378275.32,406432.72,46556.200000000004,46206.880000000005,36436.16,89645.48,143186.48,129620.72,117170.16,35631.80000000001,35992.36,35353.96,15452.119999999999,10985.800000000001,15774.16,15490.16,15481.88,13985.799999999997,14384.2,50506.48,504216.0,53964.2,120211.68,49536.96,61131.39999999997,49132.880000000005,122432.56000000004,38118.56,39465.24,120696.0,42586.000000000015,41372.52
6,466105.60000000003,352122.2,437052.3,385809.3,415966.5,448533.8,447135.8,383866.4,398719.19999999995,447718.00000000006,112704.60000000018,88498.2,46920.4,135683.4000000001,214835.60000000006,200614.1,147414.19999999992,47880.000000000015,46724.0,46812.0,38031.4,19259.39999999998,38561.8,38226.8,37817.8,38636.4,35223.99999999999,61971.999999999985,567268.5,108897.80000000019,152152.39999999994,118321.7,118182.0,77288.89999999997,170537.40000000002,49615.299999999996,50355.5,197096.0,70454.0,46788.1
7,479539.52,369896.84,513132.04,406037.8,435941.0000000001,459341.84,515081.88,406238.68,462381.32,456665.84,132042.04,117345.68000000001,83378.44,167129.95999999996,286751.6800000001,230558.36000000002,225688.72,115483.64,96751.84,95280.88,40872.44000000001,37609.28,41876.48,41541.48,41606.08,39499.159999999996,39576.92,130495.43999999999,612955.6000000001,137864.08,219552.16,135504.96,135102.99999999997,118400.56,225748.04,101632.2,84888.12,224308.0,118518.40000000001,57120.04
8,822011.44,367896.64,591765.0800000001,403887.08,582549.4,569168.32,666862.04,507739.32,690126.4799999997,725991.7600000001,195622.40000000005,144442.76,118486.23999999995,233236.84,396321.26,331960.48,291214.56,131702.08,119506.59999999999,119506.04000000001,43756.600000000006,41139.02,43266.04,42931.04,42251.479999999996,43463.24,43176.76,146616.12,730567.2799999996,191283.27999999997,319947.19999999995,203298.78,176168.0000000001,135990.58,376808.0,125847.40000000001,120657.81999999999,375890.0,134157.4,106634.16
9,867021.2,512493.39999999997,808393.5200000001,477606.1999999999,859552.2000000003,857854.72,862354.36,830350.2,863619.12,857715.4,220676.56,200526.24,143592.44,388933.24,579571.08,418157.39999999997,389991.24,150754.4000000001,133811.52000000002,142492.28,52161.52000000001,42823.08,52463.6,54467.32,51684.92,52491.32,46669.8,214490.6,1055035.1999999997,227570.12,387257.07999999996,224211.04,219136.19999999998,157430.28000000003,454847.4400000002,132854.32,137377.08,405937.0,164420.20000000007,130560.64000000001
10,924547.58,733600.1600000003,856414.24,824637.4799999999,919827.0,910056.9999999999,883262.5999999999,870695.4,955527.5,920331.14,288986.04000000004,220425.2,184105.35999999996,448178.10000000003,638392.94,590872.26,558254.08,215521.63999999998,200705.36000000002,200575.04,70203.84000000003,52589.2,54336.2,53862.32,76709.95999999996,57161.119999999966,54215.6,224304.82,1867207.8400000003,354927.20000000007,449580.39999999997,327281.6,285314.0,215226.91999999998,504860.8,155701.02000000002,171988.56000000003,585228.0,206852.6,154634.86
11,985838.0,865595.4,914575.4,923184.4,983383.0,972748.9999999997,970837.0,962232.8,988100.6,980244.6,386143.6,233469.6,219470.6,592378.2,681953.8000000002,644506.2,642403.3999999999,230442.00000000023,211954.6,220546.8,94157.80000000008,54215.4,89159.99999999997,88615.4,103794.8,87835.99999999997,59690.19999999999,351648.9999999999,2796183.2,378493.6000000001,599991.4,386138.4,384631.0,272837.79999999993,605793.0,214383.6,218142.59999999998,606657.0,224830.0,209133.8
12,1003681.22,954315.04,975310.86,983034.12,997219.1000000001,986153.36,989825.6,980965.48,1004235.6799999999,997797.2,399151.72,299334.6,284681.68,644496.82,801685.26,689937.02,661585.92,354848.52,266296.88,285256.92,124472.04,87493.31999999999,123133.04,104128.04,124449.64,106853.6,102179.92,384461.98,2813445.82,435787.5,607003.6,448548.94,444848.6,358041.00000000006,650624.36,235637.53999999998,274486.0399999999,647972.0,316992.80000000005,226246.7
13,1064435.08,971696.04,989377.84,1003112.8,1009602.7999999999,1001059.3999999999,1004814.3999999999,996063.16,1076630.04,1054642.48,472088.7200000001,384714.24,363859.6,676876.64,809463.1599999999,699071.48,794225.04,391676.64,290976.08,302654.88,126178.04,103699.2,127320.4,124371.96,134179.43999999997,124760.80000000002,122959.80000000002,438111.16,2862495.96,470730.8,651824.92,547976.4,527812.3999999997,387421.36,766619.64,313019.23999999993,375873.32,752881.0,379941.40000000014,291244.64
14,1211352.16,987399.64,1004519.16,1018811.8000000002,1125836.6000000003,1076858.8,1092957.0,1065248.12,1206021.42,1203062.16,614006.6,399998.64,390851.92,695832.54,827831.9800000002,785106.0399999996,794768.52,442837.56000000035,375687.84,372654.52,149613.68,124443.82,137211.28,132707.95999999996,139448.48,138881.96,126161.35999999999,442113.12,2905267.2600000002,489832.26,767782.72,600150.18,601503.4,446332.36000000004,773809.24,388841.52,395791.3,759330.0,397502.6,373945.94
15,1330349.24,1039656.2399999994,1157001.8800000001,1073572.7199999997,1293078.4,1258116.4400000002,1285688.76,1197974.72,1339062.48,1341685.28,640700.8,459439.96,484880.16,770967.1600000003,944936.2,816926.84,804284.96,555617.5599999999,390500.16,389777.0,152341.84,136596.56000000003,141288.6,139768.8,178230.64000000004,140248.0,138920.24,493512.48,2994778.16,496614.2399999999,775415.88,607343.24,616093.0,545725.48,788699.6799999999,453662.2,449123.56,786211.0,470898.00000000076,392457.64
16,1369706.4,1186202.8,1280441.7,1212954.8,1359682.5,1348193.6,1352150.4,1287159.7999999998,1360015.5999999999,1366887.8,658348.4,590476.8,578655.2,808047.7,1070200.0000000002,928295.6,823178.6,633111.8,445642.40000000026,450235.4,206272.4,139719.3,154523.99999999997,155562.39999999994,206427.0,191524.99999999997,150946.2,502337.3,3662053.7000000007,536777.3,785751.2000000001,640107.1,633812.0,602412.8,892797.2000000002,547380.7,546382.9,901505.0,550432.0,413242.0000000002
17,1381318.28,1302906.96,1344781.88,1347402.96,1370678.2,1355312.56,1369758.48,1357897.28,1372066.6,1373038.84,671367.2000000001,644110.48,633961.5999999999,836937.4,1362709.4800000007,942505.6,920562.4400000002,636766.52,510244.6,517628.4400000002,215427.4,170489.68000000005,204042.91999999998,207277.88,214756.4,207656.03999999998,167574.76,522512.84,4376457.48,539704.6,832982.36,746413.9600000001,651349.4,609060.84,913167.28,570136.04,599214.6399999999,914143.0,603114.2,531784.12
18,1403438.54,1345737.68,1361983.06,1371995.42,1372762.7,1364117.52,1376646.32,1366335.56,1402460.22,1396014.54,707802.7200000001,656211.8,639054.24,848426.08,1789850.7600000007,1269726.3599999992,955352.4,657018.7200000001,596029.44,602054.72,223064.95999999996,206792.2,209491.36,214775.4,251951.4800000002,214559.44,206634.24000000002,550030.04,4398278.4,549179.0,951342.9599999995,768606.14,660916.6,635643.26,1204175.5599999998,610274.34,604767.34,1099808.0,606860.6,575756.44
19,1428799.24,1353438.52,1371782.32,1378849.72,1415260.4,1400711.6400000001,1400646.28,1373347.36,1425151.4,1420894.68,810220.24,677762.24,660182.36,926970.4000000001,2144920.7600000002,1655876.2000000002,1171453.2,668037.9199999999,642767.4,645877.32,286411.0000000001,211380.6,213918.19999999998,239744.15999999977,280305.39999999997,219970.12,214751.76,555761.16,4442448.04,571972.96,1291070.8,778029.76,695268.3999999999,751285.32,1589013.88,628908.2,632376.04,1440098.0,637909.6,610848.56
20,1452346.52,1361063.16,1389076.78,1398466.26,1423769.8,1419241.08,1424845.72,1415703.4000000001,1438917.26,1435553.74,814281.0400000002,694851.08,679465.4,962246.12,2507277.3200000003,2060955.3599999994,1504437.9599999995,685076.48,647307.08,674239.64,360058.04000000015,242118.95999999985,223178.4,281925.24,322778.56,222788.56,252351.00000000006,569508.82,4526288.32,582682.38,1655974.719999998,786926.32,772766.4,752033.34,1784256.28,657373.36,688029.9199999998,1661206.0,654728.0000000001,643512.28
21,1479795.8,1394959.5999999994,1414407.2,1424537.6,1449053.0,1450388.0,1429850.4000000001,1425064.5999999999,1473189.8,1454266.8,823443.4,704732.2,783047.1999999993,1115836.600000001,2866168.0,2548417.6000000006,1879120.7999999993,693824.4,684246.8,689325.6,368670.60000000003,275434.6,264955.19999999995,318525.99999999994,366544.0,277326.2,288871.79999999993,575841.8,4540306.8,592561.0,1978632.5999999985,796579.6,791653.0,760155.6,2177180.0000000005,740656.0000000001,751279.4,1907113.0,741975.0,655172.6
22,1570902.18,1405724.1199999999,1425649.94,1437780.28,1474977.4,1493036.2399999995,1449331.16,1448309.4,1635625.6,1480701.42,837166.36,766343.7200000001,789528.64,1339303.22,3290948.8800000004,2984194.6799999997,2154351.64,787792.8800000007,687582.64,695296.12,377012.76,342065.34,284055.88,366547.24,372768.16,299971.11999999994,357112.2,592196.78,4660681.5,614964.9599999998,2338306.4799999986,883012.7600000006,829928.1999999998,768099.44,2523904.28,760849.6,751873.96,2246651.0,764513.2000000003,659858.52
23,1587180.96,1425624.52,1455643.72,1464486.72,1611444.2,1593006.68,1476843.92,1465375.44,1697240.72,1569743.04,845243.4,814499.44,794060.96,1530093.6,3692825.16,3421967.7600000007,2613022.8400000003,818160.76,693703.84,699308.6000000001,378193.92,365512.64,360942.6,373507.4,380950.48000000004,356443.83999999997,366492.0,597931.96,4754289.68,622497.7199999999,2701990.7199999993,936085.2800000001,915756.6,776896.12,2830499.800000001,769235.0,757905.68,2565650.0,777917.8,665648.6000000003
24,1731832.5,1446491.6400000001,1549608.98,1556321.1600000001,1622708.6,1649040.52,1585688.44,1548429.8399999999,1705755.12,1579551.86,957297.96,817213.44,801434.52,1768208.4000000001,4097246.38,3744794.84,2878939.3200000003,824541.2,784590.4800000001,709395.64,425076.0000000001,375829.38,375228.3599999999,384542.3599999999,384168.48,380186.3199999999,377255.0,622536.5,4762208.62,629435.52,2960118.16,1216351.8800000004,1141316.4000000001,800845.46,3309665.640000001,773722.9,763966.46,2886464.0,786178.0,766207.3200000001
25,1781564.92,1473268.12,1577893.24,1581687.96,1657632.2,1670304.36,1613177.0799999998,1684159.64,1717178.16,1744710.8,1144476.04,824393.6000000001,805021.36,1798537.12,4538726.48,4131574.0,3212968.16,829479.6000000001,799336.5599999999,739436.8,433517.52,382264.16,381065.00000000006,394374.76000000007,434193.24,382868.20000000007,390278.44,635941.32,4790161.84,640779.68,3334009.48,1488004.56,1423988.4,903654.6,3631525.9200000004,780562.72,772373.2,3208796.0,794943.6000000001,777846.8
26,1812525.0,1582500.0,1598137.5,1610087.5,1678865.5,1765501.0,1703798.0,1715724.0,1719783.5,1762574.5,1358462.0,905843.0,817669.0,1836784.0,4651364.5,4403429.0,3462641.0,945210.0,810464.0000000001,816459.0,434605.0,385764.5,388594.0,436566.0,434708.0,392200.0,406155.0,652745.0,4814629.5,682715.0,3633155.9999999995,1773073.0,1760374.0,915153.5,4041072.0,789457.5,782012.0,3536658.0,802618.0,779060.0
27,1860981.2400000002,1589480.8,1616803.32,1619608.44,1754712.8,1789749.24,1809045.28,1783732.28,1727210.76,1771644.36,1630044.0,939993.12,934192.32,1845321.96,4780508.16,4643370.0,3832206.48,948845.4000000001,816746.48,819198.48,439640.8,387054.24,391416.75999999983,440008.8,438531.84,393786.48,461731.08,660678.52,4824480.28,712624.36,3996376.8799999985,1936982.5599999998,2003862.1999999995,1081470.3200000003,4301236.72,830078.6799999998,863606.56,3894534.0,888437.4,783751.88
28,1896569.9400000004,1621263.48,1711139.32,1745608.4799999995,1793070.4,1858712.4,1891015.56,1796772.92,1842413.4,1798579.06,1892706.3200000003,992347.7599999999,945314.4000000001,1913458.5,4801582.68,4718785.36,4204150.8,1055323.32,832271.84,900057.6799999996,440827.07999999996,431793.5999999999,441874.79999999993,441972.79999999993,436815.60000000003,446291.08,478168.32,670460.98,5011816.68,720189.54,4339585.759999999,2231966.1200000015,2287295.4,1339966.8399999999,4541711.120000001,893912.42,906756.48,4276950.0,924634.4,797588.4
29,1907456.76,1711520.92,1725635.28,1764026.6,1799381.6,1909483.92,1910435.8399999999,1820600.44,1946284.28,1830876.04,2052612.8400000015,1196767.6400000004,1116802.16,1920204.28,4815544.4799999995,4741189.12,4568390.32,1282533.7999999998,928803.9200000002,936500.7200000002,453771.32,456478.24000000017,447345.36,474439.8,451694.39999999997,445834.96,488600.24,676482.56,5058563.52,723589.28,4606843.16,2713040.4400000004,2481962.4,1555799.04,4625410.16,920275.24,916667.12,4491577.0,1109711.8000000012,845001.1600000003
30,1959008.52,1771673.28,1739433.74,1797761.74,1820669.0,1909094.48,1926230.84,1839133.68,1959768.82,1849748.36,2314485.360000001,1456741.6799999995,1338210.3999999994,1922207.86,4821937.98,4753754.28,4717691.56,1598560.080000001,950320.04,942301.2,467968.56,470669.8,480524.04,495988.08,466720.92,478601.84,489880.28,685293.94,5066843.6,728026.26,4689881.56,2897829.0000000005,2692760.2,1816763.6799999995,4633622.16,985733.1599999995,1078030.2799999996,4679598.0,1345999.4000000015,877576.84
31,2001234.4000000015,1776766.4,1833429.0000000005,1805487.8,1903012.0,1934127.7999999998,1957608.4,1868491.8,1989841.9999999998,1874916.0,2485785.800000001,1699085.6000000003,1552325.1999999988,1948101.6,4830692.4,4757264.6,4804043.2,1830723.6000000003,972898.8000000005,1021456.0000000001,467182.6,484293.80000000005,497909.9999999999,497601.6,466695.4,482607.0,499159.39999999997,688815.2,5274768.6,733648.7999999999,4765727.6,3071673.4000000004,2829643.0,2001231.6000000003,4644569.4,1169043.1999999988,1310421.7999999993,4691226.0,1562516.0,927532.4
