index,149_1_opensource.org,149_2_opensource.org,149_3_opensource.org,149_4_opensource.org,149_5_opensource.org,149_6_opensource.org,149_7_opensource.org,149_8_opensource.org,149_9_opensource.org,149_10_opensource.org,150_1_opensource.org,150_2_opensource.org,150_3_opensource.org,150_4_opensource.org,150_5_opensource.org,150_6_opensource.org,150_7_opensource.org,150_8_opensource.org,150_9_opensource.org,150_10_opensource.org,151_1_opensource.org,151_2_opensource.org,151_3_opensource.org,151_4_opensource.org,151_5_opensource.org,151_6_opensource.org,151_7_opensource.org,151_8_opensource.org,151_9_opensource.org,151_10_opensource.org,152_1_opensource.org,152_2_opensource.org,152_3_opensource.org,152_4_opensource.org,152_5_opensource.org,152_6_opensource.org,152_7_opensource.org,152_8_opensource.org,152_9_opensource.org,152_10_opensource.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1429.8600000000001,1529.5999999999992,1537.6599999999996,1320.800000000001,1557.300000000001,3029.7999999999993,3163.8999999999987,1391.0999999999997,3609.499999999999,3366.2,1418.96,1445.82,1411.06,1400.0,1330.48,1433.18,1411.06,1447.3999999999999,1401.58,1414.22,1548.16,1564.54,3855.7200000000003,1138.7999999999997,1114.1000000000006,1408.2999999999997,1501.8999999999999,3607.0999999999995,1778.8999999999987,736.0200000000002,1475.84,1377.8799999999999,1401.58,1335.22,1482.7,1377.8799999999999,1330.8,1343.1200000000001,1352.6000000000001,1425.28
3,4112.56,5304.08,4207.920000000001,5367.92,5697.64,5287.04,5289.4400000000005,5285.28,4976.200000000001,4996.360000000001,109.52000000000004,3597.36,89.71999999999994,3927.0,4100.36,3657.36,4026.76,3884.8,3914.1600000000003,3811.44,4141.44,3296.12,5776.32,5090.599999999999,2906.8399999999997,4867.800000000002,4964.5199999999995,4652.96,4939.36,3525.5199999999977,3556.32,3987.48,3914.1600000000003,4090.04,1972.7999999999997,3987.48,4039.4,4072.84,4052.2,3721.56
4,5885.480000000002,6077.32,4669.879999999999,6980.720000000004,6478.06,8657.08,8473.300000000001,6022.62,8200.9,8310.699999999999,4137.88,5213.179999999999,2845.7199999999957,5406.0,4104.08,4955.74,5528.9400000000005,4641.4000000000015,5121.94,5307.84,4791.480000000002,4400.78,5939.52,6969.8,6586.7,6787.1,6522.52,8037.82,4332.18,6582.78,4925.84,4956.08,5492.42,4113.62,3564.3399999999997,5565.24,4091.36,5198.76,4363.600000000003,5135.719999999999
5,8351.64,8279.799999999996,8431.960000000001,7643.159999999999,8841.400000000007,13164.319999999998,11718.079999999994,7393.399999999999,12728.399999999998,13505.72,7107.320000000001,6331.8,5868.160000000001,6420.0,5179.36,6053.2,6645.56,6006.599999999999,6380.200000000001,4810.04,8311.16,8421.16,9731.56,8484.199999999999,8384.64,10530.4,8611.76,12904.560000000001,8553.56,7550.16,8543.36,5421.12,6521.08,4566.04,5006.64,4307.84,4969.12,4428.16,4295.400000000001,6339.2
6,13408.9,22542.2,13659.9,20476.400000000023,22891.1,21960.2,21387.9,21953.199999999997,21857.5,21057.100000000002,6087.199999999999,8437.1,5650.2,8226.0,5451.600000000003,8260.1,8548.3,8351.0,8365.9,8725.1,10475.4,13370.1,11902.800000000001,13158.0,12969.400000000001,13110.5,13149.6,14023.4,12434.499999999995,17454.099999999977,8234.800000000001,6476.0,8340.9,6215.099999999999,5648.199999999999,8598.6,6286.0,7113.400000000005,6068.0,8411.4
7,21772.44,20076.88,21896.64,20123.879999999997,20119.72,18989.84,19071.320000000003,20501.92,18920.8,18824.079999999998,12263.92,10234.159999999998,11068.280000000002,8873.0,8419.72,12417.36,11563.799999999992,13197.800000000001,11798.359999999997,8220.28,18087.600000000002,22160.36,20606.039999999997,21322.399999999998,22173.48,16071.199999999999,21267.96,22024.84,22410.76,20897.120000000003,12967.68,8601.28,9913.399999999994,8424.28,8440.04,7962.5199999999995,8414.039999999999,8046.4800000000005,8058.399999999997,12499.400000000003
8,19557.74,17929.48,23080.18,18288.02,18339.34,20977.319999999992,21754.480000000003,21120.78,19797.1,19612.78,23378.88,23550.96,16220.07999999999,14907.0,7950.4400000000005,23845.72,13674.24,22496.8,13871.440000000002,10733.199999999995,22262.76,20036.440000000002,30325.84,21633.4,19689.58,21141.3,19339.84,19550.319999999992,20243.22,18822.36,20955.28,10595.519999999999,13277.32,11230.279999999999,8178.180000000002,13456.880000000001,9106.399999999998,13482.880000000001,13187.400000000005,21994.04
9,18029.440000000002,28502.07999999999,21387.64,21903.8,22127.16,26211.88,26102.28,22232.760000000002,25845.399999999998,25644.32,21519.08,21504.36,21993.84,22409.0,13419.28,21618.64,23034.16,20607.600000000002,22407.120000000003,23605.04,20072.92,18392.48,27795.04,22947.8,20634.2,30031.8,20286.88,23019.88,20846.800000000003,22265.2,19013.32,19961.31999999998,20518.120000000003,13289.72,12240.16,20939.32,13138.960000000001,21873.04,21753.199999999997,19894.44
10,22520.44000000001,32968.24,26805.680000000037,25850.54,28105.18,32852.96,30433.94,28370.86,32348.8,30174.98,19838.120000000003,19830.54,20465.739999999998,20814.0,23418.280000000002,20065.22,21356.820000000003,19233.200000000004,20837.24,21884.16,20433.44000000001,22256.9,27976.76,24047.8,24226.66,28062.6,26559.74,28848.100000000002,24762.36,26839.46,17474.36,20572.36,19034.82,20644.16,14837.28,19440.36,21000.48,19882.64,19716.2,18349.84
