index,1_1_www.google.com,1_2_www.google.com,1_3_www.google.com,1_4_www.google.com,1_5_www.google.com,1_6_www.google.com,1_7_www.google.com,1_8_www.google.com,1_9_www.google.com,1_10_www.google.com,2_1_www.google.com,2_2_www.google.com,2_3_www.google.com,2_4_www.google.com,2_5_www.google.com,2_6_www.google.com,2_7_www.google.com,2_8_www.google.com,2_9_www.google.com,2_10_www.google.com,3_1_www.google.com,3_2_www.google.com,3_3_www.google.com,3_4_www.google.com,3_5_www.google.com,3_6_www.google.com,3_7_www.google.com,3_8_www.google.com,3_9_www.google.com,3_10_www.google.com,4_1_www.google.com,4_2_www.google.com,4_3_www.google.com,4_4_www.google.com,4_5_www.google.com,4_6_www.google.com,4_7_www.google.com,4_8_www.google.com,4_9_www.google.com,4_10_www.google.com
1,-442.0,67.0,-48.0,67.0,67.0,-442.0,0.0,-48.0,67.0,0.0,67.0,-442.0,-48.0,-442.0,-48.0,-442.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-48.0,67.0,-442.0,67.0,67.0,67.0,0.0,-442.0,67.0,67.0,-115.0,67.0,-442.0,67.0,67.0,67.0,67.0
2,1330.48,1704.68,109.72,893.9200000000003,1553.6000000000001,1330.8,-46.08,-176.52000000000004,1755.0,-146.39999999999998,2548.7999999999997,2427.88,1667.360000000002,2373.6000000000004,4657.66,2633.02,1545.02,582.28,797.3199999999999,599.6000000000003,272.8399999999997,574.52,898.88,1342.08,952.6800000000005,2664.7,2709.72,1956.14,1497.9600000000003,626.5,1422.1200000000001,335.88,102.51999999999941,317.15999999999997,1567.14,1327.32,510.96000000000004,1488.14,1602.6,1749.08
3,533.76,844.5200000000002,1543.8,1274.76,708.7200000000004,537.44,-236.16,1518.1599999999999,1350.0,-235.20000000000002,7244.2,6556.96,7148.88,5996.4,8125.5599999999995,6572.08,4256.1600000000035,1095.12,2742.8,5506.400000000001,5553.1600000000035,787.0400000000001,1690.8399999999965,4559.36,3335.9199999999996,6573.36,5849.44,3851.24,4609.24,3262.0,1495.9600000000012,255.76000000000002,1296.92,47.24000000000012,3024.120000000001,525.84,1984.48,2584.32,688.36,1288.8799999999999
4,4478.44,2823.7200000000003,851.3800000000001,2290.7599999999984,4681.56,4178.079999999998,1509.9600000000003,680.4399999999998,2534.0,-88.80000000000007,15995.800000000005,15117.88,15081.32,9101.600000000002,14646.460000000001,14662.24,4429.800000000001,2293.3199999999993,3705.639999999998,7034.599999999997,8567.08,4026.0400000000027,7069.4,8530.92,9557.08,11268.800000000005,20400.999999999975,6811.86,7139.76,6860.5,4336.6,2009.3000000000002,2466.14,1738.48,4213.18,4468.96,3429.72,4570.42,4719.84,2477.5999999999995
5,4500.68,4637.5199999999995,2308.48,4687.48,6206.08,4444.36,577.7599999999999,4571.32,4728.0,-212.40000000000015,19589.4,17364.08,17098.6,16771.600000000002,23053.24,16818.84,6021.719999999998,5742.32,8253.24,16299.6,14310.32,2779.5599999999995,11935.599999999999,11656.88,15177.199999999986,26615.28,23664.32,15759.68,8566.159999999996,13582.0,6998.04,1132.52,4767.08,3145.44,10056.56,4486.12,5053.84,7037.88,6479.040000000001,4439.28
6,6710.4,6675.4,4485.1,4289.799999999999,8291.799999999994,6924.6,3339.399999999997,4540.4,7212.0,1692.5,32901.0,33874.799999999996,34408.399999999994,23457.0,27330.6,34165.3,15340.6,7940.6,16367.6,35296.0,25168.8,7002.499999999999,24855.2,28620.600000000002,27950.8,29054.100000000002,31319.800000000003,19182.299999999996,12704.4,27005.0,5878.799999999999,2845.9,6767.1,4944.8,10599.799999999997,6774.6,7571.800000000003,10126.999999999995,6249.6,7177.6
7,8200.52,7992.28,7153.52,6036.88,10054.68,8385.36,4380.279999999998,6109.56,7207.0,470.80000000000217,77208.4,35931.84,34077.04,41646.600000000006,42678.76,34607.03999999999,16577.92,9670.600000000008,16573.279999999995,34859.199999999975,30115.12,12982.400000000007,28480.88,29036.079999999998,35518.76,55501.88000000006,71216.68,31420.760000000002,27153.68,34106.0,12235.52,5009.88,8375.400000000001,7441.16,29275.44,5913.2800000000025,11145.04,12112.04,11656.0,7684.600000000004
8,11883.000000000002,12808.64,7200.38,8576.279999999999,13628.36,8479.8,6642.76,6935.800000000001,7397.0,4675.299999999999,90601.2,78810.87999999999,46064.31999999998,41248.6,49969.38,41983.22,18083.06,16411.360000000004,20063.16,49485.39999999986,68164.87999999999,17843.199999999997,66897.84,69064.51999999999,79604.48,79393.82,75228.04,38053.359999999986,25589.2,81159.0,19746.400000000005,7549.28,12427.56,6698.679999999998,27195.34,11788.84,27454.88,28208.34,12532.76,10460.44
9,12301.32,21253.199999999968,7782.6399999999985,10077.36,13915.719999999998,12592.68,6481.04,8223.759999999998,12564.0,4207.800000000001,94120.6,85197.48,93566.64000000001,47698.4,90956.60000000002,89718.88,22829.600000000082,18196.56,36722.92,88160.4,80279.20000000001,19236.36,76400.96,81601.04,99772.63999999993,87680.96,81100.96,76425.71999999996,65462.24,87505.0,28110.239999999998,7247.320000000001,29189.32,12575.0,26047.480000000003,12436.16,25763.359999999997,26459.96,28677.92,11985.320000000002
10,42569.47999999999,82710.44,12623.279999999999,10378.599999999997,74937.11999999991,12721.92,12621.279999999999,9847.88,29224.0,6624.4,93553.59999999999,91308.92,94408.80000000003,97048.2,101749.80000000003,93262.16,33739.18,20535.84,36642.159999999996,88364.40000000001,85035.76,36674.979999999996,79955.71999999997,85186.28,133133.16,85353.54,87176.92,88841.94,69637.52,86829.5,26615.48,10965.12,27930.42,12849.64,32717.039999999994,29392.08,24073.719999999998,27546.06,27362.52,26820.96
