index,378_1_www.cinema.de,378_2_www.cinema.de,378_3_www.cinema.de,378_4_www.cinema.de,378_5_www.cinema.de,378_6_www.cinema.de,378_7_www.cinema.de,378_8_www.cinema.de,378_9_www.cinema.de,378_10_www.cinema.de,379_1_www.cinema.de,379_2_www.cinema.de,379_3_www.cinema.de,379_4_www.cinema.de,379_5_www.cinema.de,379_6_www.cinema.de,379_7_www.cinema.de,379_8_www.cinema.de,379_9_www.cinema.de,379_10_www.cinema.de,380_1_www.cinema.de,380_2_www.cinema.de,380_3_www.cinema.de,380_4_www.cinema.de,380_5_www.cinema.de,380_6_www.cinema.de,380_7_www.cinema.de,380_8_www.cinema.de,380_9_www.cinema.de,380_10_www.cinema.de,381_1_www.cinema.de,381_2_www.cinema.de,381_3_www.cinema.de,381_4_www.cinema.de,381_5_www.cinema.de,381_6_www.cinema.de,381_7_www.cinema.de,381_8_www.cinema.de,381_9_www.cinema.de,381_10_www.cinema.de
11,661289.6,524027.4,526943.4,537040.2,656741.8,624261.6,626570.2,531035.0,523637.39999999997,583565.4,734983.2000000002,843146.3999999999,885964.2,798225.6,717813.4,712610.3999999999,764976.0,775366.1999999998,715122.6,840292.4,811051.8,831212.0,696914.6,802080.4,933151.2000000001,842448.0,704400.0,827177.8,698483.0,850292.7999999999,582910.3999999999,521200.2,516491.0,516948.0,615832.8,516935.0,636686.6,507105.4,513890.0,632931.6
12,691291.06,645950.7200000001,659512.76,659426.12,662931.2800000001,659093.16,649722.96,658409.46,557393.7600000001,622899.16,892617.7999999999,983009.1599999993,994989.26,851451.38,839704.22,769384.56,845334.4000000001,878509.74,757722.9799999997,886963.8600000003,845497.52,853142.68,723910.8,830148.92,975088.5199999997,870380.8,823948.4199999999,848164.98,819318.3,879105.48,653899.4,630938.8000000004,648793.8,615063.84,648444.68,649068.9,647138.96,527480.94,582167.6000000003,647313.3
13,788081.16,670447.8,676091.12,678533.1599999999,674678.28,666652.3999999999,669621.28,669920.28,635183.0800000001,659144.64,999023.4,1028605.76,1058757.2000000002,991673.24,858943.2000000002,849065.68,993060.4,985227.12,886946.24,994831.08,867351.2,865622.56,829353.24,840432.08,1008989.28,899166.6,838606.04,861551.36,841239.6,924825.36,659218.4,658813.84,668595.1999999998,651315.52,663593.84,677264.7999999998,662896.28,584481.92,644559.6000000001,660478.76
14,802540.4,767790.3600000001,704555.4,739576.8399999994,738367.24,726329.28,678950.62,710147.4,691844.32,664428.12,1057524.32,1063636.56,1071355.34,1001402.8,994616.2999999999,866231.36,1006985.0,1037866.36,993972.14,1054214.72,913008.38,925071.4,853244.76,903388.48,1047218.02,912947.2,856013.1,912912.14,866807.7,962386.38,765551.24,755271.12,756418.6,664293.28,775688.92,760749.2,697803.4000000005,663619.7,739536.8,738042.3999999999
15,807663.08,794585.84,795956.1200000001,793157.72,745279.4,738041.04,695795.4400000001,793749.84,771392.04,672049.84,1074230.6,1073469.84,1184969.52,1059062.64,1052610.24,878821.88,1056145.5999999999,1046750.4400000001,1038506.32,1072254.08,937788.28,945236.88,862924.32,917803.6,1077878.9599999997,973530.8,896842.6399999999,922018.8,875416.2,971719.2,792948.72,767190.48,796087.9999999998,715392.2,812563.76,771948.8,793239.6799999999,783635.04,759648.2000000002,787176.76
16,828171.4999999999,820715.7,806760.2,827567.1999999998,778944.4,776083.6,735684.0,820980.9,784494.6,697786.2,1161422.0,1110664.5,1198751.7999999998,1078970.3,1062801.9,932001.9,1106384.0,1073786.0,1070391.9,1107901.2,1010257.3,968235.9999999987,880017.6,955224.6,1125971.3,992519.0,931961.4,989760.9,909377.5,1037882.4,797996.4,795997.8,814731.0,821510.6,818404.2,813181.0,806718.0,796387.2,816792.0,794731.9
17,853752.8000000002,829801.72,866818.08,914258.4400000001,812117.28,808666.76,788122.92,825874.68,822588.96,746012.32,1223655.88,1213188.6399999997,1239465.16,1112513.6,1099766.7600000005,968585.24,1192621.2,1135997.52,1079650.8,1194468.2,1035670.08,1016766.4,890141.04,1003216.92,1153762.96,1059751.8,953179.2,1029659.92,938932.8000000007,1050002.64,807477.24,836834.12,851626.3999999998,831895.48,826576.96,826359.0,836193.44,821931.6,828090.0,837132.48
18,893646.8,837751.7999999999,881056.96,957338.28,846007.16,820906.16,817603.58,837020.88,832834.92,791695.1999999998,1296285.08,1232713.66,1309069.04,1226313.82,1190829.46,1115306.26,1227227.8,1220770.86,1189516.62,1236364.78,1041214.56,1040982.48,950319.04,1023953.58,1267827.6199999999,1066880.2000000002,1003571.38,1043641.26,966677.6,1055630.68,827011.48,867771.28,886463.6,840922.5599999998,892422.5199999998,871157.4,862749.12,832319.62,845136.4,849068.26
19,929148.28,861573.4400000001,918373.12,968571.0399999999,880883.6799999998,844665.92,830811.4,899795.32,894406.84,807448.84,1305462.64,1296747.68,1320451.32,1240715.24,1229890.8800000001,1127826.04,1241539.6,1230048.88,1201179.6,1307112.48,1049222.64,1051866.72,983667.36,1029121.36,1302247.44,1087872.6,1011052.92,1053807.24,998055.4,1123756.0,864881.08,876613.52,892443.8,900904.92,901038.12,884610.8,882948.88,879057.96,866305.4,879520.08
20,979924.26,866661.22,927755.92,985789.8799999999,967211.4,949035.8,847835.28,938448.88,927135.12,817545.56,1311922.44,1308563.98,1329893.82,1309140.18,1234055.54,1136087.16,1247316.4,1236014.04,1242659.68,1315884.48,1063077.56,1116523.36,1034447.96,1035506.26,1394504.7999999998,1118999.6,1030761.66,1123553.98,1035563.2000000001,1132896.08,883633.96,892634.8,904923.8,913367.64,908583.88,891432.6000000001,918258.4,887301.34,879641.3999999999,883902.74
21,1072576.2000000002,937841.0000000002,979565.2000000001,1004951.8,1065049.0,956589.0000000001,861445.8,944024.7999999999,934652.2,866256.8,1323296.8,1318348.4,1336629.8,1318841.4,1306035.8,1202742.2,1320941.0,1302834.6,1313039.6,1321756.4,1107686.8,1133538.6,1045163.4,1107412.6,1404001.8,1189183.0,1038869.4,1131172.6,1040639.0,1244467.4,929248.0,926742.8,915054.0,919393.2,943294.4,900500.0,975947.8000000002,913354.6,933594.0,967667.6
22,1080723.34,992621.8800000006,1073429.0,1023589.5999999997,1069751.08,980404.64,910877.54,1067954.56,945948.48,947413.48,1336078.4,1325223.26,1354864.2400000002,1323793.28,1308758.74,1214068.68,1325926.8,1319873.12,1315991.16,1326771.5600000003,1139235.5999999999,1154664.64,1050996.48,1109864.98,1420991.84,1229109.7999999996,1055709.2,1143416.44,1071411.6,1268317.98,981729.36,954950.1200000001,948482.0,976054.62,974518.48,947449.3,983757.28,923017.26,978143.2,975475.66
23,1148416.84,1072424.84,1083266.44,1077043.24,1088225.32,1047022.84,1021177.9200000009,1076617.36,983305.6,1017490.4400000003,1421867.52,1334891.24,1436630.12,1331815.36,1319754.48,1314668.88,1333492.4000000001,1323650.12,1325993.64,1339193.4000000001,1256310.48,1253625.4000000001,1054417.36,1126842.16,1463439.7599999995,1300554.4,1113607.68,1257467.56,1113309.6,1309462.4400000004,987188.36,989289.48,981775.9999999999,984033.76,980911.3200000001,977721.8,993846.48,981521.08,981944.4,984367.88
24,1153790.06,1080921.14,1150600.24,1083043.36,1142561.12,1048061.0800000001,1088493.0999999999,1079423.52,1076267.88,1061337.68,1433336.48,1414573.2,1458273.14,1346301.2400000002,1321783.38,1322968.92,1417331.2,1329312.56,1329674.56,1422892.5999999999,1263730.06,1273116.1600000001,1066083.96,1229535.34,1562578.4399999997,1308187.8,1123631.88,1274892.04,1124753.1,1370020.5200000007,993114.24,995163.36,986441.2,991010.66,994585.5999999999,987448.9,1058101.12,984402.52,988384.7999999999,1022624.8599999999
25,1157158.28,1089464.56,1156313.8399999999,1088001.1600000001,1156682.64,1066152.44,1151822.1600000001,1148361.36,1084050.76,1063686.64,1448670.76,1436079.1199999999,1456357.8800000001,1359396.32,1332772.2000000002,1329259.72,1428815.2,1343754.72,1337168.08,1440943.44,1341389.32,1296531.32,1138922.8800000001,1239441.48,1593646.08,1323913.4000000001,1133071.24,1291456.48,1152349.8,1407555.76,999137.36,1005581.48,992390.0,996697.96,1060388.36,992335.2000000001,1061587.1199999999,994038.44,1037231.2000000003,1054536.84
