,398_1_www.opodo.de,398_2_www.opodo.de,398_3_www.opodo.de,398_4_www.opodo.de,398_5_www.opodo.de,398_6_www.opodo.de,398_7_www.opodo.de,398_8_www.opodo.de,398_9_www.opodo.de,398_10_www.opodo.de,399_1_www.opodo.de,399_2_www.opodo.de,399_3_www.opodo.de,399_4_www.opodo.de,399_5_www.opodo.de,399_6_www.opodo.de,399_7_www.opodo.de,399_8_www.opodo.de,399_9_www.opodo.de,399_10_www.opodo.de,400_1_www.opodo.de,400_2_www.opodo.de,400_3_www.opodo.de,400_4_www.opodo.de,400_5_www.opodo.de,400_6_www.opodo.de,400_7_www.opodo.de,400_8_www.opodo.de,400_9_www.opodo.de,401_1_www.opodo.de,401_3_www.opodo.de,401_4_www.opodo.de,401_5_www.opodo.de,401_6_www.opodo.de,401_7_www.opodo.de,401_8_www.opodo.de,401_9_www.opodo.de,401_10_www.opodo.de
40,494768.0,487284.79999999993,500199.0,780585.2,6626678.2,489368.4,488354.0,464926.6,6535127.400000001,6311640.999999997,1745445.2,1765277.4,1767682.0,1739502.2,1736935.6,1737214.7999999996,1754607.0,1748255.0,1750256.4,1729595.6,1446040.4,1449832.8,1445038.6,1433868.8,1441100.4,1429139.4,1426569.4,1433215.2,1431958.6,1489607.6,1461784.0,1442595.2,1444885.4,1458657.8,1447931.4,1442623.0,1443489.2,1444084.0
41,496685.0,490728.22,503205.0,804984.84,6681295.72,488905.08,490154.7,466321.72,6579124.76,6380699.98,1754627.8,1768057.52,1784022.24,1750397.28,1738237.5599999996,1751013.32,1765703.5,1780839.7999999996,1784945.1800000004,1758186.02,1457815.28,1456975.2,1445829.64,1438031.04,1447212.96,1431389.86,1436764.2000000004,1443381.58,1431539.46,1501711.52,1462538.6000000003,1443608.16,1452831.8,1459085.1800000004,1459528.58,1450422.16,1448356.14,1443902.4
42,497956.0,489589.52,532860.6,803469.96,6751403.2,489862.72,491330.00000000006,467328.56,6685463.76,6817145.16,1784243.280000001,1776592.24,1785340.72,1765014.92,1751003.7999999996,1759538.84,1782951.0,1794055.8,1816033.8,1771239.36,1469294.84,1466478.0,1450250.6000000003,1437502.68,1455787.88,1440100.88,1455454.48,1455100.2,1435338.6,1507051.96,1469053.2,1446385.16,1452428.24,1484198.56,1456670.72,1459435.48,1456405.92,1474290.7999999996
43,497420.0,489588.48,565697.4,805171.52,7048097.84,493763.18,499443.5,483048.68,6763067.28,7364483.2399999965,1789595.2799999998,1787399.32,1797993.52,1775921.36,1774911.68,1770099.86,1781776.0,1794771.3,1814089.78,1774179.7599999998,1466831.52,1480485.36,1474741.72,1445627.68,1463372.32,1449287.4000000004,1472767.08,1483245.26,1456955.92,1510878.04,1478846.7,1462814.46,1458476.6,1504667.38,1470231.4,1474594.36,1463274.56,1487160.4
44,504535.0,492260.8000000001,567277.0,809463.48,7541988.6000000015,496659.8000000001,500772.8,495815.08,7014032.6,7590067.88,1779928.44,1799152.92,1809288.52,1779860.8,1792154.08,1780643.32,1789156.0,1793139.4,1822226.96,1785490.7599999998,1467138.44,1495647.08,1490103.16,1467220.3599999996,1470017.48,1476587.12,1476513.92,1480131.16,1482482.72,1515508.56,1480934.4,1474439.32,1470892.5999999996,1511384.7199999997,1491884.0,1494523.36,1467452.36,1490945.9999999998
45,509536.0,498394.8,566768.0,811295.2,7552109.599999999,500950.4,500301.0,502131.2,7144333.000000003,7914230.400000001,1794241.6,1808491.2,1815066.4,1787508.4,1791323.6,1788303.1,1804923.5,1809489.0,1828381.9,1787246.5,1490762.0,1508730.4,1502086.0,1478276.4,1480675.0,1480822.8000000003,1479014.6,1491162.2,1484260.0,1558094.8000000003,1478691.5,1505569.0,1490134.4,1514446.5,1497796.4,1497690.8,1472030.3,1498705.0
46,504789.0,529857.6,568559.6,816366.0,7601257.28,501024.2,496819.4,500712.16,7181118.160000001,8235083.9999999935,1806188.04,1820524.36,1832098.2,1800196.48,1801585.96,1806715.32,1813478.0,1820385.4,1834698.0,1808805.24,1501565.44,1513079.48,1509128.12,1484535.48,1504252.48,1504126.64,1490384.76,1495809.84,1492042.64,1707698.6800000004,1520444.0,1503895.2,1500832.64,1519607.52,1509376.28,1499349.96,1508081.36,1510257.0
47,512416.0,549863.92,570538.4,818111.64,7711732.119999997,503556.84,522326.4000000006,495240.16,7420209.68,8272232.66,1826472.4,1829688.2,1837950.64,1809057.2,1811398.2000000004,1810035.88,1823435.5,1824177.3,1844482.54,1813506.98,1506234.24,1518404.96,1515348.2,1496770.96,1507382.64,1501896.26,1506908.7200000002,1500275.82,1495927.7000000004,1776210.88,1519335.9,1513773.76,1506981.48,1526377.54,1513873.42,1502510.12,1504092.52,1511094.6
48,548231.0,562947.68,568410.7999999999,819725.72,7811009.84,501311.8000000001,555882.8,498083.32000000007,7740804.28,8317797.36,1837977.12,1838789.44,1848073.56,1820909.56,1823332.48,1820637.16,1835790.0,1830014.0,1851515.36,1824446.48,1515115.08,1524485.96,1523088.24,1503451.76,1515283.96,1515295.28,1512354.08,1505976.4,1507479.4,1995546.92,1522754.6,1522933.88,1516694.12,1531543.04,1516566.24,1511543.92,1509450.84,1515555.8
49,570214.0,562875.06,570276.0,821344.3200000002,7848821.56,547860.8400000003,570605.5,558492.9600000001,7747585.28,8602619.879999999,1851387.04,1843325.52,1855012.12,1830237.04,1833356.76,1833008.26,1837008.0,1834137.6,1865195.24,1832789.02,1516070.52,1530582.32,1531862.04,1506543.16,1518015.92,1519611.64,1514066.04,1515069.02,1519039.26,2010622.28,1524313.3,1528411.98,1520329.36,1535799.32,1522229.2000000004,1519834.3200000003,1511226.18,1521258.6
