,78_1_github.com,78_2_github.com,78_3_github.com,78_4_github.com,78_5_github.com,78_6_github.com,78_7_github.com,78_8_github.com,78_9_github.com,78_10_github.com,79_1_github.com,79_2_github.com,79_3_github.com,79_4_github.com,79_5_github.com,79_6_github.com,79_8_github.com,79_9_github.com,79_10_github.com,80_1_github.com,80_2_github.com,80_3_github.com,80_4_github.com,80_5_github.com,80_6_github.com,80_7_github.com,80_8_github.com,80_9_github.com,80_10_github.com,81_1_github.com,81_3_github.com,81_4_github.com,81_5_github.com,81_6_github.com,81_7_github.com,81_8_github.com,81_9_github.com,81_10_github.com
0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-442.0,67.0,67.0,67.0,-48.0,67.0,67.0,-442.0,0.0,-48.0,-48.0,67.0,67.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0
1,605.0400000000002,163.31999999999994,1606.0999999999995,1061.0399999999988,587.2199999999998,2042.28,1551.2199999999998,2152.84,2842.44,1697.6,451.84,1732.3,1431.6,-169.40000000000083,-319.5999999999999,1609.8,-99.14000000000004,1827.08,1658.8,4550.88,-575.04,1372.32,4396.72,1434.6,2551.58,4433.16,2216.32,868.3800000000001,4601.2,547.16,555.7199999999998,1604.72,1223.12,549.1800000000002,457.6,-128.19999999999987,204.1200000000001,1474.26
2,4068.119999999999,2919.92,4801.5999999999985,3030.52,4262.160000000002,2696.24,4777.92,4465.879999999999,3732.68,4901.8,789.1200000000008,1635.319999999999,2039.8000000000013,1388.6000000000006,1425.4,3901.319999999999,1612.9600000000007,777.88,2714.12,11014.44,-142.08000000000004,8530.199999999999,14753.76,5460.2,6744.799999999997,13436.52,5484.96,5584.6399999999985,11837.4,1027.32,1144.12,4833.28,4597.04,1034.04,1876.8000000000013,1129.4000000000005,1052.3199999999997,2427.88
3,8288.36,7369.739999999999,6855.9000000000015,7783.96,6199.02,7269.860000000002,9337.22,8261.759999999995,13107.12,6716.200000000006,1550.64,4752.94,4636.8,3101.799999999994,2558.2000000000007,4643.079999999999,2691.92,4604.02,4764.88,18406.88,1097.1600000000017,15751.84,19740.64,16528.200000000026,18491.200000000004,18843.6,10458.24,17305.76,18480.2,2512.08,2521.54,7339.56,6957.88,776.9199999999995,1302.899999999999,4507.799999999994,4856.72,4458.78
4,16180.36,13264.28,14829.8,16983.76,15939.48,11264.88,14923.28,16609.84,16413.68,10418.000000000004,3011.56,8985.72,6962.2,4739.4,4639.8,6395.440000000001,4589.24,7046.28,6175.959999999999,47386.64,10240.12,25427.96,33104.52000000001,25802.200000000004,27566.4,60504.88000000001,18406.56,20920.72,50005.2,1736.4800000000002,4427.480000000001,7519.119999999997,7839.3200000000015,1917.4399999999994,4399.600000000003,7423.6,7029.92,6556.96
5,19199.2,18888.9,16859.0,18508.8,18219.1,17108.3,17288.80000000001,19473.2,23879.00000000001,18723.0,4742.3,12879.4,6265.0,6801.0,7149.0,14767.199999999993,7181.4000000000015,7692.099999999998,14788.000000000007,57675.6,18767.599999999995,39389.2,66608.4,58304.0,67256.7,58134.19999999998,21922.4,42276.20000000006,58051.0,5595.8,7354.7,16630.600000000002,16314.4,5929.4,4536.5,6610.0,11661.199999999995,8671.600000000004
6,60806.24,37593.599999999984,18869.399999999994,23617.160000000003,50757.599999999984,19032.44,19001.8,31695.720000000005,46068.24,23238.8,10787.04,16456.84,14799.799999999996,6903.399999999996,8798.8,17368.44,8651.76,15591.68000000001,16647.28,59862.48,60018.32,45482.08,66602.88,69069.79999999999,69625.88,67195.96,34610.16,68265.96,59526.60000000001,6546.799999999997,11058.199999999993,18909.36,16853.480000000003,8311.96,10374.6,14929.4,16820.440000000002,14941.64
7,65723.88,60169.88000000001,47080.7,63651.92,51755.62,24392.28,27645.72,51409.88,50474.32,30250.199999999986,11764.78,18488.94,16214.2,15035.9,12691.600000000004,18917.039999999994,11255.64,16933.94,18907.68,68570.56,56924.04,80012.24,76364.68000000004,72293.2,81279.62000000001,79998.04,51747.48,69212.84,70627.6,14279.48,13040.26,19108.8,18420.44,7606.58,11454.7,17334.8,18655.64,16901.059999999998
8,65556.23999999999,64878.24,62251.400000000016,69455.52,61550.28,51294.96,38810.68,57323.04,66380.36,67674.6,12301.88,18905.4,18703.2,16553.2,13630.999999999995,33122.68,12967.399999999996,19425.36,21068.120000000017,79330.16,63436.44,81716.52,85322.48,79650.2,89894.64,84858.32,52736.88000000001,77046.04,78907.6,16010.24,15974.48,31949.039999999994,19293.04,15794.12,15466.000000000005,18629.2,19517.60000000005,18831.44
9,73817.20000000003,69157.62,63523.2,70245.84,68230.58,55223.58,52815.58,60477.24,71940.36000000003,75448.4,17343.58,55850.08000000004,19164.4,18830.4,17010.600000000002,49876.16,16903.680000000004,37952.51999999998,46147.28,81695.68,75992.12,89718.92000000001,90085.76,90878.6,102064.4,90186.96,75783.72,87788.82,81784.2,17744.079999999998,18709.72,49696.84,33996.32,18218.74,19234.6,20079.79999999998,60629.44,20206.160000000018
