,314_1_www.chefkoch.de,314_2_www.chefkoch.de,314_3_www.chefkoch.de,314_5_www.chefkoch.de,314_6_www.chefkoch.de,314_7_www.chefkoch.de,314_8_www.chefkoch.de,314_9_www.chefkoch.de,314_10_www.chefkoch.de,315_1_www.chefkoch.de,315_2_www.chefkoch.de,315_3_www.chefkoch.de,315_5_www.chefkoch.de,315_6_www.chefkoch.de,315_7_www.chefkoch.de,315_8_www.chefkoch.de,315_9_www.chefkoch.de,315_10_www.chefkoch.de,316_1_www.chefkoch.de,316_2_www.chefkoch.de,316_3_www.chefkoch.de,316_4_www.chefkoch.de,316_5_www.chefkoch.de,316_6_www.chefkoch.de,316_7_www.chefkoch.de,316_8_www.chefkoch.de,316_9_www.chefkoch.de,316_10_www.chefkoch.de,317_1_www.chefkoch.de,317_2_www.chefkoch.de,317_3_www.chefkoch.de,317_4_www.chefkoch.de,317_5_www.chefkoch.de,317_6_www.chefkoch.de,317_7_www.chefkoch.de,317_8_www.chefkoch.de,317_9_www.chefkoch.de,317_10_www.chefkoch.de
10,1797001.8,1780530.6000000003,1791481.2,1876421.2,1782521.8,1910529.6,1865247.6,1758844.8,1785553.0,1899587.4,1767932.0,1835809.4,1872922.8,1716583.4,1789470.0,1757422.6,1739419.0,1758715.6,1123757.4,1119207.6,1110646.2,1098397.0,1107446.6,1075167.0,1072254.6,1109498.0,1033657.6,1044907.4,1656803.4,1661941.0,1329816.2,1629103.8,1377204.9999999993,1716489.0,1674971.2,1705848.0,1649237.2,1650566.4
11,1845566.52,1913829.28,1807710.48,1932790.6,1916001.16,1989202.28,1906885.76,1831113.8,1875680.7200000002,1974435.52,1786787.0,1975765.1,1896134.04,1740928.4399999997,1820258.4,1773627.88,1756889.7,1779527.56,1159716.6,1152366.44,1134774.32,1114527.0,1128408.64,1093723.5,1092019.52,1117651.6,1044179.52,1059335.14,1666152.06,1667830.8,1349739.52,1641365.96,1617157.92,1733051.8,1743515.28,1755691.1,1662250.4,1675396.4200000004
12,1941377.48,2001100.56,1925109.84,2047168.72,1975224.92,2060844.92,1981121.88,1946288.0,1972815.6,1984003.4,1874342.0,2014588.88,1946928.32,1763778.96,1953862.2,1810499.92,1768809.6,1882636.36,1193328.24,1147754.76,1186144.12,1128131.0,1159574.04,1100855.0,1136228.92,1131811.6,1058243.12,1099177.88,1736931.88,1717762.6,1364263.84,1661648.88,1632170.64,1786636.4,1755540.44,1841859.0,1691661.44,1740991.32
13,2015472.64,2032461.4,1999317.86,2056075.78,2012260.08,2101477.88,2036175.84,1971618.34,1976925.72,2016159.8,1960521.5,2031666.14,2009593.78,1793107.92,2009938.8,1954709.04,1863257.5,1967403.44,1198825.28,1216770.72,1204169.1999999995,1158706.0,1179214.88,1120002.5,1144915.56,1143264.1,1097761.68,1114370.78,1771713.28,1758766.0000000002,1371255.14,1685962.78,1652136.64,1831466.6,1910506.96,1930144.9,1734067.06,1747521.2
14,2033548.32,2103683.44,2025072.56,2096926.92,2064038.12,2140178.12,2098819.3600000003,2013044.12,1994002.68,2038492.16,1981189.0,2100993.76,2011825.04,1885015.84,2052024.0,1997141.88,1930049.2,1974430.000000001,1256169.2400000002,1257773.12,1269244.92,1179772.0,1229475.36,1192086.0,1157817.76,1171368.4,1105482.64,1122040.96,1841436.0400000026,1879138.0,1407535.6799999997,1750842.8399999982,1662608.92,1961805.0,1943401.4000000008,1986211.6000000003,1776094.68,1801612.8
15,2078348.0,2176169.2,2091358.6,2121919.4,2092512.2,2153251.0,2096534.6,2056296.199999997,2040670.8,2124672.6,2019803.0,2146783.9,2036797.4,1974845.4,2061004.0,2027989.8,1980974.0,2095020.8,1316909.0000000014,1347948.4,1293766.6,1190306.0,1261014.8,1202267.0,1207522.2,1184232.0,1139325.8,1135121.0,1917523.1,1922115.0,1413562.8,1835517.4,1702612.0,2017127.0,1987884.8,2023071.5,1815948.8,1839285.8
16,2155460.72,2184811.52,2128773.8000000003,2185599.92,2124971.36,2220252.92,2114976.56,2107086.64,2067536.16,2193497.08,2091720.0,2221055.4,2069634.12,2040863.28,2150638.8,2082204.04,2008060.4,2124589.48,1371150.76,1386877.04,1356716.32,1247329.0,1283190.4399999995,1208129.0,1210329.28,1196662.8,1159193.68,1176607.32,1967549.64,1974594.0,1444451.32,1905058.48,1807976.68,2048806.2,2038172.96,2051745.4,1845299.72,1955571.12
17,2233775.04,2216901.12,2143312.26,2205582.94,2129103.76,2242719.96,2203600.68,2124458.4,2152741.32,2226277.72,2112814.0,2265178.94,2068520.62,2053126.52,2172206.8,2129129.24,2038875.8,2136713.32,1434623.88,1465189.28,1442283.84,1264918.0,1335293.42,1249582.5,1225982.36,1194311.3,1169187.16,1183722.84,1986745.4,2010114.0,1463289.26,1909879.52,1869747.2,2081964.4,2063567.8,2158008.7,1999016.24,1998055.32
18,2329138.56,2230750.04,2182271.2,2232681.56,2143507.96,2261683.2,2234770.28,2198008.88,2211033.16,2271297.04,2112346.0,2283034.12,2114122.68,2096074.88,2192921.2,2158280.04,2049085.799999999,2214286.52,1493409.32,1501556.2,1514592.1599999997,1273980.0,1423330.68,1284499.0,1273677.68,1246025.6,1186531.64,1224490.6,2005476.84,2059722.6000000003,1511049.04,1899837.56,1907406.64,2164154.6,2125396.44,2319674.200000001,2083019.68,2036594.96
19,2362659.84,2270680.96,2222349.16,2249850.82,2185444.04,2274942.04,2268354.64,2213770.399999999,2219182.52,2284091.72,2123647.5,2401583.98,2225143.0,2100921.52,2253791.6,2181993.44,2116520.7,2304729.76,1541246.08,1657016.5199999998,1543717.08,1385032.0,1461884.74,1350136.5,1307268.2,1283351.7,1200944.52,1251275.4400000002,2066340.48,2093788.8,1556901.9,1946185.4,1947378.32,2306580.8,2264665.72,2379909.7,2180357.86,2126133.48
