,133_1_www.android.com,133_2_www.android.com,133_3_www.android.com,133_4_www.android.com,133_5_www.android.com,133_6_www.android.com,133_7_www.android.com,133_10_www.android.com,134_1_www.android.com,134_2_www.android.com,134_3_www.android.com,134_4_www.android.com,134_5_www.android.com,134_6_www.android.com,134_7_www.android.com,134_8_www.android.com,134_9_www.android.com,134_10_www.android.com,135_1_www.android.com,135_2_www.android.com,135_3_www.android.com,135_4_www.android.com,135_5_www.android.com,135_6_www.android.com,135_7_www.android.com,135_8_www.android.com,135_9_www.android.com,135_10_www.android.com,136_1_www.android.com,136_2_www.android.com,136_3_www.android.com,136_4_www.android.com,136_5_www.android.com,136_6_www.android.com,136_7_www.android.com,136_8_www.android.com,136_9_www.android.com,136_10_www.android.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,1859.0000000000007,1559.2200000000007,2976.7999999999993,1776.1999999999991,1279.3999999999985,1117.24,3774.2,1817.6000000000015,1619.28,1352.6,1591.16,1619.28,1582.28,1592.64,1370.0,1561.1,1577.84,1592.64,1344.7,1335.22,1354.18,1382.62,1433.18,1398.42,1377.88,1349.44,1387.36,1338.38,1517.0,1566.0,1541.5,1581.8,1526.8,1340.6,1330.48,1468.0,1568.96,1526.8
2,5422.2,4146.719999999998,5035.160000000002,5455.08,5524.36,5073.6799999999985,4392.68,5226.64,1529.96,4052.2,1397.5199999999998,1529.96,1268.16,1419.0800000000006,3713.0,1113.799999999998,1203.48,1419.0800000000006,4069.4,545.64,4048.76,3974.52,3657.36,3931.32,3987.48,4059.08,3961.56,4083.16,1585.0000000000007,1031.0,1307.9999999999989,1585.0000000000007,1474.2000000000005,3957.8,4100.36,2687.000000000001,1074.12,1474.2000000000005
3,8394.800000000001,4199.959999999997,8056.120000000001,8413.32,6209.44,6269.76,8302.42,8192.06,4048.76,4410.200000000004,3929.16,4048.76,3817.86,3935.64,4116.8,3602.76,3760.08,3935.64,4132.7,4490.66,4511.879999999997,5440.26,5283.6799999999985,5577.66,5430.12,4251.2800000000025,5560.28,4119.98,3573.6,3606.0,3589.8,3573.6,3580.08,4097.72,4104.08,3669.200000000001,3644.52,3580.08
4,8730.000000000004,8217.32,12307.399999999998,8426.799999999996,7836.2800000000025,8011.76,13262.88,8010.2000000000035,4162.64,7033.5999999999985,5024.800000000001,4131.64,4314.4000000000015,4114.68,5233.199999999998,4947.439999999999,5636.96,4114.68,4346.8,4518.52,4613.32,4419.920000000002,4217.24,6406.720000000004,6227.079999999997,4567.56,5094.759999999998,4642.160000000002,5260.2,5473.0,5391.6,5508.2,5428.96,5011.24,4630.36,5422.4,5269.48,5428.96
5,13568.0,12622.999999999995,22617.399999999947,13478.8,13987.599999999995,13457.4,29795.8,15392.3,5001.799999999998,6134.0,4746.0999999999985,5409.799999999998,4959.199999999999,5462.8,6984.0,4963.599999999995,5442.199999999998,5141.6,8304.5,4971.999999999997,6602.600000000002,8460.4,8376.3,8413.699999999999,8395.8,6338.2,8536.599999999999,6359.9,4378.0,4443.0,4435.5,4626.0,4517.2,7056.6,7483.600000000002,4528.0,4523.5999999999985,4517.2
6,38122.4,13427.36,38032.44,38440.08,38991.36,35996.84,32572.279999999995,38441.92,4352.24,8201.400000000012,6417.96,4645.32,6922.72,4499.880000000001,7614.600000000001,6860.92,7105.64,6113.439999999991,8342.8,9134.68,8299.720000000003,7650.48,8501.399999999992,9473.600000000006,8225.400000000001,8471.759999999998,7691.799999999997,8573.12,8232.800000000001,6115.0,6105.4,6293.8,6185.84,7819.640000000001,8372.88,8398.6,6183.88,6185.84
7,39360.6,38178.02,35831.42,36598.36,37097.88000000001,37367.84,39398.66,36293.62,8360.360000000002,11614.8,8556.119999999999,6259.48,8639.96,6240.240000000002,8654.6,8174.519999999998,10402.32,7410.679999999993,12603.000000000002,13505.64,12642.16,13414.96,13247.48,13138.04,13482.68,12656.28,13212.920000000002,12322.6,8364.2,8228.0,8226.3,8422.6,8311.48,11213.72,11307.800000000007,8356.2,8306.36,8311.48
8,37436.6,39201.64,36457.36,37591.52,38223.84,38696.04,43491.96,42240.72,8316.960000000001,13025.2,8389.08,8543.119999999999,8482.64,8438.560000000001,11562.399999999996,8959.24,11775.04,8446.92,13067.6,13025.96,13766.72,16665.680000000026,33469.679999999986,43844.80000000003,23527.31999999997,13584.36,30041.0,13185.84,8157.000000000003,8029.0,7540.800000000001,8816.000000000004,8064.600000000002,13222.44,12969.44,9960.000000000004,8213.48,8064.600000000002
9,50013.20000000004,37771.08,39226.7,45366.24,44206.32,39090.92,41539.06,46349.9,8055.3200000000015,15929.6,10883.799999999996,8331.719999999998,11784.800000000005,8069.360000000002,13344.4,10649.340000000002,12746.08,9113.199999999997,32857.599999999984,27087.23999999998,45123.42,43936.86,44113.14,44302.74,40505.599999999984,42743.92000000001,45493.84,27956.319999999967,10312.600000000002,13610.0,13475.6,11723.00000000001,13481.16,12819.08,40256.2,13409.6,13265.6,13481.16
10,74561.0,36719.60000000001,40620.2,44461.4,43583.60000000001,54353.80000000001,42156.8,52432.6,12492.000000000005,21386.0,13258.8,11351.00000000001,12986.000000000005,10517.6,15794.0,12757.6,14232.2,13539.6,43876.0,29344.6,44163.8,44810.8,42730.4,46037.2,44284.2,44710.6,44540.6,44201.6,15427.0,13330.0,13433.0,15644.0,13516.8,15367.000000000005,41173.2,13507.0,13094.2,13303.6
11,78955.00000000001,71028.23999999999,57313.38000000001,58956.28,42675.68,56322.24,48271.15999999998,67255.82,13370.639999999998,20973.400000000005,14119.360000000002,13571.08,14023.880000000005,10610.4,21306.2,13714.399999999998,16383.12,13037.68,42639.1,28031.640000000007,45650.9,46877.42,44718.98,44542.04,42812.44,43027.72,46230.68,44233.72,41331.8,26575.0,20061.499999999996,36747.2,31582.48000000001,20527.800000000007,40097.76,30021.2,23711.800000000036,36664.000000000015
12,85159.2,107606.32,61039.12,63778.999999999905,54149.79999999999,69837.84,54945.68,65669.16,14171.08,45714.00000000002,41835.640000000014,13308.96,44172.04,25445.39999999989,21649.2,14634.599999999995,16499.88,29663.639999999985,44581.4,29540.279999999995,44767.96,45260.64,43145.28000000001,45733.24,44754.52,42890.12000000002,44725.92,46358.8,40708.4,39912.0,28174.0,35796.8,41871.88,22032.88,43956.76,29199.399999999994,40721.36,40805.96
