,90_1_www.theguardian.com,90_2_www.theguardian.com,90_3_www.theguardian.com,90_4_www.theguardian.com,90_5_www.theguardian.com,90_6_www.theguardian.com,90_7_www.theguardian.com,90_8_www.theguardian.com,90_9_www.theguardian.com,90_10_www.theguardian.com,91_1_www.theguardian.com,91_2_www.theguardian.com,91_3_www.theguardian.com,91_4_www.theguardian.com,91_5_www.theguardian.com,91_6_www.theguardian.com,91_7_www.theguardian.com,91_8_www.theguardian.com,91_9_www.theguardian.com,91_10_www.theguardian.com,92_1_www.theguardian.com,92_2_www.theguardian.com,92_3_www.theguardian.com,92_4_www.theguardian.com,92_5_www.theguardian.com,92_6_www.theguardian.com,92_7_www.theguardian.com,92_8_www.theguardian.com,92_9_www.theguardian.com,92_10_www.theguardian.com,93_1_www.theguardian.com,93_3_www.theguardian.com,93_4_www.theguardian.com,93_5_www.theguardian.com,93_6_www.theguardian.com,93_7_www.theguardian.com,93_9_www.theguardian.com,93_10_www.theguardian.com
0,-48.0,-48.0,67.0,67.0,0.0,67.0,67.0,-48.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-48.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0
1,34615.16,18997.28,18279.6,12222.52,25490.640000000007,15923.799999999996,1508.6999999999994,23204.799999999952,18013.0,2314.5,56894.28,21699.3,69621.86,32274.34,28726.18,137919.48,74181.31999999999,46185.66,34001.24,77316.36000000004,215.6,-127.47999999999956,-173.11999999999995,-564.8799999999999,-218.1199999999997,1744.64,-127.47999999999956,-56.5,824.2400000000004,-442.64,1404.3,1458.7199999999998,1568.96,-91.22000000000004,-103.12000000000064,1568.96,1512.1,1588.2
2,146751.76,143008.96,142681.48,136226.28,66406.12,127730.12,9120.2,144704.28,142799.0,7386.199999999999,152360.48,149831.84,153114.04,153513.28,149449.67999999993,170559.2,170886.63999999998,152337.32,152734.76000000007,149113.84,431.2,1355.76,1029.8799999999994,1399.4,1349.44,1243.0400000000004,1355.76,-511.0,1422.12,1556.2,743.2399999999999,1219.16,1227.08,1585.76,1470.5200000000002,1227.08,1066.92,1175.6
3,155721.16,153432.06,151991.96,153443.04,146584.58,173930.7,36359.800000000025,154808.48,154731.5,18883.4,187022.39999999997,175088.06,182043.6,174101.02,170783.42,384844.84,397805.84,178636.64,177692.76000000013,180005.19999999995,506.4000000000002,1201.34,1477.08,1300.64,1189.46,2437.820000000001,1201.34,1558.5,883.56,1444.24,4686.48,4215.159999999995,2221.0799999999977,856.6199999999999,2944.46,2221.0799999999977,2444.16,453.6000000000032
4,250403.4,179835.92,177473.04,166102.32,172183.8,281763.91999999987,114516.40000000005,175737.2,179263.0,38513.6,412548.6,329303.6000000002,447136.2,386554.16,267166.36,829762.88,672284.92,489552.56,387210.6,482838.24,1308.5999999999992,597.1200000000001,1286.64,729.5200000000003,581.2800000000002,4470.24,597.1200000000001,1594.0,1495.9600000000012,1204.44,4361.56,4384.28,4251.44,2447.48,2569.9600000000005,4251.44,4548.88,2332.2000000000007
5,479081.2,414986.9,220302.8,227595.0,461099.0,403193.99999999994,142631.5,326660.0,408036.5,120861.5,642761.0,608314.0,661338.9,636713.3999999999,707621.9,878924.6,729148.8,539163.7,578309.8000000005,649828.4,1975.0,2396.0999999999995,644.8,680.1999999999985,4532.4000000000015,7163.8,4751.5999999999985,1159.0,2284.8,569.4,7083.2,6701.800000000001,4194.5999999999985,4548.9,4576.0999999999985,4541.8,4227.999999999995,4429.5
6,509004.20000000007,520597.84,583206.16,370310.88,500315.44,661464.08,144535.4,364091.04,505117.0,141694.6,681369.72,697310.88,682919.84,681302.84,833510.0399999998,977328.76,972398.48,688083.1599999999,875971.4400000002,718634.48,1657.2000000000005,3073.1200000000013,2605.04,4675.84,4541.32,5864.360000000002,4560.28,724.0,4347.64,2764.9200000000023,7075.12,7129.440000000001,5854.88,6646.76,7129.3600000000015,6416.6799999999985,6540.44,7091.8
7,585603.52,538566.4400000001,742516.9199999998,723707.56,553005.88,887800.6,146750.6,692430.4,626769.0,148832.40000000002,840293.36,745187.38,734726.44,732346.34,895154.22,1085205.64,1018116.52,891484.9599999995,908604.16,744706.8200000002,878.3999999999997,4353.66,4299.079999999998,4604.52,4331.54,10483.94,4353.66,2571.0,4301.28,4538.44,8136.819999999998,9053.799999999996,6998.399999999998,7086.44,6367.419999999999,7582.399999999998,8750.38,6621.9
8,707600.04,715703.7999999998,957084.44,889132.88,629414.52,1087357.96,154428.2,840838.28,776624.0,151131.4,963755.96,939499.8,979870.88,969550.48,962589.56,1278153.32,1071066.84,978581.16,962148.52,976567.04,5214.2,4150.359999999999,4675.72,4367.88,4322.839999999998,14067.88,4150.359999999999,4571.0,7010.04,4602.16,12624.8,10744.96,8044.28,7962.879999999997,10856.679999999997,11623.52,10381.76,6229.2
9,879058.4000000001,903703.78,1080938.4,962999.44,870082.2,1143927.2,152825.2,934006.56,839925.0,156096.7,1002293.12,1017210.76,989811.86,1015186.54,996364.2,1291784.4,1268775.72,1032897.58,985824.9200000002,1010530.98,5144.6,7024.72,4549.24,4258.160000000002,3868.82,13634.6,7024.72,4615.5,6985.359999999999,4364.72,13845.52,14008.56,9864.24,11103.559999999996,10626.12,10653.64,10588.839999999998,11226.600000000004
