,378_1_www.cinema.de,378_2_www.cinema.de,378_3_www.cinema.de,378_4_www.cinema.de,378_5_www.cinema.de,378_6_www.cinema.de,378_7_www.cinema.de,378_8_www.cinema.de,378_9_www.cinema.de,378_10_www.cinema.de,379_1_www.cinema.de,379_2_www.cinema.de,379_3_www.cinema.de,379_4_www.cinema.de,379_5_www.cinema.de,379_6_www.cinema.de,379_7_www.cinema.de,379_8_www.cinema.de,379_9_www.cinema.de,379_10_www.cinema.de,380_1_www.cinema.de,380_2_www.cinema.de,380_3_www.cinema.de,380_4_www.cinema.de,380_6_www.cinema.de,380_7_www.cinema.de,380_8_www.cinema.de,380_9_www.cinema.de,380_10_www.cinema.de,381_2_www.cinema.de,381_3_www.cinema.de,381_4_www.cinema.de,381_5_www.cinema.de,381_6_www.cinema.de,381_7_www.cinema.de,381_8_www.cinema.de,381_9_www.cinema.de,381_10_www.cinema.de
10,661289.6,524027.4,526943.4,537040.2,656741.8,624261.6,626570.2,531035.0,523637.4,583565.4,734983.2000000002,843146.3999999998,885964.2,798225.6,717813.4,712610.3999999998,764976.0,775366.1999999998,715122.6,840292.4,811051.8,831212.0,696914.6,802080.4,842448.0,704400.0,827177.8,698483.0,850292.7999999998,521200.2,516491.0,516948.0,615832.8,516935.0,636686.6,507105.4,513890.0,632931.6
11,691291.06,645950.7200000001,659512.76,659426.12,662931.28,659093.16,649722.96,658409.46,557393.7600000001,622899.16,892617.7999999998,983009.1599999992,994989.26,851451.38,839704.22,769384.56,845334.4000000001,878509.74,757722.9799999996,886963.8600000003,845497.52,853142.68,723910.8,830148.92,870380.8,823948.4199999998,848164.98,819318.3,879105.48,630938.8000000004,648793.8,615063.84,648444.68,649068.9,647138.96,527480.94,582167.6000000003,647313.3
12,788081.16,670447.8,676091.12,678533.1599999999,674678.28,666652.3999999999,669621.28,669920.28,635183.0800000001,659144.64,999023.4,1028605.76,1058757.2000000002,991673.24,858943.2000000002,849065.68,993060.4,985227.12,886946.24,994831.08,867351.2,865622.56,829353.24,840432.08,899166.6,838606.04,861551.36,841239.6,924825.36,658813.84,668595.1999999997,651315.52,663593.84,677264.7999999998,662896.28,584481.92,644559.6000000001,660478.76
13,802540.4,767790.3600000001,704555.4,739576.8399999994,738367.24,726329.28,678950.62,710147.4,691844.32,664428.12,1057524.32,1063636.56,1071355.34,1001402.8,994616.3,866231.36,1006985.0,1037866.36,993972.14,1054214.72,913008.38,925071.4,853244.76,903388.48,912947.2,856013.1,912912.14,866807.7,962386.38,755271.12,756418.6,664293.28,775688.92,760749.2,697803.4000000005,663619.7,739536.8,738042.3999999998
14,807663.08,794585.84,795956.1200000001,793157.72,745279.4,738041.04,695795.4400000001,793749.84,771392.04,672049.84,1074230.6,1073469.84,1184969.52,1059062.64,1052610.24,878821.88,1056145.6,1046750.44,1038506.32,1072254.08,937788.28,945236.88,862924.32,917803.6,973530.8,896842.6399999999,922018.8,875416.2,971719.2,767190.48,796087.9999999999,715392.2,812563.76,771948.8,793239.6799999998,783635.04,759648.2000000002,787176.76
15,828171.4999999999,820715.7,806760.2,827567.1999999998,778944.4,776083.6,735684.0,820980.9,784494.6,697786.2,1161422.0,1110664.5,1198751.7999999998,1078970.3,1062801.9,932001.9,1106384.0,1073786.0,1070391.9,1107901.2,1010257.3,968235.9999999987,880017.6,955224.6,992519.0,931961.4,989760.9,909377.5,1037882.4,795997.8,814731.0,821510.6,818404.2,813181.0,806718.0,796387.2,816792.0,794731.9
16,853752.8000000002,829801.72,866818.08,914258.44,812117.28,808666.76,788122.92,825874.68,822588.96,746012.32,1223655.88,1213188.6399999994,1239465.16,1112513.6,1099766.7600000005,968585.24,1192621.2,1135997.52,1079650.8,1194468.2,1035670.08,1016766.4,890141.04,1003216.92,1059751.8,953179.2,1029659.92,938932.8000000007,1050002.64,836834.12,851626.3999999998,831895.48,826576.96,826359.0,836193.44,821931.6,828090.0,837132.48
17,893646.8,837751.7999999998,881056.96,957338.28,846007.16,820906.16,817603.58,837020.88,832834.92,791695.1999999998,1296285.08,1232713.66,1309069.04,1226313.82,1190829.46,1115306.26,1227227.8,1220770.86,1189516.62,1236364.78,1041214.56,1040982.48,950319.04,1023953.58,1066880.2000000002,1003571.38,1043641.26,966677.6,1055630.68,867771.28,886463.6,840922.5599999998,892422.5199999998,871157.4,862749.12,832319.62,845136.4,849068.26
18,929148.28,861573.4400000002,918373.12,968571.04,880883.6799999998,844665.92,830811.4,899795.32,894406.84,807448.84,1305462.64,1296747.68,1320451.32,1240715.24,1229890.88,1127826.04,1241539.6,1230048.88,1201179.6,1307112.48,1049222.64,1051866.72,983667.36,1029121.36,1087872.6,1011052.92,1053807.24,998055.4,1123756.0,876613.52,892443.8,900904.92,901038.12,884610.8,882948.88,879057.96,866305.4,879520.08
19,979924.26,866661.22,927755.92,985789.88,967211.4,949035.8,847835.28,938448.88,927135.12,817545.56,1311922.44,1308563.98,1329893.82,1309140.18,1234055.54,1136087.16,1247316.4,1236014.04,1242659.68,1315884.48,1063077.56,1116523.36,1034447.96,1035506.26,1118999.6,1030761.66,1123553.98,1035563.2,1132896.08,892634.8,904923.8,913367.64,908583.88,891432.6000000002,918258.4,887301.34,879641.3999999998,883902.74
20,1072576.2000000002,937841.0000000001,979565.2,1004951.8,1065049.0,956589.0,861445.8,944024.8,934652.2,866256.8,1323296.8,1318348.4,1336629.8,1318841.4,1306035.8,1202742.2,1320941.0,1302834.6,1313039.6,1321756.4,1107686.8,1133538.6,1045163.4,1107412.6,1189183.0,1038869.4,1131172.6,1040639.0,1244467.4,926742.8,915054.0,919393.2,943294.4,900500.0,975947.8000000002,913354.6,933594.0,967667.6
21,1080723.34,992621.8800000006,1073429.0,1023589.5999999995,1069751.08,980404.64,910877.54,1067954.56,945948.48,947413.48,1336078.4,1325223.26,1354864.2400000002,1323793.28,1308758.74,1214068.68,1325926.8,1319873.12,1315991.16,1326771.5600000005,1139235.6,1154664.64,1050996.48,1109864.98,1229109.7999999996,1055709.2,1143416.44,1071411.6,1268317.98,954950.12,948482.0,976054.62,974518.48,947449.3,983757.28,923017.26,978143.2,975475.66
22,1148416.84,1072424.84,1083266.44,1077043.24,1088225.32,1047022.84,1021177.9200000007,1076617.36,983305.6,1017490.4400000005,1421867.52,1334891.24,1436630.12,1331815.36,1319754.48,1314668.88,1333492.4,1323650.12,1325993.64,1339193.4,1256310.48,1253625.4,1054417.36,1126842.16,1300554.4,1113607.68,1257467.56,1113309.6,1309462.4400000004,989289.48,981776.0,984033.76,980911.32,977721.8,993846.48,981521.08,981944.4,984367.88
23,1153790.06,1080921.14,1150600.24,1083043.36,1142561.12,1048061.08,1088493.1,1079423.52,1076267.88,1061337.68,1433336.48,1414573.2,1458273.14,1346301.2400000002,1321783.38,1322968.92,1417331.2,1329312.56,1329674.56,1422892.6,1263730.06,1273116.16,1066083.96,1229535.34,1308187.8,1123631.88,1274892.04,1124753.1,1370020.5200000007,995163.36,986441.2,991010.66,994585.6,987448.9,1058101.12,984402.52,988384.8,1022624.86
24,1157158.28,1089464.56,1156313.84,1088001.16,1156682.64,1066152.44,1151822.16,1148361.36,1084050.76,1063686.64,1448670.76,1436079.12,1456357.88,1359396.32,1332772.2000000002,1329259.72,1428815.2,1343754.72,1337168.08,1440943.44,1341389.32,1296531.32,1138922.88,1239441.48,1323913.4,1133071.24,1291456.48,1152349.8,1407555.76,1005581.48,992390.0,996697.96,1060388.36,992335.2,1061587.12,994038.44,1037231.2000000004,1054536.84
25,1166924.5,1156544.5,1159977.0,1154127.0,1163343.0,1138336.0,1158390.5,1154006.5,1154091.0,1136855.0,1554928.0,1448049.0,1473283.5,1366773.5,1413712.5,1341956.5,1450565.0,1420934.5,1350179.0,1457618.0,1353620.5,1390612.0,1156464.0,1243672.5,1408554.0,1249948.0,1353286.5,1159245.0,1412117.0,1067067.0,1056143.0,1061983.0,1064570.0,998036.0,1071692.0,1059668.0,1059801.0,1059533.0
26,1243730.28,1164311.24,1171671.2,1158525.3999999994,1171413.36,1166988.4,1164550.2000000002,1159694.04,1159931.56,1142104.6,1594503.8,1449304.9199999997,1512031.96,1396230.64,1429183.6,1423432.96,1449264.8,1440251.72,1428846.2,1462238.04,1365797.32,1409184.04,1259157.08,1323472.28,1426758.0,1256791.12,1408731.12,1264117.6,1424989.52,1073034.24,1062194.4,1069287.64,1070890.16,1065967.4,1077781.12,1068689.68,1066831.6,1067032.7999999998
27,1253031.62,1238038.74,1246239.68,1234863.84,1247963.08,1243559.7200000002,1171147.4,1186800.84,1165793.16,1150033.4,1701589.48,1483471.22,1624286.2400000002,1496824.2799999998,1448019.22,1434340.08,1466917.0000000002,1452803.44,1447237.54,1492994.7,1369307.04,1413236.88,1284559.76,1332837.8,1429909.4,1267518.0,1409814.2400000002,1293379.4,1470692.02,1077131.68,1066875.8,1074363.42,1073997.12,1073355.1,1088599.68,1073692.08,1070472.4,1072565.12
28,1271167.84,1244025.16,1258480.44,1245408.04,1256678.16,1246750.8,1244814.24,1246628.04,1174083.4,1157675.56,1715058.4,1499569.24,1634858.6,1589234.04,1459626.32,1443305.12,1495597.8,1466477.1999999997,1462750.64,1517685.44,1388830.08,1413533.4,1360042.04,1350709.1999999995,1445811.999999999,1295148.6,1412319.6,1297558.6000000006,1566734.04,1081544.28,1079069.8,1077300.2,1079895.48,1076235.6,1093223.4,1076010.36,1078079.0,1079907.28
29,1279959.76,1259102.68,1270882.48,1260047.48,1273845.04,1261635.4,1255217.14,1258179.74,1177826.32,1159357.96,1723789.44,1615542.6,1687632.44,1606010.34,1567152.94,1450718.06,1564229.4000000006,1482549.3,1515304.2799999982,1616049.16,1392810.42,1424779.52,1367770.36,1378818.7799999998,1519959.4,1375987.58,1426408.6,1373488.8000000005,1594611.22,1082977.64,1079713.4,1083512.98,1090506.96,1077391.3,1166640.2000000002,1078163.2000000002,1083680.0,1085112.72
30,1395228.2,1262926.8,1279891.8,1263846.4,1278123.4,1268671.6,1267449.8,1264464.0,1254482.2,1212494.1999999995,1755146.6,1629955.6,1745512.799999999,1658753.6,1596925.2,1474143.2000000004,1624417.0,1506313.0000000002,1605456.4,1631587.6,1471762.0,1531450.1999999997,1386119.0,1379476.4,1517788.0,1394615.0,1515938.1999999997,1391149.0,1619008.2,1095349.6,1090822.0,1092420.2,1095030.0,1154314.0,1182245.2,1090381.2,1158029.0,1157115.2
31,1405004.18,1276448.36,1392693.6,1288136.3600000006,1303070.2800000005,1280637.56,1277814.96,1371304.26,1266027.8,1241997.92,1804455.44,1689234.7,1851815.3200000003,1678887.74,1600060.94,1481740.54,1637640.6,1602493.8,1604691.68,1683918.42,1560922.44,1560153.88,1390628.48,1378911.38,1615862.0,1398602.24,1563335.34,1392279.8,1666402.06,1169860.44,1129665.4,1166496.46,1167053.28,1164736.6,1191198.72,1163692.12,1167482.0000000002,1168914.34
32,1411962.96,1375550.16,1402414.84,1377566.24,1401868.12,1392634.04,1380158.88,1390083.28,1275366.68,1256595.64,1818357.96,1788677.52,1892385.24,1783683.04,1623283.76,1586703.44,1696019.0,1626776.68,1626090.56,1814771.48,1583485.84,1603813.56,1403151.76,1406929.4,1641393.4,1405847.48,1611883.76,1398922.0000000002,1692505.16,1182144.36,1172383.8,1182112.44,1181883.8,1177549.6,1223014.9200000013,1177954.92,1180937.6,1187378.96
33,1423226.62,1396275.36,1409747.28,1395040.28,1408089.24,1397567.76,1398805.78,1399667.5200000005,1281751.64,1265818.92,1852415.68,1798970.4200000004,1898374.46,1826753.34,1668995.38,1620372.2,1800319.4,1640846.9,1630162.82,1838959.36,1602048.92,1622227.36,1414875.4,1506063.1,1666286.6,1411948.9800000002,1629587.56,1410222.7,1700409.34,1195591.68,1188123.6,1191174.68,1193648.12,1191041.3,1300501.16,1191303.98,1187764.8,1191798.62
34,1466490.28,1403489.04,1415027.92,1406798.08,1414613.08,1406926.64,1409960.2,1404330.32,1390952.3199999998,1270281.36,1872087.76,1848050.12,1939462.84,1877861.84,1690654.12,1631705.44,1844992.8,1703164.68,1687589.16,1845637.96,1612874.92,1662679.84,1424192.12,1562552.64,1688980.1999999997,1505294.52,1680055.84,1491953.0,1716837.7599999998,1198754.48,1196525.4,1207079.5199999986,1195934.04,1197412.4,1318109.0799999998,1195123.28,1194661.2,1289348.04
35,1564591.8000000003,1415223.8,1425272.0,1410959.9999999998,1424624.4,1415802.6,1412810.6000000003,1415789.6,1401012.6,1370529.8,1930629.6,1881857.6,1975964.0,1912878.1,1815240.8,1682096.2999999996,1884432.0,1738912.4,1717053.1,1893685.6,1634048.0,1688671.6,1512277.0,1577018.3,1698298.0,1548599.2,1688676.9,1535678.5,1789679.0,1297820.4,1296651.0,1315517.9999999998,1297542.6,1298153.0,1330889.2,1282910.9000000004,1291218.0,1308032.1
36,1576900.12,1420807.48,1458677.8400000003,1422583.32,1431917.5599999991,1422764.48,1423909.28,1424910.96,1408095.64,1390694.56,1939053.52,1884745.2800000003,2002163.36,1917167.08,1825994.36,1793551.08,1910128.8,1831356.2,1827410.68,1894054.96,1690744.68,1694973.88,1561999.4400000004,1606934.6,1719062.6,1555669.4,1697540.32,1556476.4,1880809.24,1317245.4,1318113.7999999998,1322287.8,1315966.32,1316622.2,1338820.96,1312769.96,1311171.6000000006,1313527.44
37,1632253.6399999997,1419354.04,1524939.56,1429062.04,1527897.7600000002,1447620.28,1436193.28,1458670.38,1420429.68,1396621.64,1937381.52,1892312.84,2012914.66,1930643.34,1856174.3,1818753.28,1932256.8,1876299.8,1843123.56,1921680.82,1701682.16,1711392.28,1583099.4,1626355.06,1850556.9999999984,1585744.5399999996,1721055.16,1567541.9,1988795.4400000009,1323957.88,1322839.8,1327068.18,1321350.92,1326015.1,1342896.92,1315808.24,1317803.4,1326034.72
38,1804308.8,1423339.04,1527025.8,1427110.44,1562754.6,1495904.16,1522414.28,1515883.64,1426169.28,1402370.2000000002,1972366.88,1918888.2,2024375.6,1960514.44,1872127.84,1875496.72,1932717.4000000008,1905411.56,1863919.08,1931376.68,1710979.84,1728573.28,1596382.92,1638740.0,1932795.6,1606450.68,1744127.16,1592975.4,2032579.8000000003,1331295.04,1329001.8,1342799.92,1338186.56,1330563.2000000002,1343759.08,1328388.76,1328484.2,1333713.36
39,1803705.56,1511510.3,1529380.6400000004,1428746.8799999997,1561341.08,1507696.56,1522464.16,1515974.22,1455225.6400000004,1411876.32,1999161.44,1956104.6,2042662.6,1997892.14,1914730.68,1913147.46,1938924.6,1923846.72,1908270.78,1957202.8,1727528.52,1801676.28,1644776.24,1653635.08,1944879.2,1647878.46,1865119.3,1634423.3,2046608.68,1344626.92,1342711.4,1345815.96,1339149.8399999996,1342527.4,1351287.7599999998,1333982.36,1338603.6,1336601.56
40,1878276.0,1568795.2,1580389.4,1516552.4,1566066.2,1516914.0000000002,1557936.6,1555796.6,1518680.2,1418397.2,2008187.4,1981557.8,2099255.8,1989579.6,1940509.6000000003,1919529.4,1982903.0,1919758.0,1931693.0,2008819.2,1733531.8,1934383.2,1652317.2,1660446.6,1957402.0,1661459.0,1992035.2,1650037.0,2044353.8,1345556.4,1344965.0,1347860.6,1343721.6,1349014.0,1390546.0,1339932.6,1339537.0,1339427.6
41,1926183.94,1573232.32,1720896.360000001,1583969.92,1581627.92,1572852.320000001,1574000.32,1631677.7,1615913.8,1436015.1599999985,2029030.16,1994738.94,2288983.76,1996254.16,1933813.08,1928149.54,1992732.2,1927548.06,1941016.32,2015560.64,1728166.6,1945372.4,1669629.92,1685382.36,1969170.2,1668047.68,1999131.38,1654749.3,2109077.56,1347803.36,1344950.6,1350512.36,1344943.08,1348169.6,1461768.0800000003,1344376.76,1340580.6,1346444.54
42,1958102.16,1674104.960000001,1860747.24,1730177.92,1699973.36,1630496.2,1663167.92,1790848.4000000015,1762981.88,1546494.6,2044375.16,2001176.76,2366102.44,2033672.4,1942228.8,1927934.1200000003,2023172.4,1959523.76,1978949.24,2023663.28,1738121.2,1956166.36,1675742.56,1709146.96,1969891.0,1684983.48,2017442.44,1673100.6,2140652.24,1347488.92,1348285.8,1347929.88,1353590.1999999995,1373750.8,1483369.2800000003,1346661.6000000006,1342588.2000000002,1347253.8
43,1966190.6,1868874.4400000009,1930007.36,1841386.16,1863867.44,1749995.0399999996,1823387.4800000025,1921372.56,1918519.64,1639312.4400000004,2083652.5200000016,2019625.06,2408625.200000001,2157202.34,1975445.56,1974923.96,2032976.6,1968678.82,2004054.6,2050881.62,1917231.9,1965179.12,1704306.8400000003,1713570.54,2031025.4,1699916.78,2014544.36,1687752.4,2338473.999999998,1370885.2,1367257.4,1433231.1,1418140.3999999997,1378956.2000000002,1552081.88,1348828.28,1362821.0,1415637.4
44,1969100.24,1924337.52,1960145.56,1921456.08,1929752.12,1921006.24,1925636.52,1929167.48,1922361.24,1805603.960000001,2273348.92,2045460.88,2758566.68,2206272.0,2002974.84,1997158.04,2053198.0,2014654.32,2014425.24,2062634.8000000003,2016627.72,1970771.6,1717844.88,1732760.8799999997,2048470.2,1714185.2,2024066.88,1731228.8,2816322.800000001,1436785.44,1393638.4,1477187.68,1468696.2,1476285.4,1558411.64,1444752.6800000004,1425319.800000001,1468555.44
45,1981200.0,1929382.4,1967416.6,1933417.0,1960969.000000001,1930029.2,1933532.9,1955924.2,1953236.6,1911080.4,2285545.0000000005,2204618.7,2941596.8000000007,2322334.9,2008923.7,2004435.1,2065075.0,2028110.0,2020455.3,2198911.9999999986,2029674.6,2032420.7999999996,1862261.600000001,1749488.6,2078754.0,1721609.3,2090638.9,1775856.0000000002,3319357.199999999,1483504.2,1475280.0,1487541.4,1475082.1999999997,1479590.0,1554080.0000000002,1476474.7,1472252.0,1477833.8
46,1993040.16,1957154.32,1987150.36,1960164.84,1968008.76,1960913.16,1965473.48,1960559.04,1960896.4,1929499.76,2351120.04,2305590.64,2997891.6,2352303.84,2019251.56,2020022.44,2167876.4000000013,2043479.68,2032944.88,2350397.64,2043503.48,2046016.36,1907804.92,1771375.08,2148307.8,1865615.6,2106260.48,1928917.8,3855006.880000001,1518350.8000000003,1532348.4,1542191.44,1493760.6,1537070.8,1563686.4,1532270.7200000002,1479743.0,1546571.24
47,2000002.12,1964564.24,1984061.4,1977817.56,1985171.2,1968644.92,1968633.78,1977968.72,1979668.92,1937786.28,2384357.12,2372522.12,3070605.96,2360755.38,2035534.52,2033434.48,2311695.6,2181492.24,2104657.16,2374508.16,2105162.06,2090882.5599999991,1917476.24,1996846.2,2450724.6,1955024.08,2141931.04,1939906.1,4335551.04,1559321.28,1552344.6,1565183.3,1544678.919999999,1557821.3,1568169.52,1555575.82,1548951.4,1551543.4400000004
48,2006687.6,1973123.8,1991429.32,1975004.68,1983387.2,1975975.92,1987302.92,1975262.64,1982268.88,1946860.4,2453518.52,2392678.3200000003,3081721.64,2370636.36,2130727.96,2168741.32,2374433.4,2266452.4,2218882.2,2423164.8,2142715.48,2150181.76,1949271.0,2037625.36,2702922.799999996,1967663.12,2211845.44,1951215.6,4795092.639999999,1551887.36,1561678.8000000003,1553364.72,1548650.0,1550984.2,1575524.24,1548586.52,1552488.1999999997,1547866.6
49,2013790.78,1976165.1,2000187.04,1978368.88,1993272.28,1982868.08,1988539.26,1977700.1,1979824.36,1950772.88,2808850.2800000035,2494774.419999999,3089984.32,2376067.16,2245307.14,2324273.14,2419295.8,2270856.28,2317735.88,2871486.04,2210193.4000000004,2455445.16,1943210.2,2054762.72,3101407.199999997,1979859.26,2284549.68,1983785.6,5255705.36,1554263.04,1551651.2,1563191.36,1550707.6,1554809.5999999994,1580683.84,1561913.08,1548655.0,1558090.36
