,86_1_myspace.com,86_2_myspace.com,86_3_myspace.com,86_4_myspace.com,86_5_myspace.com,86_6_myspace.com,86_7_myspace.com,86_8_myspace.com,86_9_myspace.com,86_10_myspace.com,87_1_myspace.com,87_2_myspace.com,87_3_myspace.com,87_4_myspace.com,87_5_myspace.com,87_6_myspace.com,87_7_myspace.com,87_8_myspace.com,87_9_myspace.com,87_10_myspace.com,88_1_myspace.com,88_2_myspace.com,88_3_myspace.com,88_4_myspace.com,88_5_myspace.com,88_6_myspace.com,88_7_myspace.com,88_8_myspace.com,88_9_myspace.com,88_10_myspace.com,89_1_myspace.com,89_4_myspace.com,89_5_myspace.com,89_6_myspace.com,89_7_myspace.com,89_8_myspace.com,89_9_myspace.com,89_10_myspace.com
21,6368983.2,6106973.66,6088191.0,6416827.66,4447733.56,6291786.84,6847707.519999992,7575712.8,5585206.56,5407144.0,3039360.82,2411759.1599999988,2426950.48,2241955.68,2170114.58,2344435.9,2168892.6,2250821.14,2342834.48,2400448.68,2144458.12,2142061.08,2357342.24,2947969.34,2258172.76,2344511.36,2258347.5200000005,2316597.519999998,2206675.28,2234115.999999999,710594.32,30072.6,105768.54,1245347.28,7497353.56,856399.28,747930.12,1121803.12
22,6566901.199999998,6588713.959999997,7139366.0,6927713.199999998,4480728.32,6979831.159999995,7800387.68,8400378.6,5677903.6,5464660.4,3049537.68,2885086.44,2454687.84,2327431.08,2334899.12,2395692.3200000003,2335371.2,2320295.32,2367500.64,2549298.16,2306531.44,2197711.200000001,2378846.52,2973549.16,2344312.8800000018,2359034.12,2346199.68,2372909.04,2287735.48,2319689.84,710460.08,30491.00000000001,136763.92,1257426.84,7537628.56,933893.3200000004,754306.12,1215693.6400000008
23,6638748.84,6675235.92,7817537.0,7447006.62,4717007.52,7834922.8,8523139.240000002,9134211.88,5765925.88,5564965.6,3061922.58,2902544.44,2473215.4399999995,2392832.48,2358781.34,2544068.88,2361573.8,2342639.3,2537013.6,2580257.76,2371183.04,2325039.88,2404696.18,2986067.58,2376748.040000001,2406132.64,2377438.9600000004,2760306.64,2324947.64,2394708.12,724301.32,31970.800000000007,229711.56000000052,1347135.6,7612100.639999998,1196267.28,821899.64,1234007.92
24,7110396.3999999985,6725520.120000001,8610735.0,8458943.320000004,4754418.2,8579701.4,9195628.48,10172392.2,5807739.64,5613025.6,3084609.92,2938921.64,2794605.7199999983,2413391.48,2532001.84,2794531.32,2428057.6,2389387.92,2559933.68,2597923.24,2440492.48,2381080.88,2544111.72,3002541.04,2768674.200000001,2432021.2,2870220.76,2898773.04,2407973.88,2507197.16,762393.7999999998,31207.6,311757.7200000001,1386569.52,7741574.92,1223012.48,984780.4,1239896.68
25,8046448.0,7258560.0,9413182.0,9498723.5,4951449.0,9306621.0,9868177.0,10889373.0,5919988.0,5668597.0,3105456.0,3078955.0,3067691.0,2558864.0,2922188.0,3072088.5,2566809.0,2543467.5,2586820.0,2622942.0,2847299.0,2522848.0,2613355.0,3008194.0,3014765.0,2604304.0,2924283.0,2910573.0,2572119.0,2541673.0,847496.0,31282.0,364092.0,1398202.0,7783759.0,1333494.0,1078610.0,1258640.5
26,8947238.32,7843954.6000000015,10187669.0,10481453.28,4962030.12,10049902.28,10521780.8,11421456.68,6105252.08,5799625.4,3141071.44,3129152.8,3084374.12,2571920.76,3073313.72,3090331.72,2598768.9999999995,2569489.88,2617028.88,2632557.48,2934895.0,2939813.04,2630576.68,3050337.72,3057549.92,2623519.76,3062915.84,3055402.64,2585857.08,2562748.56,893147.0800000003,30037.2,455509.2800000005,1411311.48,8002673.36,1352961.84,1147157.24,1277728.08
27,9837383.2,8518802.48,10963222.0,11448720.2,4975319.68,10707212.2,11399951.08,12283933.480000004,6473428.48,5951354.2,3153220.12,3174485.04,3096980.04,2607761.48,3083398.44,3122476.24,2613212.4,2617681.62,2622359.76,2665404.24,3073753.28,3046115.2,2651604.34,3075094.18,3093857.920000001,2992404.2,3069978.82,3082632.68,2616773.08,2590524.32,986480.5600000005,31911.2,531276.82,1502711.4,8230206.88,1362702.6,1156571.04,1309506.66
28,10769861.8,9258773.8,11767499.0,12389432.8,4987953.52,11295428.839999998,12111356.4,13175732.4,6649959.08,6088234.999999999,3169667.72,3184108.92,3111131.24,3063190.399999999,3112927.12,3138530.8,2636571.8,2860112.28,2635575.52,2692995.6,3091349.5600000005,3095764.56,2661026.72,3093451.24,3122093.6,3141240.32,3103136.32,3133863.12,2623356.12,2817049.880000001,1076785.04,35407.200000000004,600062.12,1752177.1199999994,8255943.32,1364930.96,1255828.64,1556718.6800000004
29,11579485.84,9981791.72,12492978.0,13185835.4,5071267.28,11913578.12,12720147.240000002,13975315.2,6696769.12,6551796.999999999,3189531.48,3192346.92,3144586.04,3116375.6,3133319.98,3157621.12,2643571.4,3152528.12,2664782.92,2709972.56,3111173.68,3124665.88,2667107.14,3120390.02,3153199.08,3162649.52,3115610.94,3145237.4399999995,2632336.16,3115108.64,1111591.52,35701.400000000016,693040.7,2002668.08,8376490.92,1378281.3199999996,1266402.28,1802423.82
30,12583982.0,10774500.0,13495256.0,14091572.400000002,5311015.0,12516555.399999995,13522175.200000005,14941826.200000005,6739214.2,7037203.0,3199984.8,3202894.8,3154860.2,3138619.2,3146622.6,3185157.2,2648157.0,3162892.4,2677770.6,2733094.8,3135805.4,3151189.4,2691507.0,3141778.6,3184320.4,3173020.2000000007,3129293.8,3150413.2,2653944.4,3132575.4,1189994.4,35326.0,728049.2000000002,2029082.2,8564024.0,1397377.8,1316350.0000000002,1812028.6000000003
31,13554891.679999994,11442226.6,14236433.0,15075150.1,5487427.88,13196828.6,14297619.8,15832080.8,7099080.040000003,7906961.599999999,3232008.26,3221047.28,3181261.12,3154742.64,3175623.38,3198040.98,2665901.8,3173131.32,2702469.28,2749848.88,3175210.48,3168830.24,2705334.26,3165105.38,3198646.36,3183510.16,3170343.14,3170208.08,2695420.16,3153737.96,1198272.76,33461.200000000004,819704.2,2035251.56,8968689.92,1400520.08,1388094.08,1821802.16
32,14311047.72,12210694.32,15160067.0,15956062.2,5552278.12,13866287.959999995,15047541.6,16742983.6,7959378.88,8655338.2,3251288.08,3229937.48,3198378.64,3169917.24,3186927.36,3208510.52,2699196.4,3183694.72,2717669.36,2759610.32,3193107.48,3178497.32,2718236.12,3182654.36,3208756.92,3192683.32,3198425.88,3207009.52,2712765.2,3164076.88,1206643.72,32689.8,894076.9600000002,2039902.2,8999603.24,1422394.52,1388376.76,1834808.92
33,15124931.24,13041154.440000005,16077558.0,16969186.78,5551774.96,14521141.24,15872554.4,17531639.92000001,8751362.4,9386359.0,3275967.02,3261860.32,3213666.64,3179801.08,3200980.840000001,3222578.22,2712448.0,3190094.16,2732445.84,2771753.72,3200976.88,3190967.66,2747870.48,3201838.5600000015,3218759.92,3225029.72,3209032.42,3221828.68,2725148.6,3171552.52,1224019.54,32768.39999999999,1033113.2400000001,2066987.56,9318209.919999998,1481423.2,1398540.56,1973212.06
34,15998079.8,13780935.12,16936744.0,17906629.4,5567270.56,15081917.4,16850736.36,18577242.200000007,9488375.2,9958030.399999997,3279213.64,3271753.72,3233923.72,3189191.56,3227655.72,3239244.24,2735598.6,3206471.48,2744576.32,2789042.32,3209757.68,3219561.64,2772210.8,3207034.32,3242905.64,3237030.44,3221045.96,3230355.8,2745619.24,3180312.44,1246043.64,32634.199999999993,1087380.8,2071941.88,9813580.48,1615133.7999999996,1407973.92,2014419.32
35,16897771.799999993,14579730.800000004,17845757.0,18964798.800000004,5594369.2,15699707.8,17811496.0,19469440.0,10206793.400000002,10822336.0,3313194.2,3298614.4,3257628.4,3196060.4,3243164.3,3257432.0,2747424.0,3222709.9999999995,2768927.8000000003,2815569.0,3217841.2,3233484.0,2791393.6,3219904.3,3249823.4,3260145.8000000007,3241071.3,3257019.2,2761295.4,3198438.2,1267453.0,34252.0,1218259.4,2088954.6,10493276.4,1742402.4,1471141.0,2018935.3
36,17801244.6,15353375.48,18787939.0,20014615.56,5604565.72,16487943.079999998,18575045.8,20411058.8,10936829.48,11483730.0,3315491.52,3311981.1999999993,3272281.72,3219535.64,3268203.2,3274742.32,2767405.2,3256869.92,2782344.16,2816566.64,3230527.04,3243953.88,2802355.2,3229431.88,3275762.84,3274405.64,3258703.12,3279727.44,2779509.44,3220069.64,1345060.4400000004,34344.8,1341648.2000000002,2092437.92,10959554.319999997,1999385.4,1481415.28,2026340.68
37,18723583.2,16067608.159999995,19650896.0,20908609.2,5626217.88,17084844.359999992,19494103.48,21241894.96,11701884.6,11949806.399999995,3324524.28,3330824.3200000008,3291395.48,3235984.96,3283563.94,3295340.02,2780693.8,3269135.12,2797930.600000001,3310137.96,3242733.32,3262103.1200000006,2923869.26,3243697.58,3285581.92,3299332.92,3276572.62,3299283.72,2791471.4,3239912.68,1413896.78,34891.800000000025,1411768.4,2106358.12,11487342.439999996,2121941.4,1487465.76,2032575.98
38,19643690.639999993,16768705.8,20402531.0,21724919.880000006,5653190.12,17722436.159999996,20286533.4,22296446.4,12311739.4,12410473.8,3326930.96,3351366.16,3329606.48,3266274.84,3299485.52,3313175.56,2796145.8,3285213.76,3168893.4400000013,3330206.64,3255592.68,3276254.16,3312076.04,3254367.48,3310904.28,3329076.72,3290543.84,3307219.92,2810877.36,3252487.08,1420467.44,36908.6,1498615.9600000004,2109552.36,12180159.719999995,2135381.12,1503706.56,2030469.76
39,20490588.4,17372067.52,21164501.0,22435596.4,5783504.36,18510981.56,21011755.2,23412156.36000001,12930002.2,12836853.399999995,3346878.16,3369169.44,3339877.44,3278944.7599999993,3309053.82,3331379.84,2895654.1999999993,3297065.24,3317484.76,3338244.8,3284763.84,3301789.18,3322869.16,3257751.72,3321773.12,3351644.2,3302577.360000001,3319816.840000001,2813666.3200000003,3300556.8399999994,1437766.58,36691.2,1621180.8,2113806.52,12789734.679999994,2162773.08,1556315.04,2033327.22
40,21428528.0,18157564.2,21970954.0,23182894.0,5890151.4,19212165.0,21925755.200000007,24097868.0,13649192.599999998,13262181.0,3362112.8,3375786.8,3351148.8,3285130.2,3323083.4,3342535.0,3165405.0,3315347.0,3326008.2,3351299.2,3300404.4,3316332.6,3336769.6,3271659.2,3339409.8000000007,3361179.8,3320718.8,3343638.8000000007,2821102.0,3311185.6,1442055.2,38125.0,1698313.0000000002,2119956.0,13284697.799999995,2162117.8000000003,1758939.6000000003,2057713.8
41,22371741.0,18833940.88,22733297.0,23995918.88000001,5917836.56,19797924.6,22820581.8,24650337.52,14436844.120000005,13965601.0,3388096.82,3382644.36,3360261.12,3308214.68,3341803.52,3355298.28,3332740.6,3331207.22,3338116.92,3370552.52,3312792.9600000004,3327516.36,3348194.06,3375730.98,3362945.4,3372988.84,3329029.7,3340731.96,3077570.08,3320890.2,1460698.74,39111.60000000001,1796281.2,2126134.88,13860225.919999994,2161794.48,2009190.96,2064392.32
42,23311466.12,19514008.2,23418722.0,24865482.2,5986027.12,20447576.2,23723871.0,25734440.200000007,15344511.96,14710419.0,3396922.52,3394390.64,3358955.32,3329988.16,3366040.6,3365647.04,3336500.4,3360213.84,3348811.72,3399540.32,3324613.76,3344998.84,3360780.88,3411303.36,3384096.04,3389180.96,3338699.4800000004,3357452.56,3317231.28,3337698.04,1479015.48,40872.2,1871544.76,2150409.56,14207194.079999994,2160090.08,2025453.96,2094512.28
43,24409234.44,20235576.24,24308867.0,25676010.8,6010265.04,21093789.8,24699550.6,26922627.44000001,16085915.4,15514819.0,3418828.72,3409067.9999999995,3376549.7600000007,3355751.3200000008,3369715.86,3373309.58,3342937.2,3371492.38,3365775.920000001,3429468.1999999993,3334693.64,3351919.2,3380719.0,3419828.68,3379877.36,3399252.24,3349622.7800000007,3369855.72,3335445.12,3347231.68,1605217.6800000013,44834.2,1973717.0400000003,2188578.84,14754446.84,2164465.48,2024031.64,2104643.72
44,25210969.4,20949042.919999994,25205593.0,26445390.919999994,6238157.760000002,21726427.999999996,25457750.2,27809024.4,16818242.2,16137754.399999995,3447326.8000000007,3481287.919999996,3396762.08,3359233.96,3373878.68,3381907.64,3347837.599999998,3376712.8799999994,3387491.200000002,3532082.1200000006,3340763.32,3361221.4400000004,3407296.24,3447070.44,3395554.92,3417172.56,3365102.28,3381268.76,3348565.24,3360816.48,1846762.12,44277.4,2063957.8,2197552.12,15306163.76,2175590.44,2106682.5200000014,2107247.52
45,26073685.6,21680239.600000005,26071720.0,27518958.0,6550566.4,22083973.2,26285336.6,28373190.0,17484145.400000002,16728161.0,3546559.3,3539137.2,3405707.0,3370678.0,3380246.5,3391120.7,3376535.0,3382982.3000000007,3410560.6,3528894.6,3349249.6,3371218.7,3415892.2000000007,3457714.9,3398206.6,3420294.8,3372550.4,3395415.2,3364128.2,3378719.8,1972818.3,45602.0,2158284.0000000005,2203166.4,15788726.6,2179355.8,2123579.4,2105393.4000000004
46,26929464.76,22366425.6,26952744.0,28248329.72,6569735.3599999985,22749715.12,27171295.8,28998368.48,18269581.639999993,17271956.59999999,3573476.48,3546628.92,3418718.5999999987,3389385.16,3396331.08,3403186.52,3404236.0,3393989.4,3420379.0400000005,3549137.88,3366725.16,3384557.96,3535287.04,3465481.4,3412601.36,3543613.68,3383291.04,3404477.2,3384966.24,3382950.7599999993,1981919.84,45087.19999999998,2241221.8800000004,2205708.48,15796829.92,2190917.64,2128748.96,2103911.72
47,27779101.16,23087993.96,27785939.0,28852401.52,6586327.24,24004312.96,28063159.88000001,29761144.88,18950537.28,17805092.199999996,3582008.74,3556471.88,3540936.64,3400099.4799999995,3412396.0,3511353.84,3411294.2,3409851.82,3529078.24,3550875.84,3370484.56,3392147.54,3530689.78,3477145.62,3429131.52,3542964.68,3492249.78,3415633.12,3415979.12,3421770.6,1986214.26,49836.8,2302208.16,2211320.96,15916016.04,2213703.48,2136352.44,2108151.88
48,28435143.72,24199354.8,28578409.0,29507599.8,6604780.28,25039504.44,29086247.879999995,30527952.52,19697170.4,18438813.6,3599694.68,3567916.04,3538403.6,3409690.8800000013,3420553.84,3534580.04,3419391.8000000007,3416481.44,3537753.68,3570928.92,3378969.04,3395420.28,3545208.88,3487459.04,3428269.4,3553253.08,3509193.48,3528308.88,3420812.08,3514501.8799999994,1983202.84,54724.60000000001,2350666.160000001,2216811.36,15922373.24,2240182.48,2168726.24,2107318.92
49,29189771.4,25116057.64,29329928.0,30227385.72000001,6648030.2,25558274.92,29913297.36,31129665.24,20494388.64,18985251.0,3638377.26,3583065.36,3550046.88,3409806.64,3420700.8999999994,3529256.78,3429810.4,3417067.62,3553634.08,3603334.4000000013,3378177.48,3406857.54,3593145.44,3497315.72,3441516.84,3575949.04,3506161.88,3536687.76,3421067.800000001,3512848.44,1989177.94,54131.2,2448406.72,2226382.32,15943757.12,2243726.76,2167071.32,2105877.48
