index,391_1_www.watchbox.de,391_2_www.watchbox.de,391_3_www.watchbox.de,391_4_www.watchbox.de,391_5_www.watchbox.de,391_6_www.watchbox.de,391_7_www.watchbox.de,391_8_www.watchbox.de,391_9_www.watchbox.de,391_10_www.watchbox.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,18597.0,31490.31999999999,18663.64,19353.6,13150.619999999999,18558.4,18683.4,19549.800000000007,13317.6,32290.519999999993
3,78860.4,113961.76,76567.24,80315.6,82675.28,112937.36,78699.08,81649.64000000001,79539.4,97769.48
4,166028.2,176818.75999999998,288904.68,176860.56,266371.3600000001,364826.83999999997,174706.46,235601.36,173183.4,174191.52000000002
5,309153.6,230958.67999999996,424354.96,209957.76,401046.92,499062.08,273398.16,305577.44,230681.4,277755.48
6,466757.0,306979.6,515509.9,267026.6,478570.3,548035.2,389859.3,460939.6,323938.0,469909.5999999996
7,545152.8,426681.19999999995,526983.0399999999,418964.5199999997,544029.48,566217.52,582192.12,519195.52,500736.80000000005,548543.96
8,631494.6,571221.2399999999,689098.48,545808.72,575692.8799999999,622015.3999999999,643022.8,552081.76,671970.1999999998,645495.7999999999
9,761279.8000000002,743265.5199999999,789450.48,641033.52,641022.36,682518.88,709178.08,560104.04,731187.5999999999,731189.3999999999
10,870703.0000000001,829411.72,828131.6000000001,707455.32,754901.94,789542.8,764892.84,636753.1000000001,802930.4,760093.32
11,939048.0,891947.9999999999,938092.0,806796.8,829804.4,861391.0,849337.0,703299.2,879184.0,936773.5999999996
12,1089641.4000000001,965523.2799999999,951575.9,866361.2000000001,871171.0599999999,923608.28,858053.0800000001,838313.88,980038.4,1035052.9199999999
13,1233134.4,1110066.4,1058187.72,938522.7199999999,1030893.1200000001,938657.64,1005478.8,939465.2800000001,1128260.3999999997,1157829.56
14,1290410.6,1266652.44,1177248.08,1098640.64,1320033.14,1099138.82,1162911.92,982549.5599999999,1282979.2,1288775.84
15,1392244.0,1425276.68,1307461.96,1279043.16,1368953.68,1277469.16,1407781.6,1021776.2,1363656.2,1317332.8
16,1474739.0,1479415.6,1413373.4000000006,1346729.4,1398873.4,1378427.1,1444781.1,1145347.1,1444130.0,1427859.7999999998
17,1487837.8,1522541.92,1489504.8,1465249.92,1481524.96,1466962.88,1480371.4,1262964.4000000001,1480564.2,1450845.2
18,1573358.2,1545317.4,1513212.8399999999,1544812.4,1631835.3,1482527.86,1611748.62,1436937.22,1626694.6,1490892.04
19,1661615.0,1606597.5999999999,1667359.32,1637450.96,1644238.04,1629900.16,1658031.28,1570928.4,1645765.6,1521412.76
20,1697343.6,1756956.88,1675453.42,1644158.52,1679514.24,1652472.84,1664339.34,1666040.28,1673891.4000000001,1584172.72
21,1704031.0,1757508.8,1720000.5999999999,1683679.0,1733703.2,1684389.8,1716746.2,1700529.0,1707767.0,1621092.4
22,1751994.4,1787299.08,1769713.68,1727735.24,1744628.94,1712403.0999999994,1754347.34,1759315.06,1740471.8,1619909.48
23,1771529.2,1818199.44,1791011.24,1755539.08,1788218.8399999994,1744226.4000000001,1779176.92,1760988.8,1757946.6,1623408.04
24,1829337.0,1834836.4,1800747.06,1767082.48,1811606.7,1795824.5999999999,1840132.68,1770021.7000000002,1830448.0,1665689.76
25,1855029.4000000001,1857432.1600000001,1839165.16,1834214.2,1826211.96,1823594.88,1851144.76,1823470.6800000002,1841553.6,1667048.44
26,1857708.0,1863119.0,1875217.5,1853541.0,1860021.0,1831914.0,1849405.5,1835460.0,1853223.0,1738844.0
27,1868871.4,1874770.3199999998,1880920.56,1873854.52,1871249.84,1849364.52,1856362.16,1853303.1199999999,1871468.2,1782645.7599999998
28,1876452.4000000001,1891537.68,1893260.38,1880918.92,1881357.98,1861334.54,1866311.36,1878834.22,1877505.6,1873774.96
29,1894651.8,1902993.52,1899495.76,1897000.6,1897432.3199999998,1870765.44,1875696.28,1887984.4,1885951.2,1889595.52
30,1909897.4,1912837.96,1913159.5,1902053.2,1901852.6199999999,1882078.44,1887835.04,1894309.02,1886695.6,1916671.8
31,1930234.0,1923118.6,1920587.2,1913805.8,1955158.0,1891727.8,1895671.7999999998,1903108.8,1901435.0,1928012.2
32,1933302.6000000003,1934998.36,1946266.58,1916533.64,1978749.46,1904807.14,1923696.74,1911331.4,1911905.6,1938510.2
33,1953247.2000000002,1939317.16,1947864.84,1937560.92,1990776.28,1916172.76,1936086.1199999999,1918141.16,1934808.4,1950039.16
