index,199_1_siteorigin.com,199_2_siteorigin.com,199_3_siteorigin.com,199_4_siteorigin.com,199_5_siteorigin.com,199_6_siteorigin.com,199_7_siteorigin.com,199_8_siteorigin.com,199_9_siteorigin.com,199_10_siteorigin.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1467.94,1442.66,1419.0800000000004,1495.3799999999999,1484.46,1428.8000000000002,1537.24,1458.46,1428.8000000000002,1506.3
3,3567.12,3601.68,4546.079999999999,3762.9599999999996,3622.3200000000006,3223.399999999999,4123.16,3580.08,3223.399999999999,3903.600000000001
4,4851.44,5061.38,6077.439999999991,4624.780000000001,4606.26,3971.56,4521.08,5195.96,3971.56,4957.199999999999
5,6135.76,6521.64,8414.92,7930.519999999998,8362.960000000001,4966.76,8322.4,8404.360000000002,5169.320000000001,6861.200000000006
6,7874.3,8384.7,10579.6,7571.900000000001,7753.299999999997,5846.799999999994,11109.8,8215.699999999999,6459.8,7896.5
7,10506.440000000002,9145.280000000004,15407.79999999999,10581.72,10618.800000000001,8388.36,11027.52,11010.48,8475.4,11148.6
8,24536.0,12936.0,23216.280000000002,24081.74,23704.74,7859.120000000003,22837.68000000001,19066.64,8118.719999999999,23742.699999999997
9,22909.64,23540.24,41243.96,22589.920000000002,22513.64,10885.720000000001,22547.48,22791.76,10998.720000000001,24869.600000000002
10,27087.239999999998,39062.76,56885.72,29931.92000000001,26533.04,10919.88,29567.76,38534.16,11733.519999999999,42104.3
11,56598.2,41205.6,61602.8,31818.799999999992,55249.00000000002,15963.999999999993,51132.40000000006,44831.400000000096,24220.2,48673.0
12,54984.54,55544.58,67499.08,31589.640000000003,58472.340000000004,22543.519999999993,60078.640000000014,57248.86,23347.88,58574.399999999994
13,59499.400000000016,61367.48,67243.12000000001,44754.48,59968.88,22972.04,65225.88000000002,60596.88,38835.52,66717.60000000002
14,66310.02,66268.06,87134.2799999999,62887.80000000001,65532.44,25225.480000000003,66031.12,65715.98,39174.4,66872.9
15,66354.64,66614.52,115536.2,67548.28,66122.28,26641.84,70818.56,66101.12,56805.47999999999,66636.2
16,70686.3,68231.1,122665.4,71729.90000000001,85050.00000000009,28543.19999999999,96578.20000000013,66126.3,57804.6,90467.50000000012
17,94266.80000000008,79715.72,122769.72,94547.95999999998,95828.64000000004,54290.15999999999,114848.68000000001,94104.16000000002,61514.560000000005,107612.20000000003
18,107479.40000000001,113350.32,123202.15999999997,105090.52,115511.84,55366.64,121971.64,113004.20000000001,64715.32,116050.9
19,116694.64000000003,116103.08,131384.63999999998,122297.36,121648.48,56714.44,129202.24,115963.48,64831.44,122919.6
20,118612.06,123303.14,149962.15999999995,155512.15999999997,126335.45999999999,60436.56,142599.88,122643.86,66399.52,124755.7
21,141946.00000000003,128541.59999999999,211427.8,184456.59999999992,158883.00000000003,62583.799999999996,143225.80000000002,139192.4,68990.6,133656.0
22,158069.46,155580.86,239094.24,234295.84,164248.8600000002,66184.15999999999,145949.04,153895.03999999998,78474.47999999998,158207.4
23,190162.52,159149.6,267321.68,275959.75999999966,196848.92000000036,66542.52,175278.84000000003,174916.12,112201.39999999998,178711.0
24,205300.46,194141.22,294051.12,335404.8399999998,256509.84,65933.64,195345.20000000004,210390.52,121217.27999999997,230180.40000000008
25,211723.76000000018,219165.56000000008,318571.19999999995,352397.68,325552.04,87889.71999999999,214068.96000000005,256156.55999999985,122626.68,302088.2000000003
26,258256.5,229964.5,362512.99999999994,395133.0,368323.0,104683.0,263961.0,343956.0,122166.0,347135.00000000047
27,288405.60000000015,278177.5999999999,407368.75999999995,478720.56000000006,439298.96,113130.20000000001,319622.64,431374.2000000001,126652.44,431501.8000000001
28,362986.02,304523.56,443050.4399999999,525648.5999999997,489991.32000000007,116109.68000000001,406611.68000000005,506280.3600000002,160555.79999999973,495814.2000000003
29,413044.2400000002,339965.4,478530.39999999997,582723.2799999999,538631.48,115926.47999999998,461045.88,560678.16,171990.04,565379.0000000005
