index,86_1_myspace.com,86_2_myspace.com,86_3_myspace.com,86_4_myspace.com,86_5_myspace.com,86_6_myspace.com,86_7_myspace.com,86_8_myspace.com,86_9_myspace.com,86_10_myspace.com
1,67.0,96.0,67.0,67.0,67.0,67.0,-442.0,0.0,96.0,-442.0
2,68296.48,66702.62,59943.0,43358.62,8944.76,62479.6,67197.2,70463.80000000002,29909.56,39811.19999999997
3,428207.19999999995,476755.56000000006,462099.0,358122.16000000003,36837.68,442151.24,438565.08000000013,479770.28,304403.8,213081.99999999997
4,685769.36,722528.12,672084.0,550724.66,100321.36000000007,628908.8399999997,769921.04,1039088.4,361443.2,392842.2
5,815365.36,843116.2,770715.0,1485240.48,354422.36,782493.52,1491285.44,1556395.64,933890.12,631771.3999999997
6,983075.8,1175172.5999999996,1053001.0,1564957.0,494790.8,962253.2,1811192.0,1773701.5,1291368.2,766346.0
7,1578697.5999999999,1960242.760000001,1271222.0,1846281.9200000004,546658.4,1476629.7599999998,1898274.88,2470593.4,1601367.8,809565.0
8,2214778.079999999,2318809.86,1894566.0,2213142.2,959743.1599999999,2260740.16,2271069.36,3023131.92,1933682.7200000002,905433.9999999999
9,2795676.1599999997,3121867.76,2916009.0,3171531.8,1480068.52,2663230.1199999996,3133892.72,3884087.880000001,2152552.72,1191462.0
10,3313083.28,3705712.4,3775218.0,4043290.48,1488171.24,3309155.7199999997,3985434.1999999997,4464809.26,2985033.8,1333598.4
11,4095071.8,4407360.799999999,4452560.0,4465530.8,1560082.2,3914783.0,4466522.2,4870433.600000001,3350673.6,1952869.0
12,4685341.96,4794181.479999999,4766803.0,4873266.28,1566333.4,4466560.48,4879045.12,4969786.04,3747150.2399999993,2646278.199999999
13,4950776.64,4957941.760000001,4897646.0,4907362.44,1822111.92,4780458.319999999,4950307.44,5062352.36,4450547.32,3360587.1999999997
14,5050206.08,4985715.52,5025038.0,5062255.8,2024800.2,4931834.56,5064500.2,5271902.58,4494866.48,3988168.7999999993
15,5179921.32,5263241.44,5163653.0,5277516.92,2085920.84,5061449.4,5356345.24,5374855.24,4726189.2,4479144.399999999
16,5360492.199999999,5436584.6,5337221.0,5341844.2,2307338.4,5343064.2,5396897.2,5427636.2,4950273.0,4775444.0
17,5507144.32,5459069.48,5353461.0,5486146.6,2655175.0,5363267.0,5537046.76,5639928.56,4991263.96,4975164.0
18,5535840.04,5502804.78,5437870.0,5563455.2,3051864.6800000016,5406190.76,5748536.319999999,5777769.68,5040510.84,5116518.999999998
19,5667151.600000001,5632130.84,5561729.0,5673091.96,3507124.4000000004,5653703.12,5799696.92,5809801.4,5324640.4,5200826.2
20,5729264.4799999995,5779925.48,5675662.0,5850159.4,3901335.04,5772389.52,5824511.04,5944771.680000001,5450550.64,5374734.8
21,5954406.6,5993570.599999999,5804333.0,6295918.6,4207213.0,5801069.4,5972715.4,6542921.800000002,5571932.8,5383011.0
22,6368983.2,6106973.66,6088191.0,6416827.66,4447733.56,6291786.84,6847707.519999992,7575712.8,5585206.56,5407144.0
23,6566901.199999999,6588713.959999997,7139366.0,6927713.199999999,4480728.32,6979831.159999995,7800387.68,8400378.6,5677903.6,5464660.4
24,6638748.84,6675235.92,7817537.0,7447006.62,4717007.52,7834922.8,8523139.240000002,9134211.88,5765925.88,5564965.6
25,7110396.399999999,6725520.120000001,8610735.0,8458943.320000004,4754418.2,8579701.4,9195628.48,10172392.2,5807739.64,5613025.6
26,8046448.0,7258560.0,9413182.0,9498723.5,4951449.0,9306621.0,9868177.0,10889373.0,5919988.0,5668597.0
27,8947238.32,7843954.600000001,10187669.0,10481453.280000001,4962030.12,10049902.280000001,10521780.8,11421456.68,6105252.08,5799625.4
