index,323_1_www.tagesschau.de,323_2_www.tagesschau.de,323_3_www.tagesschau.de,323_4_www.tagesschau.de,323_5_www.tagesschau.de,323_6_www.tagesschau.de,323_7_www.tagesschau.de,323_8_www.tagesschau.de,323_9_www.tagesschau.de,323_10_www.tagesschau.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1390.52,1343.1200000000001,1469.52,1482.6399999999999,1458.46,1357.34,1384.2,1442.66,1385.78,1407.8999999999999
3,3952.92,4072.84,3564.96,3601.3599999999988,3580.08,4041.88,3970.2,3601.68,3965.88,3862.8
4,5257.96,4146.48,5060.5199999999995,4694.840000000001,4882.96,4633.519999999999,5358.199999999999,5115.38,5542.94,5260.100000000001
5,5162.319999999999,4269.88,6368.08,8418.64,8085.360000000002,4495.16,4652.6,6108.64,6861.12,7283.399999999997
6,8188.6,8223.6,8103.4,7863.200000000003,7890.699999999999,6917.799999999994,8722.0,8426.7,10276.2,8210.5
7,7885.600000000002,8254.88,18006.559999999998,17842.480000000003,15526.879999999992,8507.16,8315.800000000001,18143.239999999998,13287.88,10333.999999999993
8,17325.8,14654.920000000002,31869.120000000003,31618.960000000003,31963.34,18262.44,15682.000000000004,31879.14,13707.840000000004,18878.999999999993
9,31575.28,19569.600000000013,29989.96,29808.68,29999.559999999998,32174.68,32759.8,30067.24,16197.039999999999,31188.4
10,30024.559999999998,31288.48,33864.92,39694.36,48568.34,30716.98,31027.600000000002,48261.14,16139.600000000006,29551.3
11,45561.4,32709.2,51332.799999999996,42931.6,50644.000000000015,31168.999999999985,32086.0,52978.400000000016,25384.0,47278.0
12,53588.79999999998,42992.56,53633.72,48773.76,58320.64,33775.52000000001,39523.99999999999,66246.44,39294.98,48775.9
13,58299.24,48644.64,55636.159999999996,52581.76,60194.52,53604.52,51374.599999999984,68226.92,37752.88,52753.799999999996
14,60262.96,64117.24,100283.04,50781.72000000001,99654.14,57622.42,52076.8,98987.34,48015.91999999996,68222.7
15,68590.12,65538.72,99055.68,62251.51999999993,98776.64,57659.76,66880.0,99582.96,55819.92,84777.99999999994
16,67200.2,67706.8,97475.6,92292.5999999999,100050.40000000001,74813.00000000001,97384.0,99333.90000000001,68757.6000000001,98876.5
17,66855.16,73509.36000000004,101281.96,97285.39999999998,128822.04000000005,84254.76,99653.8,98331.8,73982.72,97914.8
18,71321.15999999997,98244.76000000001,127851.80000000012,122943.63999999997,152589.4800000002,90120.68,100411.4,122774.52000000003,75721.26,103490.8
19,97299.16,100307.44,156062.80000000002,137400.80000000002,198706.80000000002,99367.56,99917.6,158415.68,101333.44000000002,107733.8
20,132730.2,99123.68000000001,167318.76,165601.12,205230.44,96824.26000000001,118258.8,178000.4,107713.37999999999,159136.0000000001
21,148065.0,126884.00000000007,197362.79999999993,179291.0,234418.60000000012,101162.99999999997,138392.0,218282.40000000002,107294.8,190722.0
22,164660.87999999983,144120.59999999998,237069.59999999998,235186.47999999972,262352.92,110332.90000000001,155750.59999999995,228361.3,105989.68000000001,205214.6
23,206708.0,156882.52,253360.19999999998,237644.44,287796.8,142093.44,206613.0,237701.59999999998,116003.80000000005,203729.8
24,226320.76000000004,177791.4,284450.6,269487.55999999994,289235.27999999997,176731.4400000001,208654.0,259297.51999999987,149767.4200000001,230149.39999999997
25,252542.28,205897.8,293987.36,288920.39999999985,302969.9199999999,200995.32,222459.99999999997,291439.92000000004,179570.20000000004,244187.99999999997
26,281397.0,214837.0,300236.0,302666.99999999994,316122.0,209255.0,240332.0,298528.5,208632.0,246716.0
27,284942.6,236157.6,306937.04,313809.56,318144.4,224064.0,267174.0,314499.92,240367.19999999998,258666.0
28,289319.32,287133.4,314291.76,316844.48000000004,331539.30000000005,249443.16,276339.6,317949.89999999997,249901.90000000002,277638.1
29,309863.31999999995,287001.56,330328.24,317435.48,346690.2,268188.8,296128.0,334526.64,295352.00000000006,284871.99999999994
30,313105.64,292251.52,344552.92000000004,321166.6,378869.54,287455.1,302670.6,352051.77999999997,293130.84,296932.8
31,324693.4,304516.4,374681.00000000006,330749.0,379536.39999999997,286845.4,308019.0,378497.60000000003,299703.2,307198.0
32,333544.6,311105.24,379341.52,353303.99999999994,380336.4,300671.12,316263.0,387504.1600000001,311977.9600000001,311477.0
33,375678.16,318628.0,379165.56,371593.68000000005,417243.96,301915.6,320829.6,397996.84,327471.68,317784.8
34,378837.04,324269.2,390293.76000000007,404638.2,465594.0800000001,313457.64,329653.4,421777.54,325253.88,329551.60000000003
35,383066.4,333601.0,443401.0800000001,430711.3199999997,470089.44,321293.52,366517.4,436669.0,351481.95999999996,331229.6
36,413551.8,344830.20000000007,469467.0,451037.60000000003,476847.50000000006,322063.5,367990.0,470099.3,374480.60000000003,332569.0
37,443172.68000000005,350653.8,470873.12,469966.95999999996,529892.3599999999,339598.88,386801.5999999999,471935.04,385954.95999999996,341864.39999999997
38,470707.12,361256.36,481372.6,492331.36,575540.62,361842.5400000001,405420.39999999997,473872.58,389938.32,372584.5999999999
39,470076.6,367458.4,508035.48,501190.52,593665.48,379328.68,453820.19999999995,477418.68,415885.00000000006,395825.0
40,504607.31999999995,388553.64,546939.2,516793.15999999945,632239.3800000001,378545.62,462901.2,482567.9,437241.8800000003,420813.1999999998
