index,348_1_www.notebooksbilliger.de,348_2_www.notebooksbilliger.de,348_3_www.notebooksbilliger.de,348_4_www.notebooksbilliger.de,348_5_www.notebooksbilliger.de,348_6_www.notebooksbilliger.de,348_7_www.notebooksbilliger.de,348_8_www.notebooksbilliger.de,348_9_www.notebooksbilliger.de,348_10_www.notebooksbilliger.de
41,1903561.0,1804424.6,1950960.4,1830808.6,1938310.6,1873101.4,1666154.0,2027168.2,1592447.6000000006,1842743.0
42,1988898.68,1861721.7399999998,1995465.8,1944650.6600000001,2012715.72,1880337.92,1811320.9199999997,2025560.84,1750223.4000000001,1930289.8
43,2032271.24,1940661.8799999997,2024183.6,1983811.5199999998,2023248.28,1888661.8,1955429.9599999993,2099712.5600000005,1961161.360000001,1935050.6
44,2032812.14,2043411.3599999999,2044725.96,2034873.42,2163082.3199999984,1891610.56,2026558.44,2203508.48,2028034.56,1969293.6
45,2041307.4000000001,2201354.88,2049916.12,2038681.64,2211025.68,1920498.9600000004,2026357.28,2213819.44,2026199.9200000002,2027425.6
46,2044450.1,2210226.3,2048666.8,2042366.9,2214636.2,1938436.8,2031346.4,2217597.4,2033009.1,2032488.0
47,2048391.8399999999,2220375.6,2050428.28,2045429.96,2222603.4,1944812.52,2036709.76,2229931.0,2035242.4000000004,2033435.0
48,2060074.72,2221976.58,2060563.68,2053220.2000000002,2232592.32,1940652.2399999998,2045286.5999999999,2234224.28,2044738.66,2042526.2
49,2063687.56,2232312.72,2063389.7999999998,2062328.2,2237948.2,1941219.12,2049027.84,2258099.96,2048379.72,2050525.8
50,2063431.72,2235785.66,2104184.32,2097074.02,2257093.54,1940875.44,2070912.8800000001,2265405.8400000003,2075888.3000000003,2076510.9000000004
