index,88_1_myspace.com,88_2_myspace.com,88_3_myspace.com,88_4_myspace.com,88_5_myspace.com,88_6_myspace.com,88_7_myspace.com,88_8_myspace.com,88_9_myspace.com,88_10_myspace.com
41,3300404.4,3316332.6,3336769.6,3271659.2,3339409.8000000003,3361179.8,3320718.8,3343638.8000000003,2821102.0,3311185.6
42,3312792.9600000004,3327516.36,3348194.06,3375730.98,3362945.4,3372988.84,3329029.7,3340731.96,3077570.08,3320890.1999999997
43,3324613.76,3344998.84,3360780.88,3411303.36,3384096.04,3389180.96,3338699.4800000004,3357452.56,3317231.28,3337698.04
44,3334693.6399999997,3351919.2,3380719.0,3419828.68,3379877.36,3399252.2399999998,3349622.7800000003,3369855.72,3335445.12,3347231.68
45,3340763.32,3361221.4400000004,3407296.24,3447070.44,3395554.92,3417172.56,3365102.28,3381268.76,3348565.24,3360816.48
46,3349249.6,3371218.7,3415892.2000000007,3457714.9,3398206.6,3420294.8,3372550.4,3395415.2,3364128.2,3378719.8
47,3366725.16,3384557.96,3535287.04,3465481.4,3412601.36,3543613.6799999997,3383291.04,3404477.1999999997,3384966.24,3382950.7599999993
48,3370484.56,3392147.54,3530689.78,3477145.62,3429131.52,3542964.68,3492249.78,3415633.12,3415979.12,3421770.6
49,3378969.04,3395420.28,3545208.88,3487459.04,3428269.4,3553253.08,3509193.48,3528308.88,3420812.08,3514501.8799999994
50,3378177.48,3406857.54,3593145.44,3497315.72,3441516.84,3575949.04,3506161.88,3536687.76,3421067.800000001,3512848.44
