index,186_1_www.python.org,186_2_www.python.org,186_3_www.python.org,186_4_www.python.org,186_5_www.python.org,186_6_www.python.org,186_7_www.python.org,186_8_www.python.org,186_9_www.python.org,186_10_www.python.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1428.8000000000002,1507.2,1468.0,1517.0,1350.4,1477.8,1551.3000000000002,1394.5,1605.96,1591.16
3,2620.5999999999985,1695.8000000000006,2687.0000000000014,1585.0000000000005,3876.2,2028.2000000000007,1279.3999999999983,3098.0000000000005,1562.72,1397.5199999999998
4,3950.48,3567.12,3669.2000000000016,3573.6,4104.08,3601.360000000001,3596.28,4132.7,3993.96,4058.72
5,5050.76,5696.44,5318.2,5519.2,4938.360000000001,4957.56,5426.68,5510.8,4093.48,4157.08
6,5930.799999999994,4747.5999999999985,4272.0,4637.0,6227.0,5817.800000000001,4524.4000000000015,4542.5,5025.7,5153.7
7,8472.36,6512.76,7293.400000000012,8493.800000000001,8223.12,8374.16,8508.44,8448.800000000001,4178.68,4230.28
8,7943.120000000003,8646.72,8574.800000000001,8437.6,9985.760000000002,8045.719999999998,8441.18,8432.1,8327.38,8486.98
9,13681.36,9680.400000000003,12207.000000000004,8831.000000000004,13424.04,13462.520000000006,8255.799999999996,10445.000000000002,8212.72,8388.12
10,17648.760000000002,11827.200000000008,14910.6,15973.2,17223.680000000004,17609.24,15949.46,16245.80000000001,7884.54,7581.340000000001
11,18250.6,15437.6,18395.0,17451.0,18325.0,17355.0,17421.399999999998,18333.0,13609.199999999999,15991.199999999999
12,17836.800000000003,18513.4,18095.0,18240.0,17864.2,17628.16,18304.100000000002,17998.5,15355.14,17650.94
13,33551.119999999995,17916.399999999998,18000.0,17775.0,25669.600000000002,18070.120000000003,17768.600000000002,22958.600000000064,17802.959999999995,18360.08
14,35563.8,22191.040000000026,37816.00000000001,29787.800000000025,25629.08,18081.8,23057.300000000003,39044.6,17982.3,18017.3
15,38138.840000000004,45247.6,47970.000000000015,37453.6,28756.28,18089.800000000014,26237.280000000002,53238.99999999999,17618.2,17976.6
16,51510.199999999975,52302.2,52287.0,36559.0,34576.00000000001,32898.00000000001,27789.4,70446.5,26041.200000000048,51672.400000000045
17,57780.59999999999,53826.84,53764.4,39985.8,43487.88,44148.88,36951.99999999995,86809.0,40000.92,51740.92
18,72296.2,63912.43999999999,56126.000000000015,58099.00000000001,74370.63999999994,43437.159999999996,50801.739999999976,100133.50000000001,43714.69999999999,53445.1
19,92848.03999999998,76258.36000000002,77287.00000000001,73479.00000000001,77431.56,45164.92,60245.799999999996,133630.40000000005,49580.8,56015.799999999996
20,114474.99999999997,88340.84000000003,93943.00000000001,82044.0,98929.2,67699.08000000002,70170.71999999996,159789.09999999998,64078.26,69393.68
21,127804.99999999999,101443.8,117756.0,101706.0,114808.99999999999,87023.0,78350.99999999999,169694.0,65732.0,74806.0
22,157047.7199999999,127088.40000000001,140502.0,123126.4,140019.04,92206.6,81282.61999999998,171393.3,75422.63999999996,81849.2
23,174299.52,149720.44,156410.2,147853.0,165227.59999999998,108751.2,92210.04,188981.2,102793.20000000001,100803.88000000005
24,189501.11999999997,190158.5200000001,177376.80000000002,161692.2,177925.0,135995.44,93564.17999999998,197898.7,120685.03999999998,122003.3
25,196761.56,200963.92,190756.4000000001,183133.80000000005,198923.2,159549.6000000002,98181.76,199295.0,135187.43999999997,123739.04
26,198469.0,199979.0,208298.0,227648.0,234766.0,180405.0,112636.49999999999,206826.0,161019.0,143532.5
27,215767.6,203974.84000000003,225863.2,235690.8,235453.16,192899.6,125096.6,238140.00000000003,183884.47999999995,176923.95999999993
28,230403.12,206519.60000000003,228300.6,235016.6,237126.04,212028.56,137937.39999999997,241305.5,198858.64,202503.08
29,230488.32,235855.28,229901.8,236678.4,266009.39999999997,226788.36,155211.9999999999,245717.4,198326.12,202743.60000000003
30,232426.80000000002,246506.6,247756.40000000026,244505.40000000002,288354.92,228240.92,168755.89999999997,258240.20000000007,200479.5,205847.06
31,233082.6,273841.20000000007,287083.0,271573.0,289790.0,263847.8,184759.79999999993,284680.0,201603.6,229902.8
32,246735.59999999995,300242.0,291159.4,278412.4,319914.72000000003,263914.76,196402.09999999998,296589.4,209649.03999999995,263818.10000000003
33,260432.1199999999,316767.8,292525.60000000003,289224.2,333231.32,266946.92,199411.64,313070.2,236188.91999999998,276713.2
34,276358.39999999985,334618.2,293351.39999999997,296496.8,362021.8,270202.32,201267.58000000002,334036.0,244659.48,286807.88
35,297425.43999999994,347591.24,294830.6,313998.2,375117.08,271709.24,223344.43999999997,340457.20000000007,246903.04,293270.4
36,321373.0,349807.2,301766.0,315648.0,382541.0,275547.4000000001,245840.5,361646.5,269759.0,295157.5999999999
37,348155.6,379497.36,331571.4000000001,329481.2,389924.8,289408.60000000003,264373.6,375559.4,307330.6,318695.32
38,370085.92,381153.52,351185.80000000005,353617.4,393809.24,298327.4,269672.24,401818.5,323160.22000000003,335274.46
