index,71_1_www.jimdo.com,71_2_www.jimdo.com,71_3_www.jimdo.com,71_4_www.jimdo.com,71_5_www.jimdo.com,71_6_www.jimdo.com,71_7_www.jimdo.com,71_8_www.jimdo.com,71_9_www.jimdo.com,71_10_www.jimdo.com
1,67.0,-48.0,-442.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0
2,1111.44,1964.8199999999995,4587.36,1834.4799999999998,2045.86,2061.66,2410.3999999999996,1930.5200000000002,2155.28,1770.4
3,1794.32,7611.28,7609.599999999999,4508.079999999999,4649.72,9873.2,19444.2,4809.920000000001,6771.08,7548.4
4,6631.52,20006.300000000007,22641.52,14941.8,12885.82,12748.06,20936.600000000002,15588.2,12203.64,16443.0
5,13516.599999999997,26466.999999999996,42689.52,18919.16,22576.8,29380.8,43913.4,18206.44,28920.800000000003,18602.00000000001
6,24404.8,41865.700000000004,40945.8,35516.8,31229.0,31279.100000000002,42452.0,39107.2,33750.00000000001,42169.0
7,45107.280000000006,43413.24,45351.639999999985,37429.16,51347.72,50225.44,44527.399999999994,37525.84,49538.32,42169.799999999996
8,46602.12,58897.78,53898.07999999999,43043.680000000044,49771.62,51650.24,52357.6,41566.520000000004,53348.04,46197.2
9,48167.72,59237.56,63513.8,51071.48,54462.36,56732.24,56443.6,47743.88,60561.11999999999,54177.6
10,55611.96000000001,70691.88000000005,169543.44,56303.96,62777.74,65595.02,69846.0,52095.63999999999,64842.44,62263.00000000003
11,59446.2,89038.0000000001,233906.4,72078.4,66587.4,74515.99999999994,109629.0,64059.4,76798.4,71236.0
12,65196.80000000002,101589.10000000006,273190.80000000005,91617.4,82666.02000000003,92496.8,193468.2,80210.56000000001,101271.56,165274.00000000012
13,84398.2,141659.16,299152.27999999997,102367.40000000001,105693.59999999996,118123.44,256673.6,88344.4,114339.11999999998,216389.0000000001
14,101216.39999999998,245125.12,313136.4,273522.5199999999,125465.8,163669.20000000004,272192.0,110704.8,200277.47999999995,233399.60000000003
15,241798.19999999998,325517.51999999996,322850.32,313597.48,166249.96,198076.56000000038,301892.19999999995,153433.79999999996,283855.2,304782.4
16,314069.60000000003,330368.1,327670.6,322387.6,204812.3,338169.3,326626.0,259010.2,309919.99999999994,331103.0
17,327450.2,340035.12,331739.44,325180.96,332021.76,341150.32,331354.2,324768.16,340144.24,334004.6
18,330799.08,345874.88,352493.6399999998,327807.68,334861.98,398061.34,336493.8,328288.48,345115.68,375760.0000000001
19,339946.64,400875.48,392347.16,385749.36,366532.8,402888.76,343273.8,332288.48,351960.08,398605.2
20,398339.96,404463.92,394338.28,388154.88,395895.28,404127.77999999997,398309.6,348116.87999999966,388098.16,401053.6
21,399650.2,409448.6,404065.6,393002.8,400789.8,413083.2,400048.0,393795.4,413592.8,402976.0
22,405129.52,414925.96,410523.6,401302.16,400588.74,421065.22,404761.2,396344.08,417735.36,409308.00000000006
