index,258_1_www.samsung.com,258_2_www.samsung.com,258_3_www.samsung.com,258_4_www.samsung.com,258_5_www.samsung.com,258_6_www.samsung.com,258_7_www.samsung.com,258_8_www.samsung.com,258_9_www.samsung.com,258_10_www.samsung.com
41,2942986.6,3194662.2,3053960.0,3214964.8,2964205.0,3061647.0,3140848.8,4362392.0,3098868.0,3070627.6
42,2959076.48,3220113.0,3095769.5,3225572.8,2986307.0,3105253.4,3141530.14,4453270.1,3110448.84,3099304.8800000004
43,3046033.2399999998,3288659.56,3098166.0,3484364.68,3058472.0,3107584.8,3154508.68,4456805.4,3120916.72,3100293.1999999997
44,3055709.08,3527958.64,3108257.0,3745634.3,3072469.0,3116291.6,3172889.6,4462756.8,3141509.94,3110408.64
45,3096554.44,3756563.639999999,3120889.0,3945988.879999999,3106086.0,3145581.2,3181956.08,4467534.0,3144911.2,3138141.84
46,3104543.2,3980328.8000000003,3140502.0,4179128.0,3111072.0,3152300.5,3186975.1,4477564.5,3153045.0,3143411.2
47,3108488.88,4152283.0400000005,3148649.0,4285109.359999999,3117083.0,3164980.0,3189912.96,4486890.0,3164842.24,3146916.2800000003
48,3113806.32,4224357.68,3156875.5,4339188.44,3147274.0,3179263.8,3192913.52,4494151.8,3179709.72,3155934.32
49,3119635.6,4350497.160000002,3176629.0,4440733.28,3151388.0,3187125.6,3194434.52,4505485.0,3181431.72,3160285.04
50,3148109.88,4440908.24,3179932.0,4440184.64,3164553.0,3189846.7,3194104.76,4509510.4,3185901.56,3160010.48
