index,375_1_www.kino.de,375_2_www.kino.de,375_3_www.kino.de,375_4_www.kino.de,375_5_www.kino.de,375_6_www.kino.de,375_7_www.kino.de,375_8_www.kino.de,375_9_www.kino.de,375_10_www.kino.de
41,8497848.8,9459045.4,8932203.8,11968271.4,7103969.0,8396213.799999999,6908355.0,7959739.999999998,11392364.2,7043308.0
42,8522164.66,9500649.16,8955205.88,11993211.74,8154923.199999999,8424514.76,7805127.5,8174267.28,11431960.44,8036125.0
43,8541759.120000001,9973807.28,9016390.32,12015405.32,8248404.0,8444752.920000002,8332236.6,8233305.64,11464562.44,8260257.399999999
44,8569800.56,10056676.64,9040415.52,12044357.42,8259390.9,8481279.42,8380056.72,8284214.72,11494920.959999999,8296628.8
45,8645806.92,10098179.08,9067613.68,12105716.8,8311705.6,8510799.88,8438517.12,8323848.36,11535325.2,8324159.6
46,8675708.9,10128454.2,9105073.0,12161271.200000001,8333436.0,9220575.9,8483065.8,8347957.2,11670542.4,8346672.0
47,8770854.599999996,10150737.2,9135720.36,12204473.24,8359285.8,9262062.24,8505306.879999999,8356645.28,11700551.36,8377141.0
48,9433748.18,10341876.119999992,9170990.88,12226223.400000002,8381848.1,9287679.92,9219761.44,8377031.32,12425585.4,8406742.4
49,9468237.64,10912243.48,9174982.8,12957765.96,8831128.000000006,9312997.600000001,9249177.28,8404227.36,12447772.48,8921153.399999995
50,9503055.78,10909440.56,9201375.04,12984313.7,9124916.7,9344890.64,9274438.74,8816215.76,12466048.52,9151309.2
