index,25_1_www.dotdash.com,25_2_www.dotdash.com,25_3_www.dotdash.com,25_4_www.dotdash.com,25_5_www.dotdash.com,25_6_www.dotdash.com,25_7_www.dotdash.com,25_8_www.dotdash.com,25_9_www.dotdash.com,25_10_www.dotdash.com
1,-48.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0
2,1328.0800000000002,1330.8,1327.32,1729.84,1664.3600000000001,1494.8,1384.7,1718.0,1752.04,1726.88
3,2336.52,537.44,525.84,1090.2400000000002,1342.08,525.3600000000001,688.3599999999999,968.0,1319.44,1059.68
4,6984.44,4481.72,4472.96,2304.58,2542.88,4675.12,2205.38,2342.5,2506.2799999999997,2314.06
5,9769.199999999995,4452.36,4494.12,4529.44,4458.96,7129.68,4382.84,4580.0,4434.64,4542.08
6,13084.2,6932.6,6782.6,7058.4,6890.4000000000015,7406.199999999994,7044.8,5948.5,7202.8,7036.8
7,15691.56,8081.64,8421.72,8382.56,7227.72,14299.6,7583.559999999998,8621.0,7236.84,8434.48
8,18907.599999999995,10021.239999999998,10301.520000000002,9998.459999999994,7788.920000000001,14164.2,7744.9800000000005,10071.5,8175.600000000002,11922.219999999996
9,43248.64,13211.8,13539.4,12175.8,14218.8,15576.32,10069.0,13285.0,14132.32,13925.0
10,40876.72,13147.52,13439.960000000001,13646.66,13991.6,18455.399999999998,13818.76,15562.0,14101.96,14983.46
11,45089.39999999998,15353.800000000001,15754.4,15723.6,13702.8,44377.200000000004,15267.399999999998,15318.0,15531.4,15532.8
12,50181.840000000004,18268.6,18554.8,18530.9,15711.960000000001,42680.64,15427.800000000001,17106.5,17411.479999999996,16861.22
13,52982.48,31613.399999999998,39240.520000000055,42638.32,18147.440000000002,43997.119999999995,18314.44,20330.0,18199.8,20335.84
14,54921.52,43002.36,43094.96,43482.94,42446.44000000002,42189.840000000004,44028.34,23233.5,29750.48,21483.18
15,52620.76,41785.92,41850.88,42114.32,42960.56,46214.64,42890.48,26097.0,28254.92,25844.040000000005
16,66628.2,40549.2,40606.8,40789.9,41704.6,50216.4,41737.799999999996,44180.0,30923.800000000003,44980.600000000006
17,77959.08,41993.36,42143.28,42296.44,41228.76,51857.64,40508.16,51522.0,40521.48,50781.92
18,75434.64,45941.28,46019.36,46059.28,42049.76,54516.92,44348.08,50118.0,42047.68,49567.54
19,87810.55999999997,47873.28,48409.44,50025.92000000001,44525.48,54845.88,43938.28,48714.0,43863.88,48353.16
20,109913.19999999998,50338.83999999999,50339.520000000004,51499.34,50473.96,57230.799999999996,48284.74,49995.0,48234.04,50145.52
21,130016.39999999998,54440.2,54883.4,54064.8,50433.2,69933.59999999998,50321.799999999996,53997.0,51685.799999999996,51874.4
22,153467.31999999995,54167.64,54882.72,53879.06,52990.55999999999,69923.31999999999,55118.66,56829.0,52119.36,55806.98
23,182119.39999999967,54588.32,55080.159999999996,53756.64000000001,54625.119999999995,70863.4,54846.28,60142.0,54648.88,58220.36
24,232538.04,61299.159999999996,52584.24,55745.62,54368.439999999995,83557.64,54759.82,62361.5,56005.39999999997,62735.46
25,246755.52,60436.64,64502.160000000025,59064.87999999999,56133.64,94824.40000000008,53543.36000000001,62404.0,62381.20000000002,62431.92
26,313655.0,65913.0,71542.0,74245.0,59374.0,119918.0,59581.0,65434.5,71284.0,62112.0
27,367233.32,67002.92,70697.87999999999,118016.8,61517.479999999996,158705.67999999996,70309.52000000002,70949.0,75370.64,72550.76
28,402509.16,76299.39999999998,69040.36,126208.36,73510.55999999997,164938.04,70455.81999999999,73228.0,79188.87999999999,70808.95999999999
29,402516.44,85628.59999999999,71381.80000000002,126245.48,96987.19999999997,182998.72,68511.36,75503.0,76695.88,76814.36
30,408311.76,95047.8,85824.35999999999,135267.62,123601.04,187862.68,72941.28000000003,81258.0,79356.32,80805.48
31,394053.2,130709.00000000003,90676.2,139997.0,141108.40000000002,223191.99999999997,83343.4,91713.0,106938.4,86808.00000000001
32,395077.44,132575.24,96693.59999999998,147967.8,141725.19999999998,225998.52,94701.92,97580.0,104553.52000000002,98470.98
33,424713.2799999999,147337.4,103315.20000000001,156632.84,144476.4,236477.75999999998,102972.24000000002,125493.0,125436.84,108311.2
34,461741.51999999996,154502.08000000002,118692.80000000003,168483.19999999998,167749.3200000001,250513.55999999985,109829.56000000004,143280.0,134525.4,116459.79999999999
35,483190.28,162786.79999999996,130098.4,182044.2,185089.08,291747.9199999998,125323.84,151684.0,137712.48000000004,123440.84000000001
36,485628.2,174163.79999999993,152598.40000000002,191786.0,203288.19999999998,333996.39999999985,135594.0,160158.0,147878.0,155037.1
37,489156.84,196491.96,160956.96,200976.80000000002,206778.52,369489.4000000001,159544.80000000002,161466.0,156438.8,168813.16000000006
38,491355.28,196986.84,168621.12,211161.59999999998,215415.32,395575.88,167662.84,169764.0,164699.59999999998,179777.2
39,494272.12,202637.59999999998,178569.04,215963.84,215119.59999999998,396912.96,183182.04,190280.0,173991.36000000004,191679.8
40,497983.55999999994,211515.48,181407.04,224737.42,216776.88,400188.48,191459.20000000004,193679.5,189929.52000000002,203684.4
41,499997.8,216998.0,193486.59999999998,249507.0,216920.8,401480.0,227562.80000000005,202575.0,202030.59999999995,213268.99999999997
42,502435.72000000003,240889.19999999998,209513.04,261063.91999999998,239466.19999999998,392945.0800000001,236479.12,206318.5,213783.88,221696.86000000002
43,504623.52,279056.3999999999,222434.2,294984.5999999999,250060.87999999992,386832.4,249777.44000000003,214803.0,226434.92,222564.32
44,506827.44,320858.5999999999,246337.91999999998,315677.9,287132.3599999999,391662.52,265078.76000000007,237584.5,239056.96000000008,231455.8
45,509243.52,328899.80000000005,278679.6399999998,351452.3599999999,305399.8,396924.36,273059.08,265867.0,255915.79999999987,253776.8799999997
46,511595.8,342166.9999999998,345521.60000000027,377237.6,323569.0,413448.99999999994,287078.0,302621.5,289756.0,298178.00000000006
47,513833.24,382414.8400000001,395309.20000000007,383953.04,363267.24000000017,433242.3599999999,314764.4000000001,326341.0,324641.8,349060.8800000003
48,516055.32,387109.84,402875.52,386775.86,383272.04,473699.07999999984,357195.60000000003,370006.0,358764.2799999999,396654.44
49,518260.12,388474.32,404382.83999999997,388533.28,387400.56,485751.68000000005,391953.84,378158.0,379993.96,398832.84
50,520192.2,386553.28,402411.64,387374.02,389076.16,487431.68,394628.68,391187.5,383145.04,399526.54
