index,208_1_www.justice.gov,208_2_www.justice.gov,208_3_www.justice.gov,208_4_www.justice.gov,208_5_www.justice.gov,208_6_www.justice.gov,208_7_www.justice.gov,208_8_www.justice.gov,208_9_www.justice.gov,208_10_www.justice.gov
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1453.72,1415.8,1458.46,1460.04,1493.56,1398.42,1506.3,1403.16,1444.24,1452.14
3,3586.56,3798.6,2457.48,3577.92,3749.44,3931.3199999999997,3922.2000000000007,3901.32,3599.52,3588.72
4,4973.280000000001,5230.2,4391.38,5279.480000000002,4504.36,5436.66,4607.299999999999,5229.88,4659.24,4775.639999999999
5,6451.88,6390.8,5200.5599999999995,7792.559999999998,7606.240000000002,6265.720000000004,8654.199999999999,6463.08,5963.96,6226.56
6,8175.4,8331.0,10938.300000000005,12550.199999999992,7480.800000000001,8272.699999999999,8655.0,8471.800000000001,8300.8,7947.3
7,14829.640000000001,11987.800000000005,14302.16,14419.56,14281.800000000001,9332.600000000006,14764.000000000002,12179.560000000003,14517.72,14659.92
8,27662.68,19926.79999999998,27398.920000000002,15906.28,28116.12,14391.8,26612.60000000002,17271.64000000001,27495.079999999998,27696.38
9,31749.599999999984,27639.600000000002,28185.44,18731.519999999997,26900.96,26881.96,27729.8,27130.12,28072.92,28117.96
10,60957.84,27837.4,26336.620000000003,29640.920000000027,25102.56,28102.739999999998,29460.3,28130.48,26522.96,37981.95999999998
11,59618.4,26205.0,40531.799999999996,36130.6,26917.0,39295.20000000013,56046.0,43157.799999999996,24956.2,58697.8
12,64308.03999999991,24936.6,59225.74,34923.52,30876.04,58943.98,60381.00000000002,58747.56,42739.16,56975.74
13,69476.35999999999,40373.20000000002,62528.4,33120.88,32786.96,59238.16000000001,92827.6,57801.64,58967.88,61031.68
14,92071.84,46147.000000000015,92327.44,46989.12,37299.08,60965.46,96298.1,75452.08,62833.12,66074.08
15,98430.08,62421.4,97530.96,67286.64,67365.04000000004,83586.56,104581.59999999999,90060.28,77191.91999999991,66346.84000000003
16,100277.8,68669.0,101459.3,71066.4,68679.4,92378.2,108232.5,91212.4,85650.6,72333.9
17,100407.52,77861.0,103554.92,98284.64,76658.20000000001,92098.72,111328.80000000002,93478.56,87347.84,79034.52000000002
18,107679.28,83379.6,105702.16,105517.04000000001,78620.28,95827.14,109720.00000000003,106310.68,101691.87999999992,95441.42
19,109731.84,89462.59999999998,110331.39999999998,109273.88000000002,93706.39999999994,99973.56,140917.20000000004,108023.88,107718.88,93153.68000000001
20,110265.72,96054.8,146889.66,109857.84,108328.08,105258.44,158735.00000000003,107319.4,108239.59999999999,93011.58
21,138624.19999999995,96799.0,145663.6,125887.59999999992,117469.99999999997,110881.00000000004,159159.0,118566.79999999999,111481.99999999997,112386.59999999998
22,150334.72,104615.8,152560.96,152812.4,135035.36,112661.37999999999,160616.2,116662.24,151949.19999999998,153599.28000000014
23,154250.4,111803.4,161560.56,156256.92,178320.80000000008,142649.08000000002,178514.2,152671.12,154610.68,154607.40000000002
24,158281.96,111471.4,161656.24,159509.59999999998,194251.24,153487.96,208854.80000000008,155688.84,160083.2,155758.78
25,182337.4,109993.8,176585.72,173729.44000000015,192553.12,159993.40000000002,234171.20000000027,161183.44,179996.4,157055.88
26,186826.0,108488.0,188115.0,198747.0,221901.0,161478.0,256545.00000000006,179749.0,190940.0,178604.0
27,223051.04,131268.20000000004,223699.36,196420.92,237588.96,158907.28,307058.20000000007,178525.96,196889.2,221615.48
28,261431.19999999998,152008.0,267160.3600000002,195945.76,260145.5999999999,179296.2,371812.2000000003,176972.44,208205.75999999992,259813.56
29,284538.67999999993,186853.59999999998,319379.36,216715.88,304549.5200000001,203743.71999999997,403682.00000000023,178868.48,263240.03999999963,280802.04000000004
30,305469.24,225440.6,381197.32000000007,242650.51999999996,329893.72000000003,233256.6400000001,456342.89999999997,194856.8,305410.51999999996,339944.58
31,319816.99999999994,260222.0,429374.00000000006,272484.39999999997,354365.4,277377.20000000007,458161.0,201275.2,336828.99999999994,393162.80000000005
32,340363.6,301882.80000000005,450540.3,304837.2,375480.60000000003,306640.64000000036,462935.5,228441.60000000006,388660.27999999997,416900.08
33,393024.5599999998,345866.20000000007,456902.88,356080.36,419006.76,329202.95999999996,463006.8,251664.44,429424.9599999999,437949.76
34,435554.92,369109.2,459445.18,400129.88,479372.44000000006,365064.04000000004,463932.7,278021.39999999997,451655.68,455760.96
35,451906.84,416536.80000000016,462291.52,454086.5999999998,505275.84,410347.04000000004,470171.0000000001,330301.96000000014,452271.23999999976,462269.87999999995
36,453419.2,437614.0,465179.89999999997,483031.9999999997,536521.6000000001,442398.4,474028.0,380983.20000000007,459773.60000000003,519745.00000000035
37,458827.60000000003,500908.0,465353.92,557417.2000000001,573650.16,496884.6400000003,490212.80000000005,410465.12,458416.76,558843.48
38,499358.3999999998,554069.2000000003,473259.18,614894.24,625074.24,541480.7599999999,490938.30000000005,436462.4800000002,494099.27999999985,613721.24
39,551392.5599999998,590094.6000000001,516406.2,665804.8,680381.32,605026.0000000001,524912.2000000001,467182.28,521995.99999999994,674817.56
40,583158.7199999999,635397.6000000001,548253.0,680550.8,683488.8,664076.0800000002,594321.6000000002,507404.60000000003,553923.7599999998,676293.46
