index,104_1_www.huffingtonpost.de,104_2_www.huffingtonpost.de,104_3_www.huffingtonpost.de,104_4_www.huffingtonpost.de,104_5_www.huffingtonpost.de,104_6_www.huffingtonpost.de,104_7_www.huffingtonpost.de,104_8_www.huffingtonpost.de,104_9_www.huffingtonpost.de,104_10_www.huffingtonpost.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-251.64000000000001,-295.48,-263.8,-295.48,552.3199999999999,-245.98000000000002,-249.94,-251.92000000000002,-297.46,-259.84
3,1637.04,-610.72,733.6000000000001,-610.72,1403.16,1549.3600000000001,1368.0799999999997,1277.4399999999996,-595.44,914.8800000000003
4,1325.74,1607.44,1468.0,1607.44,1021.0799999999998,1335.7,1365.1,1379.8,1611.88,1438.6
5,1451.56,1340.6,1415.8,1340.6,408.2800000000002,1472.68,1460.04,1453.72,1360.2,1428.44
6,1196.8000000000002,1431.6000000000001,1136.0,1431.6000000000001,2352.2,1225.1000000000001,1205.3,1195.3999999999999,1423.7,1155.8000000000002
7,521.8800000000001,1177.1600000000003,929.3999999999997,1177.1600000000003,4496.84,551.1600000000003,633.4799999999998,674.6400000000001,1218.3200000000002,839.2799999999996
8,544.2400000000013,1097.4800000000002,569.4,1097.4800000000002,4499.24,280.48000000000025,387.43999999999994,440.9200000000002,1150.9600000000005,597.1200000000001
9,2380.12,564.8800000000001,1133.4000000000008,564.8800000000001,7067.24,4396.44,2454.52,2466.36,619.7600000000001,1858.5200000000013
10,4456.22,486.7599999999999,2370.4,486.7599999999999,6529.28,4485.74,3218.360000000002,2810.4800000000023,555.5199999999998,2282.9199999999996
11,4585.2,2039.8000000000015,2255.0,2039.8000000000015,8206.8,4461.8,4491.400000000001,4536.8,1586.5999999999992,2286.6000000000004
12,4300.38,2350.9599999999996,4146.800000000001,2350.9599999999996,7951.920000000001,4336.46,4443.38,4496.840000000001,2404.4200000000005,4582.24
13,4462.84,2236.04,4380.2,3898.1599999999953,12089.840000000006,4422.04,4384.12,4365.16,2217.08,4289.32
14,4531.2000000000035,2877.8399999999965,4393.6,4539.96,16873.52,4133.140000000001,4413.420000000001,4528.36,2332.42,4434.68
15,7056.92,4546.72,4424.200000000001,4546.72,17259.600000000002,6795.959999999999,6225.88,5814.599999999998,4567.4400000000005,4122.359999999999
16,6790.7,4298.8,6063.0,4298.8,30190.79999999999,6919.4,6984.2,7012.2,4307.3,6673.800000000001
17,6541.12,4415.72,7012.2,4415.72,53040.600000000006,6529.28,6563.84,6655.88,4390.44,6947.48
18,6263.240000000002,4445.76,6694.4,4546.56,64250.84,7063.02,6601.179999999999,6570.24,4515.62,6550.88
19,6616.08,5317.800000000001,6548.4,4278.04,63497.52,7850.64,6603.120000000001,6409.520000000001,4572.600000000002,6613.92
20,8611.720000000003,7070.68,6082.2,3793.400000000002,64989.07999999999,8269.42,6642.58,6996.639999999998,6130.34,6176.5599999999995
21,10739.399999999994,6930.2,5616.0,6857.000000000003,65070.6,9007.000000000004,6309.800000000001,7271.400000000001,6137.200000000001,6109.600000000002
22,12426.56,6561.68,6159.599999999999,8696.12,67101.16,9613.380000000001,7526.86,9270.16,5350.26,7089.4400000000005
23,11942.840000000002,6562.96,7444.000000000003,8556.52,67372.04,12170.119999999999,11529.88,10097.799999999992,6174.68,8533.600000000008
24,12889.200000000003,6672.4400000000005,10250.799999999997,8185.84,68332.19999999998,12640.799999999997,11938.160000000002,14057.32,6036.360000000001,11997.12
25,16801.96,5874.720000000002,11646.20000000001,9624.319999999989,75985.32,15379.319999999989,15391.960000000006,13628.279999999993,5667.84,17388.32
26,19830.0,6233.0,17285.0,10852.0,76385.0,20227.0,16653.0,16669.0,5924.5,17116.0
