index,148_1_www.netflix.com,148_2_www.netflix.com,148_3_www.netflix.com,148_4_www.netflix.com,148_5_www.netflix.com,148_6_www.netflix.com,148_7_www.netflix.com,148_8_www.netflix.com,148_9_www.netflix.com,148_10_www.netflix.com
1,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1601.52,1477.8,78.15999999999951,1591.16,1580.22,1512.1000000000001,1536.6,1433.18,1472.9,1592.86
3,1548.4400000000005,2521.4000000000015,1641.32,1397.5199999999998,1776.199999999999,1941.7999999999988,1527.8000000000004,3657.36,2083.5999999999995,1972.7999999999997
4,3974.52,3601.360000000001,4065.76,3929.16,3576.84,3570.36,3586.56,5125.680000000001,3634.0400000000004,3563.72
5,4089.24,5295.08,4300.439999999999,4901.920000000001,5462.08,5095.160000000001,5460.72,6680.4800000000005,5241.64,5434.04
6,5121.4,4270.4,4649.100000000001,4554.099999999999,4565.099999999999,4371.599999999995,4519.400000000001,10396.3,4206.200000000001,4495.3
7,4424.919999999995,8506.64,6185.280000000001,6225.96,8420.32,6983.120000000001,6188.88,10689.599999999988,6915.480000000002,8367.16
8,8424.56,8467.32,8236.66,8364.119999999999,8360.539999999999,8420.14,8311.36,16254.039999999995,8454.06,8320.02
9,8312.64,11415.600000000006,7951.880000000001,8197.08,8433.799999999996,11118.199999999995,7528.5599999999995,15685.960000000001,11702.359999999999,8424.839999999998
10,7655.480000000004,14530.359999999999,14763.68,10943.459999999995,14641.24,14608.539999999999,14705.16,22459.94,14407.88,14539.380000000001
11,14811.400000000001,15170.199999999999,14757.399999999994,13190.400000000003,14664.600000000002,15258.400000000001,15082.399999999998,22873.6,15075.6,13748.2
12,14134.56,16712.56,14736.48,14583.940000000004,16969.679999999993,16792.620000000003,15458.12,24435.819999999996,16691.22,15611.46
13,15016.76,18786.680000000008,16804.92,16685.720000000005,16864.760000000002,17250.4,16884.04,37064.03999999991,18988.440000000002,18913.36
14,16720.36,30543.4000000001,19244.739999999998,16764.78,19107.8,19769.1,19307.88,47551.54,28373.359999999982,21953.38
15,16952.599999999988,42070.04,35567.840000000004,19152.52,39873.48,40301.92,39973.759999999995,48308.07999999999,40329.76,22832.239999999998
16,18733.000000000004,41795.399999999994,40151.3,35494.50000000001,38672.9,39309.4,38974.2,52695.8,38860.9,24513.899999999998
17,39813.68,40578.24,39570.55999999999,39661.92,37706.840000000004,38316.36,38077.08,52385.88,40452.08,27090.88
