index,185_1_www.python.org,185_2_www.python.org,185_3_www.python.org,185_4_www.python.org,185_5_www.python.org,185_6_www.python.org,185_7_www.python.org,185_8_www.python.org,185_9_www.python.org,185_10_www.python.org
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1573.4,1507.2,1414.1,1480.1,1576.36,1327.32,1324.16,1394.5,1381.04,1390.52
3,1138.7999999999997,2024.6000000000008,2825.2000000000003,4080.88,1181.9199999999996,3855.7200000000003,4114.12,2970.0000000000005,3978.84,3952.92
4,3702.2999999999997,3567.12,4055.9599999999996,5546.219999999999,3740.8199999999993,4178.28,4091.36,3632.600000000001,5306.92,5394.96
5,4891.000000000002,2678.04,4887.52,7216.4800000000005,5427.68,5073.68,5295.56,5345.599999999999,4101.6399999999985,5299.319999999999
6,4534.5,4351.8,4029.6000000000004,10645.699999999999,4832.099999999999,6369.400000000001,7029.200000000001,5501.0,8332.800000000001,8334.0
7,6177.999999999999,6485.76,6307.88,11459.720000000005,8829.16,8327.199999999999,10089.640000000001,8734.199999999999,7582.159999999999,9228.08
8,8316.499999999998,7518.44,8331.86,13505.460000000001,8617.58,7704.159999999999,9812.96,8203.900000000001,15626.76,15839.559999999992
9,7880.2,10079.200000000003,7588.5599999999995,16287.159999999998,8155.6799999999985,15835.36,15092.12,13205.199999999999,18135.92,18267.04
10,13088.699999999999,12995.24000000001,12068.299999999997,19664.62,13450.960000000005,17385.88,16323.4,14569.7,17807.4,17574.239999999998
11,17702.0,17335.600000000002,15156.800000000008,23235.80000000001,17024.600000000002,18006.8,15758.400000000001,18491.0,24442.799999999977,24603.999999999996
12,18118.200000000004,18042.4,18146.7,26066.48,17974.08,17873.2,23783.56,18418.8,51766.76,25384.24
13,17953.8,17837.48,17976.72,37844.24000000001,18194.32,23570.64,25600.12,31860.800000000076,54581.12,28678.079999999998
14,23658.000000000022,27554.96,22288.100000000002,41847.34,19278.860000000048,34270.64,25981.52,41577.7,65529.43999999996,29983.76
15,52594.000000000124,26754.64,31821.44,50887.720000000045,26089.76,76801.72000000007,26971.200000000004,42982.0,69980.32,47590.520000000004
16,67508.0,28348.999999999996,31049.4,76355.29999999999,27401.400000000012,91239.20000000001,45165.99999999996,74513.5,86298.99999999999,58424.00000000001
17,66765.6,32342.400000000005,34186.68,95411.04,28519.600000000006,99554.68000000002,72775.92,90220.0,96271.76,67651.8
18,68413.7,43688.799999999996,45019.939999999995,126382.9,39878.84000000007,140608.4,76069.88000000002,106909.00000000001,126431.12000000002,72225.24
19,96136.00000000003,60073.12,57468.999999999956,169881.59999999998,66264.88000000006,171433.4,82152.07999999999,127838.6000000001,167453.15999999995,84809.48
20,110750.09999999999,73914.80000000003,84214.3,208162.54000000012,77571.45999999999,186940.47999999998,95290.16,152225.4,188508.16,109037.2
21,158058.0,86869.2,91475.40000000007,242016.2,95693.20000000004,212028.19999999995,107418.19999999998,176988.0,210549.99999999988,132196.0
22,172034.0,96509.40000000001,124092.95999999999,246251.96,121882.34000000003,215723.96,125706.24000000002,209416.5,219206.2,155643.51999999993
23,174153.00000000003,106390.04000000001,132862.2,255452.40000000002,150694.04,215596.24,147377.59999999998,234531.60000000003,220514.72,169899.48
24,224664.40000000002,115379.96000000002,148732.09999999998,269719.10000000003,168855.24000000002,217320.36,159116.48,244073.7,221264.28,192713.64000000004
25,232062.4,128459.04000000001,185260.56,300538.64,195008.72000000003,225467.36,195105.36000000004,245470.0,234844.36000000004,212492.2
26,233714.5,161643.0,217960.5,313907.0,213816.00000000012,233764.0,223775.0,251531.5,271188.0,232903.0
