index,147_1_www.netflix.com,147_2_www.netflix.com,147_3_www.netflix.com,147_4_www.netflix.com,147_5_www.netflix.com,147_6_www.netflix.com,147_7_www.netflix.com,147_8_www.netflix.com,147_9_www.netflix.com,147_10_www.netflix.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4300.319999999999,4048.76,3612.42,1095.6799999999996,4136.94,3689.46,4006.92,3998.28,3933.48,3702.3
3,8267.92,4579.32,5877.48,5144.240000000002,8450.52,6308.24,6808.08,4533.32,6002.079999999998,6331.200000000001
4,16128.519999999997,8265.720000000003,14504.459999999995,6189.32,15173.42,13662.979999999998,12922.46,7962.82,9035.400000000001,13473.89999999999
5,19650.479999999992,15144.52,16514.72,7974.320000000001,18579.44,16744.84,16009.16,14915.64,16631.76,16736.2
6,35606.199999999975,17804.0,34425.1,14109.2,32433.7,31997.000000000015,22242.800000000003,17761.5,18424.1,34883.5
7,37658.92,34385.280000000006,36844.8,16692.48,37607.88,35252.76,25013.760000000006,33714.96,33080.52,34409.4
8,43959.72,37432.88,37546.14,18490.719999999998,49584.26,38515.82,42640.56,39453.02,39085.82,37668.4
9,58839.27999999996,38747.92,43473.44000000001,33738.72,54298.16,41789.56,45098.32,38304.52,38930.72,43235.4
10,72500.84,50463.04000000001,56263.78,37371.92,58441.9,43341.26,46736.94,42910.74,49157.92,47120.69999999995
11,84379.79999999987,56074.799999999996,65421.8,39003.799999999996,81302.39999999985,63201.799999999996,52127.599999999984,56603.799999999996,52795.60000000002,64397.0
12,132902.2,54845.840000000004,64184.72,36870.24,121354.1,73315.98,63557.72,62393.76,92477.28,71753.7
13,130263.4,102508.36,78944.8,46602.56,164949.76000000004,72570.2,63076.36,75660.35999999991,129442.52000000002,71260.0
14,153624.83999999997,136843.15999999997,92384.64000000009,55710.04,199441.74,81660.68000000001,110341.32,141827.56,177967.1,134121.9
15,222638.95999999993,138149.4,191796.2,54507.68000000001,236115.28000000003,108758.60000000002,112779.84,141932.16,243063.88,132259.0
16,252369.39999999994,181505.6,208749.3,58673.20000000005,276083.8,126876.49999999999,134728.4,168197.09999999998,248484.7,210473.0
17,286733.2,213324.2,223681.68000000008,101812.87999999999,331730.32,136560.80000000002,172242.36,221197.76,251407.72,255372.99999999997
18,373486.8,232877.0,294017.2,109660.48000000007,343167.19999999966,174215.78,248905.69999999998,230727.1,288735.1,301825.7999999999
19,382972.56,252927.12,337976.52,147783.16000000003,448561.36,226093.52,256368.12000000002,259593.64,336834.2,336530.60000000003
20,429088.6799999991,253542.84,343935.8,190292.76,450860.4,248472.28000000003,293042.92,279063.27999999997,370245.12,396593.60000000015
21,488199.8,260983.8,391864.4,208592.6,459749.4,265492.0,330892.2,284662.4,373262.6,453053.0
22,505847.56,262588.64,457558.82,242697.52,482439.92000000004,305437.24000000034,370802.8599999999,304567.1999999998,392467.18,456649.7
23,525121.48,269678.8,465364.68,247121.24000000005,486472.52,356979.12,378988.16,384520.16000000015,396746.56,464454.39999999997
24,531692.3999999999,296592.87999999995,469431.77999999997,282676.36,490774.32,360495.31999999995,399899.42,400924.64,401867.86,484571.7
25,545677.64,324872.12,489549.32,319652.56,525271.68,394077.68,404698.68,406973.36000000004,413190.16,487105.60000000003
26,565142.0,361926.0,495979.0,360962.0,605802.0,448519.0,407125.5,418129.5,438567.0,493901.5
27,661271.3199999996,406828.4,507528.68000000005,363786.52,803619.5599999999,483746.36,417508.16,443360.04,483243.4,504945.2
28,828235.12,419327.52,520136.48000000033,369336.20000000007,966315.2399999994,487094.42,423184.33999999997,489537.60000000003,591558.24,530291.7
29,1017315.3199999995,421068.32,580191.16,372475.92,1024425.44,506028.88,459737.0399999998,550137.96,676207.36,638082.9999999995
30,1070159.28,443432.4000000001,688573.5200000003,392524.64,1028427.6,514087.82,560131.2400000003,600044.6400000001,768931.0,755132.7999999992
31,1077567.9999999998,496913.79999999993,811338.0,393667.4,1035058.2,523535.6,651870.4,708943.9999999999,894551.6,920238.0
32,1081544.8399999999,583572.6800000002,870821.7599999999,395988.36,1041580.18,536494.6,691362.0,805514.12,936736.98,1027174.6
33,1089869.88,722517.3999999999,931014.28,401269.76,1044974.36,595639.52,778787.2,940872.16,937177.2799999999,1029885.6
34,1118821.88,855353.3199999995,995350.3200000001,401990.1600000002,1051246.14,741144.5200000003,882778.08,945780.62,940355.3999999999,1035045.5
35,1128743.72,945030.56,1032967.28,414520.4,1058901.52,871523.0800000002,933836.32,950396.24,946747.44,1038876.6
36,1132572.6,945631.6,1034194.8000000002,436874.6000000001,1108717.5999999992,1001686.3999999997,948044.9,953493.4,955888.0,1045688.5
37,1140650.88,951122.84,1041468.56,464215.56000000006,1119000.88,1049353.56,951192.44,957340.8,957954.84,1050213.4000000001
38,1141438.88,954993.36,1043093.36,528495.88,1146043.12,1052216.02,954780.24,960715.6,961401.22,1054361.8
39,1179368.0399999993,961635.88,1050316.32,575133.3600000003,1166237.2,1056849.32,958285.68,966959.08,965203.48,1058320.6
