index,214_1_www.iso.org,214_2_www.iso.org,214_3_www.iso.org,214_4_www.iso.org,214_5_www.iso.org,214_6_www.iso.org,214_7_www.iso.org,214_8_www.iso.org,214_9_www.iso.org,214_10_www.iso.org,215_1_www.iso.org,215_2_www.iso.org,215_3_www.iso.org,215_4_www.iso.org,215_5_www.iso.org,215_6_www.iso.org,215_7_www.iso.org,215_8_www.iso.org,215_9_www.iso.org,215_10_www.iso.org,216_1_www.iso.org,216_2_www.iso.org,216_3_www.iso.org,216_4_www.iso.org,216_5_www.iso.org,216_6_www.iso.org,216_7_www.iso.org,216_8_www.iso.org,216_9_www.iso.org,216_10_www.iso.org,217_1_www.iso.org,217_2_www.iso.org,217_3_www.iso.org,217_4_www.iso.org,217_5_www.iso.org,217_6_www.iso.org,217_7_www.iso.org,217_8_www.iso.org,217_9_www.iso.org,217_10_www.iso.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,110.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,290.0,-442.0
2,1456.8799999999999,1406.32,1430.02,1433.18,1336.8,1445.82,1595.2,1441.08,1358.92,1373.82,1428.44,1391.7,1328.8999999999999,1475.84,1471.1,1567.2,1637.04,1542.6999999999998,1624.46,1670.1000000000001,-250.96000000000006,-330.06,-36.84000000000049,-618.36,-535.3599999999999,1413.3999999999999,-444.7199999999998,-233.10000000000005,-535.3599999999999,1141.4799999999996,1563.2,1403.16,1369.98,1458.46,1407.8999999999999,1418.96,1422.1200000000001,1436.34,1615.7,1409.48
3,3582.2400000000002,3875.64,3683.04,3657.36,4086.6,3597.36,3105.0000000000005,3603.84,4038.44,3604.36,3695.8799999999997,3990.16,4103.8,3556.32,3562.8,3590.88,1141.8000000000002,4116.8,3234.4000000000005,3785.76,367.0400000000009,1638.12,1362.08,1330.8,1327.32,1463.2,1333.64,287.4000000000008,1651.32,1444.24,4121.12,3901.32,4009.08,3580.08,3862.8,3772.92,3747.24,3631.68,4076.4,3849.96
4,5023.88,5520.679999999999,5194.86,5150.74,4116.8,4982.26,4245.100000000002,5170.44,4524.3200000000015,4918.32,5079.44,5309.54,4431.299999999997,4705.84,4823.5999999999985,5028.08,3626.0400000000004,4665.800000000001,4157.34,5203.62,1329.64,1421.22,1149.5800000000004,1564.54,1505.3199999999995,3814.999999999999,1440.6399999999999,1335.9,1505.3199999999995,3447.7999999999997,5021.92,5509.839999999999,5428.959999999999,5201.96,5108.100000000001,5029.28,5153.88,5121.84,5290.699999999998,5129.64
5,6109.5199999999995,6593.32,6344.92,6252.28,4392.599999999999,6657.5199999999995,4443.599999999999,6350.279999999996,4604.44,8526.28,6099.76,6327.96,4176.599999999999,6142.36,6172.400000000001,8357.76,4958.84,8451.800000000001,4956.28,6378.88,1555.0800000000002,1534.8000000000004,4030.6800000000003,4039.4,4107.24,3573.6,4093.48,1558.8000000000002,4107.24,3599.52,4373.88,6553.16,4403.639999999999,6590.5599999999995,6195.400000000001,6021.16,6354.5199999999995,6288.36,4558.199999999998,6267.08
6,8086.599999999999,8466.6,8506.1,8467.1,6083.0,10180.3,6173.5,8502.6,8554.6,7592.900000000001,8416.800000000001,8351.300000000001,5935.5,7900.8,7922.5,8253.200000000003,6285.2,12502.5,6346.699999999999,8348.9,3709.0000000000014,4009.6,3737.099999999998,3638.1,3595.2,4723.5,3584.4,3618.0,3595.2,4132.7,8425.199999999999,8398.800000000001,8584.6,12607.700000000008,8082.5,8309.2,8384.6,8430.300000000001,8303.5,8395.4
7,12585.76,10760.600000000008,13042.720000000003,12912.640000000001,8301.2,11949.639999999998,8317.199999999999,14428.84,8616.08,16061.48,14311.119999999999,13619.159999999996,8150.599999999999,13338.639999999998,13950.199999999997,14003.880000000001,8292.039999999999,15817.8,8433.76,12108.48,3820.2799999999997,3769.9599999999996,5426.84,4122.36,4377.120000000003,5005.599999999999,4110.44,3869.7999999999993,4097.72,4976.32,7808.6399999999985,10211.800000000005,8064.5199999999995,13048.039999999995,9931.999999999989,13535.159999999996,12620.52,12866.24,9106.999999999995,12671.079999999998
8,16484.96,16213.56,15725.14,15691.26,11671.599999999997,16050.26,14217.099999999999,15736.56,13669.039999999999,16333.08,15623.08,15627.22,12106.799999999992,16447.72,16506.8,15994.039999999997,7768.079999999999,16283.4,8033.599999999999,16050.66,4131.88,4711.580000000003,4842.76,5315.54,4827.72,4324.4,5084.919999999999,4086.4000000000015,5267.96,4206.280000000001,13966.039999999999,16182.28,14159.66,16149.22,15811.2,15503.72,15608.16,16004.56,16001.6,15654.64
9,17722.440000000002,16538.48,16143.639999999998,16812.76,15900.6,15983.400000000001,15540.4,18241.16,15763.64,18777.36,17877.080000000005,17998.720000000005,15698.800000000001,17708.72,17719.8,17949.280000000002,13911.24,17748.599999999988,14327.08,16317.24,5208.640000000002,5137.52,4329.279999999996,4742.12,4205.68,6035.8,4431.48,4925.000000000002,4628.24,5981.96,16467.68,16596.24,15781.16,19371.400000000005,16392.8,15860.56,16261.32,18255.68,16374.800000000001,16344.04
10,18341.44,18028.88,18832.92,18803.72,16452.8,23638.72,16140.399999999998,18652.36,16389.68,20759.239999999994,18613.48,18582.32,16263.4,18118.68,18176.2,18314.52,16250.56,18962.600000000002,15847.14,18708.060000000005,5191.52,4517.46,6137.86,4123.76,6130.36,8347.1,5656.519999999998,5403.099999999999,4927.759999999998,8308.42,17870.84,17948.44,17300.279999999995,23597.86,17594.1,18616.16,18749.48,18637.28,17781.3,18730.08
11,27040.8,18683.6,19483.399999999994,18537.000000000007,17583.0,23883.600000000002,18639.0,27460.400000000005,17978.2,25455.2,19218.00000000002,25913.400000000005,17396.0,18876.6,18894.0,26193.6,16844.8,27099.0,16325.199999999997,18565.4,4537.8,6402.599999999999,8490.6,6063.8,5964.599999999999,8390.0,6051.2,4880.0,6106.599999999999,8314.8,18392.8,18604.8,18771.2,24061.199999999997,18305.0,18745.00000000001,18007.4,27401.399999999998,17878.0,18445.000000000007
12,24632.44,27035.84,25450.82,25529.34,18410.399999999998,25772.859999999997,18445.9,25219.96,18591.76,26565.62,24734.399999999994,24074.86,18238.2,19353.200000000004,20084.00000000001,26289.04,18151.76,24360.600000000006,18133.58,25785.34,6319.720000000004,6275.14,8378.94,8424.62,8103.240000000001,9265.999999999996,8346.88,4368.5999999999985,8466.44,8546.599999999997,24929.91999999999,27469.56,18633.94,26618.64,27153.800000000003,25542.76,26428.56,24871.42,26751.9,25845.879999999997
13,25796.52,28191.719999999998,26502.44,24230.720000000005,18776.00000000001,26123.88,27011.199999999997,26496.320000000003,27291.24,28079.84,24320.120000000017,22567.16,21086.199999999924,24438.640000000003,27189.8,25248.760000000002,18902.96,25186.200000000004,18590.64,27090.52,7648.240000000002,8329.12,7968.3200000000015,8199.039999999999,8176.68,13700.199999999995,8263.84,6354.399999999999,8312.92,14140.52,25410.52,25154.359999999997,27291.920000000002,27740.59999999999,24574.400000000005,24165.12,26854.64,26055.920000000002,24483.399999999998,24235.56
14,28753.76,33712.16,29818.9,31804.100000000006,25935.199999999997,34093.399999999994,24614.699999999997,33271.15999999998,25060.679999999997,32209.66,26492.880000000016,23990.98,24340.100000000002,25526.64,31523.6,23863.760000000002,23903.519999999975,24305.800000000003,24336.12000000003,30954.02,8595.36,8493.98,12161.819999999994,7989.1399999999985,7495.719999999998,15909.2,7888.4400000000005,6601.600000000003,7953.320000000001,15893.64,24011.36,30159.319999999992,24890.42,33556.579999999994,25964.4,30236.48,26079.56,33899.48,30268.9,30449.24
