index,158_1_www.oracle.com,158_2_www.oracle.com,158_3_www.oracle.com,158_4_www.oracle.com,158_5_www.oracle.com,158_6_www.oracle.com,158_7_www.oracle.com,158_8_www.oracle.com,158_9_www.oracle.com,158_10_www.oracle.com
1,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4232.56,4103.02,4030.6800000000003,3991.2,3792.18,3955.08,4048.76,4084.88,4115.84,3811.44
3,4694.4400000000005,8002.28,4647.4400000000005,4514.48,8175.44,5199.680000000001,4372.24,4536.88,4664.839999999999,6242.72
4,8151.3200000000015,19286.06,8088.92,7987.4800000000005,12442.779999999993,7901.399999999998,8079.32,8452.66,8245.22,11800.239999999994
5,19213.399999999998,29884.48,19087.72,19950.88,20425.6,19191.28,19174.6,18759.32,18706.079999999998,19952.799999999996
6,28027.600000000006,67377.3,28606.600000000006,28199.4,29419.899999999998,29683.2,27909.8,28474.9,28755.5,29421.2
7,33577.84,138195.48000000004,31826.96,70730.36000000004,40847.04,46105.840000000004,31888.440000000006,48293.31999999999,30359.76,68041.76
8,58381.76,196397.56000000003,94760.52000000002,124325.11999999997,126424.12,109607.3,50914.95999999998,82714.79999999999,48691.22,169574.84
9,105451.07999999997,221695.56,153299.04,168848.36,172458.48,146367.64,107172.04,170348.6,117302.32000000005,205741.35999999996
10,198776.67999999993,248156.44,170694.6,218423.16,193599.28,206177.1,163057.6,187216.3,170050.68,219964.68
11,219793.40000000002,265668.0,218173.80000000002,223070.59999999998,245605.4,226182.8,206262.6000000001,219269.8,195934.4000000001,229604.2
12,224332.04,415644.7999999999,221949.44,235106.72,252275.64,245820.52,220218.96,222956.98,219604.06,246247.68
13,252799.2,506439.2,253530.19999999992,265788.6,282580.5199999999,264223.76,231658.76,236482.8,244568.48,303836.75999999995
14,255462.72,606497.0800000001,344952.1199999997,321361.68,353289.08,301231.4,239997.8,263742.28,250624.04,395012.32000000007
15,273172.8,696764.24,401909.44,379760.72,421381.16,447165.1600000002,264080.8,361806.3999999999,265201.4,464819.43999999994
16,376248.19999999995,697669.9,469033.8,429876.0,493870.2,517135.1,339534.0,491549.1000000002,387513.4000000001,571936.1999999998
17,510637.8,716920.6,484123.12,503560.52,571502.8,584624.24,417529.63999999996,522941.2,502199.88000000006,620838.16
18,603814.6799999999,726719.64,505894.24,603559.9599999998,622585.06,656011.8400000001,502357.6,544953.56,545584.94,698414.32
19,701881.64,765877.8,572029.2799999998,683039.3200000002,626046.24,672922.28,546260.64,615320.56,641985.8400000001,738348.68
20,705131.28,776207.68,665621.44,705702.84,633828.68,709202.58,616376.84,679469.5199999999,687049.2600000001,739916.12
21,716832.8,790938.2,705913.3999999996,740357.6,642753.8,711299.2,676431.8,724478.4,733133.0000000001,745080.2
22,730784.3200000001,855517.1200000001,740053.12,741224.56,654088.08,749009.3200000001,733898.7999999999,740744.62,738551.68,764023.12
23,758074.6799999999,884875.32,745511.08,751725.88,701396.88,761074.36,739487.28,744939.3200000001,744279.24,765462.68
24,779343.1199999999,885702.14,751199.76,760189.88,747715.6,768832.82,744981.4,762193.0400000002,746492.08,792593.04
25,822917.1599999999,971359.9600000002,766401.08,766541.6,784173.2799999999,798724.6399999999,762784.52,764383.84,759466.96,868067.6799999999
26,827971.0,1072408.0,768075.0,777434.0,798238.5,821858.0,807520.0,766449.5,765992.0,933620.0
27,842191.3599999999,1171265.96,801372.7199999999,828929.36,865104.28,837734.4,809249.44,805015.12,795761.12,1031625.96
28,869588.2,1321818.64,828955.84,830920.9199999999,866203.32,858120.7,825046.84,820412.1,816894.56,1031429.28
