index,205_1_java.com,205_2_java.com,205_3_java.com,205_4_java.com,205_5_java.com,205_6_java.com,205_7_java.com,205_8_java.com,205_9_java.com,205_10_java.com
1,-442.0,-235.0,-442.0,-442.0,-442.0,0.0,-442.0,0.0,67.0,-442.0
2,1322.58,1396.22,1387.36,1505.3200000000004,1399.4,-75.84,1338.3799999999999,-63.84,1492.88,1352.6000000000001
3,4117.56,3872.44,3961.56,4097.72,3468.1999999999994,-199.68,4083.16,-127.68,3697.24,4052.2
4,4161.959999999999,5185.46,5287.28,4945.759999999998,4166.88,-178.35999999999984,4119.98,-144.48,5113.119999999999,4422.400000000004
5,4551.56,7823.519999999998,4821.759999999998,8342.92,4991.28,1375.9600000000003,4343.160000000001,-219.5200000000002,8925.52,4589.400000000001
6,5929.9,8082.900000000001,8340.800000000001,14010.200000000003,6247.400000000001,4269.600000000002,8261.9,1423.6999999999998,9142.000000000004,6374.0
7,8137.48,14034.44,7446.799999999998,16374.28,8312.16,4296.6399999999985,8302.12,3931.3199999999997,16056.079999999996,8376.399999999998
8,9670.800000000001,16467.76,13511.840000000002,16345.279999999999,7886.16,8371.52,12216.3,5485.179999999999,16536.68,13938.00000000001
9,13776.559999999992,16401.48,16250.28,17786.24,13945.08,13929.96,15689.76,4844.480000000002,16593.32,15484.800000000001
10,16185.32,18129.12,15730.039999999999,20331.12,15240.48,16059.880000000001,16247.48,8533.44,18179.28,16311.8
11,15849.8,20861.4,16014.6,26271.600000000006,16155.4,16212.200000000003,15706.799999999997,7783.600000000003,27345.4,16841.0
12,16310.460000000001,26850.640000000003,17832.84,44750.52,15854.719999999998,18184.24,16030.58,13953.679999999998,28298.76,16185.199999999997
13,17850.96,29701.639999999985,20214.719999999998,53281.44,15994.84,20861.36,17796.56,16370.160000000002,50234.080000000075,18147.8
14,19717.69999999999,42772.56000000001,26130.44,52438.84,17723.36,26913.56,20546.12,16115.92,50893.2,20538.800000000003
15,21272.600000000002,53276.76,29895.04,58472.039999999986,20678.96,30187.04,26411.56,16588.32,57129.28,26483.199999999997
16,26037.4,52754.0,49245.19999999997,73462.0,26737.600000000002,51346.8,28998.9,17903.1,57441.0,28087.0
17,28535.399999999987,60046.719999999994,50770.92,72322.36,27626.59999999999,52847.4,44924.32,20896.88,71090.68000000001,44432.4
