index,393_1_www.watchbox.de,393_2_www.watchbox.de,393_3_www.watchbox.de,393_4_www.watchbox.de,393_5_www.watchbox.de,393_6_www.watchbox.de,393_7_www.watchbox.de,393_8_www.watchbox.de,393_9_www.watchbox.de,393_10_www.watchbox.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0
2,11967.279999999997,16767.839999999997,11496.600000000006,14324.099999999995,15389.039999999999,10478.159999999996,19323.32,10250.000000000004,14856.039999999999,18029.539999999986
3,54123.64,73101.44,68552.68,70379.8,70237.80000000002,72533.28,72104.28,72897.6,76869.52,70957.39999999998
4,125689.36000000007,195793.6799999999,163959.68,159426.9,159824.08,199394.68,157547.86000000002,165979.6,160553.63999999998,158792.86000000002
5,197861.32,321996.56,187951.96000000002,201262.59999999998,210089.28000000003,262156.16,200464.56,190261.2,173451.4,257838.83999999976
6,282643.6,402899.4,231481.4,267992.5,250412.80000000008,319105.19999999995,250524.3,228084.5,220781.4,379709.3
7,404509.72,471682.76,278519.60000000003,410096.8,348686.7200000001,455797.1200000001,376469.6,278323.6,312379.56,511093.71999999974
8,468153.12,538391.8399999999,355484.0,506926.2,432151.36,550922.92,482770.38,393762.0,390448.4000000002,546595.6
9,549533.0,592040.6,463736.36000000004,614274.7999999999,523896.7600000001,576033.32,565060.12,500992.4,466576.52,619528.44
10,610751.7199999999,608862.24,655527.16,621427.7,664518.22,615283.76,659005.1799999994,617532.3000000003,509003.72000000003,645694.3
11,694671.4,707434.4,702143.6,682720.0,702440.2,708506.3999999997,721787.4,644818.0,561897.2,708031.4
12,762798.12,724702.96,722385.32,748955.0,732106.28,743996.56,745012.16,710238.7000000002,642108.4000000001,747214.74
13,776830.0,755310.8,745949.5599999999,782502.9999999999,744917.2000000001,757467.44,790761.5599999999,757379.6,722206.9199999999,756197.08
14,834675.96,782835.72,758871.9199999999,785749.3,791064.9,771579.32,824815.26,764430.8,747214.56,826154.6
15,846624.2,838627.4400000001,825389.76,831215.4,886899.1600000004,840585.6,844197.8,833639.8,890758.68,847232.24
16,961061.5999999994,877132.6,963918.4,952315.0,948019.2999999999,861206.8,958986.1,907471.0,973326.0000000001,863943.4
17,1027227.28,941522.68,971126.2,980900.8,980514.88,981653.9999999999,1027090.24,970221.0,1022852.92,927483.6
18,1039713.24,1043352.76,1044769.28,1024014.0,1041349.9,1008801.32,1037450.72,1029662.2,1028705.04,1033464.28
19,1088713.6,1065435.48,1058479.4400000002,1066012.4000000001,1070672.44,1047170.0800000001,1044823.5999999997,1026015.2,1053840.16,1073457.8800000001
20,1099210.48,1087233.84,1057151.28,1085355.1,1091650.88,1057125.24,1067817.84,1037660.9,1060780.24,1113837.84
21,1123555.4,1103223.2,1061855.0,1108768.0,1101437.8,1099376.2,1110058.2,1053775.0,1125873.0,1126990.8
22,1136793.8,1136040.52,1101663.88,1130658.9,1120717.6199999999,1112290.24,1132964.56,1131726.2,1135902.4,1135571.94
23,1153156.72,1163875.0,1112074.6800000002,1133584.8,1148347.44,1170453.52,1136854.96,1184733.8,1153929.52,1166668.32
24,1177778.04,1162574.64,1136042.68,1168294.9999999998,1163828.92,1202544.08,1152299.36,1178944.9,1175924.84,1188551.54
25,1212638.8,1179004.04,1194158.48,1186239.2,1196600.56,1199668.6,1157787.8800000001,1188638.0,1187817.16,1197658.68
26,1212836.0,1177037.0,1192419.0,1205185.5,1198041.5,1206637.0,1171153.5,1201778.5,1207309.0,1200131.0
27,1223545.48,1191498.28,1207890.36,1207180.4,1210801.08,1217655.96,1172497.64,1214089.0,1222285.12,1219527.76
28,1232973.64,1197370.72,1216743.76,1212364.5,1216387.04,1229688.92,1179550.72,1220651.3,1229582.04,1238715.1199999999
29,1240043.24,1212419.32,1220622.48,1224544.2,1226637.92,1232904.12,1187256.52,1227273.8,1236224.28,1246254.52
30,1248042.28,1218309.44,1223248.32,1231171.9,1231909.44,1236129.56,1200926.64,1233397.8,1239218.36,1255731.64
31,1275236.0,1233848.8,1232797.0000000002,1241371.0,1240901.0,1251132.0,1218482.8,1251976.0,1261160.4,1268140.7999999998
32,1285895.44,1253705.56,1254918.5999999999,1266433.5,1270364.32,1273691.64,1225245.96,1276589.0,1281812.4,1282142.34
33,1296673.44,1264466.52,1271187.64,1273373.4,1279292.04,1292893.2,1241604.6400000001,1286852.4,1281154.16,1292090.84
34,1312308.08,1274082.0799999998,1274501.04,1278624.9,1284267.14,1306997.8800000001,1252403.0,1291747.1,1278390.6400000004,1299690.28
35,1325682.6,1284383.08,1292472.6,1295925.6,1290820.92,1309033.9600000002,1267144.84,1301381.4000000001,1291636.7200000002,1304551.56
36,1333703.4,1301424.6,1298716.2,1304521.5,1307853.8,1317817.4,1278903.8,1313151.5,1322701.2,1323582.9
37,1336987.12,1322828.0000000002,1312462.68,1318106.2,1330507.44,1332804.8,1282048.24,1318729.4,1327069.72,1336005.32
38,1344912.48,1320773.68,1317477.96,1319762.3,1333558.24,1338757.08,1290982.26,1328541.7,1347365.1199999999,1350560.58
39,1381679.96,1327557.8800000001,1333928.8000000003,1323240.2,1339696.76,1336218.32,1318191.68,1355156.8,1350740.44,1355003.92
40,1397874.16,1327304.72,1357605.8,1342145.9,1351139.6000000003,1353643.24,1334838.64,1366242.7,1358801.72,1360387.6
41,1400450.8,1374395.4,1378263.4000000001,1357926.0,1375060.0,1364697.0,1350306.6,1375334.0,1365707.4,1376954.5999999999
42,1411978.48,1391976.84,1383298.92,1373276.4,1396204.7,1376521.36,1364719.46,1385695.8,1374146.92,1388978.26
43,1423903.1600000001,1410154.88,1402286.84,1381564.2,1407345.88,1384777.8800000001,1376494.88,1401021.4,1383869.84,1401174.7199999995
44,1437507.76,1419336.92,1415372.4000000001,1392066.9000000001,1416756.26,1398852.6,1389831.8800000001,1408102.4,1399652.6,1410848.1800000002
45,1451964.0,1430221.52,1420153.52,1397286.5999999999,1426197.96,1407158.04,1407863.44,1418063.6,1410372.72,1419773.1199999999
46,1463286.9999999998,1444813.4,1430961.6,1411414.5,1437092.1,1413541.2,1417145.3,1430885.0,1420065.4,1432453.2999999998
47,1472511.5999999996,1453705.68,1444226.96,1421437.6,1452525.08,1425665.4,1427284.04,1441305.6,1434118.56,1445104.36
48,1483295.4399999997,1462975.28,1455577.72,1436012.7,1464275.26,1436444.44,1431799.48,1444079.7999999998,1448337.28,1456443.7
49,1495003.0,1473950.72,1459249.24,1448803.4000000001,1472556.6400000001,1441651.4000000001,1442665.96,1459878.2,1461627.24,1463367.72
