index,12_1_www.heise.de,12_2_www.heise.de,12_3_www.heise.de,12_4_www.heise.de,12_5_www.heise.de,12_6_www.heise.de,12_7_www.heise.de,12_8_www.heise.de,12_9_www.heise.de,12_10_www.heise.de
1,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0
2,5027.599999999999,6555.280000000001,6685.56,2645.1800000000003,9334.399999999998,4698.2,7300.06,4374.94,6731.08,7280.5599999999995
3,11738.000000000005,37421.76,34945.28,14461.080000000009,73652.92,16698.8,47256.80000000001,10098.52,36944.24,37499.28
4,35606.6,75807.38,56487.2,34930.82,94459.88,41346.20000000008,83126.36000000004,37376.06,80079.36,84544.40000000001
5,60524.2,84608.12,94677.76,57830.24,146113.52,83212.6,148861.32,59818.799999999996,100372.08,106935.24
6,97515.0,102378.9,137060.8000000002,86863.60000000002,322979.5999999999,96443.0,271890.6000000004,82483.7,158344.0,228786.1999999998
7,112945.40000000001,143712.04,347783.24,102591.52,397428.04,105404.8,387761.24,94038.64,391902.07999999996,397383.68
8,183076.2,255017.4,405883.72000000003,145664.47999999998,509574.44,250557.9999999999,406926.20000000065,107185.31999999996,398772.76,472115.68000000005
9,361752.6000000001,382744.24,472250.16,212309.92000000007,534387.28,391218.4,521059.56000000006,158876.23999999996,509821.64,477472.92
10,400133.39999999997,400146.98000000004,491791.52,375522.92000000004,600409.52,427756.2,562617.38,283644.88,536221.6,498071.04
11,427687.0,449137.8,548946.6,391489.2,624993.2,492038.0,608749.0000000001,381675.0,600935.2,566319.0
12,503657.2,525476.94,566423.92,413938.77999999997,718554.68,504285.2,643279.64,399264.06,609232.32,639380.0800000002
13,534922.6000000004,532660.08,615843.28,475908.72,752966.96,511645.60000000003,727905.32,408729.36,655467.0800000002,730728.88
14,577076.2,576277.4000000001,681533.4,480568.22,834801.36,513047.6,802544.76,472101.60000000003,723694.76,848261.6400000002
15,613026.6,609878.04,770564.72,483716.56,869696.32,594163.4,869642.4,534184.28,799978.48,866689.16
16,631788.0,653007.1,824994.0,550218.2,883742.9999999999,615852.0,887661.1,538845.1,864110.2000000001,907066.4
17,722260.2,720504.8,872599.6,564534.84,918442.08,637115.0,921907.68,541866.84,885777.12,918641.4400000001
18,759050.6,728805.7,901466.6000000001,587028.06,927751.64,751655.6,931497.52,544804.82,898975.44,934752.64
19,807295.8000000002,790997.72,922945.4400000001,593317.7200000004,935022.04,805603.7999999999,970850.68,612591.92,930338.36,981535.1199999996
20,842139.3999999999,797851.82,931803.76,683829.2,942258.72,812074.8,984518.02,677516.66,938832.2,1020935.32
21,872990.0,859867.3999999999,948853.0000000007,739685.0,987352.4,873377.0,1014917.6,690350.2,968179.2,1036296.0
22,889549.0,872519.8,970827.9599999998,790081.76,1005206.84,891724.2000000003,1226534.7400000002,755583.56,1009732.92,1095255.56
23,903616.7999999999,885990.48,996807.68,798257.84,1009554.24,920410.0,1235337.08,788992.4400000001,1046344.52,1159837.08
24,933139.2,917142.78,1042483.48,856006.1600000005,1017469.0800000001,932196.2,1247467.28,794576.78,1054581.96,1167832.52
25,938817.3999999999,929514.04,1053174.64,865059.68,1027414.84,939908.4,1249134.52,854562.6399999999,1064277.88,1172412.76
26,1014098.0,933057.0,1057359.0,904224.5,1037779.0,947730.0,1262617.5,879239.0,1072196.0,1178160.0
27,1014854.8,962339.4800000003,1072770.48,913208.5599999999,1166660.52,1024995.4,1266037.3599999999,898702.52,1078187.52,1186279.8000000003
28,1040935.8,983710.92,1078366.88,919525.86,1171036.56,1026443.4,1275921.94,908168.72,1085942.32,1219926.12
29,1084424.8,990294.88,1132428.44,924226.76,1182682.16,1047711.4,1319670.32,911755.2799999998,1086033.36,1243692.08
30,1099953.4,1068065.96,1162941.92,933296.5599999999,1216364.68,1192742.6,1398142.78,916022.54,1170606.52,1266723.04
31,1211296.0,1197692.8,1177069.2,988226.0000000003,1230823.2,1274603.0,1411138.4,965201.9999999999,1210211.6,1289541.6
32,1215658.4,1205780.74,1218337.56,1060152.82,1235272.92,1290124.2,1470494.42,1043337.02,1225750.48,1336387.12
33,1224158.8,1209130.52,1242621.08,1165825.56,1256551.04,1354660.6,1503444.2400000002,1151680.32,1230590.56,1344959.6
34,1230646.2,1220452.68,1260772.4,1178115.64,1264454.16,1407892.8,1510617.8,1164759.12,1248022.8000000003,1387057.52
35,1235994.4,1223554.24,1265962.96,1179748.12,1292544.64,1406884.8,1528412.84,1163593.32,1264209.28,1644841.5599999998
36,1236723.0,1229637.0,1268562.4,1184205.3,1337684.4,1419848.0,1534756.4,1168173.9,1282569.2,1960010.2000000016
37,1244124.6,1241067.44,1272841.96,1192214.4000000001,1384089.16,1427893.4000000001,1542362.28,1175273.96,1316666.4,2185368.64
38,1247434.6,1246885.52,1280402.4,1196453.6400000001,1546900.839999998,1425468.6,1608066.4000000001,1180523.48,1332687.8399999999,2321036.6
39,1288443.0,1254494.72,1283732.48,1201383.84,1924661.1599999983,1429459.6,1720147.8,1188167.48,1343340.04,2482573.4
40,1344494.6,1260833.44,1297443.92,1205173.5,2215814.5999999996,1435946.2,1953155.6800000032,1193862.64,1419498.7200000004,2655426.2
41,1377859.0,1298741.4000000001,1332693.2000000002,1211387.8,2451039.2,1444752.0,2304561.0000000005,1199919.6,1627802.4000000001,2818393.8
42,1386106.4,1306239.2000000002,1342039.44,1241054.52,2612727.4,1521540.6,2443599.4000000004,1205372.84,1946263.6000000003,3067525.8
43,1388786.4,1314259.68,1389864.52,1245862.36,2773943.8,1568664.2000000004,2616015.840000002,1255353.12,2116397.2,3335245.4800000004
44,1403068.6,1318396.58,1504829.8800000004,1252955.74,2948342.2,1594611.0000000002,2755287.2,1256827.48,2245699.8800000004,3521051.4
45,1431722.4000000001,1320656.32,1738014.8399999999,1262128.24,3170588.5199999986,1618483.2,2924482.9200000004,1264106.48,2355458.24,3709872.04
46,1434247.0,1328904.9,1989926.2000000007,1264848.6,3339054.6,1627514.0,3103506.4000000013,1268296.7,2455883.0000000005,3985932.5999999996
