index,149_1_opensource.org,149_2_opensource.org,149_3_opensource.org,149_4_opensource.org,149_5_opensource.org,149_6_opensource.org,149_7_opensource.org,149_8_opensource.org,149_9_opensource.org,149_10_opensource.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1429.8600000000001,1529.5999999999992,1537.6599999999996,1320.800000000001,1557.300000000001,3029.7999999999993,3163.8999999999987,1391.0999999999997,3609.499999999999,3366.2
3,4112.56,5304.08,4207.920000000001,5367.92,5697.64,5287.04,5289.4400000000005,5285.28,4976.200000000001,4996.360000000001
4,5885.480000000002,6077.32,4669.879999999999,6980.720000000004,6478.06,8657.08,8473.300000000001,6022.62,8200.9,8310.699999999999
5,8351.64,8279.799999999996,8431.960000000001,7643.159999999999,8841.400000000007,13164.319999999998,11718.079999999994,7393.399999999999,12728.399999999998,13505.72
6,13408.9,22542.2,13659.9,20476.400000000023,22891.1,21960.2,21387.9,21953.199999999997,21857.5,21057.100000000002
7,21772.44,20076.88,21896.64,20123.879999999997,20119.72,18989.84,19071.320000000003,20501.92,18920.8,18824.079999999998
8,19557.74,17929.48,23080.18,18288.02,18339.34,20977.319999999992,21754.480000000003,21120.78,19797.1,19612.78
9,18029.440000000002,28502.07999999999,21387.64,21903.8,22127.16,26211.88,26102.28,22232.760000000002,25845.399999999998,25644.32
10,22520.44000000001,32968.24,26805.680000000037,25850.54,28105.18,32852.96,30433.94,28370.86,32348.8,30174.98
11,25930.399999999998,36032.39999999997,36414.60000000002,30278.0,33146.200000000004,40357.4,34640.999999999985,30340.600000000002,44229.0,40443.6
12,32753.94,45340.84,38981.56000000003,43267.46000000002,42651.82000000002,45938.19999999999,44649.46,31958.46,54227.599999999984,41940.74
13,40902.44000000002,47860.39999999999,41675.88,45769.60000000001,45931.200000000004,62017.39999999999,55055.52,44773.32,66351.40000000001,50885.4
14,43109.59999999999,65303.88,43032.02,66792.44,62701.56,82657.32,63603.399999999994,49298.1,79470.7,49735.86
15,57536.24,66611.4,51350.80000000001,66612.08,65237.24000000028,91103.8,87255.6,54805.24,96054.4,81466.36
16,60942.1,81149.0,71980.40000000002,95890.80000000003,84124.5,91876.80000000002,98395.99999999999,63097.9,115395.5,99966.00000000001
17,72632.68,109338.52,80511.64,144759.80000000002,111438.6,125046.19999999998,130698.79999999997,93847.2,129440.79999999999,146101.11999999997
18,84319.74,124777.2,109471.76000000008,159402.86000000002,135078.08000000002,171946.2,175096.63999999993,131466.67999999985,151425.49999999997,170714.69999999998
19,118043.7600000001,155353.15999999995,123166.76,192624.68000000002,163772.32,214291.71999999994,190507.19999999995,173326.96,176852.4,195053.32000000004
20,157862.12,209001.88,136361.8800000001,226684.20000000004,203736.70000000004,242897.39999999997,226019.82,181223.13999999998,207774.99999999994,241248.8
21,208710.9999999999,223044.39999999988,182883.00000000003,266937.60000000003,240155.00000000003,243830.6,236937.99999999997,211974.4,235270.0,278801.6
22,231375.54,247903.16,219721.40000000014,273569.8,257415.48,270145.88,269776.31999999995,232690.48,271461.7999999999,303634.96
23,256378.16,268111.16,251413.20000000022,299872.3200000001,280868.12000000005,293080.39999999997,309755.8,286350.8,308849.99999999994,330173.92
24,299512.91999999987,290308.5999999999,271660.02,326584.54,305495.9,316329.19999999995,336864.69999999995,312588.16,331590.5,351021.06
25,327417.3600000001,318471.72,287131.6,328664.44,331221.4,324309.8,355180.4399999999,338046.0800000001,347256.7999999998,353717.36
26,343832.0,334082.0,327006.5,345894.5,335644.5,348743.0,357416.5,356148.5,353352.5,361181.5
27,345697.68,352168.96,328612.24,351951.39999999997,374025.84,352027.64,376409.52,356344.04,354194.4,376372.76
28,353456.82,357736.55999999994,342471.34,352445.30000000005,378759.58,356546.88,375918.38,395212.95999999996,398700.49999999994,374772.36
29,367545.52,372345.64,348993.60000000003,371369.88000000006,416064.16000000003,369877.6,396685.2,438722.48,414416.39999999985,392553.08
30,374678.06000000023,398004.44,354642.66,388705.42,467662.0800000001,395988.12,438607.1799999999,440748.77999999997,438112.10000000003,395972.66
31,422141.4000000001,441482.39999999997,368096.0,441322.60000000015,509850.00000000006,458880.8,449891.8,453259.6,481457.0,417755.6
32,492273.2,476715.6,398275.36000000004,470840.24000000005,585799.6000000001,470881.72000000003,450768.46,481303.84,521304.7,446771.74
33,557045.52,507179.19999999995,446655.12000000005,514904.24000000017,635186.88,502197.68,457240.28,497034.39999999997,539144.6,466354.56
34,609984.9199999999,541972.8,499804.60000000003,554906.4,727775.2400000003,511690.8,464931.44,522394.6,594213.1999999998,470474.77999999997
35,619456.12,589327.4,587647.04,580126.1599999999,792039.5200000003,549069.24,467835.12,559889.16,661329.2,485753.76
36,717294.0999999999,620523.5999999997,630936.2,655833.9000000001,886137.5,561341.3999999999,474723.1,578272.2999999997,707826.0,511646.9999999997
37,725508.1600000001,667942.56,663769.7600000001,743045.4,922176.76,618691.2,493357.83999999973,620976.4000000001,764455.0,546718.12
38,747963.4,685105.36,710738.66,840856.0400000002,971771.64,668022.08,515221.52,682892.8200000001,814569.7999999998,569762.7
39,792363.6,696552.5599999997,735075.6000000001,907759.3600000001,1015279.0400000004,724914.5999999999,541529.2,717914.0,878315.3999999998,582880.8
40,839439.5999999999,749453.6799999998,743113.24,909562.64,1080868.7600000002,752158.88,552817.2199999999,748661.1999999998,904745.7000000001,620995.9999999999
41,915996.2,760907.4,767665.7999999999,970371.8000000004,1130400.0,816583.3999999997,594920.0,852770.4,926365.0,684418.3999999998
42,952874.2199999999,783657.92,808252.7600000006,1077400.0,1186484.84,880341.5599999998,618017.88,894668.02,982549.7,736882.6799999999
43,959756.4,896429.12,914606.6400000005,1156634.08,1249029.56,930085.04,651277.1999999996,943999.4400000001,1044450.2,811965.9600000002
44,1033870.3,968281.7999999999,943608.4000000006,1185320.5000000002,1334854.32,992038.7999999999,690025.5599999999,955263.3,1057091.5,914574.98
45,1070584.32,1014122.24,966522.04,1214541.6,1418388.56,1048161.4,759500.8799999999,980219.24,1073296.0,981830.96
46,1137733.2,1056124.0,1041118.2000000008,1242340.0,1435102.9,1159433.8,835307.4999999999,1011216.5,1144227.5,1110153.5
47,1167189.32,1090317.88,1137127.6,1268071.4000000001,1441684.28,1279747.48,944643.1599999997,1072430.24,1231086.1999999997,1157043.36
48,1239908.2799999998,1107907.24,1179378.8000000003,1303350.84,1440607.96,1335257.1199999999,1032645.88,1131297.14,1311922.5999999999,1219290.56
49,1303754.4400000002,1227862.88,1229039.88,1326145.2,1443678.4,1405837.8399999996,1146451.7599999993,1225847.7200000002,1400752.9999999986,1307523.3600000003
50,1396053.0,1346792.9599999997,1295409.44,1358889.46,1474116.86,1482557.3199999998,1305676.0799999998,1299736.76,1495806.9999999993,1389384.52
