index,381_1_www.cinema.de,381_2_www.cinema.de,381_3_www.cinema.de,381_4_www.cinema.de,381_5_www.cinema.de,381_6_www.cinema.de,381_7_www.cinema.de,381_8_www.cinema.de,381_9_www.cinema.de,381_10_www.cinema.de
1,-2192.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,7498.639999999999,8311.08,8488.4,10351.56,8337.16,8398.4,9966.279999999999,8554.38,8625.6,8277.18
3,85675.87999999996,89474.36,88028.6,20541.84,31876.24,87049.39999999997,20332.56,88858.68,89622.4,89247.44
4,99401.64,96017.88,101881.2,102732.12,71283.40000000001,93324.5,101455.48,101390.18,100079.60000000005,98278.98
5,135202.36,110131.84,108067.59999999999,139820.12,107401.79999999997,142080.4,138318.64,136134.56,110442.40000000001,133598.56
6,150271.19999999987,145589.8,163814.0,150690.3,144143.6,148215.0,149997.19999999998,147205.2,153899.0,141456.4
7,204186.47999999984,249202.08,232420.39999999994,165502.80000000002,261867.75999999986,254311.39999999994,177629.36000000004,207756.48,197612.20000000004,262562.96
8,362406.68,328568.60000000003,359715.0,278662.88,359447.60000000003,360277.10000000003,360491.2800000004,348822.32,363235.6000000001,404474.66
9,445649.5999999999,450856.9200000003,445204.19999999995,383393.79999999993,462481.04000000004,415328.2,453342.64000000025,440261.04000000004,440027.2,446603.4
10,507277.84,477329.64,462409.6,500340.14,503599.76,504824.9,510869.2000000001,474417.56,497966.8,506007.27999999997
11,582910.3999999999,521200.2,516491.0,516948.0,615832.8,516935.0,636686.6,507105.4,513890.0,632931.6
12,653899.4,630938.8000000004,648793.8,615063.84,648444.68,649068.9,647138.96,527480.94,582167.6000000003,647313.3
13,659218.4,658813.84,668595.1999999998,651315.52,663593.84,677264.7999999998,662896.28,584481.92,644559.6000000001,660478.76
14,765551.24,755271.12,756418.6,664293.28,775688.92,760749.2,697803.4000000005,663619.7,739536.8,738042.3999999999
15,792948.72,767190.48,796087.9999999998,715392.2,812563.76,771948.8,793239.6799999999,783635.04,759648.2000000002,787176.76
16,797996.4,795997.8,814731.0,821510.6,818404.2,813181.0,806718.0,796387.2,816792.0,794731.9
17,807477.24,836834.12,851626.3999999998,831895.48,826576.96,826359.0,836193.44,821931.6,828090.0,837132.48
18,827011.48,867771.28,886463.6,840922.5599999998,892422.5199999998,871157.4,862749.12,832319.62,845136.4,849068.26
19,864881.08,876613.52,892443.8,900904.92,901038.12,884610.8,882948.88,879057.96,866305.4,879520.08
20,883633.96,892634.8,904923.8,913367.64,908583.88,891432.6000000001,918258.4,887301.34,879641.3999999999,883902.74
21,929248.0,926742.8,915054.0,919393.2,943294.4,900500.0,975947.8000000002,913354.6,933594.0,967667.6
22,981729.36,954950.1200000001,948482.0,976054.62,974518.48,947449.3,983757.28,923017.26,978143.2,975475.66
23,987188.36,989289.48,981775.9999999999,984033.76,980911.3200000001,977721.8,993846.48,981521.08,981944.4,984367.88
24,993114.24,995163.36,986441.2,991010.66,994585.5999999999,987448.9,1058101.12,984402.52,988384.7999999999,1022624.8599999999
25,999137.36,1005581.48,992390.0,996697.96,1060388.36,992335.2000000001,1061587.1199999999,994038.44,1037231.2000000003,1054536.84
26,1064308.0,1067067.0,1056143.0,1061983.0,1064570.0,998036.0,1071692.0,1059668.0,1059801.0,1059533.0
27,1072146.4799999997,1073034.24,1062194.4,1069287.64,1070890.16,1065967.4,1077781.1199999999,1068689.68,1066831.6,1067032.7999999998
28,1074791.64,1077131.68,1066875.8,1074363.42,1073997.1199999999,1073355.1,1088599.68,1073692.08,1070472.4,1072565.12
29,1164902.2,1081544.28,1079069.8,1077300.2,1079895.48,1076235.5999999999,1093223.4000000001,1076010.3599999999,1078079.0,1079907.28
30,1171260.7999999998,1082977.6400000001,1079713.4,1083512.98,1090506.96,1077391.3,1166640.2000000002,1078163.2000000002,1083680.0,1085112.72
31,1244205.4,1095349.6,1090822.0,1092420.2,1095030.0,1154314.0,1182245.2,1090381.2,1158029.0,1157115.2
32,1256459.44,1169860.44,1129665.4,1166496.46,1167053.28,1164736.5999999999,1191198.72,1163692.12,1167482.0000000002,1168914.34
33,1267990.9199999997,1182144.36,1172383.8,1182112.44,1181883.8,1177549.6,1223014.9200000013,1177954.92,1180937.6,1187378.96
34,1276558.72,1195591.68,1188123.6,1191174.68,1193648.12,1191041.3,1300501.16,1191303.98,1187764.8,1191798.6199999999
35,1285968.32,1198754.48,1196525.4,1207079.5199999986,1195934.04,1197412.4,1318109.0799999998,1195123.28,1194661.2,1289348.04
36,1383539.2,1297820.4,1296651.0,1315517.9999999998,1297542.5999999999,1298153.0,1330889.2,1282910.9000000004,1291218.0,1308032.1
37,1404061.32,1317245.4000000001,1318113.7999999998,1322287.8,1315966.32,1316622.2,1338820.96,1312769.96,1311171.6000000003,1313527.44
38,1409616.92,1323957.88,1322839.8,1327068.18,1321350.92,1326015.1,1342896.92,1315808.24,1317803.4,1326034.72
39,1415933.2799999998,1331295.04,1329001.8,1342799.92,1338186.56,1330563.2000000002,1343759.08,1328388.76,1328484.2,1333713.36
40,1428848.8399999996,1344626.92,1342711.4,1345815.96,1339149.8399999996,1342527.4,1351287.7599999998,1333982.36,1338603.6,1336601.56
41,1429566.4,1345556.4,1344965.0,1347860.6,1343721.6,1349014.0,1390546.0,1339932.6,1339537.0,1339427.6
42,1429122.04,1347803.36,1344950.6,1350512.36,1344943.08,1348169.6,1461768.0800000003,1344376.76,1340580.6,1346444.54
43,1437537.72,1347488.92,1348285.8,1347929.8800000001,1353590.1999999997,1373750.8,1483369.2800000003,1346661.6000000003,1342588.2000000002,1347253.8
44,1445201.48,1370885.2,1367257.4,1433231.1,1418140.3999999997,1378956.2000000002,1552081.8800000001,1348828.28,1362821.0,1415637.4000000001
45,1561927.08,1436785.44,1393638.4,1477187.68,1468696.2,1476285.4,1558411.64,1444752.6800000002,1425319.8000000007,1468555.44
46,1567886.4000000001,1483504.2,1475280.0,1487541.4,1475082.1999999995,1479590.0,1554080.0000000002,1476474.7,1472252.0,1477833.8
47,1625075.44,1518350.8000000003,1532348.4,1542191.44,1493760.6,1537070.8,1563686.4000000001,1532270.7200000002,1479743.0,1546571.24
48,1643867.5199999998,1559321.28,1552344.6,1565183.3,1544678.9199999992,1557821.3,1568169.52,1555575.82,1548951.4,1551543.4400000004
49,1634873.76,1551887.36,1561678.8000000005,1553364.72,1548650.0,1550984.2,1575524.24,1548586.52,1552488.1999999995,1547866.6
50,1637511.2,1554263.04,1551651.2,1563191.3599999999,1550707.6,1554809.5999999994,1580683.84,1561913.08,1548655.0,1558090.3599999999
