index,46_1_www.instagram.com,46_2_www.instagram.com,46_3_www.instagram.com,46_4_www.instagram.com,46_5_www.instagram.com,46_6_www.instagram.com,46_7_www.instagram.com,46_8_www.instagram.com,46_9_www.instagram.com,46_10_www.instagram.com,47_1_www.instagram.com,47_2_www.instagram.com,47_3_www.instagram.com,47_4_www.instagram.com,47_5_www.instagram.com,47_6_www.instagram.com,47_7_www.instagram.com,47_8_www.instagram.com,47_9_www.instagram.com,47_10_www.instagram.com,48_1_www.instagram.com,48_2_www.instagram.com,48_3_www.instagram.com,48_4_www.instagram.com,48_5_www.instagram.com,48_6_www.instagram.com,48_7_www.instagram.com,48_8_www.instagram.com,48_9_www.instagram.com,48_10_www.instagram.com,49_1_www.instagram.com,49_2_www.instagram.com,49_3_www.instagram.com,49_4_www.instagram.com,49_5_www.instagram.com,49_6_www.instagram.com,49_7_www.instagram.com,49_8_www.instagram.com,49_9_www.instagram.com,49_10_www.instagram.com
1,-442.0,67.0,-48.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-48.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-115.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1321.0,-128.19999999999987,-36.84000000000049,334.44,277.31999999999994,333.48,45.56000000000004,1583.76,331.08,339.72,33.68000000000003,1300.64,1422.5,1197.7399999999998,1225.1000000000001,1218.3200000000002,1137.98,1169.66,1498.8999999999999,1458.46,1183.52,1259.4799999999998,1142.86,1466.36,1204.5999999999997,1218.3200000000002,1717.6,1139.9599999999998,1156.5800000000002,1568.9,695.2199999999997,1321.2199999999998,1442.66,1211.4600000000003,1518.5399999999997,1424.12,1437.92,1280.06,1191.44,1197.7399999999998
3,510.0,1129.4000000000003,1300.64,1881.6000000000001,-190.36000000000195,1901.2000000000003,1522.1599999999999,1187.48,1922.84,1773.8,1335.5199999999998,2642.16,4958.0,4530.76,4586.2,2680.08,4447.16,4497.72,2284.7999999999997,4569.32,2330.84,4616.96,2251.84,2442.68,2684.4,2217.08,1907.2400000000014,2685.4400000000005,4170.079999999998,2566.56,4355.68,2195.4399999999996,2674.28,2220.24,2404.76,2341.24,2402.360000000002,4646.12,2605.9200000000023,3626.2400000000016
4,2257.0,4493.799999999994,311.04000000000025,1320.2400000000002,1789.2399999999998,1366.0800000000004,2686.88,861.4799999999985,1480.6800000000007,1081.38,4856.360000000002,4586.96,7060.0,4949.200000000002,5845.099999999999,4576.600000000002,6128.079999999999,7083.28,6463.399999999997,3969.4200000000005,7043.16,4189.08,5938.800000000003,4557.64,4044.1999999999994,4572.600000000002,4667.84,6185.159999999997,5690.400000000001,4439.380000000001,7110.58,4327.1799999999985,4331.9800000000005,4696.799999999992,5026.200000000008,4484.68,4317.76,4133.1399999999985,7022.52,4945.200000000002
5,4445.0,6400.400000000001,4526.16,2706.1600000000003,862.9199999999998,5098.08,4771.04,4526.16,2787.68,2852.48,7659.76,8502.28,11472.0,8621.92,8024.6,8707.56,5785.599999999997,6217.92,6306.8,9323.32,8591.72,6639.200000000004,5659.119999999999,6508.12,7249.600000000005,6133.4400000000005,7344.16,8322.56,5745.3600000000015,6069.3200000000015,12216.56,7084.48,6835.64,7287.839999999996,8747.48,6570.24,6895.639999999999,8244.48,8316.800000000005,7477.680000000001
6,7237.0,8831.0,4472.3,4680.200000000001,2619.4000000000005,4728.400000000001,6904.2,4429.2,4848.9,4703.1,6873.599999999999,8787.2,11827.5,14541.4,11758.0,14348.199999999997,10343.9,14245.8,14299.0,10960.600000000002,13317.599999999997,9489.600000000002,13838.6,9756.8,9599.0,13603.199999999995,12066.200000000003,13391.2,13815.800000000001,8683.3,44643.1,10913.6,6195.9,12810.699999999999,10605.000000000004,10886.2,8514.000000000011,13448.699999999999,10331.799999999997,10517.1
7,6272.0,10352.6,6938.52,6778.48,4844.080000000001,6534.159999999997,8563.039999999999,7036.84,5418.399999999991,7371.52,11960.720000000005,14421.039999999997,13544.0,15454.720000000003,15318.600000000002,14252.28,15220.88,15088.96,16318.599999999988,11962.92,23726.600000000006,14192.360000000004,15236.600000000006,12005.64,14676.400000000005,13370.32,12906.64,42006.79999999992,14782.800000000001,13897.039999999992,42257.24,13204.280000000006,13443.36,13562.960000000001,41518.759999999995,12244.200000000003,13649.32,13161.68,41035.52,13638.0
8,11703.0,16002.2,7765.400000000001,6944.719999999999,4536.040000000002,6478.96,10835.320000000002,6636.12,6864.24,7418.38,12572.640000000005,17076.56,50706.0,17112.34,18402.100000000002,17084.28,16782.4,17247.59999999999,19579.4,16515.52,62717.52,14956.56,62279.02,46203.159999999916,14455.800000000001,26539.4,14873.68,61165.96,41042.6,14831.62,45075.1,30459.400000000012,13194.64,29716.979999999978,39213.72,44668.84,13273.92,44059.08,38969.08,44247.32
9,12431.0,17542.999999999993,11413.12,10304.72,7184.640000000001,9543.719999999998,14642.080000000002,6157.24,8348.76,8912.840000000004,16055.56,19530.52,48891.0,19445.920000000002,21709.000000000007,18632.28,26629.99999999998,25977.799999999992,53453.6,50073.44,60681.119999999995,18188.52,60414.119999999995,62688.28,64087.799999999996,64326.56,62889.92000000001,59415.68,62821.36,45000.83999999997,51010.72,42293.759999999995,43543.68,44636.76,41553.16000000001,42799.72,30248.240000000013,41899.52,39859.4,42265.44
10,18203.0,26946.8,10539.82,11303.64,7820.599999999985,13909.319999999985,25704.32,12730.159999999993,13304.92,10574.82,18438.96,52834.76,46921.0,53262.840000000004,27099.399999999998,20970.48,51212.82,52782.94,51198.3,47941.62,63900.32,39480.720000000016,63249.12000000002,61137.44,62309.6,62127.88,62846.12,65234.36,63354.54,62920.14,53149.06,40634.52,42002.14,42728.14,48295.68000000001,42234.03999999999,38669.68,43298.52,43392.2,43116.9
11,25520.0,30355.0,14215.399999999998,11108.2,10694.799999999994,14207.400000000001,26983.8,14170.6,14420.4,14817.200000000006,51099.00000000001,50806.799999999996,52974.0,51019.4,60544.0,55599.200000000004,49336.799999999996,50938.6,49346.0,46236.2,67706.0,69071.8,67001.8,63026.400000000016,60469.0,60750.8,63367.0,66912.6,63243.39999999998,63677.2,54916.6,41496.799999999996,43069.6,43012.799999999996,50532.8,44173.599999999984,37179.399999999994,46189.799999999996,49596.4,49342.2
12,24844.0,93334.39999999998,21607.4,22691.4,11467.199999999999,17781.399999999998,88766.04000000005,13988.92,26067.22,16163.92,51228.48,51932.28,59086.5,51817.52,58361.2,53803.52,52141.78,54276.26,57442.9,52314.64,72520.4,67317.28,71134.28,68377.96,66359.0,67499.76,66654.59999999999,71523.76,68629.84,64517.9,56943.68,45381.3,44334.03999999999,47563.82,50916.22,51300.04,42494.28,50725.02,49397.64,53807.1
