index,134_1_www.android.com,134_2_www.android.com,134_3_www.android.com,134_4_www.android.com,134_5_www.android.com,134_6_www.android.com,134_7_www.android.com,134_8_www.android.com,134_9_www.android.com,134_10_www.android.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1619.28,1352.6000000000001,1591.16,1619.28,1582.28,1592.64,1370.0,1561.1000000000001,1577.84,1592.64
3,1529.96,4052.2,1397.5199999999998,1529.96,1268.1599999999999,1419.0800000000004,3712.9999999999995,1113.7999999999981,1203.48,1419.0800000000004
4,4048.76,4410.2000000000035,3929.16,4048.76,3817.86,3935.6400000000003,4116.8,3602.76,3760.08,3935.6400000000003
5,4162.64,7033.599999999999,5024.800000000001,4131.64,4314.4000000000015,4114.68,5233.199999999998,4947.439999999999,5636.96,4114.68
6,5001.799999999999,6134.0,4746.099999999999,5409.799999999999,4959.199999999999,5462.8,6984.0,4963.599999999995,5442.199999999998,5141.6
7,4352.24,8201.400000000012,6417.96,4645.32,6922.72,4499.880000000001,7614.600000000001,6860.92,7105.64,6113.439999999991
8,8360.360000000002,11614.8,8556.119999999999,6259.48,8639.96,6240.240000000001,8654.6,8174.5199999999995,10402.32,7410.679999999993
9,8316.960000000001,13025.199999999999,8389.08,8543.119999999999,8482.64,8438.560000000001,11562.399999999996,8959.24,11775.04,8446.92
10,8055.320000000001,15929.599999999999,10883.799999999996,8331.719999999998,11784.800000000003,8069.3600000000015,13344.4,10649.340000000002,12746.08,9113.199999999995
11,12492.000000000004,21386.0,13258.8,11351.00000000001,12986.000000000004,10517.6,15794.0,12757.6,14232.2,13539.6
12,13370.639999999998,20973.400000000005,14119.360000000002,13571.08,14023.880000000003,10610.4,21306.2,13714.399999999998,16383.12,13037.68
13,14171.08,45714.000000000015,41835.640000000014,13308.96,44172.04,25445.399999999892,21649.2,14634.599999999995,16499.88,29663.63999999999
14,37648.44,50812.2,43566.94,28569.440000000002,43597.44,43911.48,33742.39999999995,18832.199999999983,20461.000000000004,43313.16
15,43824.96,52142.0,42978.32,43386.12,42566.44,43353.16,50793.6,20768.92,21306.920000000002,42575.72
16,43175.8,51229.0,44357.1,43036.2,41744.6,42413.200000000004,49874.0,21992.1,21502.8,44318.0
17,45223.48,50325.799999999996,44260.24,42421.64,40959.36,44247.76,51694.6,24659.760000000002,51609.16,44038.32
18,44827.32,51595.799999999996,43329.78,44220.04,42623.7,43874.6,50526.8,26442.86,51024.88,42824.840000000004
19,43779.96,80136.8,49551.07999999999,43678.28,59346.520000000055,43619.119999999995,57599.39999999998,43843.96000000001,52581.12,46083.31999999999
