index,368_1_www.deutschlandradio.de,368_2_www.deutschlandradio.de,368_3_www.deutschlandradio.de,368_4_www.deutschlandradio.de,368_5_www.deutschlandradio.de,368_6_www.deutschlandradio.de,368_7_www.deutschlandradio.de,368_8_www.deutschlandradio.de,368_9_www.deutschlandradio.de,368_10_www.deutschlandradio.de
1,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,1539.0,-442.0,-442.0
2,1368.0799999999997,99.11999999999966,-202.8,778.9200000000003,-172.7999999999996,280.39999999999975,1322.7599999999998,-1220.6799999999998,-127.47999999999956,99.11999999999966
3,1460.04,1371.56,1480.0,1665.2,1352.6000000000001,1384.2,1456.8799999999999,641.52,1355.76,1371.56
4,3753.8000000000006,1052.5600000000004,1415.4000000000008,2811.199999999999,1246.5999999999992,1444.9999999999986,3692.6,544.4799999999999,1214.26,1052.5600000000004
5,3577.92,4004.76,4074.4,3772.92,4052.2,3970.2,3582.2400000000002,3157.56,4045.3199999999997,4004.76
6,5539.6,3922.199999999999,4230.0,4240.500000000002,3552.0,4138.0,5448.7,2602.8,3613.7000000000007,3922.199999999999
7,4780.96,5484.88,5322.600000000001,5114.04,5309.8,5477.6,4725.12,3885.8399999999983,5278.48,5471.88
8,6505.16,4771.68,7192.6,4425.66,4864.199999999999,4891.4,6418.52,4014.7599999999998,4786.719999999999,4758.68
9,6438.6399999999985,5496.959999999997,6930.8,6303.96,6617.400000000001,4642.199999999998,6241.5199999999995,3310.279999999996,6609.24,5483.959999999997
10,8359.68,6236.5199999999995,8693.2,7520.279999999996,6393.2,7487.599999999995,8248.460000000001,5134.36,6383.42,8148.079999999998
11,8069.8,8466.400000000001,8539.0,8239.800000000001,8372.0,8478.0,7954.6,7266.200000000002,8333.199999999999,8453.400000000001
12,7207.28,8469.32,8278.8,8043.0199999999995,8139.8,8419.4,7083.66,7446.76,8133.18,8456.32
13,12390.400000000009,7612.240000000002,7013.000000000003,7036.24,7803.400000000001,7594.800000000001,11801.6,6562.5199999999995,7789.24,7599.240000000002
14,17280.44,7135.800000000002,14208.0,10897.300000000008,7098.599999999999,7075.000000000003,14080.9,6797.799999999994,6935.3,7122.800000000002
15,16891.84,12404.39999999999,16966.0,13561.0,7952.999999999997,12762.000000000005,18895.879999999997,16277.8,8670.600000000011,12391.39999999999
16,16000.99999999999,17284.0,19270.0,17006.600000000002,13824.0,17229.0,22863.2,16046.6,13767.6,17271.0
17,21858.04,17168.04,23086.4,23247.24,16630.0,16971.0,24823.679999999993,16315.199999999993,16580.4,17065.44
18,20603.32,20079.959999999985,26825.999999999953,21915.02,17000.800000000003,17077.4,77784.08000000005,21546.96,16870.22,23312.88
19,27175.800000000007,22371.120000000003,67526.99999999993,41073.71999999998,22981.2,22426.400000000005,121695.84000000001,21787.599999999984,22851.079999999998,22338.120000000003
20,63153.399999999994,26991.559999999976,85057.00000000003,76276.6,21785.399999999998,22672.99999999999,165782.32000000004,58583.07999999998,21698.559999999998,24495.47999999997
21,79779.5999999999,56331.39999999991,117580.0,125693.4000000001,24360.0,46053.0,211777.0,93143.39999999989,41783.400000000096,60440.199999999924
22,114762.88000000006,92384.31999999998,130748.4,170691.11999999994,54356.20000000001,82406.99999999999,246978.08000000002,129733.71999999991,80519.74,98904.31999999998
23,188984.96,125528.23999999987,150731.79999999996,215003.84,63462.000000000015,112550.59999999996,298754.52,139203.4,100837.60000000005,137970.19999999995
24,223500.87999999998,166282.16,185708.19999999992,254726.1,93023.60000000014,142327.00000000003,324271.3,172904.12,135392.34000000003,163102.84
25,247444.00000000003,188262.15999999995,209507.99999999983,303000.2799999999,143982.00000000017,159093.0,377450.84,179945.8,173381.84000000003,196560.07999999987
26,266315.0,224647.0,244757.0,330837.0,206573.0,165425.0,411965.0,186324.0,215215.0,236636.0
27,313564.2799999999,272853.36,273190.99999999994,377643.44000000006,238185.00000000003,210946.39999999985,452974.4,194107.19999999998,251616.31999999998,276711.91999999987
28,345521.9599999999,315667.92,305168.79999999993,418727.4400000002,274663.4000000001,239489.0,493031.54,214920.56,290076.34,291906.8
29,388093.88,325666.2,335238.39999999997,462157.16,303130.60000000015,275190.6,493333.27999999997,252540.84000000003,332581.9600000002,341213.7599999999
30,417518.11999999994,363154.68,373486.0,492746.98,339223.80000000016,281482.0,495161.26,296984.2399999999,369901.04000000015,379940.68
31,463151.19999999984,401163.5999999999,408735.0,493177.8,381323.0,300786.0,496453.0,355783.19999999995,394396.60000000015,417970.79999999993
32,486344.32,453859.60000000003,440712.8,494997.38,421471.20000000007,322090.0,497119.92,388818.3599999998,442655.70000000007,456820.76
33,492579.84,493021.24,473781.0,494776.24,443071.4,354932.79999999993,504547.27999999997,431136.5199999999,480547.0400000001,491009.0
34,494463.52,493405.52,493813.39999999997,498377.32,476572.2000000001,366957.20000000007,518096.31999999995,472976.68,492914.86,493440.16
35,494477.72,497346.8,494184.19999999995,498577.24,492173.80000000005,410471.5999999999,535542.4,492361.76,493161.64,495168.6
36,497701.2,501558.6,495765.0,501175.5,493370.0,449846.0,543753.5999999999,500061.8,494989.1,501481.6
37,497846.96,506653.39999999997,497051.99999999994,508452.44,501425.6,483470.39999999985,568869.12,516248.8399999999,495159.72,506576.39999999997
38,500463.84,513525.8,498858.6,511548.12,528272.0,493606.0,570247.12,530838.2,498440.96,513448.8
39,508313.12,532213.6,499307.8,528929.88,555235.6000000001,497269.99999999994,570476.72,540066.6,498190.96,532044.28
40,538447.28,552273.4799999999,502161.8,540877.0,565214.2,510204.99999999994,573071.16,547849.7999999999,500236.4,551415.6
41,560187.7999999998,565493.2,505797.0,566323.8,567044.0,531892.0,573267.8,555633.0,500912.6,565425.2
42,571898.2799999999,567294.8,509729.4,572864.58,566898.4,564751.8,575025.76,564329.88,505073.7,567226.8
43,573749.84,567095.08,537786.7999999999,574722.6,566377.4,565085.4,574968.04,565984.8,508583.12,567027.08
44,573267.12,566689.16,552786.0000000001,574715.06,568114.6,567016.2,578278.22,565848.48,530869.7200000001,568274.16
45,575533.88,568344.72,573579.6,573856.04,567666.2,566387.4,579610.88,567333.92,565107.3200000001,568588.32
46,574921.6,569109.0,575231.0,575556.1,572696.0,568690.0,583724.2,569086.8,572926.1,568249.4
47,579578.0,573133.52,575125.2,578921.0,572009.0,568643.4,584212.24,571951.92,574717.8,571325.4
48,581494.12,572527.7999999999,575674.6,580314.74,578434.2000000001,567818.8,583962.22,571473.92,574552.38,574210.6799999999
49,583413.1200000001,586648.72,576376.6,592528.2,585968.0,574686.4,596950.76,585514.96,574093.96,574778.92
