index,398_1_www.opodo.de,398_2_www.opodo.de,398_3_www.opodo.de,398_4_www.opodo.de,398_5_www.opodo.de,398_6_www.opodo.de,398_7_www.opodo.de,398_8_www.opodo.de,398_9_www.opodo.de,398_10_www.opodo.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1400.0,1373.14,1447.3999999999999,1412.64,173334.03999999998,1373.14,1376.3,1675.02,168948.56,171731.79999999996
3,3927.0,4000.44,3595.2,3824.2799999999997,745125.76,4000.44,3991.8,4055.64,613032.3200000001,648184.7999999999
4,4923.0,5412.18,5055.2,5151.36,840708.52,5551.160000000001,5390.9,2877.98,845658.16,847386.28
5,6206.0,4247.5199999999995,6934.399999999997,6282.64,990306.52,4404.5199999999995,4160.4,5126.56,959241.0000000002,938024.7999999999
6,8173.0,8472.800000000001,8396.0,8207.199999999999,1279134.2,8629.800000000001,8432.0,7204.400000000001,1124297.6000000008,1390476.0999999999
7,11496.0,7987.36,17673.8,10778.200000000003,1467715.72,8144.36,7857.199999999999,8223.08,1244578.76,1557111.68
8,17370.0,17612.76,30693.599999999995,17436.680000000004,1757897.84,17769.76,17558.2,16661.37999999999,1484695.52,1624239.18
9,50198.0,31761.600000000006,66469.19999999998,47453.44,1940641.16,34118.52000000001,28801.2,17079.56,1796803.6,1715860.24
10,113788.0,69475.24,133427.8,83068.68,1958957.7200000002,77791.95999999998,62017.80000000005,49606.64,1934454.56,1957678.02
11,135672.0,111048.99999999991,132069.0,118646.59999999998,2068834.9999999998,94426.99999999996,103397.0,99049.4,2098359.0000000005,2071021.7999999998
12,134077.0,144381.68,136011.6,145410.24,2310109.68,143014.92,144517.9,123428.24,2448753.2,2399517.82
13,140753.0,142877.56,137924.8,143830.56,2370398.6,143638.08,145742.4,122031.08,3034988.1199999996,2916505.08
14,143014.0,147173.08,148258.8,147767.32,2426845.4800000004,144971.82,147887.9,144722.26,3186013.28,3324453.16
15,148606.0,149008.96,153516.2,150040.96,2786225.5199999996,147722.84000000003,146737.8,149113.28,3368220.76,3434473.92
16,153920.0,148333.9,155252.0,149585.0,3039968.9999999995,148887.9,148554.5,148717.7,3582780.8,3434925.1
17,151774.0,146769.48,156336.2,157015.84,3537899.08,151885.92,151418.6,151280.6,3621724.44,3682090.88
18,153458.0,151165.56,156527.59999999998,157595.96,3567397.6,151293.08,150793.1,150865.09999999998,3767044.28,3743623.26
19,157886.0,161419.8,174891.19999999998,167481.6,3842475.48,153024.52,162863.2,153432.52,3832721.56,3852463.68
20,156999.0,160420.14,183444.6,179901.88,3941942.5199999996,151947.72,162005.6,158265.08,3866797.6799999997,3885727.82
21,174552.0,164898.8,184725.0,191659.8,3957606.4,156307.19999999998,163991.0,158314.8,4076839.1999999997,3940758.7999999993
22,177478.0,164196.4,203499.0,213003.8000000002,4045513.28,159769.60000000003,165175.1,157578.64,4359583.24,4160469.7399999998
