index,346_1_www.notebooksbilliger.de,346_2_www.notebooksbilliger.de,346_3_www.notebooksbilliger.de,346_4_www.notebooksbilliger.de,346_5_www.notebooksbilliger.de,346_6_www.notebooksbilliger.de,346_7_www.notebooksbilliger.de,346_8_www.notebooksbilliger.de,346_9_www.notebooksbilliger.de,346_10_www.notebooksbilliger.de
1,48.0,-442.0,611.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0
2,8372.539999999999,14850.76,10740.42,8951.100000000004,12196.439999999999,14979.74,13245.399999999998,6369.0,7827.399999999998,7625.0599999999995
3,46384.23999999992,63563.96,36185.59999999999,33892.88,26933.84,100053.11999999994,35223.68,19726.0,20803.72,46489.28000000002
4,189036.28,89367.72,88704.7,59776.38,122771.76,174093.58,83610.02,63102.0,142291.83999999997,95142.81999999995
5,352255.92,188193.08,205937.2,143420.12000000008,276389.48,389682.2399999999,206724.24,116768.0,290110.52,199171.04000000007
6,441040.5,327637.00000000006,292896.49999999994,339091.0,446290.6,520318.99999999977,418529.80000000005,212511.0,446769.2,438753.0
7,651046.96,599519.7599999999,564735.8,547839.2800000001,655670.4799999999,665826.68,521269.2,390585.0,593718.72,586505.6
8,677795.78,687346.32,663355.2799999999,666411.94,683633.76,685100.18,662947.1599999997,497793.0,686203.46,665773.36
9,709859.2799999999,697207.8,677234.4,692787.3200000001,701953.36,707306.6,686587.32,581672.0,774770.24,687269.76
10,760627.12,720345.32,693992.78,709814.66,718831.12,729726.84,708844.64,675395.0,778606.42,701824.64
11,780132.6,744467.2000000001,697782.8,727238.6,741163.0000000002,749510.8,732835.0,696063.0,824100.6,714851.2
12,852793.94,833233.8,771946.44,792483.76,787841.8,827463.1,795488.3,714628.0,862381.88,731014.44
13,862517.8,885176.84,885770.52,806690.88,967173.3599999999,947248.0,898898.8,727315.0,940470.24,784811.2
14,1046168.72,967627.4400000001,938308.0000000001,895908.34,1113591.72,1003442.62,982854.26,753885.0,1106305.12,867648.02
15,1163877.6,1124996.72,1096433.64,1023240.8,1160032.92,1183244.28,1119844.7199999995,871345.0,1161035.92,1025557.8000000002
16,1234082.8,1242502.4,1113904.3,1171241.5,1273018.0000000002,1311122.2,1257816.5,1018478.0,1200874.0,1164058.2
17,1362627.24,1331523.16,1238057.76,1188494.2000000002,1381601.16,1379629.56,1386988.08,1063709.0,1303499.44,1181551.6
18,1420010.18,1433666.96,1303155.14,1333422.54,1432889.64,1394091.92,1438044.18,1175268.0,1354945.24,1246782.7200000002
19,1440330.64,1501931.68,1365012.48,1428819.32,1454628.44,1511646.76,1448192.8399999999,1211786.0,1365185.2000000002,1381505.28
20,1520838.8799999992,1547578.68,1388844.98,1438431.98,1507915.68,1525722.06,1565239.88,1337512.0,1442467.62,1390073.86
21,1565948.8,1633065.2,1404556.5999999999,1445601.2,1580235.6,1552058.1999999997,1596720.2,1432614.0,1558669.6,1442647.6
22,1579817.62,1667825.56,1455043.0399999998,1467845.74,1590013.2,1675844.54,1726015.8199999996,1445412.0,1571291.34,1458301.34
23,1734697.04,1743051.84,1519903.92,1555288.8,1725786.9600000002,1723319.96,1801023.24,1471533.0,1584691.28,1463253.48
24,1782093.6400000001,1768886.2400000002,1596935.2399999993,1596692.62,1773557.8000000003,1769651.82,1909281.46,1574060.0,1716044.5199999998,1531761.92
25,1827723.6,1779593.96,1642672.96,1722949.8000000003,1871904.08,1883663.84,1922024.16,1583435.0,1745130.92,1649942.04
26,1919526.5,1819734.0,1762836.0,1807515.5,1915066.0,1924356.5,1958178.5,1597744.0,1808750.5,1738944.0
27,1937792.3199999998,1881592.32,1807143.92,1882768.24,1930431.1199999999,1935312.24,2020479.2,1687398.0,1884792.4000000001,1784836.04
28,1992354.14,1947803.36,1882060.96,1899218.1199999999,1995147.6000000006,1982041.54,2057436.56,1775859.0,1943319.44,1899157.56
29,2001700.5999999999,2000186.16,1921118.56,1961781.72,2020913.2,2028127.8,2090258.4,1842773.0,1964786.5599999996,1919635.5199999998
30,2016761.04,2005205.04,1955294.54,1999990.76,2026195.32,2146186.94,2114743.58,1930968.0,1994342.06,1926010.3800000001
31,2028020.2,2043501.4,1993683.5999999996,2000047.2,2040215.8,2170684.6,2161936.0,1948140.0,1998503.4,1957202.8
32,2030406.0999999999,2053704.08,2007594.58,2006586.14,2067228.4,2245193.44,2191700.18,1955383.0,2022117.48,2032428.3
33,2078205.48,2056380.36,2088105.1599999983,2008600.72,2124274.16,2248339.12,2202476.4,1967316.0,2124299.2399999998,2154603.04
34,2094497.26,2118098.96,2135322.24,2035760.42,2164315.36,2288365.38,2277650.36,2018111.0,2178617.48,2207336.6
35,2220186.32,2131398.2399999998,2238108.1199999996,2040850.64,2229339.2399999998,2327659.4,2326786.28,2025091.0,2318463.8,2347429.7600000002
36,2296155.8,2127335.4,2339113.2,2063341.5999999999,2288539.8,2323709.4,2418324.6,2048611.0,2391878.9,2394661.9
37,2378520.72,2156911.52,2352651.28,2091962.2000000002,2332145.44,2358768.44,2512547.88,2105552.0,2397838.08,2432661.92
38,2440535.58,2258361.76,2350800.66,2220679.5,2393687.68,2482043.42,2615148.58,2131196.0,2426239.2399999998,2432925.48
39,2503811.24,2343215.4,2405803.679999998,2264775.12,2451540.8400000003,2628543.32,2637964.76,2178104.0,2455784.3599999994,2436199.68
40,2608876.86,2391389.0,2446634.08,2295917.12,2623154.36,2637528.86,2694221.42,2188466.0,2467062.26,2486160.84
41,2628036.4,2458196.8,2470936.8,2359071.6,2630885.2,2657593.4,2706771.0,2312348.0,2540106.0,2482088.8
42,2682094.5999999987,2523518.5999999996,2576316.9199999985,2372970.2,2637857.48,2719120.4,2862012.2199999997,2381413.0,2585859.4,2537006.2
43,2695396.68,2626628.76,2597718.24,2379961.84,2702043.36,2867636.4,2979905.96,2459438.0,2597174.32,2604618.44
44,2707092.22,2654950.36,2634263.819999999,2479811.380000001,2711078.9600000004,3061140.0,3042686.7600000007,2498704.0,2644654.38,2607636.22
45,2714833.76,2668712.6,2954542.8799999994,2684570.64,2725355.92,3236585.44,3412306.5999999996,2508778.0,2658264.56,2674256.52
46,2801868.2,2680701.6,3112147.6,2972669.0000000005,2993316.6,3300784.899999999,3497986.1,2582572.0,2843357.499999998,2972475.3
47,3052258.9199999976,2740861.3200000003,3127817.84,3112131.240000001,2999356.32,3435996.36,3526238.56,2649759.0,3166869.92,3187562.4
48,3273749.299999997,2964963.56,3400934.4399999995,3318260.760000001,3247801.640000001,3479177.38,3536289.94,2657337.0,3183909.42,3198544.34
49,3313218.04,3156177.0399999996,3439226.4,3337557.6,3506144.84,3564858.04,3550802.92,2838680.0,3194912.24,3246128.88
50,3316627.34,3355789.3600000003,3449028.26,3474154.44,3511041.84,3568627.46,3559450.4799999995,2981693.0,3201394.28,3429885.0599999996
