index,33_1_www.spiegel.de,33_2_www.spiegel.de,33_3_www.spiegel.de,33_4_www.spiegel.de,33_5_www.spiegel.de,33_6_www.spiegel.de,33_7_www.spiegel.de,33_8_www.spiegel.de,33_9_www.spiegel.de,33_10_www.spiegel.de
1,-48.0,67.0,-48.0,0.0,67.0,67.0,0.0,67.0,67.0,-442.0
2,11694.000000000004,12968.64,27481.4,20986.40000000001,37730.62,8409.399999999998,39413.5,12381.880000000001,39860.62,5732.599999999997
3,50026.200000000004,40313.56,54313.72,63756.24,71829.8,41720.92,68361.0,43374.44,72108.76,33389.16
4,91556.4,76136.68000000001,305732.16,183919.92000000007,306086.18,79130.08,123780.0,97362.92,111875.74,69048.24
5,327596.4,115602.68000000001,360711.84,485025.60000000003,426975.48,173602.44,346613.0,315254.52,468214.1199999997,118923.48
6,354981.0,322110.6,463901.6000000001,563349.4,607647.7,439813.00000000006,608379.0,340139.0,602714.1,211674.99999999997
7,610376.6,546652.64,621909.64,619157.88,626127.84,599452.12,621534.0,610339.32,618867.12,516441.8399999998
8,622536.3,614706.96,641270.92,637230.4400000001,647286.66,611262.64,639388.0,619269.32,642011.84,620373.08
9,640856.6,622512.76,666400.08,670885.04,676960.28,629370.72,741934.0,638863.84,672889.72,630861.36
10,657422.3,639816.12,740874.8,778456.6000000001,784461.9,658118.92,813529.0,671526.88,828412.22,649610.84
11,730879.0,688179.2,902232.6,930772.8,948182.0,742824.8,952514.0,772760.2,915789.8,678858.4
12,809781.2,815232.12,978487.48,961132.7999999999,958447.54,912414.3599999996,1006246.5,848335.84,969389.8,726663.7999999998
13,920943.8,872102.68,1038158.8,1029979.56,1025438.56,944905.64,1034200.0,955984.16,1037963.56,890262.28
14,971242.8,945658.32,1060948.88,1043891.76,1043615.82,970100.24,1066760.5,964558.16,1072170.56,944033.2
15,987618.3999999999,972290.6399999998,1142037.96,1103935.32,1081437.56,1045180.12,1095298.0,1002815.32,1098899.28,974009.64
16,1044319.0,1019394.6,1194164.6,1126200.8,1142782.5999999994,1056222.8,1140615.0,1086120.4,1136778.0,1042984.2000000001
17,1073775.6,1034827.7999999999,1216374.2,1165827.56,1169748.24,1071079.52,1229355.0,1095596.8,1189242.32,1065454.16
18,1104548.8,1063385.68,1246144.1600000001,1212217.44,1206146.96,1116765.72,1306573.0,1139384.44,1240585.2000000002,1081998.92
19,1165564.399999999,1109019.96,1291701.2,1255361.4,1256299.1600000001,1159454.2,1333815.0,1149957.24,1286328.84,1112235.16
20,1228664.4,1138150.52,1329355.0,1302200.4800000004,1299882.96,1243467.72,1366853.0,1183422.92,1305550.28,1142924.36
21,1275565.0,1180298.2,1355409.6,1314913.4,1334240.799999998,1282136.6000000003,1386766.0,1217638.0,1321790.2,1227254.8
22,1324295.4,1196422.6,1385388.2,1344883.7599999998,1405456.64,1346504.9199999997,1415350.0,1240756.56,1359247.06,1279490.24
23,1341505.8,1239142.92,1417191.52,1446253.04,1420967.4,1356377.24,1444656.0,1260259.68,1403882.72,1298021.72
24,1388460.2,1283449.92,1436414.16,1537136.3599999999,1533295.5999999996,1375076.52,1556927.0,1322326.72,1470244.7999999996,1318237.12
25,1401405.4,1293162.96,1512615.3599999996,1613012.76,1628032.36,1396482.92,1599471.0,1337194.2,1604496.1600000001,1356417.96
26,1423188.0,1308604.0,1597229.0,1646282.0,1647425.0,1412602.0,1611695.5,1389604.0,1615301.0,1391194.0
27,1430006.4,1395488.56,1622040.0399999993,1670745.4000000001,1666696.64,1469960.4000000001,1660960.0,1399955.32,1642446.12,1404276.04
28,1480023.0,1410253.8800000001,1851266.04,1738091.3599999999,1702014.88,1600718.36,1706813.0,1484967.16,1674006.5399999996,1433440.76
29,1578021.4,1480327.7199999997,1935710.44,1876615.7600000002,1842662.6,1612980.56,1727285.0,1517525.16,1697231.36,1454797.52
30,1673407.1000000003,1575878.16,1964019.92,1888957.68,1860177.06,1660289.6800000002,1813033.0,1531698.04,1808283.58,1563286.84
31,1683542.0,1590727.2,2080717.8,1931940.2,1865331.2,1677055.2,1841528.0,1690360.0,1823947.4000000001,1629176.6
32,1699852.0000000005,1648763.76,2087785.16,2044889.6799999997,1889981.96,1707464.1199999999,1900412.5,1728168.32,1895364.3999999964,1640935.56
33,1709887.4,1659580.28,2108765.68,2079740.0400000014,1907510.24,1729029.04,1963217.0,1734329.04,1928856.199999999,1702447.399999999
34,1735889.8,1694691.68,2124157.16,2302841.04,1930808.28,1819526.28,2171310.0,1748816.76,1978852.14,1734023.08
35,1765932.8,1768552.04,2179225.1599999997,2362862.28,2159645.56,1991260.64,2202578.0,1761501.1600000001,2007435.08,1853299.32
36,1885198.5,1801304.1999999995,2190611.4,2385004.8,2163323.1,2013583.8,2235111.0,1887253.4,2161389.799999999,1883799.6
37,1894640.2,1847825.56,2230401.36,2398324.4,2206837.52,2015595.08,2238932.0,1973076.48,2273189.68,1890184.84
38,1912080.0000000002,1885396.28,2241097.0800000005,2414380.8000000003,2274430.16,2024921.56,2487114.0,1986552.1200000003,2278848.2800000003,1914098.72
39,2143626.6,1903663.32,2449913.56,2434133.6400000006,2302495.28,2209161.16,3102559.0,2055695.4400000004,2301262.7999999993,1968505.48
40,2187998.9,1917083.96,2972544.56,2458502.68,2349884.079999998,2301186.08,3398081.0,2063037.52,2337888.32,2055672.24
41,2277919.0,2150804.8,3267727.6,2467007.8,2718317.399999994,2313499.2,3666055.0,2095931.7999999977,2338108.8,2070538.6
42,2278336.7,2172332.36,3556164.1999999997,2485209.92,3079858.56,2319547.64,4118656.0,2315537.08,2398262.78,2079546.44
43,2293569.8,2198452.56,3938311.4,2501951.04,3245567.6399999987,2342747.56,4435483.0,2327167.04,2411622.36,2086890.2
44,2299944.4,2215842.72,4278090.92,2650358.48,3368315.02,2351680.44,4782358.0,2331576.8399999994,2424078.1999999997,2329181.12
45,2304740.4,2292596.16,4350095.84,2662716.28,3697830.64,2410692.88,5029119.0,2368017.16,2482289.16,2330135.76
46,2365127.0,2308648.0,4587796.0,2702959.0,4042866.9,2434264.4000000004,5277385.5,2385263.4,2584432.1,2353956.3999999994
47,2375603.1999999997,2343260.56,4967961.2,2784597.08,4278416.72,2486513.88,5332519.0,2445163.32,2924781.359999999,2417424.7999999993
48,2386233.1,2388557.6,5217601.84,2796660.36,4548583.84,2501971.36,5344278.5,2460509.96,3322086.1999999993,2433995.7600000002
49,2403270.6,2538279.92,5353858.08,2803681.72,4755576.88,2508421.44,5357582.0,2475912.6,3454573.96,2449249.32
50,2425593.3,2550336.96,5371871.88,2851099.32,4891632.9799999995,2519720.04,5421328.0,2490147.7600000002,3754109.4,2506797.56
