index,68_1_www.nytimes.com,68_2_www.nytimes.com,68_3_www.nytimes.com,68_4_www.nytimes.com,68_5_www.nytimes.com,68_6_www.nytimes.com,68_7_www.nytimes.com,68_8_www.nytimes.com,68_9_www.nytimes.com,68_10_www.nytimes.com
41,4635954.0,4249081.0,4278265.8,4283300.2,4267806.0,4187611.2,4284206.2,4269862.2,4186268.4,4282041.8
42,4924565.799999995,4277388.3,4295520.56,4290139.72,4287644.12,4201307.92,4292007.16,4275579.52,4261103.8,4290733.600000001
43,5442591.799999999,4278862.4,4301386.6,4291454.36,4298457.68,4213882.8,4298565.48,4279734.36,4271598.92,4302084.36
44,5952329.5,4290643.1,4307432.28,4303618.4,4301148.48,4231146.54,4308040.52,4290514.8,4281498.48,4303189.76
45,6546091.399999999,4297682.2,4316142.68,4303929.68,4313232.76,4246732.640000001,4314023.12,4295103.12,4285210.28,4309294.96
46,7072486.0,4301106.5,4323966.0,4311249.4,4316208.0,4252251.4,4321739.6,4299732.6,4291706.5,4313934.4
47,7593078.399999998,4310824.0,4334825.84,4319694.32,4323612.32,4257980.16,4329178.36,4306268.88,4302571.96,4320334.68
48,8037641.399999999,4312834.3,4342593.12,4326707.84,4327944.88,4295933.6,4335090.92,4305312.44,4303995.44,4326600.44
49,8580210.399999999,4319497.4,4348146.44,4326729.72,4332915.48,4343800.04,4342233.92,4311573.04,4309540.76,4331764.08
50,8620271.3,4324336.1,4344083.800000001,4334277.92,4333787.32,4348202.3,4344890.56,4317556.36,4314703.68,4335440.88
