index,385_1_www.imdb.com,385_2_www.imdb.com,385_3_www.imdb.com,385_4_www.imdb.com,385_5_www.imdb.com,385_6_www.imdb.com,385_7_www.imdb.com,385_8_www.imdb.com,385_9_www.imdb.com,385_10_www.imdb.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4963.96,5323.7,5055.799999999999,5073.42,5483.360000000001,4940.4,4558.74,4881.54,5051.72,4812.86
3,19185.88,8613.000000000004,19050.0,16008.599999999988,19497.08,14884.599999999999,18812.52,14914.200000000006,13749.080000000009,10611.200000000003
4,53514.84,69830.4000000001,72808.4,66862.18000000001,52362.42,58908.600000000035,79566.22,80171.66,80639.88,80980.78
5,73877.79999999999,77569.8,79513.40000000001,80069.24,79468.08,82909.4,80117.64000000001,79019.16,79230.88,79227.56
6,85681.59999999999,85376.5,88957.0,87792.4,84566.9,84866.5,95872.3,88432.7,84302.6,84260.1
7,92940.35999999999,93471.8,91408.6,93687.68,93272.31999999999,101112.2,97659.16,91871.32,93560.12,91432.52
8,103863.64,101470.6,120228.20000000007,94149.08,109523.36,108290.0,121260.80000000016,93418.38,102235.04,104102.36
9,162118.56,116799.8,127446.8,123712.83999999995,187838.91999999998,180913.40000000002,190443.12,121394.88,108190.68000000012,122844.88000000002
10,172469.96,204292.6,144075.5,138695.7,196458.26,195753.69999999998,254300.9,137660.28,248744.52,128960.39999999998
11,175807.59999999998,281933.0,154173.0,155701.39999999997,283693.0,222909.0,307329.2,139213.0,261206.6,207833.8000000001
12,276294.8,312064.0,214918.70000000016,223063.3,313234.42,293622.1,441150.14,160652.76,303592.20000000007,222880.64
13,373464.12,425463.4000000001,326827.00000000006,292087.4,451280.88000000006,445867.00000000023,567782.92,288132.7999999999,459548.8000000003,298036.04
14,511392.4000000001,570178.2,460434.30000000005,360836.87999999983,604853.6799999999,575785.0000000001,613628.76,361472.56000000035,582503.36,366589.52
15,612872.84,678101.3999999999,578620.6,447931.88,623201.4400000001,690363.8,736066.72,493100.84,710543.08,505149.36000000004
16,630994.7999999999,726499.0,703244.0,565115.0999999999,701229.0,718328.0,796869.0000000005,603004.0000000002,767017.6,613214.1999999998
17,741693.5599999998,832332.4000000001,738244.8,708121.1599999997,867040.32,839580.8,946352.48,732300.64,884084.4000000003,693166.32
18,833316.76,892885.0,858411.2000000005,722234.1,987271.5199999996,1036587.4000000001,1172319.5200000003,794937.8,907382.92,691340.34
19,989787.5599999999,958237.2000000003,949209.6,886354.6,1155857.1600000001,1169311.0000000005,1294932.8,861204.12,1085688.2400000002,745391.0399999998
20,1098696.9199999997,1154586.1999999997,1162426.5,896818.4799999999,1370082.7,1323047.2,1402031.12,929987.6400000001,1263962.5200000005,884353.12
21,1196274.2,1369825.0,1323257.0,1013496.3999999998,1403521.6,1409447.0,1423174.2,1135278.2000000007,1382267.4,1108312.8
22,1297001.92,1417802.8,1419677.6,1145233.3199999998,1411713.18,1416328.7,1429931.06,1319437.4400000002,1388472.16,1322134.4799999997
23,1303978.44,1421465.6,1431793.8,1295678.48,1424159.92,1427187.4000000001,1441253.28,1423155.92,1398490.4,1409955.12
24,1314543.28,1431633.1,1438060.3,1417698.94,1428840.2000000002,1434878.1,1446553.42,1431099.82,1407824.56,1412973.66
25,1321101.8399999999,1440245.0,1444317.4,1424676.72,1474052.64,1443345.6,1493321.96,1440053.6,1414525.76,1423325.76
26,1333521.0,1449398.5,1455184.5,1430793.5,1486145.5,1457643.0,1503707.5,1450588.5,1464768.0,1431700.5
27,1349114.16,1491295.8,1472241.4,1436741.8,1494232.32,1476980.6000000008,1525597.3599999999,1455826.84,1468358.08,1438563.92
28,1370969.639999999,1495831.1,1505671.1,1449603.54,1506530.96,1504395.0,1534080.84,1496434.0000000005,1488653.16,1478166.5400000003
29,1394733.68,1509309.4,1519099.6,1455309.64,1517200.5999999999,1513459.6,1548155.72,1505801.32,1496512.84,1486657.64
30,1407306.8,1518211.0,1524175.7,1470963.6199999999,1535744.42,1534490.5,1549441.7,1519570.38,1540473.2,1501322.74
31,1418813.9999999998,1530508.0,1544748.0,1505684.4,1533356.2,1552100.0,1569978.8,1538670.0,1581874.8,1520274.2
32,1433421.76,1539832.5,1549141.3,1520366.48,1558285.98,1557370.3,1574174.56,1542522.54,1585514.8800000001,1538071.62
33,1443851.64,1559786.4,1568378.4,1536792.2399999998,1560861.64,1557613.8,1579880.56,1562138.24,1588380.32,1536792.52
34,1460356.16,1557879.4,1569751.4,1543452.62,1564232.72,1576013.3,1591771.08,1564681.98,1597462.6,1541470.84
35,1458238.08,1575488.2,1576959.4000000001,1560897.2,1647020.8399999996,1590146.2,1616310.5600000003,1569321.48,1611108.84,1553043.72
36,1477760.2,1582765.0,1598714.0,1563625.1,1784985.1,1595222.0,1793777.3,1574057.1,1620658.6,1568331.0
37,1477651.24,1585601.4,1607767.6,1566227.1600000001,1793214.8,1616238.0,1891351.4,1579159.72,1659281.2000000002,1573050.72
38,1549801.8,1629911.0,1712174.2000000007,1570654.2799999998,1800548.4,1772091.9,2057775.72,1594057.06,1790940.1600000001,1592975.82
39,1664800.1999999997,1780410.3999999997,1826106.2,1648181.5599999998,1871113.68,1980099.4,2226045.1600000015,1608727.8,1845998.9200000002,1704077.68
40,1706158.24,1808894.9,1876929.0,1650698.14,1929042.2,2208807.2000000007,2419198.06,1608405.58,1868898.4800000002,1797144.7
41,1744072.0,1820136.0,2012671.0,1689963.7999999998,2137508.7999999993,2406795.0,2447186.6000000006,1655835.4000000015,2089447.4000000006,1815082.2000000007
42,1900600.1199999996,1843149.8,2116114.6000000006,1861333.6799999995,2338386.32,2410739.9,2463870.6399999997,1800970.8000000003,2317015.6,1909340.2
43,2005274.12,2064234.2000000004,2374976.2000000007,1873335.76,2405987.72,2421678.4,2487275.56,1839603.96,2386603.96,2017099.9599999995
44,2176198.759999999,2301849.0999999996,2421866.4,1892825.0399999998,2461099.72,2458226.9999999995,2493659.82,1955477.2200000002,2393720.32,2181948.84
45,2317541.72,2419296.2,2424148.0,1899327.48,2446148.36,2460347.4,2496654.28,2074768.8,2398546.12,2385295.52
46,2330474.0,2426772.0,2484914.5,1976786.0000000002,2450028.5,2464195.5,2495792.2,2275919.8000000007,2453146.8000000003,2410263.2
47,2374599.0799999996,2474335.4,2474907.0,1982591.5999999999,2478009.44,2492876.2,2500546.96,2381862.9600000014,2447822.92,2462079.88
48,2402734.08,2463963.4,2474193.7,2082393.7999999982,2484024.26,2496887.1,2504866.52,2489416.92,2439607.2399999998,2451126.58
49,2409858.56,2484966.6000000015,2507224.2,2209820.36,2489328.76,2499530.6,2510875.92,2492224.56,2468063.04,2447921.56
50,2386611.6,2493823.0,2514462.3,2206352.5199999977,2487694.54,2499129.8,2516131.76,2481227.6,2474045.88,2476572.82
