index,317_1_www.chefkoch.de,317_2_www.chefkoch.de,317_3_www.chefkoch.de,317_4_www.chefkoch.de,317_5_www.chefkoch.de,317_6_www.chefkoch.de,317_7_www.chefkoch.de,317_8_www.chefkoch.de,317_9_www.chefkoch.de,317_10_www.chefkoch.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,107716.42,114403.8,104367.35999999999,105407.3,103997.96,116059.4,112199.6,113634.5,106091.94,114819.98
3,150014.92,144254.4,145144.48,133170.68,154999.56,177590.6,183984.24000000008,289953.6000000001,171287.36,152842.44
4,262104.6,214843.0,181837.52,237111.7,220418.32,376298.6,377905.52,388078.3,283596.76,331692.60000000003
5,399987.84,399092.60000000003,352116.72,362031.43999999994,280558.44000000006,414625.8,664494.68,730547.8000000004,399886.32,385133.32
6,605261.4,440219.0,370222.1,411673.2999999999,385841.2,685113.0,1201863.2,1185135.5,706422.9,472322.19999999955
7,777222.1200000001,766383.2000000002,417009.64,539263.9199999999,423011.88,1252089.6,1260554.68,1491195.4,1259930.48,1198995.4
8,1327120.12,1278520.5999999999,732148.6,1117482.1399999994,770300.3200000002,1511746.0,1398211.96,1591156.1,1486402.9400000002,1536207.7599999998
9,1617926.52,1613344.2,1276756.92,1327559.32,1217352.48,1665903.4,1493872.72,1609548.6,1529923.72,1580822.8800000001
10,1635881.1,1641386.2,1296434.58,1536128.98,1314575.72,1685071.2,1663170.28,1671529.4,1632213.48,1627101.62
11,1656803.4,1661941.0,1329816.2,1629103.8,1377204.9999999993,1716489.0,1674971.2,1705848.0,1649237.2,1650566.4
12,1666152.06,1667830.8,1349739.52,1641365.96,1617157.92,1733051.8,1743515.28,1755691.1,1662250.4,1675396.4200000002
13,1736931.88,1717762.6,1364263.84,1661648.88,1632170.64,1786636.4,1755540.44,1841859.0,1691661.44,1740991.32
14,1771713.28,1758766.0000000002,1371255.14,1685962.78,1652136.64,1831466.6,1910506.96,1930144.9,1734067.06,1747521.2
15,1841436.0400000024,1879138.0,1407535.6799999997,1750842.8399999982,1662608.92,1961805.0,1943401.4000000008,1986211.6000000003,1776094.68,1801612.8
16,1917523.1,1922115.0,1413562.8,1835517.3999999997,1702612.0,2017127.0,1987884.8,2023071.5,1815948.7999999998,1839285.8
17,1967549.6400000001,1974594.0,1444451.32,1905058.48,1807976.68,2048806.2,2038172.96,2051745.4,1845299.72,1955571.1199999999
18,1986745.4,2010114.0000000002,1463289.26,1909879.52,1869747.2,2081964.4,2063567.8,2158008.7,1999016.2400000002,1998055.32
19,2005476.8399999999,2059722.6000000003,1511049.04,1899837.56,1907406.64,2164154.6,2125396.44,2319674.2000000007,2083019.68,2036594.96
20,2066340.48,2093788.8,1556901.9000000001,1946185.4,1947378.32,2306580.8,2264665.72,2379909.7,2180357.86,2126133.48
21,2218616.0,2182991.0,1588070.6,1952229.0,1959101.5999999999,2322481.0,2321908.4000000004,2428629.0,2272187.4000000004,2131753.6
22,2306636.62,2313076.2,1639885.72,1995362.84,1981580.92,2420463.0,2397730.9599999995,2556417.8,2281384.78,2292425.8200000003
23,2310850.12,2346243.6,1650216.16,2058605.199999999,2016880.2800000003,2431563.6,2426688.6,2587811.8000000003,2311342.6,2298459.32
24,2353632.02,2409739.4,1676223.06,2080443.42,2026992.76,2470619.6,2441837.36,2598860.7,2352488.16,2345318.96
25,2420550.6,2426798.8,1939828.68,2193126.4,2060225.88,2482102.2,2452612.64,2636390.1999999997,2372527.76,2416441.92
26,2439373.0,2440815.0,2095437.9999999993,2224373.0,2080970.0,2498933.0,2465305.0,2648522.5,2450771.0,2487391.5
27,2460390.08,2466568.6,2143918.4399999995,2291621.04,2098398.72,2524596.4,2555522.88,2931111.6,2469958.24,2555545.92
28,2467451.74,2479309.4,2174075.04,2330605.2199999997,2180211.44,2642151.199999999,2577114.76,2951555.2,2595210.64,2575946.46
29,2508765.2800000003,2514326.0,2180467.32,2379257.8799999985,2206120.84,2864927.8000000007,2619176.48,2985962.2,2650612.2000000007,2602433.84
30,2532391.68,2553776.400000002,2238638.62,2424184.02,2239755.0399999996,2945444.6,2676465.52,3076710.200000001,2678066.68,2767308.4799999986
31,2764923.2,2818569.0,2293722.2,2435377.6,2411619.4,3027745.0,2780904.0000000005,3138292.0,2930988.6,2869734.4
32,2799055.14,2828077.6,2298476.0999999996,2455851.24,2426989.56,3077908.6,2960767.8,3214847.9,2942953.94,2970425.16
33,2827319.3200000003,2848398.8,2309687.24,2466877.12,2444729.56,3147840.4,2995746.44,3275193.8000000003,2975308.76,3005995.36
34,2907911.74,2899188.4,2344715.96,2494764.82,2452693.12,3205174.0,3045438.04,3371390.3,3057110.94,3037840.14
35,2968634.36,3024215.2,2355444.52,2525585.56,2467398.48,3348371.2,3198157.92,3474778.4,3067948.4,3081971.72
36,3034047.7,3041953.0,2413286.399999999,2552313.6,2486615.8,3358543.0,3258067.4000000013,3509051.5,3123241.2,3148268.0
37,3078178.76,3065207.8000000003,2649775.48,2799960.6,2508603.7600000002,3398775.2,3314870.2399999998,3665706.1999999997,3148405.68,3176935.92
38,3133318.5200000005,3175445.0,2673402.74,2821132.66,2732360.92,3450360.0,3322916.04,3728686.6,3162555.38,3189859.18
39,3186425.08,3201549.9999999995,2687614.6,2839161.92,2778231.76,3527950.4,3351537.36,3776026.8,3265236.44,3219438.32
40,3234999.0,3255837.0,2777098.64,2919419.44,2830726.08,3571361.0,3426090.56,3944044.1999999997,3340369.36,3286786.62
41,3274270.0,3304996.0,2801323.5999999996,2953028.4,2849019.2,3806603.0,3620215.8000000003,3988939.0,3366054.6,3329827.599999998
42,3303161.34,3488321.0000000005,2828991.12,3004718.02,2895846.72,3824183.8,3738544.28,4070098.1999999997,3390442.54,3519558.119999999
43,3308151.2000000007,3526371.8,2854085.759999999,3001795.52,2961538.1600000006,4028998.8,3762449.44,4167098.8,3434647.88,3595005.7600000002
44,3348560.82,3594929.8,2876633.92,3033177.5999999996,2993981.96,4037962.8000000003,3774412.16,4242606.8,3534944.94,3617934.36
45,3406324.64,3645568.8000000003,2920663.76,3054576.0,3014635.840000001,4084013.6,3787923.72,4265415.600000001,3559580.28,3631954.88
46,3462299.9999999986,3655107.0,2967649.1,3139103.2,3040840.6,4085009.0,3842845.4000000013,4290117.0,3573522.0,3671296.2
47,3499497.24,3713899.2,2977136.2800000003,3179791.7600000002,3044002.1200000006,4127817.1999999997,3858572.3200000008,4332282.6,3626873.6,3686331.72
48,3539820.74,3728852.4,3004525.66,3227645.98,3122264.28,4149093.0,3877818.28,4361400.2,3632390.18,3798373.199999994
49,3568934.84,3756979.4,3010020.08,3232713.32,3142869.48,4174526.0,3891967.24,4377306.200000002,3657624.64,3835096.84
50,3577367.06,3778468.0,3016291.8799999994,3243535.7399999998,3154759.96,4210024.4,3921244.12,4444272.1,3676388.48,3851472.18
