index,168_1_www.symantec.com,168_2_www.symantec.com,168_3_www.symantec.com,168_4_www.symantec.com,168_5_www.symantec.com,168_6_www.symantec.com,168_7_www.symantec.com,168_8_www.symantec.com,168_9_www.symantec.com,168_10_www.symantec.com
1,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3808.72,4702.86,2294.7200000000003,912.0,3586.56,3888.4800000000005,3606.0,3574.68,3950.76,3721.56
3,7972.72,13208.88,7261.16,6544.0,6214.88,6947.96,6089.0,6242.64,5568.959999999997,8450.08
4,18764.96,19184.48,15906.960000000005,16702.0,16701.92,13006.64,16546.0,16908.9,8329.799999999992,16676.360000000004
5,61096.08000000002,24725.56,18938.08,19153.0,18690.440000000002,16242.92,18295.0,18976.44,19294.12,18743.52
6,146498.40000000002,62000.50000000001,23497.199999999993,23720.5,19643.4,26201.4,19620.0,19731.8,20195.8,34339.6
7,213382.92,89913.4,88442.40000000001,27473.0,111038.99999999997,26941.84,153517.0,102446.28000000001,59320.119999999915,95794.28000000001
8,215889.6,127156.29999999999,121942.4,83534.0,190394.36,29442.24,212475.0,139235.66,188753.78,188476.52
9,228382.04,155976.76,213320.72,136830.0,213349.08,164384.04,215420.0,179653.4,211727.68,211322.16
10,259063.40000000002,204240.1,213471.4,214496.5,214498.76,219434.44,221648.0,213049.54,215486.82,216460.63999999998
11,289459.60000000003,210069.4,220567.8,221521.0,230048.99999999997,222692.8,225589.0,215558.8,226003.4,219595.0
12,303827.32,230213.56,226110.24,226856.5,282168.87999999995,231448.68,283783.0,216145.96,242673.07999999993,229969.16000000003
13,337618.4,250501.8,249239.72,249624.0,286736.75999999995,258748.43999999997,293291.0,232680.32,284720.68,236477.96
14,378419.48000000004,261928.74,272535.96,293285.5,319406.12,294302.92,320922.0,235365.8,290414.04,293810.68
15,403962.84,285579.6,298657.92,303751.0,322202.28,317357.15999999986,325822.0,287709.36,296171.92,296597.88
16,415523.8,319661.50000000006,320577.3999999999,329167.5,328057.6,328570.4,328689.0,296247.3,322188.99999999994,327431.6
17,426688.96,329842.4,347811.24,333967.0,344858.48,330999.12,399196.0,328855.56,330655.72000000003,337816.04000000004
18,440559.76,369256.43999999994,377072.64,356258.5,390705.88,337255.92,462187.0,330203.02,334560.38,356702.44
19,470938.44000000006,402485.28,374895.96,411660.0,447972.72000000003,403190.24,464344.0,333439.52,392948.4799999999,402406.7199999999
20,520622.52,399540.46,383255.6,491927.5,464538.88,471284.32,552389.0,373197.51999999996,469289.3,471813.6800000001
21,544208.2,425805.8,425044.2,489748.0,476829.2,473998.8,621947.0,453670.0000000002,595668.3999999994,487960.4
22,566505.52,435957.8,448272.04,542214.0,538762.04,474901.44,625256.0,483919.08,599812.18,485723.16
23,595948.48,491991.16,468039.76,604715.0,652629.7199999999,533861.8399999997,759215.0,487454.92,670812.84,587756.5200000003
24,652532.12,495852.1200000001,519893.16,679658.0,709659.3599999996,653642.5599999998,861144.0,605262.7,738266.48,705026.3200000004
25,712056.92,532128.5599999999,612813.0400000002,730037.0,795115.64,734799.68,868731.0,707683.92,863959.04,794225.28
26,773722.0,577568.0,640558.0,792537.0,863086.0,839403.0,884450.0,774703.5,865566.0,864587.0
27,802677.6000000001,617750.4400000001,679218.1199999996,844395.0,869736.12,875763.4,963988.0,847456.32,868334.6,867822.64
28,854994.4000000001,655587.2999999999,767304.9199999997,877066.0,923438.7199999996,881969.5599999999,996575.0,877409.32,874430.38,873829.04
29,878980.8,702862.2,880804.36,880369.0,996911.92,887857.44,1049964.0,880144.3200000001,959736.9999999998,876551.4
30,939890.8,737368.28,962569.9999999999,979063.0,998570.84,943413.7999999999,1162806.0,983372.6599999999,1002997.12,975924.32
31,973775.0000000001,768772.6000000001,1075718.5999999994,1005990.0,1084298.0,1013646.9999999998,1206728.0,1005248.4,1047080.9999999998,1003201.2000000001
32,1064738.3599999999,840264.8999999999,1196794.76,1055306.0,1167648.52,1106034.2,1319617.0,1067383.4800000002,1164773.9000000001,1037716.2000000001
33,1174849.7200000002,914472.24,1258394.3199999998,1110525.0,1223479.2,1173880.32,1398773.0,1148296.8800000001,1174388.8,1158325.2400000002
34,1272668.6800000006,1014004.56,1387781.2799999998,1153181.0,1320902.16,1223163.5999999999,1401882.0,1175864.4,1233056.4399999992,1172507.64
35,1344959.1999999997,1096439.5999999999,1404848.88,1198464.0,1329590.04,1330885.0,1407679.0,1230716.3600000003,1329425.4,1251750.5599999998
36,1408270.2000000002,1166612.5,1408049.2,1301052.0,1369772.0000000002,1335078.0,1459162.0,1332329.2,1331550.0,1330614.0
37,1415420.76,1181750.32,1412909.56,1333882.0,1409538.48,1387342.68,1462664.0,1334706.2,1410194.4,1407300.16
38,1420934.08,1192776.02,1415324.96,1393865.0,1447282.8,1390610.16,1469401.0,1339182.98,1428006.94,1409668.76
39,1431546.28,1238322.2,1423989.44,1414702.0,1465778.4,1396103.56,1521879.0,1369770.92,1463333.08,1447972.8
40,1450486.6,1268306.52,1430251.5999999999,1466819.0,1470929.04,1454556.1599999997,1592313.0,1419339.34,1468502.22,1467034.36
41,1477240.4,1288082.6,1457002.6,1471410.0,1477088.6,1478704.6,1598674.0,1454924.0,1474538.0,1470920.6
42,1528095.72,1339943.0,1472390.16,1476966.5,1480014.04,1481651.4,1600852.0,1473697.62,1506779.64,1476270.4
43,1574924.28,1369341.8,1486258.08,1524638.0,1564351.04,1561769.16,1609319.0,1480722.64,1551652.5999999999,1519722.88
44,1617351.0000000005,1429039.6,1497426.6,1601908.0,1602698.8,1604853.84,1610485.0,1507780.22,1601627.72,1592818.32
