index,240_1_www.nist.gov,240_2_www.nist.gov,240_3_www.nist.gov,240_4_www.nist.gov,240_5_www.nist.gov,240_6_www.nist.gov,240_7_www.nist.gov,240_8_www.nist.gov,240_9_www.nist.gov,240_10_www.nist.gov
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,471.0
2,3876.2,4119.28,1483.76,1548.4400000000005,1444.9999999999986,1332.8400000000001,1149.5800000000004,1564.54,1526.8799999999999,2359.6000000000004
3,4878.360000000001,4873.72,4101.96,4089.24,5081.999999999999,4131.64,4664.959999999999,4091.36,4093.48,5210.88
4,9912.88,7965.74,5446.680000000001,6845.12,6086.400000000001,6442.32,4319.120000000002,6915.18,6628.76,8404.06
5,11955.639999999998,14119.16,8568.56,8377.64,8021.800000000001,8507.16,8235.48,8425.039999999999,8525.08,14406.64
6,16266.8,31072.7,14578.6,14514.400000000001,13675.0,14256.6,14271.800000000001,14194.599999999993,13463.199999999997,31469.2
7,22666.200000000004,34649.48,32707.64,32926.16,30876.600000000002,31795.48,31623.760000000002,32661.84,31551.84000000001,34922.92
8,40647.32,35903.24,33083.28,33454.12,34761.6,32809.32,32681.34,32162.279999999995,31983.960000000006,35426.56
9,41989.56,39107.64,34841.72,34894.240000000005,35565.4,34196.64,33897.76,35048.08,34924.56,39431.8
10,45537.36,57429.38,35979.76,35741.44,38981.799999999996,37700.359999999986,37672.58,35919.74,33181.96,55021.42
11,59163.39999999993,56521.199999999975,38876.599999999984,45339.39999999997,55755.0,39329.6,39349.0,37768.6,37194.2,59119.2
12,66805.68000000001,76587.74,55790.20000000002,54382.03999999999,55188.2,55093.240000000005,54627.38,45289.919999999904,38827.840000000004,76478.83999999998
13,76245.92,108976.20000000013,56890.72,54627.68,58287.6,56866.76,56168.04,56739.48,57361.99999999999,105562.44
14,111771.95999999996,121458.97999999997,57546.87999999999,74164.64,92046.59999999999,57971.88,58376.42,57102.54,59227.68,120442.29999999999
15,127942.28,174282.24000000002,103685.08,77231.24,94528.2,94043.72,105626.64,80509.16,59188.88000000003,182323.48000000004
16,134330.0000000001,198431.99999999997,105776.6,86246.59999999999,109019.0,92667.2,120366.3,99427.19999999997,105221.4,242409.39999999985
17,192102.68,222875.0,121798.56,103160.08,138887.99999999997,109679.79999999999,121831.03999999996,105861.43999999997,103467.76,306306.36
18,245553.1599999998,276162.04000000004,123847.4,112820.88,168491.99999999983,130790.91999999988,153576.19999999998,118980.78,118313.24,374157.88
19,302188.9600000001,350110.83999999997,166853.68,124286.20000000001,206163.8,162858.39999999997,191176.83999999997,137523.76,123168.79999999999,396176.56
20,340230.76,391952.6,195319.8,167911.19999999998,259569.19999999992,192607.72,258441.94,192091.19999999998,168299.28000000003,399138.80000000005
21,388749.0,401567.8,213595.99999999997,209674.79999999973,306829.0,224061.19999999998,324412.39999999997,236477.19999999992,211570.19999999995,426624.4
22,407299.2,425059.89999999997,275717.12000000005,244943.2799999998,372696.0,258539.79999999996,352141.24,283472.48000000004,280563.56,437916.77999999997
23,416655.0,436634.24,308519.92000000004,295816.12,395758.2,315859.0,398043.96,350023.67999999993,325430.56,447249.04
24,436882.64,440408.66000000003,349437.1600000001,337123.92,394103.0,347606.4,400927.52,392681.28,379127.64,451113.98
25,444892.4,445227.4,379503.92000000004,374405.19999999995,423769.99999999994,392937.36,424368.7599999999,395569.72000000003,399025.52,520298.68
26,454591.0,507670.0,397268.0,399168.99999999994,424386.0,403566.0,430480.99999999994,405340.5,403776.0,545824.0
27,543643.2,537045.48,409268.64,413611.6399999998,424789.6,422266.32,435778.5999999999,424240.2,423237.60000000003,642157.76
28,572212.1199999996,541495.9400000001,425748.44,425151.60000000003,440728.4,428778.84,444187.92000000004,426543.62,432951.88,757684.9600000004
29,678410.7199999999,639534.0,437564.60000000003,432874.76,451162.0,435579.76,514170.16000000003,435116.95999999996,440123.04000000004,877338.6
30,825220.2400000003,724318.5599999998,442014.56,438025.88,514885.79999999923,440150.19999999995,538275.88,444812.58,444229.68,1010670.5999999999
