index,388_1_www.netzkino.de,388_2_www.netzkino.de,388_3_www.netzkino.de,388_4_www.netzkino.de,388_5_www.netzkino.de,388_6_www.netzkino.de,388_7_www.netzkino.de,388_8_www.netzkino.de,388_9_www.netzkino.de,388_10_www.netzkino.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0
2,36426.56,12521.86,12931.039999999999,57468.72,25093.800000000003,17547.200000000023,22038.74,15163.83999999999,30396.32,12092.08
3,229864.64,39368.56,82826.20000000001,365789.04000000004,269269.39999999997,154255.4,137522.72,101319.92,129557.71999999994,90791.56
4,523235.72,115465.1,315091.08,630014.84,618473.52,363724.40000000014,479250.45999999996,342710.42000000004,358720.22000000003,307198.72
5,645688.2,265160.76,608330.84,720572.8,677244.4,590858.2000000001,548023.6000000001,547321.9999999999,589435.48,521179.8400000001
6,776872.8,389230.6,638200.3999999999,797237.6,798026.6,679098.0,676909.2000000001,643132.2,642499.5,642907.4
7,816769.68,597674.7600000002,743760.12,872582.44,823368.04,745248.0,752970.6000000001,698178.2000000001,681121.24,730586.4799999999
8,933321.440000001,636241.8,790728.3200000001,1033884.9199999999,996659.6799999996,818338.2,935177.7000000001,808066.24,851909.52,781784.56
9,1032245.68,651313.24,823629.96,1130437.6,1110756.32,963339.2000000001,1035807.92,928150.4400000001,1066836.08,806554.52
10,1218341.5599999996,679973.58,930774.1199999996,1347306.28,1270658.1199999999,1046472.4,1212733.9000000001,1029825.14,1125270.84,874929.44
11,1347481.4,743800.8,1033787.8,1399352.2,1367303.4,1069072.0,1351487.4,1051498.0,1230406.2,1025327.2
12,1450737.6,867335.44,1042455.92,1652727.12,1485773.8399999994,1202735.8,1408709.5,1247734.0199999998,1411853.4,1053457.2
13,1549756.36,1014150.4400000001,1125068.4,1897178.64,1696620.48,1364025.4,1626887.1600000001,1363594.1600000001,1535467.76,1266102.56
14,2002706.44,1092121.5599999998,1314957.6,1932218.2000000002,1933458.24,1539635.0,1791944.940000001,1489268.7,1667088.0999999999,1347674.6
15,2437540.44,1237883.52,1354971.56,2170391.76,2095490.3199999998,1642239.4000000008,1983388.04,1639655.68,1978614.28,1449340.96
