index,276_1_www.sparkasse.de,276_2_www.sparkasse.de,276_3_www.sparkasse.de,276_4_www.sparkasse.de,276_5_www.sparkasse.de,276_6_www.sparkasse.de,276_7_www.sparkasse.de,276_8_www.sparkasse.de,276_9_www.sparkasse.de,276_10_www.sparkasse.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1535.4199999999998,1506.3,1365.1799999999996,2927.5000000000014,1439.5,1524.5,1442.66,1508.4,1467.94,1524.5
3,4125.28,3903.600000000001,5202.040000000003,5085.400000000001,3606.0,4138.0,3601.68,3564.96,3567.12,4138.0
4,4493.14,4825.199999999999,6390.54,8427.4,5142.5,4570.5,5091.339999999999,4805.5199999999995,5312.0599999999995,4465.5
5,8313.28,6725.200000000006,8264.719999999998,14788.800000000001,6137.0,8493.0,6256.64,8302.08,6345.84,8436.0
6,11943.89999999998,7756.5,18168.199999999997,22916.5,8451.5,8477.0,8250.300000000001,8643.999999999996,8508.300000000001,10564.0
7,19820.88,19871.80000000001,23128.96,27828.0,14836.0,20206.0,15893.960000000006,14552.12,18728.12,19772.0
8,23262.43999999999,23119.699999999997,27365.680000000022,59809.00000000003,19941.5,22652.0,19752.62,17148.959999999995,20086.020000000004,23611.0
9,27972.96,25593.400000000016,27878.800000000014,97102.6,22551.0,27919.0,22678.76,19541.24,24620.080000000005,27958.0
10,38157.39999999998,28230.9,94613.94,94511.4,28021.0,32602.0,27605.28,22742.2,28112.239999999998,40583.0
11,97345.40000000001,49860.0,96310.2,96301.0,27726.0,79467.0,27904.799999999996,60271.399999999994,29065.00000000002,97782.0
12,95604.76000000001,87067.60000000006,93985.88000000002,113658.7,71787.0,94308.0,53834.35999999999,92637.76000000001,94375.20000000001,95633.5
13,94163.04,96845.4,97178.44,125293.59999999999,96765.0,92179.0,97802.36,90988.44,96878.23999999999,93092.0
14,96690.42,98313.1,108857.58,127868.40000000001,95421.0,93442.0,96022.14,89032.08,95423.23999999999,94165.5
15,109255.24,102380.8,119904.51999999999,128151.8,95851.0,96246.0,94447.08,90383.11999999998,95096.96,92689.0
16,133290.4,101553.0,147671.3000000002,158915.5,96762.5,95660.5,97095.9,91064.4,110343.0,96295.0
17,138470.39999999997,100115.2,157081.80000000002,189177.60000000003,109122.0,118057.0,102577.52,89779.28,109365.24,100259.0
18,143374.54,109486.7,165614.34,206792.60000000006,119054.0,129778.0,108674.82,101348.72000000004,120202.16,115793.0
19,172748.64,115863.4,188622.44,226790.2,117307.0,131751.0,120338.28,100475.36,142266.64000000016,130692.0
20,179022.58000000002,117192.7,202243.38,228738.3,151658.0,135234.0,119267.86,104794.88,169567.34,163325.5
21,190926.6,134182.0,203962.60000000006,237048.0,160827.0,169057.0,124411.00000000003,106774.6,177774.2,167741.0
22,192384.52,133245.80000000002,206811.97999999998,233866.8,164219.0,172705.5,149873.78000000006,117612.28,179464.24000000002,179200.0
23,208617.5999999999,134151.59999999998,250355.20000000004,236022.40000000002,187058.0,180860.0,159415.08,121234.96,190630.68,197680.0
24,222860.46,145429.1,279798.34,263550.2000000001,189265.0,182948.5,189005.22,165637.84000000003,199645.98,204587.5
25,222832.52,161744.20000000004,299089.92,285961.4,191701.0,183781.0,193522.84,170111.32,203358.24,212367.0
26,229015.5,172382.5,337277.5,330766.0,190091.0,200823.5,200132.0,176409.0,243178.0,210020.5
27,232047.32,205391.20000000007,370595.4000000004,384267.0,196783.0,206970.0,200124.59999999995,186314.88,248742.19999999998,215013.0
28,237668.48,226678.9,370612.24,458790.40000000026,206196.5,231980.0,208190.28000000003,210688.68,251474.62,229154.5
29,249708.08,235732.6,380252.8000000001,549046.0,210684.0,241900.0,210200.92,225961.24,259423.4800000002,229190.0
30,250486.72,236368.3,392983.04,589382.0000000002,213114.0,249047.0,215254.83999999997,225877.72,304651.92,231126.0
