index,278_1_www.deutsche-bank.de,278_2_www.deutsche-bank.de,278_3_www.deutsche-bank.de,278_4_www.deutsche-bank.de,278_5_www.deutsche-bank.de,278_6_www.deutsche-bank.de,278_7_www.deutsche-bank.de,278_8_www.deutsche-bank.de,278_9_www.deutsche-bank.de,278_10_www.deutsche-bank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0
2,3598.879999999999,3770.0799999999995,3572.52,3625.26,3574.68,4093.84,4044.24,3593.04,3645.76,3554.16
3,8750.639999999994,8946.24,6249.96,6110.88,8681.48,6528.04,10154.52,6046.92,8460.28,8487.76
4,14714.83999999999,16425.88,16219.14,13336.2,16279.179999999998,13064.600000000006,13879.08,16087.04,16066.639999999998,13536.839999999998
5,22536.199999999983,20369.280000000002,19790.92,17786.68,20102.079999999998,18455.92,21556.199999999997,20043.96,19899.56,19869.36
6,27926.4,20718.399999999994,20806.9,19982.199999999997,20842.000000000004,20483.600000000002,27766.600000000002,20195.0,21992.999999999993,20478.199999999993
7,28255.760000000006,58639.68,46643.88,45100.84,46893.48,45030.88,29132.199999999884,44699.92,48020.12000000001,47739.72000000001
8,54351.24,89972.32,82945.8,52212.299999999996,71568.64000000001,87705.64,59902.76,84178.88,81396.16,83165.28
9,98874.48000000001,149976.24,91084.28,91409.56,84434.36,91918.88,90583.52,82162.56,92607.84,91535.32
10,119788.6799999998,251195.76,96708.51999999993,93224.34,95404.38,116043.56000000004,136368.8,127376.75999999997,128150.88,161996.24000000002
11,163306.39999999994,326436.7999999998,191695.99999999994,197636.40000000002,101894.80000000012,262955.19999999984,199125.80000000005,157994.00000000003,177248.59999999998,225169.4000000001
12,221845.59999999998,451201.63999999996,291900.14,266353.1,136603.31999999995,404444.92,237657.80000000002,247552.08000000007,233062.72,319894.6
13,309841.9999999998,530009.4,416037.95999999996,331607.64,177731.6,494545.84,292696.6,306780.48,326717.4800000001,356190.2
14,405373.59999999974,612968.7999999999,518792.9,428789.24,247475.59999999995,556765.5599999998,382615.5199999998,360977.68,442650.76,444379.76000000024
15,489774.6799999998,740076.5199999998,625827.0799999996,507943.72,338108.56000000006,703668.56,478276.19999999995,447253.92000000004,548417.1200000001,550506.64
16,627850.0,839995.9999999999,710581.7,605337.5,442222.19999999984,779931.5999999997,547915.5999999999,550392.7999999999,649757.0,663193.2000000001
17,761191.5199999999,941205.4,860322.4399999998,714632.44,508337.96,836109.2399999999,667810.08,657502.36,736725.08,775034.0800000002
18,846869.1599999993,1047780.2,979575.5599999996,868071.3199999998,642071.1,889576.2399999998,800715.6799999996,760585.84,800540.2000000001,893277.9199999999
19,995010.1599999992,1103158.7999999998,1103272.68,948550.4400000001,758429.64,958561.36,865921.7200000001,845580.08,870756.04,1026355.12
20,1127536.1199999996,1232455.3199999998,1234133.7199999997,1072492.8000000003,867613.7,993973.68,935212.6,958102.56,962889.4,1149134.4400000002
21,1259426.8,1251527.6,1247208.6,1129193.6,960953.0000000002,1071003.2,1023624.6000000001,1056227.0,988681.8,1248976.8
