index,312_1_www.bild.de,312_2_www.bild.de,312_3_www.bild.de,312_4_www.bild.de,312_5_www.bild.de,312_6_www.bild.de,312_7_www.bild.de,312_8_www.bild.de,312_9_www.bild.de,312_10_www.bild.de
1,-442.0,-113.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,61550.9,60962.7,58246.40000000001,60533.7,58307.32,59948.16000000001,60756.83999999999,57999.18,57195.11999999999,53868.06
3,162700.99999999994,220326.40000000005,135556.6000000001,182533.0,169134.4,176332.08000000002,183080.39999999997,193304.92,253329.79999999996,91139.08
4,421911.39999999997,429228.50000000006,426457.89999999997,428185.60000000003,430188.96,429221.8,432995.92000000004,431909.34,416842.92,396163.48
5,526627.8,505227.60000000003,482010.8,503987.5999999999,472827.64,505682.80000000005,485632.19999999995,491101.68,505744.28,436608.24
6,682488.0,637569.0,682236.5,718883.5,716581.9,695369.8,741007.1999999998,700128.5,685691.8,495386.3999999996
7,721615.9999999999,715199.4000000003,864282.6,889610.4,875724.92,834077.44,878055.96,873590.52,828503.72,609541.12
8,803806.0,800135.8,905404.3,980438.1,963485.24,878821.28,891938.32,903012.48,876225.64,729204.42
9,915333.2,875770.4,982125.8,1015597.4,992757.24,909435.0,1011471.92,952988.2,978477.7999999999,807422.7999999999
10,919923.3,898464.5,1071095.6,1119652.2,1081944.58,1068374.08,1102797.84,1056762.02,1030412.68,836856.02
11,972562.0,1036086.0,1113570.0,1174156.0,1146502.6,1094933.8,1211418.2,1172456.4,1056293.0,974153.8
12,1116931.5,1150505.3,1201424.1000000003,1290775.7,1267052.14,1219445.96,1283185.56,1242844.5999999999,1100482.08,1062948.54
13,1240992.4000000001,1211798.0000000005,1305875.2,1354961.0,1292947.36,1313971.4799999997,1367880.0799999998,1318960.24,1241473.92,1140763.68
14,1379953.2,1355082.2000000002,1433349.6,1369669.4000000001,1353026.6400000004,1445353.6000000003,1490549.76,1411559.32,1376872.6799999997,1158714.46
15,1510387.0,1497091.0,1482511.2,1629139.8,1407060.68,1644800.56,1627834.52,1556709.0800000003,1489465.68,1369625.88
16,1595829.5,1588922.0,1533431.5,1702796.0,1620614.7999999998,1675662.4,1704051.2,1712825.3,1515492.0,1490026.0
17,1723332.0,1703699.8000000005,1569949.0000000002,1770493.4,1682486.92,1756813.64,1730518.8800000001,1731096.32,1588969.9199999997,1549715.96
18,1843284.7,1801697.8000000005,1585283.0999999999,1839248.9999999998,1766427.98,1778976.2000000004,1793295.84,1775814.16,1633328.7999999996,1660249.7799999998
19,1858854.4,1863018.8,1632453.2,1856666.8,1792372.2,1817458.48,1849889.28,1800591.76,1665152.92,1681576.56
20,1910289.9999999995,1908658.0999999999,1698789.9,1951345.0,1877851.76,1940739.8,1929153.24,1915313.0,1742432.8800000001,1697254.82
